,IOC,Breeding Range,Order,Family,Hungarian
0,Struthio camelus,AF,STRUTHIONIFORMES,Struthionidae,strucc
1,Struthio molybdophanes,AF,STRUTHIONIFORMES,Struthionidae,szomáliai strucc
2,Rhea americana,SA,RHEIFORMES,Rheidae,nandu
3,Rhea pennata,SA,RHEIFORMES,Rheidae,Darwin-nandu
4,Apteryx australis,AU,APTERYGIFORMES,Apterygidae,barna kivi
5,Apteryx mantelli,AU,APTERYGIFORMES,Apterygidae,északi-szigeti barna kivi
6,Apteryx rowi,AU,APTERYGIFORMES,Apterygidae,okaritói barna kivi
7,Apteryx owenii,AU,APTERYGIFORMES,Apterygidae,kis foltos kivi
8,Apteryx haastii,AU,APTERYGIFORMES,Apterygidae,nagy foltos kivi
9,Casuarius casuarius,AU,CASUARIIFORMES,Casuariidae,sisakos kazuár
10,Casuarius bennetti,AU,CASUARIIFORMES,Casuariidae,Bennett-kazuár
11,Casuarius unappendiculatus,AU,CASUARIIFORMES,Casuariidae,északi kazuár
12,Dromaius novaehollandiae,AU,CASUARIIFORMES,Casuariidae,emu
13,Tinamus tao,SA,TINAMIFORMES,Tinamidae,szürke tinamu
14,Tinamus solitarius,SA,TINAMIFORMES,Tinamidae,remetetinamu
15,Tinamus osgoodi,SA,TINAMIFORMES,Tinamidae,fekete tinamu
16,Tinamus major,"MA, SA",TINAMIFORMES,Tinamidae,nagy tinamu
17,Tinamus guttatus,SA,TINAMIFORMES,Tinamidae,fehértorkú tinamu
18,Nothocercus bonapartei,"MA, SA",TINAMIFORMES,Tinamidae,Bonaparte-tinamu
19,Nothocercus julius,SA,TINAMIFORMES,Tinamidae,Tawny-breasted Tinamou
20,Nothocercus nigrocapillus,SA,TINAMIFORMES,Tinamidae,Hooded Tinamou
21,Crypturellus berlepschi,SA,TINAMIFORMES,Tinamidae,Berlepsch-tinamu
22,Crypturellus cinereus,SA,TINAMIFORMES,Tinamidae,Cinereous Tinamou
23,Crypturellus soui,"MA, SA",TINAMIFORMES,Tinamidae,apró tinamu
24,Crypturellus ptaritepui,SA,TINAMIFORMES,Tinamidae,Tepui Tinamou
25,Crypturellus obsoletus,SA,TINAMIFORMES,Tinamidae,Brown Tinamou
26,Crypturellus undulatus,SA,TINAMIFORMES,Tinamidae,hullámos tinamu
27,Crypturellus transfasciatus,SA,TINAMIFORMES,Tinamidae,Pale-browed Tinamou
28,Crypturellus strigulosus,SA,TINAMIFORMES,Tinamidae,brazil tinamu
29,Crypturellus duidae,SA,TINAMIFORMES,Tinamidae,Grey-legged Tinamou
30,Crypturellus erythropus,SA,TINAMIFORMES,Tinamidae,Red-legged Tinamou
31,Crypturellus noctivagus,SA,TINAMIFORMES,Tinamidae,Yellow-legged Tinamou
32,Crypturellus atrocapillus,SA,TINAMIFORMES,Tinamidae,Black-capped Tinamou
33,Crypturellus cinnamomeus,MA,TINAMIFORMES,Tinamidae,Thicket Tinamou
34,Crypturellus boucardi,MA,TINAMIFORMES,Tinamidae,Slaty-breasted Tinamou
35,Crypturellus kerriae,"MA, SA",TINAMIFORMES,Tinamidae,Choco Tinamou
36,Crypturellus variegatus,SA,TINAMIFORMES,Tinamidae,Variegated Tinamou
37,Crypturellus brevirostris,SA,TINAMIFORMES,Tinamidae,Rusty Tinamou
38,Crypturellus bartletti,SA,TINAMIFORMES,Tinamidae,Bartlett-tinamu
39,Crypturellus parvirostris,SA,TINAMIFORMES,Tinamidae,kiscsőrű fürjtinamu
40,Crypturellus casiquiare,SA,TINAMIFORMES,Tinamidae,Barred Tinamou
41,Crypturellus tataupa,SA,TINAMIFORMES,Tinamidae,Tataupa-tinamu
42,Rhynchotus rufescens,SA,TINAMIFORMES,Tinamidae,pampatinamu
43,Rhynchotus maculicollis,SA,TINAMIFORMES,Tinamidae,Huayco Tinamou
44,Nothoprocta taczanowskii,SA,TINAMIFORMES,Tinamidae,Taczanowski-tinamu
45,Nothoprocta ornata,SA,TINAMIFORMES,Tinamidae,Ornate Tinamou
46,Nothoprocta perdicaria,SA,TINAMIFORMES,Tinamidae,chilei tinamu
47,Nothoprocta cinerascens,SA,TINAMIFORMES,Tinamidae,Brushland Tinamou
48,Nothoprocta pentlandii,SA,TINAMIFORMES,Tinamidae,Andean Tinamou
49,Nothoprocta curvirostris,SA,TINAMIFORMES,Tinamidae,Curve-billed Tinamou
50,Nothura boraquira,SA,TINAMIFORMES,Tinamidae,White-bellied Nothura
51,Nothura minor,SA,TINAMIFORMES,Tinamidae,Lesser Nothura
52,Nothura darwinii,SA,TINAMIFORMES,Tinamidae,Darwin's Nothura
53,Nothura maculosa,SA,TINAMIFORMES,Tinamidae,foltos tinamu
54,Taoniscus nanus,SA,TINAMIFORMES,Tinamidae,Dwarf Tinamou
55,Eudromia elegans,SA,TINAMIFORMES,Tinamidae,gyöngyös tinamu
56,Eudromia formosa,SA,TINAMIFORMES,Tinamidae,Quebracho Crested Tinamou
57,Tinamotis pentlandii,SA,TINAMIFORMES,Tinamidae,Puna Tinamou
58,Tinamotis ingoufi,SA,TINAMIFORMES,Tinamidae,Patagonian Tinamou
59,Anhima cornuta,SA,ANSERIFORMES,Anhimidae,egyszarvú csája
60,Chauna chavaria,SA,ANSERIFORMES,Anhimidae,fehérarcú csája
61,Chauna torquata,SA,ANSERIFORMES,Anhimidae,örvös csája
62,Anseranas semipalmata,AU,ANSERIFORMES,Anseranatidae,ujjas lúd
63,Dendrocygna viduata,"AF, SA",ANSERIFORMES,Anatidae,apáca-fütyülőlúd
64,Dendrocygna autumnalis,"NA, MA, SA",ANSERIFORMES,Anatidae,piroscsőrű fütyülőlúd
65,Dendrocygna guttata,"OR, AU",ANSERIFORMES,Anatidae,gyöngyös fütyülőlúd
66,Dendrocygna bicolor,"NA, MA, SA, AF, OR",ANSERIFORMES,Anatidae,sujtásos fütyülőlúd
67,Dendrocygna eytoni,AU,ANSERIFORMES,Anatidae,sarlós fütyülőlúd
68,Dendrocygna arcuata,"OR, AU",ANSERIFORMES,Anatidae,vándorfütyülőlúd
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,bengáli fütyülőlúd
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,vöcsökréce
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,tyúklúd
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,örvös lúd
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,vörösnyakú lúd
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,hawaii lúd
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,apácalúd
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,indiai lúd
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,császárlúd
78,Anser anser,PAL,ANSERIFORMES,Anatidae,nyári lúd
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,kínai hattyúlúd
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,vetési lúd
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,rövidcsőrű lúd
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Tundra Bean Goose
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,nagy lilik
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,kis lilik
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,koszkoróbahattyú
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,fekete hattyú
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,feketenyakú hattyú
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,bütykös hattyú
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,kis hattyú
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,énekes hattyú
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,gyöngyös réce
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,karimáscsőrű réce
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,patagóniai gőzhajóréce
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,óriás-gőzhajóréce
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,falklandi gőzhajóréce
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,fehérfejű gőzhajóréce
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,zuhatagi réce
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,tüskésszárnyú lúd
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Comb Duck
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,bütykös fényréce
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,kékszárnyú lúd
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,nílusi lúd
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,orinocói lúd
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,andoki lúd
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Magellán-lúd
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,szirti lúd
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,szürkefejű lúd
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,rőtesfejű lúd
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,radjah ásólúd
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,bütykös ásólúd
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,vörös ásólúd
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,szürkefejű ásólúd
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,ausztrál ásólúd
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,új-zélandi ásólúd
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,lapátcsőrű réce
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Salvadori-réce
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,pézsmaréce
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,dzsungelréce
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,kongói réce
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandarinréce
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,sörényes lúd
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,afrikai törpelúd
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,örvös törpelúd
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,kendermagos törpelúd
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,amazonasi réce
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,vörösvállú réce
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,copfos réce
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,szemüveges réce
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,cifra réce
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,böjti réce
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,hottentotta réce
132,Spatula puna,SA,ANSERIFORMES,Anatidae,ezüstcsőrű réce
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,ezüstréce
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,argentin kanalasréce
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,fahéjszínű réce
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,fokföldi kanalasréce
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,ausztráliai kanalasréce
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,kanalas réce
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,kendermagos réce
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,sarlós réce
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,fütyülő réce
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,chilei fütyülőréce
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,afrikai fekete réce
144,Anas undulata,AF,ANSERIFORMES,Anatidae,sárgacsőrű réce
145,Anas melleri,AF,ANSERIFORMES,Anatidae,madagaszkári réce
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,szemöldökös réce
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,laysani réce
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,hawaii réce
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,fülöp-szigeteki réce
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,foltoscsőrű réce
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Eastern Spot-billed Duck
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,tőkés réce
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,mexikói réce
154,Anas capensis,AF,ANSERIFORMES,Anatidae,bantu réce
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Bahama-réce
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,piroscsőrű réce
157,Anas georgica,SA,ANSERIFORMES,Anatidae,déli-georgiai nyílfarkúréce
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,kerguelen-szigeteki nyílfarkúréce
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,nyílfarkú réce
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,csörgő réce
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,dél-amerikai csörgő réce
162,Anas andium,SA,ANSERIFORMES,Anatidae,Andean Teal
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,fehértorkú réce
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Andaman Teal
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,szürke réce
166,Anas castanea,AU,ANSERIFORMES,Anatidae,gesztenyebarna réce
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Bernier-réce
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Brown Teal
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,maori réce
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Campbell-réce
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,márványos réce
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,üstökösréce
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,peposaca réce
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,feketefejű üstökösréce
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,barátréce
176,Aythya australis,AU,ANSERIFORMES,Anatidae,ausztrál cigányréce
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,madagaszkári cigányréce
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,mandzsu réce
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,cigányréce
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,maori cigányréce
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,kontyos réce
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,hegyi réce
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Steller-pehelyréce
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,pápaszemes pehelyréce
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,cifra pehelyréce
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,pehelyréce
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,tarka réce
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,füstös réce
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Stejneger's Scoter
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,fekete réce
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,nyerges réce
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,jegesréce
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,kerceréce
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,izlandi kerceréce
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,kis bukó
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,füstös bukó
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,nagy bukó
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,örvös bukó
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,csuklyás bukó
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,kakukkréce
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,feketearcú réce
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,halcsontfarkú réce
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,andoki halcsontfarkú réce
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,argentin kékcsőrű réce
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,szálkás réce
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,csuklyás réce
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,kékcsőrű réce
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,lebernyeges réce
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,talegallatyúk
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Wattled Brushturkey
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Waigeo Brushturkey
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,vöröscsőrű talegallatyúk
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,feketecsőrű talegallatyúk
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,galléros talegallatyúk
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,homoki lábastyúk
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,kalapácsfejű tyúk
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,maluku-szigeteki ásótyúk
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,tongai ásótyúk
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,mariana-szigeteki ásótyúk
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,nikobári ásótyúk
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,fülöp-szigeteki ásótyúk
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,sula-szigeteki ásótyúk
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,tanimbar-szigeteki ásótyúk
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,szigeti ásótyúk
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Biak-szigeti ásótyúk
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,melanéz ásótyúk
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,vanuatui ásótyúk
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,új-guineai ásótyúk
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,narancssárgalábú ásótyúk
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,fakó erdeityúk
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,szürkefejű erdeityúk
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Chestnut-winged Chachalaca
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,vöröstorkú erdeityúk
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Rufous-headed Chachalaca
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Rufous-bellied Chachalaca
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,West Mexican Chachalaca
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,szürkenyakú erdeityúk
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,White-bellied Chachalaca
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Speckled Chachalaca
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,East Brazilian Chachalaca
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Scaled Chachalaca
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Colombian Chachalaca
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Little Chachalaca
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Chestnut-headed Chachalaca
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Buff-browed Chachalaca
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Band-tailed Guan
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Bearded Guan
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Baudo Guan
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Andean Guan
250,Penelope marail,SA,GALLIFORMES,Cracidae,Marail Guan
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Rusty-margined Guan
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Red-faced Guan
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,borzas sakutyúk
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Kauka-guán
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,fehérszárnyú sakutyúk
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Spix's Guan
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Dusky-legged Guan
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Yungas Guan
259,Penelope pileata,SA,GALLIFORMES,Cracidae,fehérkontyos sakutyúk
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,vöröshasú sakutyúk
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,White-browed Guan
262,Pipile pipile,SA,GALLIFORMES,Cracidae,fehérfejű guán
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,kéktorkú guán
264,Pipile grayi,SA,GALLIFORMES,Cracidae,White-throated Piping Guan
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,vöröstorkú guán
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,pápaszemes guán
267,Aburria aburri,SA,GALLIFORMES,Cracidae,lebenyes guán
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,fekete guán
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,sarlósszárnyú guán
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,szurdokguán
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,pirosszarvú guán
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,bagolyhokkó
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Crestless Curassow
274,Mitu salvini,SA,GALLIFORMES,Cracidae,Salvin-mitu
275,Mitu tuberosum,SA,GALLIFORMES,Cracidae,amazonasi hokkó
276,Mitu mitu,SA,GALLIFORMES,Cracidae,csupaszfülű mitu
277,Pauxi pauxi,SA,GALLIFORMES,Cracidae,sisakos hokkó
278,Pauxi unicornis,SA,GALLIFORMES,Cracidae,szarvas hokkó
279,Pauxi koepckeae,SA,GALLIFORMES,Cracidae,Sira Curassow
280,Crax rubra,"MA, SA",GALLIFORMES,Cracidae,nagy hokkó
281,Crax alberti,SA,GALLIFORMES,Cracidae,kéklebenyes hokkó
282,Crax daubentoni,SA,GALLIFORMES,Cracidae,sárgabütykös hokkó
283,Crax alector,SA,GALLIFORMES,Cracidae,fekete hokkó
284,Crax globulosa,SA,GALLIFORMES,Cracidae,pirosbütykös hokkó
285,Crax fasciolata,SA,GALLIFORMES,Cracidae,csupaszarcú hokkó
286,Crax blumenbachii,SA,GALLIFORMES,Cracidae,piroscsőrű hokkó
287,Agelastes meleagrides,AF,GALLIFORMES,Numididae,fehérmellű gyöngytyúk
288,Agelastes niger,AF,GALLIFORMES,Numididae,fekete gyöngytyúk
289,Numida meleagris,AF,GALLIFORMES,Numididae,sisakos gyöngytyúk
290,Guttera plumifera,AF,GALLIFORMES,Numididae,búbos gyöngytyúk
291,Guttera verreauxi,AF,GALLIFORMES,Numididae,Western Crested Guineafowl
292,Guttera pucherani,AF,GALLIFORMES,Numididae,bóbitás gyöngytyúk
293,Guttera edouardi,AF,GALLIFORMES,Numididae,Southern Crested Guineafowl
294,Acryllium vulturinum,AF,GALLIFORMES,Numididae,keselyűfejű gyöngytyúk
295,Ptilopachus petrosus,AF,GALLIFORMES,Odontophoridae,kövi fogoly
296,Ptilopachus nahani,AF,GALLIFORMES,Odontophoridae,Nahan's Partridge
297,Dendrortyx leucophrys,MA,GALLIFORMES,Odontophoridae,Buffy-crowned Wood Partridge
298,Dendrortyx macroura,MA,GALLIFORMES,Odontophoridae,hosszúfarkú fogasfürj
299,Dendrortyx barbatus,MA,GALLIFORMES,Odontophoridae,Bearded Wood Partridge
300,Oreortyx pictus,"NA, MA",GALLIFORMES,Odontophoridae,hegyi bóbitásfürj
301,Callipepla squamata,"NA, MA",GALLIFORMES,Odontophoridae,pikkelyes fogasfürj
302,Callipepla douglasii,MA,GALLIFORMES,Odontophoridae,Douglas-fogasfürj
303,Callipepla californica,"NA, MA",GALLIFORMES,Odontophoridae,kaliforniai búbosfürj
304,Callipepla gambelii,"NA, MA",GALLIFORMES,Odontophoridae,Gambel-fogasfürj
305,Philortyx fasciatus,MA,GALLIFORMES,Odontophoridae,Banded Quail
306,Colinus virginianus,"NA, MA",GALLIFORMES,Odontophoridae,bozótfürj
307,Colinus nigrogularis,MA,GALLIFORMES,Odontophoridae,feketetorkú fogasfürj
308,Colinus leucopogon,MA,GALLIFORMES,Odontophoridae,Spot-bellied Bobwhite
309,Colinus cristatus,"MA, SA",GALLIFORMES,Odontophoridae,Crested Bobwhite
310,Odontophorus gujanensis,"MA, SA",GALLIFORMES,Odontophoridae,Marbled Wood Quail
311,Odontophorus capueira,SA,GALLIFORMES,Odontophoridae,foltosszárnyú fogasfürj
312,Odontophorus melanotis,MA,GALLIFORMES,Odontophoridae,Black-eared Wood Quail
313,Odontophorus erythrops,SA,GALLIFORMES,Odontophoridae,Rufous-fronted Wood Quail
314,Odontophorus atrifrons,SA,GALLIFORMES,Odontophoridae,feketehomlokú fogasfürj
315,Odontophorus hyperythrus,SA,GALLIFORMES,Odontophoridae,Chestnut Wood Quail
316,Odontophorus melanonotus,SA,GALLIFORMES,Odontophoridae,Dark-backed Wood Quail
317,Odontophorus speciosus,SA,GALLIFORMES,Odontophoridae,Rufous-breasted Wood Quail
318,Odontophorus dialeucos,"MA, SA",GALLIFORMES,Odontophoridae,Tacarcuna Wood Quail
319,Odontophorus strophium,SA,GALLIFORMES,Odontophoridae,örvös fogasfürj
320,Odontophorus columbianus,SA,GALLIFORMES,Odontophoridae,Venezuelan Wood Quail
321,Odontophorus leucolaemus,MA,GALLIFORMES,Odontophoridae,Black-breasted Wood Quail
322,Odontophorus balliviani,SA,GALLIFORMES,Odontophoridae,csíkosarcú fogasfürj
323,Odontophorus stellatus,SA,GALLIFORMES,Odontophoridae,Starred Wood Quail
324,Odontophorus guttatus,MA,GALLIFORMES,Odontophoridae,Spotted Wood Quail
325,Dactylortyx thoracicus,MA,GALLIFORMES,Odontophoridae,Singing Quail
326,Cyrtonyx montezumae,"NA, MA",GALLIFORMES,Odontophoridae,pettyes fogasfürj
327,Cyrtonyx ocellatus,MA,GALLIFORMES,Odontophoridae,Ocellated Quail
328,Rhynchortyx cinctus,"MA, SA",GALLIFORMES,Odontophoridae,Tawny-faced Quail
329,Xenoperdix udzungwensis,AF,GALLIFORMES,Phasianidae,udzungwai erdeifogoly
