,IOC,Breeding Range,Order,Family,Swedish
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,stripgås
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,kejsargås
78,Anser anser,PAL,ANSERIFORMES,Anatidae,grågås
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,svangås
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,tajgasädgås
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,spetsbergsgås
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,tundrasädgås
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,bläsgås
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,fjällgås
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,coscorobasvan
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,svart svan
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,svarthalsad svan
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,knölsvan
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,mindre sångsvan
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,sångsvan
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,vattrad and
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,blåand
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,långvingad ångbåtsand
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,magellanångbåtsand
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,falklandsångbåtsand
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,vithuvad ångbåtsand
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,forsand
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,sporrgås
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,kamand
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,knöland
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,blåvingad gås
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,nilgås
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,orinocogås
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,andinsk gås
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,magellangås
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,kelpgås
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,gråhuvad gås
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,rosthuvad gås
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,vithuvad gravand
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,gravand
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,rostand
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,gråhuvad rostand
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,australisk gravand
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,paradisgravand
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,zebraand
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,papuaand
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,myskand
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,vitvingad and
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,skogsand
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandarinand
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,manand
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,afrikansk dvärgand
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,bomullsdvärgand
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,grön dvärgand
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,brasilienand
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,beigekindad and
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,tofsand
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,bronsvingad and
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,gulkindad kricka
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,årta
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,sumpand
132,Spatula puna,SA,ANSERIFORMES,Anatidae,punaand
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,silverand
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,sydamerikansk skedand
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,kanelårta
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,kapskedand
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,australisk skedand
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,skedand
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,snatterand
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,praktand
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,bläsand
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,chilebläsand
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,flodand
144,Anas undulata,AF,ANSERIFORMES,Anatidae,gulnäbbad and
145,Anas melleri,AF,ANSERIFORMES,Anatidae,madagaskarand
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,stripand
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,laysanand
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,hawaiiand
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,filippinand
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,fläcknäbbsand
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,kinesisk and
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,gräsand
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,mexikansk and
154,Anas capensis,AF,ANSERIFORMES,Anatidae,kapand
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,bahamaand
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,rödnäbbad and
157,Anas georgica,SA,ANSERIFORMES,Anatidae,gulnäbbad stjärtand
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,kerguelenand
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,stjärtand
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,kricka
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,gulnäbbad kricka
162,Anas andium,SA,ANSERIFORMES,Anatidae,andinsk kricka
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,sundakricka
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,andamankricka
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,gråkricka
166,Anas castanea,AU,ANSERIFORMES,Anatidae,kastanjekricka
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,madagaskarkricka
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,brunkricka
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,aucklandkricka
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,campbellkricka
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,marmorand
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,rödhuvad dykand
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,pampasand
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,sammetsand
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,brunand
176,Aythya australis,AU,ANSERIFORMES,Anatidae,australisk dykand
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,madagaskardykand
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,amurdykand
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,vitögd dykand
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,nyazeelanddykand
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,vigg
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,bergand
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,alförrädare
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,glasögonejder
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,praktejder
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,ejder
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,strömand
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,svärta
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,sibirisk knölsvärta
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,sjöorre
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,amerikansk sjöorre
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,alfågel
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,knipa
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,islandsknipa
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,salskrake
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,cerradoskrake
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,storskrake
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,småskrake
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,amurskrake
