,IOC,Breeding Range,Order,Family,Swedish
1996,Gallinago imperialis,SA,CHARADRIIFORMES,Scolopacidae,kejsarbeckasin
1997,Xenus cinereus,PAL,CHARADRIIFORMES,Scolopacidae,tereksnäppa
1998,Phalaropus lobatus,"NA, PAL",CHARADRIIFORMES,Scolopacidae,smalnäbbad simsnäppa
1999,Phalaropus fulicarius,"NA, PAL",CHARADRIIFORMES,Scolopacidae,brednäbbad simsnäppa
2000,Actitis hypoleucos,PAL,CHARADRIIFORMES,Scolopacidae,drillsnäppa
2001,Tringa ochropus,PAL,CHARADRIIFORMES,Scolopacidae,skogssnäppa
2002,Tringa incana,"PAL, NA",CHARADRIIFORMES,Scolopacidae,amerikansk gråsnäppa
2003,Tringa brevipes,PAL,CHARADRIIFORMES,Scolopacidae,sibirisk gråsnäppa
2004,Tringa totanus,PAL,CHARADRIIFORMES,Scolopacidae,rödbena
2005,Tringa stagnatilis,PAL,CHARADRIIFORMES,Scolopacidae,dammsnäppa
2006,Tringa glareola,PAL,CHARADRIIFORMES,Scolopacidae,grönbena
2007,Tringa erythropus,PAL,CHARADRIIFORMES,Scolopacidae,svartsnäppa
2008,Tringa nebularia,PAL,CHARADRIIFORMES,Scolopacidae,gluttsnäppa
2009,Tringa guttifer,PAL,CHARADRIIFORMES,Scolopacidae,fläckgluttsnäppa
2010,Dromas ardeola,"AF, IO",CHARADRIIFORMES,Dromadidae,hägerpipare
2011,Cursorius cursor,"PAL, AF",CHARADRIIFORMES,Glareolidae,ökenlöpare
2012,Cursorius somalensis,AF,CHARADRIIFORMES,Glareolidae,somaliaökenlöpare
2013,Cursorius rufus,AF,CHARADRIIFORMES,Glareolidae,kapökenlöpare
2014,Cursorius temminckii,AF,CHARADRIIFORMES,Glareolidae,savannökenlöpare
2015,Cursorius coromandelicus,OR,CHARADRIIFORMES,Glareolidae,indisk ökenlöpare
2016,Rhinoptilus africanus,AF,CHARADRIIFORMES,Glareolidae,tvåbandad ökenlöpare
2017,Rhinoptilus cinctus,AF,CHARADRIIFORMES,Glareolidae,trebandad ökenlöpare
2018,Rhinoptilus chalcopterus,AF,CHARADRIIFORMES,Glareolidae,större ökenlöpare
2019,Rhinoptilus bitorquatus,OR,CHARADRIIFORMES,Glareolidae,jerdonökenlöpare
2020,Stiltia isabella,AU,CHARADRIIFORMES,Glareolidae,australisk vadarsvala
2021,Glareola pratincola,"AF, PAL",CHARADRIIFORMES,Glareolidae,rödvingad vadarsvala
2022,Glareola maldivarum,"PAL, OR",CHARADRIIFORMES,Glareolidae,orientvadarsvala
2023,Glareola nordmanni,PAL,CHARADRIIFORMES,Glareolidae,svartvingad vadarsvala
2024,Glareola ocularis,AF,CHARADRIIFORMES,Glareolidae,madagaskarvadarsvala
2025,Glareola nuchalis,AF,CHARADRIIFORMES,Glareolidae,klippvadarsvala
2026,Glareola cinerea,AF,CHARADRIIFORMES,Glareolidae,grå vadarsvala
2027,Glareola lactea,OR,CHARADRIIFORMES,Glareolidae,mindre vadarsvala
2028,Anous stolidus,TrO,CHARADRIIFORMES,Laridae,brun noddy
2029,Anous tenuirostris,IO,CHARADRIIFORMES,Laridae,mindre noddy
2030,Anous minutus,"PO, AO",CHARADRIIFORMES,Laridae,svart noddy
2031,Anous ceruleus,PO,CHARADRIIFORMES,Laridae,grå noddy
2032,Anous albivitta,PO,CHARADRIIFORMES,Laridae,blek noddy
2033,Gygis alba,TrO,CHARADRIIFORMES,Laridae,fetärna
2034,Rynchops niger,"NA, MA, SA",CHARADRIIFORMES,Laridae,amerikansk saxnäbb
2035,Rynchops flavirostris,AF,CHARADRIIFORMES,Laridae,afrikansk saxnäbb
2036,Rynchops albicollis,OR,CHARADRIIFORMES,Laridae,indisk saxnäbb
2037,Creagrus furcatus,SA,CHARADRIIFORMES,Laridae,svalstjärtad mås
2038,Rissa tridactyla,"PAL, NA",CHARADRIIFORMES,Laridae,tretåig mås
2039,Pagophila eburnea,"PAL, NA",CHARADRIIFORMES,Laridae,ismås
2040,Xema sabini,"PAL, NA",CHARADRIIFORMES,Laridae,tärnmås
2041,Chroicocephalus genei,"PAL, AF",CHARADRIIFORMES,Laridae,långnäbbad mås
2042,Chroicocephalus novaehollandiae,AU,CHARADRIIFORMES,Laridae,silvermås
2043,Chroicocephalus bulleri,AU,CHARADRIIFORMES,Laridae,svartnäbbad mås
2044,Chroicocephalus serranus,SA,CHARADRIIFORMES,Laridae,andinsk mås
2045,Chroicocephalus brunnicephalus,PAL,CHARADRIIFORMES,Laridae,brunhuvad mås
2046,Chroicocephalus maculipennis,SA,CHARADRIIFORMES,Laridae,patagonienmås
2047,Chroicocephalus ridibundus,PAL,CHARADRIIFORMES,Laridae,skrattmås
2048,Chroicocephalus cirrocephalus,"SA, AF",CHARADRIIFORMES,Laridae,gråhuvad mås
2049,Chroicocephalus hartlaubii,AF,CHARADRIIFORMES,Laridae,kapmås
2050,Chroicocephalus saundersi,PAL,CHARADRIIFORMES,Laridae,mingmås
2051,Hydrocoloeus minutus,PAL,CHARADRIIFORMES,Laridae,dvärgmås
2052,Rhodostethia rosea,"PAL, NA",CHARADRIIFORMES,Laridae,rosenmås
2053,Leucophaeus scoresbii,SA,CHARADRIIFORMES,Laridae,delfinmås
2054,Leucophaeus fuliginosus,SA,CHARADRIIFORMES,Laridae,lavatrut
2055,Leucophaeus atricilla,"NA, MA, SA",CHARADRIIFORMES,Laridae,sotvingad mås
2056,Leucophaeus modestus,SA,CHARADRIIFORMES,Laridae,ökenmås
2057,Ichthyaetus relictus,PAL,CHARADRIIFORMES,Laridae,reliktmås
2058,Ichthyaetus audouinii,PAL,CHARADRIIFORMES,Laridae,rödnäbbad trut
2059,Ichthyaetus melanocephalus,PAL,CHARADRIIFORMES,Laridae,svarthuvad mås
2060,Ichthyaetus ichthyaetus,PAL,CHARADRIIFORMES,Laridae,svarthuvad trut
2061,Ichthyaetus leucophthalmus,AF,CHARADRIIFORMES,Laridae,vitögd mås
2062,Ichthyaetus hemprichii,"AF, PAL",CHARADRIIFORMES,Laridae,sotmås
2063,Larus pacificus,AU,CHARADRIIFORMES,Laridae,grovnäbbad trut
2064,Larus belcheri,SA,CHARADRIIFORMES,Laridae,perutrut
2065,Larus atlanticus,SA,CHARADRIIFORMES,Laridae,argentinatrut
2066,Larus crassirostris,PAL,CHARADRIIFORMES,Laridae,svartstjärtad mås
2067,Larus heermanni,"NA, MA",CHARADRIIFORMES,Laridae,vithuvad mås
2068,Larus canus,"NA, PAL",CHARADRIIFORMES,Laridae,fiskmås
2069,Larus marinus,"NA, PAL",CHARADRIIFORMES,Laridae,havstrut
2070,Larus dominicanus,"SA, AU, AF",CHARADRIIFORMES,Laridae,kelptrut
2071,Larus glaucescens,"PAL, NA",CHARADRIIFORMES,Laridae,gråvingad trut
2072,Larus occidentalis,"NA, MA",CHARADRIIFORMES,Laridae,västtrut
2073,Larus livens,"NA, MA",CHARADRIIFORMES,Laridae,mexikansk trut
2074,Larus hyperboreus,"PAL, NA",CHARADRIIFORMES,Laridae,vittrut
2075,Larus glaucoides,"NA, PAL",CHARADRIIFORMES,Laridae,vitvingad trut
2076,Larus argentatus,PAL,CHARADRIIFORMES,Laridae,gråtrut
2077,Larus vegae,PAL,CHARADRIIFORMES,Laridae,vegatrut
2078,Larus cachinnans,PAL,CHARADRIIFORMES,Laridae,kaspisk trut
2079,Larus michahellis,PAL,CHARADRIIFORMES,Laridae,medelhavstrut
2080,Larus armenicus,PAL,CHARADRIIFORMES,Laridae,armenisk trut
2081,Larus schistisagus,PAL,CHARADRIIFORMES,Laridae,skiffertrut
2082,Larus fuscus,PAL,CHARADRIIFORMES,Laridae,silltrut
2083,Gelochelidon nilotica,"PAL, AF, OR, NA, MA, SA",CHARADRIIFORMES,Laridae,sandtärna
2084,Gelochelidon macrotarsa,AU,CHARADRIIFORMES,Laridae,australisk sandtärna
2085,Hydroprogne caspia,"PAL, OR, AU, NA",CHARADRIIFORMES,Laridae,skräntärna
2086,Thalasseus maximus,"NA, MA, SA",CHARADRIIFORMES,Laridae,kungstärna
2087,Thalasseus bergii,"AU, OR, AF",CHARADRIIFORMES,Laridae,tofstärna
2088,Thalasseus bengalensis,"AF, OR, AU",CHARADRIIFORMES,Laridae,iltärna
2089,Thalasseus albididorsalis,AF,CHARADRIIFORMES,Laridae,guineatärna
2090,Thalasseus bernsteini,PAL,CHARADRIIFORMES,Laridae,mingtärna
2091,Thalasseus sandvicensis,"PAL, AF",CHARADRIIFORMES,Laridae,kentsk tärna
2092,Thalasseus acuflavidus,"NA, MA, SA",CHARADRIIFORMES,Laridae,Cabots tärna
2093,Thalasseus elegans,"NA, MA",CHARADRIIFORMES,Laridae,aztektärna
2094,Sternula albifrons,"AF, PAL, OR, AU",CHARADRIIFORMES,Laridae,småtärna
2095,Sternula saundersi,"AF, PAL",CHARADRIIFORMES,Laridae,Saunders småtärna
2096,Sternula antillarum,"NA, MA",CHARADRIIFORMES,Laridae,amerikansk småtärna
2097,Sternula superciliaris,SA,CHARADRIIFORMES,Laridae,amazontärna
2098,Sternula lorata,SA,CHARADRIIFORMES,Laridae,perutärna
2099,Sternula nereis,AU,CHARADRIIFORMES,Laridae,australisk småtärna
2100,Sternula balaenarum,AF,CHARADRIIFORMES,Laridae,damaratärna
2101,Onychoprion aleuticus,"PAL, NA",CHARADRIIFORMES,Laridae,beringtärna
2102,Onychoprion lunatus,PO,CHARADRIIFORMES,Laridae,söderhavstärna
2103,Onychoprion anaethetus,TrO,CHARADRIIFORMES,Laridae,tygeltärna
2104,Onychoprion fuscatus,TrO,CHARADRIIFORMES,Laridae,sottärna
2105,Sterna aurantia,OR,CHARADRIIFORMES,Laridae,indisk flodtärna
2106,Sterna dougallii,Worldwide,CHARADRIIFORMES,Laridae,rosentärna
2107,Sterna striata,AU,CHARADRIIFORMES,Laridae,vitpannad tärna
2108,Sterna sumatrana,"AF, OR, AU",CHARADRIIFORMES,Laridae,svartnackad tärna
2109,Sterna hirundinacea,SA,CHARADRIIFORMES,Laridae,sydamerikansk tärna
2110,Sterna hirundo,"PAL, NA",CHARADRIIFORMES,Laridae,fisktärna
2111,Sterna repressa,"AF, PAL",CHARADRIIFORMES,Laridae,vitkindad tärna
2112,Sterna paradisaea,"PAL, NA",CHARADRIIFORMES,Laridae,silvertärna
2113,Sterna vittata,SO,CHARADRIIFORMES,Laridae,antarktistärna
2114,Sterna virgata,IO,CHARADRIIFORMES,Laridae,kerguelentärna
2115,Sterna forsteri,"NA, MA",CHARADRIIFORMES,Laridae,kärrtärna
2116,Sterna trudeaui,SA,CHARADRIIFORMES,Laridae,vitkronad tärna
2117,Sterna acuticauda,OR,CHARADRIIFORMES,Laridae,svartbukig tärna
2118,Chlidonias albostriatus,AU,CHARADRIIFORMES,Laridae,maoritärna
2119,Chlidonias hybrida,"AF, PAL, OR, AU",CHARADRIIFORMES,Laridae,skäggtärna
2120,Chlidonias leucopterus,PAL,CHARADRIIFORMES,Laridae,vitvingad tärna
2121,Chlidonias niger,"NA, PAL",CHARADRIIFORMES,Laridae,svarttärna
2122,Phaetusa simplex,SA,CHARADRIIFORMES,Laridae,tjocknäbbad tärna
2123,Larosterna inca,SA,CHARADRIIFORMES,Laridae,inkatärna
2124,Stercorarius chilensis,SA,CHARADRIIFORMES,Stercorariidae,chilelabb
2125,Stercorarius maccormicki,AN,CHARADRIIFORMES,Stercorariidae,sydpolslabb
2126,Stercorarius antarcticus,"SO, AN",CHARADRIIFORMES,Stercorariidae,antarktislabb
2127,Stercorarius skua,PAL,CHARADRIIFORMES,Stercorariidae,storlabb
2128,Stercorarius pomarinus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,bredstjärtad labb
2129,Stercorarius parasiticus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,kustlabb
2130,Stercorarius longicaudus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,fjällabb
2131,Alle alle,"NA, PAL",CHARADRIIFORMES,Alcidae,alkekung
2132,Uria lomvia,"NA, PAL",CHARADRIIFORMES,Alcidae,spetsbergsgrissla
2133,Uria aalge,"NA, PAL",CHARADRIIFORMES,Alcidae,sillgrissla
2134,Alca torda,"NA, PAL",CHARADRIIFORMES,Alcidae,tordmule
2135,Cepphus grylle,"NA, PAL",CHARADRIIFORMES,Alcidae,tobisgrissla
2136,Cepphus columba,"PAL, NA",CHARADRIIFORMES,Alcidae,beringtejst
2137,Cepphus carbo,PAL,CHARADRIIFORMES,Alcidae,glasögontejst
2138,Brachyramphus perdix,PAL,CHARADRIIFORMES,Alcidae,långnäbbad marmoralka
2139,Brachyramphus brevirostris,"PAL, NA",CHARADRIIFORMES,Alcidae,brunalka
2140,Synthliboramphus hypoleucus,MA,CHARADRIIFORMES,Alcidae,guadalupealka
2141,Synthliboramphus scrippsi,"NA, MA",CHARADRIIFORMES,Alcidae,Scripps californiaalka
2142,Synthliboramphus craveri,"NA, MA",CHARADRIIFORMES,Alcidae,sotvingad californiaalka
2143,Synthliboramphus antiquus,"PAL, NA",CHARADRIIFORMES,Alcidae,kragalka
2144,Synthliboramphus wumizusume,PAL,CHARADRIIFORMES,Alcidae,japansk alka
2145,Ptychoramphus aleuticus,"NA, MA",CHARADRIIFORMES,Alcidae,sotalka
2146,Aethia psittacula,"PAL, NA",CHARADRIIFORMES,Alcidae,papegojalka
2147,Aethia pusilla,"PAL, NA",CHARADRIIFORMES,Alcidae,dvärgalka
2148,Aethia pygmaea,"PAL, NA",CHARADRIIFORMES,Alcidae,plymalka
2149,Aethia cristatella,"PAL, NA",CHARADRIIFORMES,Alcidae,tofsalka
2150,Cerorhinca monocerata,"PAL, NA",CHARADRIIFORMES,Alcidae,hornalka
2151,Fratercula arctica,"PAL, NA",CHARADRIIFORMES,Alcidae,lunnefågel
2152,Fratercula corniculata,"PAL, NA",CHARADRIIFORMES,Alcidae,hornlunne
2153,Fratercula cirrhata,"PAL, NA",CHARADRIIFORMES,Alcidae,tofslunne
2154,Rhynochetos jubatus,AU,EURYPYGIFORMES,Rhynochetidae,kagu
2155,Eurypyga helias,"MA, SA",EURYPYGIFORMES,Eurypygidae,solrall
2156,Phaethon aethereus,TrO,PHAETHONTIFORMES,Phaethontidae,rödnäbbad tropikfågel
2157,Phaethon rubricauda,TrO,PHAETHONTIFORMES,Phaethontidae,rödstjärtad tropikfågel
2158,Phaethon lepturus,TrO,PHAETHONTIFORMES,Phaethontidae,vitstjärtad tropikfågel
2159,Gavia stellata,"NA, PAL",GAVIIFORMES,Gaviidae,smålom
2160,Gavia arctica,"PAL, NA",GAVIIFORMES,Gaviidae,storlom
2161,Gavia pacifica,"NA, PAL",GAVIIFORMES,Gaviidae,stillahavslom
2162,Gavia immer,"NA, PAL",GAVIIFORMES,Gaviidae,svartnäbbad islom
2163,Gavia adamsii,"NA, PAL",GAVIIFORMES,Gaviidae,vitnäbbad islom
2164,Aptenodytes patagonicus,SO,SPHENISCIFORMES,Spheniscidae,kungspingvin
2165,Aptenodytes forsteri,AN,SPHENISCIFORMES,Spheniscidae,kejsarpingvin
2166,Pygoscelis adeliae,"SO, AN",SPHENISCIFORMES,Spheniscidae,adéliepingvin
2167,Pygoscelis antarcticus,"SO, AN",SPHENISCIFORMES,Spheniscidae,hakremspingvin
2168,Pygoscelis papua,SO,SPHENISCIFORMES,Spheniscidae,åsnepingvin
2169,Eudyptula minor,AU,SPHENISCIFORMES,Spheniscidae,dvärgpingvin
2170,Spheniscus mendiculus,SA,SPHENISCIFORMES,Spheniscidae,galápagospingvin
2171,Spheniscus humboldti,SA,SPHENISCIFORMES,Spheniscidae,humboldtpingvin
2172,Spheniscus magellanicus,SA,SPHENISCIFORMES,Spheniscidae,magellanpingvin
2173,Spheniscus demersus,AF,SPHENISCIFORMES,Spheniscidae,sydafrikansk pingvin
2174,Megadyptes antipodes,AU,SPHENISCIFORMES,Spheniscidae,gulögd pingvin
2175,Eudyptes chrysolophus,SO,SPHENISCIFORMES,Spheniscidae,macaronipingvin
2176,Eudyptes schlegeli,AU,SPHENISCIFORMES,Spheniscidae,vitkindad pingvin
2177,Eudyptes moseleyi,"AO, IO",SPHENISCIFORMES,Spheniscidae,atlantpingvin
2178,Eudyptes chrysocome,"AO, SA",SPHENISCIFORMES,Spheniscidae,klipphopparpingvin
2179,Eudyptes pachyrhynchus,AU,SPHENISCIFORMES,Spheniscidae,fjordpingvin
2180,Eudyptes robustus,AU,SPHENISCIFORMES,Spheniscidae,snarespingvin
2181,Eudyptes sclateri,AU,SPHENISCIFORMES,Spheniscidae,tofspingvin
2182,Oceanites oceanicus,SO,PROCELLARIIFORMES,Oceanitidae,havslöpare
2183,Oceanites gracilis,PO,PROCELLARIIFORMES,Oceanitidae,elliotstormsvala
2184,Oceanites pincoyae,PO,PROCELLARIIFORMES,Oceanitidae,pincoyastormsvala
2185,Garrodia nereis,SO,PROCELLARIIFORMES,Oceanitidae,gråryggig stormsvala
2186,Pelagodroma marina,"AO, IO, PO",PROCELLARIIFORMES,Oceanitidae,fregattstormsvala
2187,Fregetta grallaria,SO,PROCELLARIIFORMES,Oceanitidae,vitbukig stormsvala
2188,Fregetta tropica,SO,PROCELLARIIFORMES,Oceanitidae,svartbukig stormsvala
2189,Fregetta lineata,PO,PROCELLARIIFORMES,Oceanitidae,nyakaledonienstormsvala
2190,Fregetta maoriana,PO,PROCELLARIIFORMES,Oceanitidae,maoristormsvala
2191,Nesofregetta fuliginosa,PO,PROCELLARIIFORMES,Oceanitidae,polynesisk stormsvala
2192,Phoebastria immutabilis,PO,PROCELLARIIFORMES,Diomedeidae,laysanalbatross
2193,Phoebastria nigripes,PO,PROCELLARIIFORMES,Diomedeidae,svartfotad albatross
2194,Phoebastria irrorata,PO,PROCELLARIIFORMES,Diomedeidae,galápagosalbatross
2195,Phoebastria albatrus,PO,PROCELLARIIFORMES,Diomedeidae,gulnackad albatross
2196,Diomedea exulans,SO,PROCELLARIIFORMES,Diomedeidae,vandringsalbatross
2197,Diomedea antipodensis,PO,PROCELLARIIFORMES,Diomedeidae,antipodalbatross
2198,Diomedea amsterdamensis,IO,PROCELLARIIFORMES,Diomedeidae,amsterdamalbatross
2199,Diomedea dabbenena,AO,PROCELLARIIFORMES,Diomedeidae,tristanalbatross
2200,Diomedea epomophora,PO,PROCELLARIIFORMES,Diomedeidae,sydlig kungsalbatross
2201,Diomedea sanfordi,PO,PROCELLARIIFORMES,Diomedeidae,nordlig kungsalbatross
2202,Phoebetria fusca,"IO, AO",PROCELLARIIFORMES,Diomedeidae,sotalbatross
2203,Phoebetria palpebrata,SO,PROCELLARIIFORMES,Diomedeidae,ljusryggig albatross
2204,Thalassarche melanophris,SO,PROCELLARIIFORMES,Diomedeidae,svartbrynad albatross
2205,Thalassarche impavida,PO,PROCELLARIIFORMES,Diomedeidae,campbellalbatross
2206,Thalassarche cauta,SO,PROCELLARIIFORMES,Diomedeidae,gråkindad albatross
2207,Thalassarche eremita,PO,PROCELLARIIFORMES,Diomedeidae,chathamalbatross
2208,Thalassarche salvini,"IO, PO",PROCELLARIIFORMES,Diomedeidae,salvinalbatross
2209,Thalassarche chrysostoma,SO,PROCELLARIIFORMES,Diomedeidae,gråhuvad albatross
2210,Thalassarche chlororhynchos,AO,PROCELLARIIFORMES,Diomedeidae,mindre albatross
2211,Thalassarche carteri,IO,PROCELLARIIFORMES,Diomedeidae,gulnäbbad albatross
2212,Thalassarche bulleri,PO,PROCELLARIIFORMES,Diomedeidae,vitpannad albatross
2213,Hydrobates pelagicus,AO,PROCELLARIIFORMES,Hydrobatidae,stormsvala
2214,Hydrobates furcatus,PO,PROCELLARIIFORMES,Hydrobatidae,grå stormsvala
2215,Hydrobates hornbyi,PO,PROCELLARIIFORMES,Hydrobatidae,halsbandsstormsvala
2216,Hydrobates monorhis,"IO, PO",PROCELLARIIFORMES,Hydrobatidae,Swinhoes stormsvala
2217,Hydrobates matsudairae,"IO, PO",PROCELLARIIFORMES,Hydrobatidae,matsudairastormsvala
2218,Hydrobates leucorhous,"PO, AO",PROCELLARIIFORMES,Hydrobatidae,klykstjärtad stormsvala
2219,Hydrobates socorroensis,PO,PROCELLARIIFORMES,Hydrobatidae,townsendstormsvala
2220,Hydrobates cheimomnestes,PO,PROCELLARIIFORMES,Hydrobatidae,ainleystormsvala
2221,Hydrobates homochroa,PO,PROCELLARIIFORMES,Hydrobatidae,kalifornienstormsvala
2222,Hydrobates castro,"PO, AO",PROCELLARIIFORMES,Hydrobatidae,oceanlöpare
2223,Hydrobates monteiroi,AO,PROCELLARIIFORMES,Hydrobatidae,azorstormsvala
2224,Hydrobates jabejabe,AO,PROCELLARIIFORMES,Hydrobatidae,kapverdestormsvala
2225,Hydrobates tethys,PO,PROCELLARIIFORMES,Hydrobatidae,vitgumpad stormsvala
2226,Hydrobates melania,PO,PROCELLARIIFORMES,Hydrobatidae,svart stormsvala
2227,Hydrobates markhami,PO,PROCELLARIIFORMES,Hydrobatidae,sotstormsvala
2228,Hydrobates tristrami,PO,PROCELLARIIFORMES,Hydrobatidae,tristramstormsvala
2229,Hydrobates microsoma,PO,PROCELLARIIFORMES,Hydrobatidae,dvärgstormsvala
2230,Macronectes giganteus,"SO, AN",PROCELLARIIFORMES,Procellariidae,sydlig jättestormfågel
2231,Macronectes halli,SO,PROCELLARIIFORMES,Procellariidae,nordlig jättestormfågel
2232,Fulmarus glacialis,"NA, PAL",PROCELLARIIFORMES,Procellariidae,stormfågel
2233,Fulmarus glacialoides,"SO, AN",PROCELLARIIFORMES,Procellariidae,sydstormfågel
2234,Thalassoica antarctica,"SO, AN",PROCELLARIIFORMES,Procellariidae,antarktispetrell
2235,Daption capense,"SO, AN",PROCELLARIIFORMES,Procellariidae,brokpetrell
2236,Pagodroma nivea,"SO, AN",PROCELLARIIFORMES,Procellariidae,ispetrell
2237,Halobaena caerulea,SO,PROCELLARIIFORMES,Procellariidae,blåpetrell
2238,Pachyptila vittata,SO,PROCELLARIIFORMES,Procellariidae,brednäbbad valfågel
2239,Pachyptila salvini,IO,PROCELLARIIFORMES,Procellariidae,crozetvalfågel
2240,Pachyptila macgillivrayi,"AO, IO",PROCELLARIIFORMES,Procellariidae,amsterdamvalfågel
2241,Pachyptila desolata,"SO, AN",PROCELLARIIFORMES,Procellariidae,antarktisvalfågel
2242,Pachyptila belcheri,SO,PROCELLARIIFORMES,Procellariidae,smalnäbbad valfågel
2243,Pachyptila turtur,SO,PROCELLARIIFORMES,Procellariidae,ljushuvad valfågel
2244,Pachyptila crassirostris,SO,PROCELLARIIFORMES,Procellariidae,tjocknäbbad valfågel
2245,Aphrodroma brevirostris,SO,PROCELLARIIFORMES,Procellariidae,kerguelenpetrell
2246,Pterodroma macroptera,SO,PROCELLARIIFORMES,Procellariidae,långvingad petrell
2247,Pterodroma lessonii,SO,PROCELLARIIFORMES,Procellariidae,vithuvad petrell
2248,Pterodroma gouldi,SO,PROCELLARIIFORMES,Procellariidae,nordöpetrell
2249,Pterodroma incerta,AO,PROCELLARIIFORMES,Procellariidae,vitbukig petrell
2250,Pterodroma solandri,PO,PROCELLARIIFORMES,Procellariidae,solanderpetrell
2251,Pterodroma magentae,PO,PROCELLARIIFORMES,Procellariidae,magentapetrell
2252,Pterodroma ultima,PO,PROCELLARIIFORMES,Procellariidae,pitcairnpetrell
2253,Pterodroma mollis,SO,PROCELLARIIFORMES,Procellariidae,sammetspetrell
2254,Pterodroma madeira,AO,PROCELLARIIFORMES,Procellariidae,madeirapetrell
2255,Pterodroma feae,AO,PROCELLARIIFORMES,Procellariidae,kapverdepetrell
2256,Pterodroma deserta,AO,PROCELLARIIFORMES,Procellariidae,desertaspetrell
2257,Pterodroma cahow,AO,PROCELLARIIFORMES,Procellariidae,bermudapetrell
2258,Pterodroma hasitata,AO,PROCELLARIIFORMES,Procellariidae,karibpetrell
2259,Pterodroma externa,PO,PROCELLARIIFORMES,Procellariidae,juanfernándezpetrell
2260,Pterodroma occulta,PO,PROCELLARIIFORMES,Procellariidae,vanuatupetrell
2261,Pterodroma neglecta,PO,PROCELLARIIFORMES,Procellariidae,kermadecpetrell
2262,Pterodroma heraldica,"IO, PO",PROCELLARIIFORMES,Procellariidae,heraldpetrell
2263,Pterodroma arminjoniana,"AO, IO",PROCELLARIIFORMES,Procellariidae,trindadepetrell
2264,Pterodroma atrata,PO,PROCELLARIIFORMES,Procellariidae,hendersonpetrell
2265,Pterodroma alba,PO,PROCELLARIIFORMES,Procellariidae,phoenixpetrell
2266,Pterodroma baraui,IO,PROCELLARIIFORMES,Procellariidae,baraupetrell
2267,Pterodroma sandwichensis,PO,PROCELLARIIFORMES,Procellariidae,hawaiipetrell
2268,Pterodroma phaeopygia,PO,PROCELLARIIFORMES,Procellariidae,galápagospetrell
2269,Pterodroma inexpectata,"PO, IO",PROCELLARIIFORMES,Procellariidae,gråbukig petrell
2270,Pterodroma cervicalis,PO,PROCELLARIIFORMES,Procellariidae,vithalsad petrell
2271,Pterodroma nigripennis,PO,PROCELLARIIFORMES,Procellariidae,kragpetrell
2272,Pterodroma axillaris,PO,PROCELLARIIFORMES,Procellariidae,chathampetrell
2273,Pterodroma hypoleuca,PO,PROCELLARIIFORMES,Procellariidae,boninpetrell
2274,Pterodroma leucoptera,PO,PROCELLARIIFORMES,Procellariidae,vitvingad petrell
2275,Pterodroma brevipes,PO,PROCELLARIIFORMES,Procellariidae,halsbandspetrell
2276,Pterodroma cookii,PO,PROCELLARIIFORMES,Procellariidae,cookpetrell
2277,Pterodroma defilippiana,PO,PROCELLARIIFORMES,Procellariidae,robinsoncrusoepetrell
2278,Pterodroma longirostris,PO,PROCELLARIIFORMES,Procellariidae,stejnegerpetrell
2279,Pterodroma pycrofti,PO,PROCELLARIIFORMES,Procellariidae,pycroftpetrell
2280,Pseudobulweria aterrima,IO,PROCELLARIIFORMES,Procellariidae,réunionpetrell
2281,Pseudobulweria rostrata,PO,PROCELLARIIFORMES,Procellariidae,tahitipetrell
2282,Pseudobulweria becki,PO,PROCELLARIIFORMES,Procellariidae,beckpetrell
2283,Pseudobulweria macgillivrayi,PO,PROCELLARIIFORMES,Procellariidae,fijipetrell
2284,Procellaria cinerea,SO,PROCELLARIIFORMES,Procellariidae,gråpetrell
2285,Procellaria aequinoctialis,SO,PROCELLARIIFORMES,Procellariidae,vithakad petrell
2286,Procellaria conspicillata,SO,PROCELLARIIFORMES,Procellariidae,glasögonpetrell
2287,Procellaria parkinsoni,PO,PROCELLARIIFORMES,Procellariidae,mindre sotpetrell
2288,Procellaria westlandica,PO,PROCELLARIIFORMES,Procellariidae,större sotpetrell
2289,Calonectris leucomelas,PO,PROCELLARIIFORMES,Procellariidae,vithuvad lira
2290,Calonectris diomedea,AO,PROCELLARIIFORMES,Procellariidae,scopolilira
2291,Calonectris borealis,AO,PROCELLARIIFORMES,Procellariidae,gulnäbbad lira
2292,Calonectris edwardsii,AO,PROCELLARIIFORMES,Procellariidae,kapverdelira
2293,Ardenna pacifica,"PO, IO",PROCELLARIIFORMES,Procellariidae,kilstjärtslira
2294,Ardenna bulleri,PO,PROCELLARIIFORMES,Procellariidae,gråryggig lira
2295,Ardenna grisea,Worldwide,PROCELLARIIFORMES,Procellariidae,grålira
2296,Ardenna tenuirostris,PO,PROCELLARIIFORMES,Procellariidae,kortstjärtad lira
2297,Ardenna creatopus,PO,PROCELLARIIFORMES,Procellariidae,rosanäbbad lira
2298,Ardenna carneipes,"PO, IO",PROCELLARIIFORMES,Procellariidae,ljusfotad lira
2299,Ardenna gravis,AO,PROCELLARIIFORMES,Procellariidae,större lira
2300,Puffinus nativitatis,PO,PROCELLARIIFORMES,Procellariidae,brunlira
2301,Puffinus puffinus,AO,PROCELLARIIFORMES,Procellariidae,mindre lira
