,IOC,Breeding Range,Order,Family,Chinese (Traditional)
2049,Chroicocephalus hartlaubii,AF,CHARADRIIFORMES,Laridae,王鷗
2050,Chroicocephalus saundersi,PAL,CHARADRIIFORMES,Laridae,黑嘴鷗
2051,Hydrocoloeus minutus,PAL,CHARADRIIFORMES,Laridae,小鷗
2052,Rhodostethia rosea,"PAL, NA",CHARADRIIFORMES,Laridae,楔尾鷗
2053,Leucophaeus scoresbii,SA,CHARADRIIFORMES,Laridae,豚鷗
2054,Leucophaeus fuliginosus,SA,CHARADRIIFORMES,Laridae,岩鷗
2055,Leucophaeus atricilla,"NA, MA, SA",CHARADRIIFORMES,Laridae,笑鷗
2056,Leucophaeus modestus,SA,CHARADRIIFORMES,Laridae,灰鷗
2057,Ichthyaetus relictus,PAL,CHARADRIIFORMES,Laridae,遺鷗
2058,Ichthyaetus audouinii,PAL,CHARADRIIFORMES,Laridae,地中海鷗
2059,Ichthyaetus melanocephalus,PAL,CHARADRIIFORMES,Laridae,黑頭鷗
2060,Ichthyaetus ichthyaetus,PAL,CHARADRIIFORMES,Laridae,漁鷗
2061,Ichthyaetus leucophthalmus,AF,CHARADRIIFORMES,Laridae,白眼鷗
2062,Ichthyaetus hemprichii,"AF, PAL",CHARADRIIFORMES,Laridae,煙黑鷗
2063,Larus pacificus,AU,CHARADRIIFORMES,Laridae,太平洋鷗
2064,Larus belcheri,SA,CHARADRIIFORMES,Laridae,斑尾鷗
2065,Larus atlanticus,SA,CHARADRIIFORMES,Laridae,歐拉哥氏鷗
2066,Larus crassirostris,PAL,CHARADRIIFORMES,Laridae,黑尾鷗
2067,Larus heermanni,"NA, MA",CHARADRIIFORMES,Laridae,希曼氏鷗
2068,Larus canus,"NA, PAL",CHARADRIIFORMES,Laridae,海鷗
2069,Larus marinus,"NA, PAL",CHARADRIIFORMES,Laridae,大黑背鷗
2070,Larus dominicanus,"SA, AU, AF",CHARADRIIFORMES,Laridae,黑背鷗
2071,Larus glaucescens,"PAL, NA",CHARADRIIFORMES,Laridae,灰翅鷗
2072,Larus occidentalis,"NA, MA",CHARADRIIFORMES,Laridae,西方鷗
2073,Larus livens,"NA, MA",CHARADRIIFORMES,Laridae,黃腳鷗
2074,Larus hyperboreus,"PAL, NA",CHARADRIIFORMES,Laridae,北極鷗
2075,Larus glaucoides,"NA, PAL",CHARADRIIFORMES,Laridae,冰洲鷗
2076,Larus argentatus,PAL,CHARADRIIFORMES,Laridae,銀鷗〔黑脊鷗〕
2077,Larus vegae,PAL,CHARADRIIFORMES,Laridae,織女銀鷗〔西伯利亞銀鷗〕
2078,Larus cachinnans,PAL,CHARADRIIFORMES,Laridae,裡海銀鷗〔黃腳銀鷗，蒙古銀鷗〕
2079,Larus michahellis,PAL,CHARADRIIFORMES,Laridae,黃腿鷗
2080,Larus armenicus,PAL,CHARADRIIFORMES,Laridae,阿曼鷗
2081,Larus schistisagus,PAL,CHARADRIIFORMES,Laridae,大黑脊鷗〔灰背鷗〕
2082,Larus fuscus,PAL,CHARADRIIFORMES,Laridae,小黑背鷗〔灰林銀鷗〕
2083,Gelochelidon nilotica,"PAL, AF, OR, NA, MA, SA",CHARADRIIFORMES,Laridae,鷗嘴燕鷗
2084,Gelochelidon macrotarsa,AU,CHARADRIIFORMES,Laridae,Australian Tern
2085,Hydroprogne caspia,"PAL, OR, AU, NA",CHARADRIIFORMES,Laridae,裡海燕鷗〔紅嘴巨鷗〕
2086,Thalasseus maximus,"NA, MA, SA",CHARADRIIFORMES,Laridae,皇家鳳頭燕鷗
2087,Thalasseus bergii,"AU, OR, AF",CHARADRIIFORMES,Laridae,大鳳頭燕鷗
2088,Thalasseus bengalensis,"AF, OR, AU",CHARADRIIFORMES,Laridae,小鳳頭燕鷗
2089,Thalasseus albididorsalis,AF,CHARADRIIFORMES,Laridae,West African Crested Tern
2090,Thalasseus bernsteini,PAL,CHARADRIIFORMES,Laridae,黑嘴端鳳頭燕鷗
2091,Thalasseus sandvicensis,"PAL, AF",CHARADRIIFORMES,Laridae,白嘴端鳳頭燕鷗
2092,Thalasseus acuflavidus,"NA, MA, SA",CHARADRIIFORMES,Laridae,美洲白嘴端鳳頭燕鷗
2093,Thalasseus elegans,"NA, MA",CHARADRIIFORMES,Laridae,麗色鳳頭燕鷗
2094,Sternula albifrons,"AF, PAL, OR, AU",CHARADRIIFORMES,Laridae,小燕鷗
2095,Sternula saundersi,"AF, PAL",CHARADRIIFORMES,Laridae,桑德氏小燕鷗
2096,Sternula antillarum,"NA, MA",CHARADRIIFORMES,Laridae,白額燕鷗
2097,Sternula superciliaris,SA,CHARADRIIFORMES,Laridae,黃嘴燕鷗
2098,Sternula lorata,SA,CHARADRIIFORMES,Laridae,秘魯燕鷗
2099,Sternula nereis,AU,CHARADRIIFORMES,Laridae,眼斑白額燕鷗
2100,Sternula balaenarum,AF,CHARADRIIFORMES,Laridae,達馬拉燕鷗
2101,Onychoprion aleuticus,"PAL, NA",CHARADRIIFORMES,Laridae,白腰燕鷗
2102,Onychoprion lunatus,PO,CHARADRIIFORMES,Laridae,灰背燕鷗
2103,Onychoprion anaethetus,TrO,CHARADRIIFORMES,Laridae,白眉燕鷗
2104,Onychoprion fuscatus,TrO,CHARADRIIFORMES,Laridae,烏領燕鷗
2105,Sterna aurantia,OR,CHARADRIIFORMES,Laridae,黃嘴河燕鷗
2106,Sterna dougallii,Worldwide,CHARADRIIFORMES,Laridae,紅燕鷗〔粉紅燕鷗〕
2107,Sterna striata,AU,CHARADRIIFORMES,Laridae,白臉燕鷗
2108,Sterna sumatrana,"AF, OR, AU",CHARADRIIFORMES,Laridae,蒼燕鷗〔黑枕燕鷗〕
2109,Sterna hirundinacea,SA,CHARADRIIFORMES,Laridae,南美燕鷗
2110,Sterna hirundo,"PAL, NA",CHARADRIIFORMES,Laridae,普通燕鷗
2111,Sterna repressa,"AF, PAL",CHARADRIIFORMES,Laridae,白頰燕鷗
2112,Sterna paradisaea,"PAL, NA",CHARADRIIFORMES,Laridae,北極燕鷗
2113,Sterna vittata,SO,CHARADRIIFORMES,Laridae,南極燕鷗
2114,Sterna virgata,IO,CHARADRIIFORMES,Laridae,克格連燕鷗
2115,Sterna forsteri,"NA, MA",CHARADRIIFORMES,Laridae,加拿大燕鷗
2116,Sterna trudeaui,SA,CHARADRIIFORMES,Laridae,白頂燕鷗
2117,Sterna acuticauda,OR,CHARADRIIFORMES,Laridae,黑腹燕鷗
2118,Chlidonias albostriatus,AU,CHARADRIIFORMES,Laridae,黑額燕鷗
2119,Chlidonias hybrida,"AF, PAL, OR, AU",CHARADRIIFORMES,Laridae,黑腹燕鷗〔鬚浮鷗〕
2120,Chlidonias leucopterus,PAL,CHARADRIIFORMES,Laridae,白翅黑燕鷗〔白翅浮鷗〕
2121,Chlidonias niger,"NA, PAL",CHARADRIIFORMES,Laridae,黑浮鷗
2122,Phaetusa simplex,SA,CHARADRIIFORMES,Laridae,巨嘴鷗
2123,Larosterna inca,SA,CHARADRIIFORMES,Laridae,印加燕鷗
2124,Stercorarius chilensis,SA,CHARADRIIFORMES,Stercorariidae,智利賊鷗
2125,Stercorarius maccormicki,AN,CHARADRIIFORMES,Stercorariidae,灰賊鷗〔南極賊鷗〕
2126,Stercorarius antarcticus,"SO, AN",CHARADRIIFORMES,Stercorariidae,棕賊鷗
2127,Stercorarius skua,PAL,CHARADRIIFORMES,Stercorariidae,大賊鷗
2128,Stercorarius pomarinus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,中賊鷗
2129,Stercorarius parasiticus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,短尾賊鷗
2130,Stercorarius longicaudus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,長尾賊鷗
2131,Alle alle,"NA, PAL",CHARADRIIFORMES,Alcidae,小海烏
2132,Uria lomvia,"NA, PAL",CHARADRIIFORMES,Alcidae,厚嘴海鴉
2133,Uria aalge,"NA, PAL",CHARADRIIFORMES,Alcidae,普通海鴉〔崖海鴉〕
2134,Alca torda,"NA, PAL",CHARADRIIFORMES,Alcidae,刀嘴海雀
2135,Cepphus grylle,"NA, PAL",CHARADRIIFORMES,Alcidae,黑海鴿
2136,Cepphus columba,"PAL, NA",CHARADRIIFORMES,Alcidae,海鴿
2137,Cepphus carbo,PAL,CHARADRIIFORMES,Alcidae,烏海鴿
2138,Brachyramphus perdix,PAL,CHARADRIIFORMES,Alcidae,長嘴海雀
2139,Brachyramphus brevirostris,"PAL, NA",CHARADRIIFORMES,Alcidae,小嘴斑海雀
2140,Synthliboramphus hypoleucus,MA,CHARADRIIFORMES,Alcidae,瓜達魯普海雀
2141,Synthliboramphus scrippsi,"NA, MA",CHARADRIIFORMES,Alcidae,史克氏海雀
2142,Synthliboramphus craveri,"NA, MA",CHARADRIIFORMES,Alcidae,可瑞氏海雀
2143,Synthliboramphus antiquus,"PAL, NA",CHARADRIIFORMES,Alcidae,扁嘴海雀
2144,Synthliboramphus wumizusume,PAL,CHARADRIIFORMES,Alcidae,冠扁嘴海雀
2145,Ptychoramphus aleuticus,"NA, MA",CHARADRIIFORMES,Alcidae,卡辛氏海雀
2146,Aethia psittacula,"PAL, NA",CHARADRIIFORMES,Alcidae,白腹小海鸚
2147,Aethia pusilla,"PAL, NA",CHARADRIIFORMES,Alcidae,稚海雀
2148,Aethia pygmaea,"PAL, NA",CHARADRIIFORMES,Alcidae,鬚海雀
2149,Aethia cristatella,"PAL, NA",CHARADRIIFORMES,Alcidae,冠小海雀
2150,Cerorhinca monocerata,"PAL, NA",CHARADRIIFORMES,Alcidae,角嘴海雀
2151,Fratercula arctica,"PAL, NA",CHARADRIIFORMES,Alcidae,北極海鸚
2152,Fratercula corniculata,"PAL, NA",CHARADRIIFORMES,Alcidae,角海鸚
2153,Fratercula cirrhata,"PAL, NA",CHARADRIIFORMES,Alcidae,花魁鳥
2154,Rhynochetos jubatus,AU,EURYPYGIFORMES,Rhynochetidae,鷺鶴
2155,Eurypyga helias,"MA, SA",EURYPYGIFORMES,Eurypygidae,日鳽
2156,Phaethon aethereus,TrO,PHAETHONTIFORMES,Phaethontidae,紅嘴熱帶鳥
2157,Phaethon rubricauda,TrO,PHAETHONTIFORMES,Phaethontidae,紅尾熱帶鳥
2158,Phaethon lepturus,TrO,PHAETHONTIFORMES,Phaethontidae,白尾熱帶鳥
2159,Gavia stellata,"NA, PAL",GAVIIFORMES,Gaviidae,紅喉潛鳥
2160,Gavia arctica,"PAL, NA",GAVIIFORMES,Gaviidae,黑喉潛鳥
2161,Gavia pacifica,"NA, PAL",GAVIIFORMES,Gaviidae,太平洋潛鳥
2162,Gavia immer,"NA, PAL",GAVIIFORMES,Gaviidae,普通潛鳥
2163,Gavia adamsii,"NA, PAL",GAVIIFORMES,Gaviidae,白嘴潛鳥
2164,Aptenodytes patagonicus,SO,SPHENISCIFORMES,Spheniscidae,國王企鵝
2165,Aptenodytes forsteri,AN,SPHENISCIFORMES,Spheniscidae,皇帝企鵝
2166,Pygoscelis adeliae,"SO, AN",SPHENISCIFORMES,Spheniscidae,阿德利企鵝
2167,Pygoscelis antarcticus,"SO, AN",SPHENISCIFORMES,Spheniscidae,南極企鵝
2168,Pygoscelis papua,SO,SPHENISCIFORMES,Spheniscidae,巴布亞企鵝
2169,Eudyptula minor,AU,SPHENISCIFORMES,Spheniscidae,小企鵝
2170,Spheniscus mendiculus,SA,SPHENISCIFORMES,Spheniscidae,加拉巴哥環企鵝
2171,Spheniscus humboldti,SA,SPHENISCIFORMES,Spheniscidae,洪保德環企鵝
2172,Spheniscus magellanicus,SA,SPHENISCIFORMES,Spheniscidae,麥哲倫環企鵝
2173,Spheniscus demersus,AF,SPHENISCIFORMES,Spheniscidae,斑嘴環企鵝
2174,Megadyptes antipodes,AU,SPHENISCIFORMES,Spheniscidae,黃眼企鵝
2175,Eudyptes chrysolophus,SO,SPHENISCIFORMES,Spheniscidae,冠企鵝
2176,Eudyptes schlegeli,AU,SPHENISCIFORMES,Spheniscidae,皇家企鵝
2177,Eudyptes moseleyi,"AO, IO",SPHENISCIFORMES,Spheniscidae,北方長冠企鵝
2178,Eudyptes chrysocome,"AO, SA",SPHENISCIFORMES,Spheniscidae,長冠企鵝
2179,Eudyptes pachyrhynchus,AU,SPHENISCIFORMES,Spheniscidae,鳳冠企鵝
2180,Eudyptes robustus,AU,SPHENISCIFORMES,Spheniscidae,誘惑企鵝
2181,Eudyptes sclateri,AU,SPHENISCIFORMES,Spheniscidae,豎冠企鵝
2182,Oceanites oceanicus,SO,PROCELLARIIFORMES,Oceanitidae,黃蹼洋海燕
2183,Oceanites gracilis,PO,PROCELLARIIFORMES,Oceanitidae,白臀洋海燕
2184,Oceanites pincoyae,PO,PROCELLARIIFORMES,Oceanitidae,平克亞洋海燕
2185,Garrodia nereis,SO,PROCELLARIIFORMES,Oceanitidae,灰背海燕
2186,Pelagodroma marina,"AO, IO, PO",PROCELLARIIFORMES,Oceanitidae,白臉海燕
2187,Fregetta grallaria,SO,PROCELLARIIFORMES,Oceanitidae,白腹艦燕
2188,Fregetta tropica,SO,PROCELLARIIFORMES,Oceanitidae,黑腹艦燕
2189,Fregetta lineata,PO,PROCELLARIIFORMES,Oceanitidae,New Caledonian Storm Petrel
2190,Fregetta maoriana,PO,PROCELLARIIFORMES,Oceanitidae,紐西蘭艦燕
2191,Nesofregetta fuliginosa,PO,PROCELLARIIFORMES,Oceanitidae,波里尼西亞海燕
2192,Phoebastria immutabilis,PO,PROCELLARIIFORMES,Diomedeidae,黑背信天翁
2193,Phoebastria nigripes,PO,PROCELLARIIFORMES,Diomedeidae,黑腳信天翁
2194,Phoebastria irrorata,PO,PROCELLARIIFORMES,Diomedeidae,加拉巴哥信天翁
2195,Phoebastria albatrus,PO,PROCELLARIIFORMES,Diomedeidae,短尾信天翁
2196,Diomedea exulans,SO,PROCELLARIIFORMES,Diomedeidae,漂泊信天翁
2197,Diomedea antipodensis,PO,PROCELLARIIFORMES,Diomedeidae,對蹠群島信天翁
2198,Diomedea amsterdamensis,IO,PROCELLARIIFORMES,Diomedeidae,阿姆斯特丹天翁
2199,Diomedea dabbenena,AO,PROCELLARIIFORMES,Diomedeidae,垂斯坦信天翁
2200,Diomedea epomophora,PO,PROCELLARIIFORMES,Diomedeidae,南方皇家信天翁
2201,Diomedea sanfordi,PO,PROCELLARIIFORMES,Diomedeidae,北方皇家信天翁
2202,Phoebetria fusca,"IO, AO",PROCELLARIIFORMES,Diomedeidae,烏黑信天翁
2203,Phoebetria palpebrata,SO,PROCELLARIIFORMES,Diomedeidae,灰背信天翁
2204,Thalassarche melanophris,SO,PROCELLARIIFORMES,Diomedeidae,黑眉信天翁
2205,Thalassarche impavida,PO,PROCELLARIIFORMES,Diomedeidae,坎培爾島信天翁
2206,Thalassarche cauta,SO,PROCELLARIIFORMES,Diomedeidae,白頂信天翁〔灰信天翁〕
2207,Thalassarche eremita,PO,PROCELLARIIFORMES,Diomedeidae,查坦島信天翁
2208,Thalassarche salvini,"IO, PO",PROCELLARIIFORMES,Diomedeidae,沙文氏信天翁
2209,Thalassarche chrysostoma,SO,PROCELLARIIFORMES,Diomedeidae,灰頭信天翁
2210,Thalassarche chlororhynchos,AO,PROCELLARIIFORMES,Diomedeidae,大西洋黃鼻信天翁
2211,Thalassarche carteri,IO,PROCELLARIIFORMES,Diomedeidae,印度洋黃鼻信天翁
2212,Thalassarche bulleri,PO,PROCELLARIIFORMES,Diomedeidae,布爾氏信天翁
2213,Hydrobates pelagicus,AO,PROCELLARIIFORMES,Hydrobatidae,暴風海燕
2214,Hydrobates furcatus,PO,PROCELLARIIFORMES,Hydrobatidae,灰藍叉尾海燕
2215,Hydrobates hornbyi,PO,PROCELLARIIFORMES,Hydrobatidae,環叉尾海燕
2216,Hydrobates monorhis,"IO, PO",PROCELLARIIFORMES,Hydrobatidae,黑叉尾海燕
2217,Hydrobates matsudairae,"IO, PO",PROCELLARIIFORMES,Hydrobatidae,煙黑叉尾海燕
2218,Hydrobates leucorhous,"PO, AO",PROCELLARIIFORMES,Hydrobatidae,白腰叉尾海燕
2219,Hydrobates socorroensis,PO,PROCELLARIIFORMES,Hydrobatidae,索科洛島海燕
2220,Hydrobates cheimomnestes,PO,PROCELLARIIFORMES,Hydrobatidae,艾恩雷氏海燕
2221,Hydrobates homochroa,PO,PROCELLARIIFORMES,Hydrobatidae,灰叉尾海燕
2222,Hydrobates castro,"PO, AO",PROCELLARIIFORMES,Hydrobatidae,哈考氏叉尾海燕
2223,Hydrobates monteiroi,AO,PROCELLARIIFORMES,Hydrobatidae,蒙特婁氏叉尾海燕
2224,Hydrobates jabejabe,AO,PROCELLARIIFORMES,Hydrobatidae,維德角叉尾海燕
2225,Hydrobates tethys,PO,PROCELLARIIFORMES,Hydrobatidae,加拉巴哥叉尾海燕
2226,Hydrobates melania,PO,PROCELLARIIFORMES,Hydrobatidae,美洲叉尾海燕
2227,Hydrobates markhami,PO,PROCELLARIIFORMES,Hydrobatidae,烏叉尾海燕
2228,Hydrobates tristrami,PO,PROCELLARIIFORMES,Hydrobatidae,褐翅叉尾海燕
2229,Hydrobates microsoma,PO,PROCELLARIIFORMES,Hydrobatidae,小叉尾海燕
2230,Macronectes giganteus,"SO, AN",PROCELLARIIFORMES,Procellariidae,南方巨鸌〔巨鸌〕
2231,Macronectes halli,SO,PROCELLARIIFORMES,Procellariidae,北方巨鸌〔賀爾氏巨鸌〕
2232,Fulmarus glacialis,"NA, PAL",PROCELLARIIFORMES,Procellariidae,北方暴風鸌〔暴風鸌〕
2233,Fulmarus glacialoides,"SO, AN",PROCELLARIIFORMES,Procellariidae,南方暴風鸌〔銀灰暴風鸌〕
2234,Thalassoica antarctica,"SO, AN",PROCELLARIIFORMES,Procellariidae,南極鸌
2235,Daption capense,"SO, AN",PROCELLARIIFORMES,Procellariidae,南非鸌
2236,Pagodroma nivea,"SO, AN",PROCELLARIIFORMES,Procellariidae,雪鸌
2237,Halobaena caerulea,SO,PROCELLARIIFORMES,Procellariidae,藍鋸鸌
2238,Pachyptila vittata,SO,PROCELLARIIFORMES,Procellariidae,闊嘴鋸鸌
2239,Pachyptila salvini,IO,PROCELLARIIFORMES,Procellariidae,中嘴鋸鸌
2240,Pachyptila macgillivrayi,"AO, IO",PROCELLARIIFORMES,Procellariidae,MacGillivray's Prion
2241,Pachyptila desolata,"SO, AN",PROCELLARIIFORMES,Procellariidae,鴿鋸鸌
2242,Pachyptila belcheri,SO,PROCELLARIIFORMES,Procellariidae,細嘴鋸鸌
2243,Pachyptila turtur,SO,PROCELLARIIFORMES,Procellariidae,仙鋸鸌
2244,Pachyptila crassirostris,SO,PROCELLARIIFORMES,Procellariidae,燕鋸鸌
2245,Aphrodroma brevirostris,SO,PROCELLARIIFORMES,Procellariidae,短嘴圓尾鸌
2246,Pterodroma macroptera,SO,PROCELLARIIFORMES,Procellariidae,巨翅圓尾鸌
2247,Pterodroma lessonii,SO,PROCELLARIIFORMES,Procellariidae,白頭圓尾鸌
2248,Pterodroma gouldi,SO,PROCELLARIIFORMES,Procellariidae,灰臉圓尾鸌
2249,Pterodroma incerta,AO,PROCELLARIIFORMES,Procellariidae,冠圓尾鸌
2250,Pterodroma solandri,PO,PROCELLARIIFORMES,Procellariidae,索拉氏圓尾鸌
2251,Pterodroma magentae,PO,PROCELLARIIFORMES,Procellariidae,紅紫圓尾鸌
2252,Pterodroma ultima,PO,PROCELLARIIFORMES,Procellariidae,墨菲氏圓尾鸌
2253,Pterodroma mollis,SO,PROCELLARIIFORMES,Procellariidae,柔羽圓尾鸌
2254,Pterodroma madeira,AO,PROCELLARIIFORMES,Procellariidae,馬迪拉圓尾鸌
2255,Pterodroma feae,AO,PROCELLARIIFORMES,Procellariidae,維德角圓尾鸌
2256,Pterodroma deserta,AO,PROCELLARIIFORMES,Procellariidae,德瑟塔斯島圓尾鸌
2257,Pterodroma cahow,AO,PROCELLARIIFORMES,Procellariidae,百慕達圓尾鸌
2258,Pterodroma hasitata,AO,PROCELLARIIFORMES,Procellariidae,黑頂圓尾鸌
2259,Pterodroma externa,PO,PROCELLARIIFORMES,Procellariidae,斐南德斯白頸圓尾鸌
2260,Pterodroma occulta,PO,PROCELLARIIFORMES,Procellariidae,萬那度圓尾鸌
2261,Pterodroma neglecta,PO,PROCELLARIIFORMES,Procellariidae,克馬德圓尾鸌
2262,Pterodroma heraldica,"IO, PO",PROCELLARIIFORMES,Procellariidae,赫拉德圓尾鸌
2263,Pterodroma arminjoniana,"AO, IO",PROCELLARIIFORMES,Procellariidae,千里達圓尾鸌
2264,Pterodroma atrata,PO,PROCELLARIIFORMES,Procellariidae,韓德森圓尾鸌
2265,Pterodroma alba,PO,PROCELLARIIFORMES,Procellariidae,白腹圓尾鸌
2266,Pterodroma baraui,IO,PROCELLARIIFORMES,Procellariidae,留尼旺圓尾鸌
2267,Pterodroma sandwichensis,PO,PROCELLARIIFORMES,Procellariidae,夏威夷圓尾鸌
2268,Pterodroma phaeopygia,PO,PROCELLARIIFORMES,Procellariidae,暗腰圓尾鸌
2269,Pterodroma inexpectata,"PO, IO",PROCELLARIIFORMES,Procellariidae,鱗斑圓尾鸌
2270,Pterodroma cervicalis,PO,PROCELLARIIFORMES,Procellariidae,白頸圓尾鸌
2271,Pterodroma nigripennis,PO,PROCELLARIIFORMES,Procellariidae,黑翅圓尾鸌
2272,Pterodroma axillaris,PO,PROCELLARIIFORMES,Procellariidae,查坦圓尾鸌
2273,Pterodroma hypoleuca,PO,PROCELLARIIFORMES,Procellariidae,白腹穴鳥〔白額圓尾鸌〕
2274,Pterodroma leucoptera,PO,PROCELLARIIFORMES,Procellariidae,厚嘴圓尾鸌
2275,Pterodroma brevipes,PO,PROCELLARIIFORMES,Procellariidae,圓領圓尾鸌
2276,Pterodroma cookii,PO,PROCELLARIIFORMES,Procellariidae,庫克氏圓尾鸌
2277,Pterodroma defilippiana,PO,PROCELLARIIFORMES,Procellariidae,迪氏圓尾鸌
2278,Pterodroma longirostris,PO,PROCELLARIIFORMES,Procellariidae,長嘴圓尾鸌
2279,Pterodroma pycrofti,PO,PROCELLARIIFORMES,Procellariidae,比柯氏圓尾鸌
2280,Pseudobulweria aterrima,IO,PROCELLARIIFORMES,Procellariidae,馬斯卡拉擬燕鸌
2281,Pseudobulweria rostrata,PO,PROCELLARIIFORMES,Procellariidae,黑背白腹穴鳥〔褐擬燕鸌，鉤嘴擬燕鸌〕
2282,Pseudobulweria becki,PO,PROCELLARIIFORMES,Procellariidae,貝克氏擬燕鸌
2283,Pseudobulweria macgillivrayi,PO,PROCELLARIIFORMES,Procellariidae,斐濟擬燕鸌
2284,Procellaria cinerea,SO,PROCELLARIIFORMES,Procellariidae,灰風鸌
2285,Procellaria aequinoctialis,SO,PROCELLARIIFORMES,Procellariidae,白頦風鸌
2286,Procellaria conspicillata,SO,PROCELLARIIFORMES,Procellariidae,鏡斑風鸌
2287,Procellaria parkinsoni,PO,PROCELLARIIFORMES,Procellariidae,黑風鸌
2288,Procellaria westlandica,PO,PROCELLARIIFORMES,Procellariidae,西地風鸌
2289,Calonectris leucomelas,PO,PROCELLARIIFORMES,Procellariidae,大水薙鳥〔白額鸌〕
2290,Calonectris diomedea,AO,PROCELLARIIFORMES,Procellariidae,史氏猛鸌
2291,Calonectris borealis,AO,PROCELLARIIFORMES,Procellariidae,克氏猛鸌
2292,Calonectris edwardsii,AO,PROCELLARIIFORMES,Procellariidae,維德角水薙鳥
2293,Ardenna pacifica,"PO, IO",PROCELLARIIFORMES,Procellariidae,長尾水薙鳥〔曳尾鸌〕
2294,Ardenna bulleri,PO,PROCELLARIIFORMES,Procellariidae,灰背鸌
2295,Ardenna grisea,Worldwide,PROCELLARIIFORMES,Procellariidae,灰水薙鳥〔灰鸌〕
2296,Ardenna tenuirostris,PO,PROCELLARIIFORMES,Procellariidae,短尾水薙鳥〔短尾鸌〕
2297,Ardenna creatopus,PO,PROCELLARIIFORMES,Procellariidae,粉腳鸌
2298,Ardenna carneipes,"PO, IO",PROCELLARIIFORMES,Procellariidae,肉足水薙鳥〔淡足鸌〕
2299,Ardenna gravis,AO,PROCELLARIIFORMES,Procellariidae,大鸌
2300,Puffinus nativitatis,PO,PROCELLARIIFORMES,Procellariidae,黑鸌
2301,Puffinus puffinus,AO,PROCELLARIIFORMES,Procellariidae,普通鸌
2302,Puffinus yelkouan,AO,PROCELLARIIFORMES,Procellariidae,葉庫安鸌
2303,Puffinus mauretanicus,AO,PROCELLARIIFORMES,Procellariidae,巴里亞利克鸌
2304,Puffinus bryani,PO,PROCELLARIIFORMES,Procellariidae,拜揚氏鸌〔小笠原鸌〕
2305,Puffinus opisthomelas,PO,PROCELLARIIFORMES,Procellariidae,黑腰鸌
2306,Puffinus auricularis,PO,PROCELLARIIFORMES,Procellariidae,湯氏鸌
2307,Puffinus newelli,PO,PROCELLARIIFORMES,Procellariidae,紐維爾氏鸌
2308,Puffinus myrtae,PO,PROCELLARIIFORMES,Procellariidae,拉帕鸌
2309,Puffinus gavia,PO,PROCELLARIIFORMES,Procellariidae,鼓翼鸌
2310,Puffinus huttoni,PO,PROCELLARIIFORMES,Procellariidae,休頓氏鸌
2311,Puffinus lherminieri,AO,PROCELLARIIFORMES,Procellariidae,奧杜邦氏鸌
2312,Puffinus persicus,IO,PROCELLARIIFORMES,Procellariidae,波斯鸌
2313,Puffinus bailloni,"IO, PO",PROCELLARIIFORMES,Procellariidae,熱帶鸌
2314,Puffinus subalaris,PO,PROCELLARIIFORMES,Procellariidae,加拉巴哥鸌
2315,Puffinus bannermani,PO,PROCELLARIIFORMES,Procellariidae,邦氏鸌
2316,Puffinus heinrothi,PO,PROCELLARIIFORMES,Procellariidae,海因羅氏鸌
2317,Puffinus assimilis,"IO, PO",PROCELLARIIFORMES,Procellariidae,小鸌
2318,Puffinus elegans,"AO, PO, IO",PROCELLARIIFORMES,Procellariidae,南極鸌
2319,Puffinus baroli,AO,PROCELLARIIFORMES,Procellariidae,北大西洋小鸌
2320,Puffinus boydi,AO,PROCELLARIIFORMES,Procellariidae,維德角小鸌
2321,Pelecanoides garnotii,SA,PROCELLARIIFORMES,Procellariidae,秘魯鵜燕
2322,Pelecanoides magellani,SA,PROCELLARIIFORMES,Procellariidae,麥哲倫鵜燕
2323,Pelecanoides georgicus,SO,PROCELLARIIFORMES,Procellariidae,南喬治亞鵜燕
2324,Pelecanoides urinatrix,SO,PROCELLARIIFORMES,Procellariidae,普通鵜燕
2325,Bulweria bulwerii,TrO,PROCELLARIIFORMES,Procellariidae,穴鳥〔布爾氏燕鸌，褐燕鸌〕
2326,Bulweria fallax,IO,PROCELLARIIFORMES,Procellariidae,厚嘴燕鸌
2327,Anastomus lamelligerus,AF,CICONIIFORMES,Ciconiidae,非洲鉗嘴鸛
2328,Anastomus oscitans,OR,CICONIIFORMES,Ciconiidae,鉗嘴鸛
2329,Leptoptilos crumenifer,AF,CICONIIFORMES,Ciconiidae,非洲禿鸛
2330,Leptoptilos javanicus,OR,CICONIIFORMES,Ciconiidae,小禿鸛
2331,Leptoptilos dubius,OR,CICONIIFORMES,Ciconiidae,大禿鸛
2332,Mycteria americana,"NA, MA, SA",CICONIIFORMES,Ciconiidae,林鸛
2333,Mycteria ibis,AF,CICONIIFORMES,Ciconiidae,黃嘴鸛
2334,Mycteria leucocephala,OR,CICONIIFORMES,Ciconiidae,彩鸛〔白頭鸛〕
2335,Mycteria cinerea,"OR, AU",CICONIIFORMES,Ciconiidae,灰鸛
2336,Jabiru mycteria,"MA, SA",CICONIIFORMES,Ciconiidae,裸頸鸛
2337,Ephippiorhynchus senegalensis,AF,CICONIIFORMES,Ciconiidae,凹嘴鸛
