,IOC,Breeding Range,Order,Family,Turkish
69,Dendrocygna javanica,OR,ANSERIFORMES,Anatidae,Cava Islıkçı Ördeği
70,Thalassornis leuconotus,AF,ANSERIFORMES,Anatidae,Ak Sırtlı Ördek
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Sereo Kazı
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Yosun Kazı
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Sibirya Kazı
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Nene
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Ak Yanaklı Kaz
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Hint Kazı
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Kral Kazı
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Boz Kaz
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Kuğu Kazı
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Tayga Kazı
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Küçük Tarla Kazı
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Tundra Kazı
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Sakarca
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Küçük Sakarca
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Koskoroba Kuğusu
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Kara Kuğu
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Kara Boyunlu Kuğu
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Kuğu
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Küçük Kuğu
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Ötücü Kuğu
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Benekli Kara Ördek
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Mavi Ördek
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Forsa Ördeği
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Macellan Forsa Ördeği
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Falkland Forsa Ördeği
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Ak Başlı Forsa Ördeği
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Çağlayan Ördeği
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Mahmuzlu Kaz
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Taraklı Ördek
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Amerika Taraklı Ördeği
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Mavi Kanatlı Kaz
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Nil Kazı
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Orinoko Kazı
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,And Kazı
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Macellan Kazı
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Kelp Kazı
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Gri Başlı Kaz
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Kızıl Başlı Kaz
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Ak Başlı Suna
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Suna
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Angıt
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,Gri Başlı Angıt
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Avustralya Angıtı
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Yeni Zelanda Angıtı
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Zebra Ördeği
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Salvadori Ördeği
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Moskof Ördeği
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Ak Kanatlı Ördek
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Hartlaub Ördeği
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Mandarin Ördeği
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Yeleli Ördek
