,IOC,Breeding Range,Order,Family,Turkish
1520,Ptilinopus bernsteinii,AU,COLUMBIFORMES,Columbidae,Al Göğüslü Meyve Kumrusu
1521,Ptilinopus magnificus,AU,COLUMBIFORMES,Columbidae,Mor Göğüslü Meyve Kumrusu
1522,Ptilinopus perlatus,AU,COLUMBIFORMES,Columbidae,Pembe Benekli Meyve Kumrusu
1523,Ptilinopus ornatus,AU,COLUMBIFORMES,Columbidae,Süslü Meyve Kumrusu
1524,Ptilinopus tannensis,AU,COLUMBIFORMES,Columbidae,Tanna Meyve Kumrusu
1525,Ptilinopus aurantiifrons,AU,COLUMBIFORMES,Columbidae,Turuncu Alınlı Meyve Kumrusu
1526,Ptilinopus wallacii,AU,COLUMBIFORMES,Columbidae,Wallace Meyve Kumrusu
1527,Ptilinopus superbus,AU,COLUMBIFORMES,Columbidae,Muhteşem Meyve Kumrusu
1528,Ptilinopus perousii,PO,COLUMBIFORMES,Columbidae,Çok Renkli Meyve Kumrusu
1529,Ptilinopus porphyraceus,PO,COLUMBIFORMES,Columbidae,Kızıl Tepeli Meyve Kumrusu
1530,Ptilinopus ponapensis,PO,COLUMBIFORMES,Columbidae,Mor Tepeli Meyve Kumrusu
1531,Ptilinopus hernsheimi,PO,COLUMBIFORMES,Columbidae,Kuşray Meyve Kumrusu
1532,Ptilinopus pelewensis,PO,COLUMBIFORMES,Columbidae,Palau Meyve Kumrusu
1533,Ptilinopus rarotongensis,PO,COLUMBIFORMES,Columbidae,Rarotonga Meyve Kumrusu
1534,Ptilinopus roseicapilla,PO,COLUMBIFORMES,Columbidae,Mariana Adaları Meyve Kumrusu
1535,Ptilinopus regina,AU,COLUMBIFORMES,Columbidae,Pembe Tepeli Meyve Kumrusu
1536,Ptilinopus richardsii,AU,COLUMBIFORMES,Columbidae,Gümüş Başlı Meyve Kumrusu
1537,Ptilinopus chrysogaster,PO,COLUMBIFORMES,Columbidae,Raiatea Fruit Dove
1538,Ptilinopus purpuratus,PO,COLUMBIFORMES,Columbidae,Tahiti Meyve Kumrusu
1539,Ptilinopus chalcurus,PO,COLUMBIFORMES,Columbidae,Makatea Meyve Kumrusu
1540,Ptilinopus coralensis,PO,COLUMBIFORMES,Columbidae,Tuamotu Meyve Kumrusu
1541,Ptilinopus greyi,AU,COLUMBIFORMES,Columbidae,Kırmızı Karınlı Meyve Kumrusu
1542,Ptilinopus huttoni,PO,COLUMBIFORMES,Columbidae,Rapa Meyve Kumrusu
1543,Ptilinopus dupetithouarsii,PO,COLUMBIFORMES,Columbidae,Beyaz Tepeli Meyve Kumrusu
1544,Ptilinopus insularis,PO,COLUMBIFORMES,Columbidae,Henderson Adası Meyve Kumrusu
1545,Ptilinopus coronulatus,AU,COLUMBIFORMES,Columbidae,Taçlı Meyve Kumrusu
1546,Ptilinopus pulchellus,AU,COLUMBIFORMES,Columbidae,Kestane Kuşaklı Meyve Kumrusu
1547,Ptilinopus monacha,AU,COLUMBIFORMES,Columbidae,Mavi Tepeli Meyve Kumrusu
1548,Ptilinopus rivoli,AU,COLUMBIFORMES,Columbidae,Ak Göğüslü Meyve Kumrusu
1549,Ptilinopus speciosus,AU,COLUMBIFORMES,Columbidae,Geelvink Fruit Dove
1550,Ptilinopus solomonensis,AU,COLUMBIFORMES,Columbidae,Sarı Gerdanlı Meyve Kumrusu
1551,Ptilinopus viridis,AU,COLUMBIFORMES,Columbidae,Bordo Göğüslü Meyve Kumrusu
1552,Ptilinopus eugeniae,AU,COLUMBIFORMES,Columbidae,Ak Başlı Meyve Kumrusu
1553,Ptilinopus iozonus,AU,COLUMBIFORMES,Columbidae,Turuncu Karınlı Meyve Kumrusu
1554,Ptilinopus insolitus,AU,COLUMBIFORMES,Columbidae,Topuz Gagalı Meyve Kumrusu
1555,Ptilinopus hyogastrus,AU,COLUMBIFORMES,Columbidae,Gri Başlı Meyve Kumrusu
1556,Ptilinopus granulifrons,AU,COLUMBIFORMES,Columbidae,İbikli Meyve Kumrusu
1557,Ptilinopus melanospilus,"OR, AU",COLUMBIFORMES,Columbidae,Kara Enseli Meyve Kumrusu
1558,Ptilinopus nainus,AU,COLUMBIFORMES,Columbidae,Küçük Meyve Kumrusu
1559,Ptilinopus arcanus,OR,COLUMBIFORMES,Columbidae,Negros Meyve Kumrusu
1560,Ptilinopus victor,PO,COLUMBIFORMES,Columbidae,Turuncu Meyve Kumrusu
1561,Ptilinopus luteovirens,PO,COLUMBIFORMES,Columbidae,Altın Rengi Meyve Kumrusu
1562,Ptilinopus layardi,PO,COLUMBIFORMES,Columbidae,Kadife Meyve Kumrusu
1563,Drepanoptila holosericea,AU,COLUMBIFORMES,Columbidae,Paçalı Meyve Kumrusu
1564,Alectroenas madagascariensis,AF,COLUMBIFORMES,Columbidae,Madagaskar Mavi Güvercini
1565,Alectroenas sganzini,AF,COLUMBIFORMES,Columbidae,Komor Mavi Güvercini
1566,Alectroenas pulcherrimus,AF,COLUMBIFORMES,Columbidae,Seyşeller Mavi Güvercini
1567,Ducula poliocephala,OR,COLUMBIFORMES,Columbidae,Pembe Karınlı Has Güvercin
1568,Ducula forsteni,AU,COLUMBIFORMES,Columbidae,Ak Karınlı Has Güvercin
1569,Ducula mindorensis,OR,COLUMBIFORMES,Columbidae,Mindoro Has Güvercini
1570,Ducula radiata,AU,COLUMBIFORMES,Columbidae,Gri Başlı Has Güvercin
1571,Ducula carola,OR,COLUMBIFORMES,Columbidae,Kesmeli Has Güvercin
1572,Ducula aenea,OR,COLUMBIFORMES,Columbidae,Yeşil Has Güvercin
1573,Ducula oenothorax,OR,COLUMBIFORMES,Columbidae,Enggano Imperial Pigeon
1574,Ducula nicobarica,OR,COLUMBIFORMES,Columbidae,Nikobar Has Güvercini
1575,Ducula perspicillata,AU,COLUMBIFORMES,Columbidae,Gözlüklü Has Güvercin
1576,Ducula neglecta,AU,COLUMBIFORMES,Columbidae,Seram Has Güvercini
1577,Ducula concinna,AU,COLUMBIFORMES,Columbidae,Mavi Kuyruklu Has Güvercin
1578,Ducula pacifica,PO,COLUMBIFORMES,Columbidae,Pasifik Has Güvercini
1579,Ducula oceanica,PO,COLUMBIFORMES,Columbidae,Mikronezya Has Güvercini
1580,Ducula aurorae,PO,COLUMBIFORMES,Columbidae,Polinezya Has Güvercini
1581,Ducula galeata,PO,COLUMBIFORMES,Columbidae,Markiz Adaları Has Güvercini
1582,Ducula rubricera,AU,COLUMBIFORMES,Columbidae,Kırmızı İbikli Has Güvercin
1583,Ducula myristicivora,AU,COLUMBIFORMES,Columbidae,Muskat Has Güvercini
1584,Ducula geelvinkiana,AU,COLUMBIFORMES,Columbidae,Geelvink Imperial Pigeon
1585,Ducula rufigaster,AU,COLUMBIFORMES,Columbidae,Mor Kuyruklu Has Güvercin
1586,Ducula basilica,AU,COLUMBIFORMES,Columbidae,Tarçın Karınlı Has Güvercin
1587,Ducula finschii,AU,COLUMBIFORMES,Columbidae,Finsch Has Güvercini
1588,Ducula chalconota,AU,COLUMBIFORMES,Columbidae,Kızılca Has Güvercin
1589,Ducula pistrinaria,AU,COLUMBIFORMES,Columbidae,Boz Has Güvercin
1590,Ducula rosacea,AU,COLUMBIFORMES,Columbidae,Pembe Başlı Has Güvercin
1591,Ducula whartoni,OR,COLUMBIFORMES,Columbidae,Kurşuni Has Güvercin
1592,Ducula pickeringii,OR,COLUMBIFORMES,Columbidae,Gri Has Güvercin
1593,Ducula latrans,PO,COLUMBIFORMES,Columbidae,Peale Has Güvercini
1594,Ducula brenchleyi,AU,COLUMBIFORMES,Columbidae,Kestane Karınlı Has Güvercin
1595,Ducula bakeri,AU,COLUMBIFORMES,Columbidae,Baker Has Güvercini
1596,Ducula goliath,AU,COLUMBIFORMES,Columbidae,Büyük Has Güvercin
1597,Ducula pinon,AU,COLUMBIFORMES,Columbidae,Pinon Has Güvercini
1598,Ducula melanochroa,AU,COLUMBIFORMES,Columbidae,Kara Has Güvercin
1599,Ducula mullerii,AU,COLUMBIFORMES,Columbidae,Halkalı Has Güvercin
1600,Ducula zoeae,AU,COLUMBIFORMES,Columbidae,Zoe Has Güvercini
1601,Ducula cuprea,OR,COLUMBIFORMES,Columbidae,Malabar Imperial Pigeon
1602,Ducula badia,OR,COLUMBIFORMES,Columbidae,Dağ Has Güvercini
1603,Ducula lacernulata,"OR, AU",COLUMBIFORMES,Columbidae,Kara Sırtlı Has Güvercin
1604,Ducula cineracea,AU,COLUMBIFORMES,Columbidae,Kül Rengi Has Güvercin
1605,Ducula bicolor,OR,COLUMBIFORMES,Columbidae,Alaca Has Güvercin
1606,Ducula luctuosa,AU,COLUMBIFORMES,Columbidae,Sütlüce Has Güvercin
1607,Ducula spilorrhoa,AU,COLUMBIFORMES,Columbidae,Akça Has Güvercin
1608,Ducula subflavescens,AU,COLUMBIFORMES,Columbidae,Sarıca Has Güvercin
1609,Lopholaimus antarcticus,AU,COLUMBIFORMES,Columbidae,Başlıklı Güvercin
1610,Hemiphaga novaeseelandiae,AU,COLUMBIFORMES,Columbidae,Yeni Zelanda Güvercini
1611,Hemiphaga chathamensis,AU,COLUMBIFORMES,Columbidae,Chatham Güvercini
1612,Cryptophaps poecilorrhoa,AU,COLUMBIFORMES,Columbidae,Boz Dağ Güvercini
1613,Gymnophaps albertisii,AU,COLUMBIFORMES,Columbidae,Papua Dağ Güvercini
1614,Gymnophaps mada,AU,COLUMBIFORMES,Columbidae,Buru Dağ Güvercini
1615,Gymnophaps stalkeri,AU,COLUMBIFORMES,Columbidae,Seram Adası Dağ Güvercini
1616,Gymnophaps solomonensis,AU,COLUMBIFORMES,Columbidae,Solomon Adaları Güvercini
1617,Podica senegalensis,AF,GRUIFORMES,Heliornithidae,Afrika Batağanyelvesi
1618,Heliopais personatus,OR,GRUIFORMES,Heliornithidae,Asya Batağanyelvesi
1619,Heliornis fulica,"MA, SA",GRUIFORMES,Heliornithidae,Küçük Batağanyelvesi
1620,Mentocrex kioloides,AF,GRUIFORMES,Sarothruridae,Madagaskar Orman Kılavuzu
1621,Mentocrex beankaensis,AF,GRUIFORMES,Sarothruridae,Tsingi Orman Kılavuzu
1622,Sarothrura pulchra,AF,GRUIFORMES,Sarothruridae,Benekli Alacayelve
1623,Sarothrura elegans,AF,GRUIFORMES,Sarothruridae,Sarı Benekli Alacayelve
1624,Sarothrura rufa,AF,GRUIFORMES,Sarothruridae,Kızıl Göğüslü Alacayelve
1625,Sarothrura lugens,AF,GRUIFORMES,Sarothruridae,Kızıl Başlı Alacayelve
1626,Sarothrura boehmi,AF,GRUIFORMES,Sarothruridae,Boehm Alacayelvesi
1627,Sarothrura ayresi,AF,GRUIFORMES,Sarothruridae,Ak Kanatlı Alacayelve
1628,Sarothrura affinis,AF,GRUIFORMES,Sarothruridae,Çizgili Alacayelve
1629,Sarothrura insularis,AF,GRUIFORMES,Sarothruridae,Madagaskar Alacayelvesi
1630,Sarothrura watersi,AF,GRUIFORMES,Sarothruridae,İnce Gagalı Alacayelve
1631,Rallicula leucospila,AU,GRUIFORMES,Sarothruridae,Çizgili Kestane Yelvesi
1632,Rallicula rubra,AU,GRUIFORMES,Sarothruridae,Küçük Kestane Yelvesi
1633,Rallicula forbesi,AU,GRUIFORMES,Sarothruridae,Forbes Kestane Yelvesi
1634,Rallicula mayri,AU,GRUIFORMES,Sarothruridae,Mayr Kestane Yelvesi
1635,Canirallus oculeus,AF,GRUIFORMES,Rallidae,Boz Alınlı Yelve
1636,Mustelirallus albicollis,SA,GRUIFORMES,Rallidae,Sarı Gagalı Suyelvesi
1637,Mustelirallus erythrops,SA,GRUIFORMES,Rallidae,Gagası Boyalı Yelve
1638,Mustelirallus colombianus,"MA, SA",GRUIFORMES,Rallidae,Kolombiya Yelvesi
1639,Pardirallus maculatus,"MA, SA",GRUIFORMES,Rallidae,Benekli Sukılavuzu
1640,Pardirallus nigricans,SA,GRUIFORMES,Rallidae,Karaca Sukılavuzu
1641,Pardirallus sanguinolentus,SA,GRUIFORMES,Rallidae,Kurşuni Sukılavuzu
1642,Amaurolimnas concolor,"MA, SA",GRUIFORMES,Rallidae,Tek Renkli Yelve
1643,Aramides axillaris,"MA, SA",GRUIFORMES,Rallidae,Kızıl Boyunlu Orman Kılavuzu
1644,Aramides mangle,SA,GRUIFORMES,Rallidae,Mangrov Orman Kılavuzu
1645,Aramides albiventris,MA,GRUIFORMES,Rallidae,Kızıl Enseli Orman Kılavuzu
1646,Aramides cajaneus,"MA, SA",GRUIFORMES,Rallidae,Gri Boyunlu Orman Kılavuzu
1647,Aramides wolfi,SA,GRUIFORMES,Rallidae,Wolf Orman Kılavuzu
1648,Aramides ypecaha,SA,GRUIFORMES,Rallidae,Büyük Orman Kılavuzu
1649,Aramides calopterus,SA,GRUIFORMES,Rallidae,Kızıl Kanatlı Orman Kılavuzu
1650,Aramides saracura,SA,GRUIFORMES,Rallidae,Kurşuni Orman Kılavuzu
1651,Rallus obsoletus,"NA, MA",GRUIFORMES,Rallidae,Ridgway Sukılavuzu
1652,Rallus crepitans,"NA, MA",GRUIFORMES,Rallidae,Alkışçı Sukılavuzu
1653,Rallus tenuirostris,MA,GRUIFORMES,Rallidae,Meksika Sukılavuzu
1654,Rallus longirostris,"MA, SA",GRUIFORMES,Rallidae,Boz Sukılavuzu
1655,Rallus elegans,"NA, MA",GRUIFORMES,Rallidae,Kral Sukılavuzu
1656,Rallus wetmorei,SA,GRUIFORMES,Rallidae,Wetmore Sukılavuzu
1657,Rallus semiplumbeus,SA,GRUIFORMES,Rallidae,Bogota Sukılavuzu
1658,Rallus aequatorialis,SA,GRUIFORMES,Rallidae,Ecuadorian Rail
1659,Rallus antarcticus,SA,GRUIFORMES,Rallidae,Macellan Sukılavuzu
1660,Rallus aquaticus,PAL,GRUIFORMES,Rallidae,Sukılavuzu
1661,Rallus indicus,PAL,GRUIFORMES,Rallidae,Asya Sukılavuzu
1662,Rallus caerulescens,AF,GRUIFORMES,Rallidae,Afrika Sukılavuzu
1663,Rallus madagascariensis,AF,GRUIFORMES,Rallidae,Madagaskar Sukılavuzu
1664,Crecopsis egregia,AF,GRUIFORMES,Rallidae,Küçük Bıldırcınkılavuzu
1665,Rougetius rougetii,AF,GRUIFORMES,Rallidae,Rouget Yelvesi
1666,Dryolimnas cuvieri,"AF, IO",GRUIFORMES,Rallidae,Cuvier Sukılavuzu
1667,Crex crex,PAL,GRUIFORMES,Rallidae,Bıldırcınkılavuzu
1668,Aramidopsis plateni,AU,GRUIFORMES,Rallidae,Horlayan Yelve
1669,Lewinia striata,"OR, AU",GRUIFORMES,Rallidae,Gri Gerdanlı Sukılavuzu
1670,Lewinia mirifica,OR,GRUIFORMES,Rallidae,Luzon Sukılavuzu
1671,Lewinia pectoralis,AU,GRUIFORMES,Rallidae,Lewin Sukılavuzu
1672,Lewinia muelleri,AU,GRUIFORMES,Rallidae,Aukland Sukılavuzu
1673,Aptenorallus calayanensis,OR,GRUIFORMES,Rallidae,Kalayan Yelvesi
1674,Habroptila wallacii,AU,GRUIFORMES,Rallidae,Görünmeyen Kılavuz
1675,Gallirallus australis,AU,GRUIFORMES,Rallidae,Veka
1676,Eulabeornis castaneoventris,AU,GRUIFORMES,Rallidae,Kestane Karınlı Kılavuz
1677,Cabalus lafresnayanus,AU,GRUIFORMES,Rallidae,Yeni Kaledonya Yelvesi
1678,Hypotaenidia okinawae,PAL,GRUIFORMES,Rallidae,Okinava Yelvesi
1679,Hypotaenidia torquata,AU,GRUIFORMES,Rallidae,Bıyıklı Yelve
1680,Hypotaenidia philippensis,"AU, PO",GRUIFORMES,Rallidae,Filipin Sukılavuzu
1681,Hypotaenidia owstoni,PO,GRUIFORMES,Rallidae,Guam Yelvesi
1682,Hypotaenidia insignis,AU,GRUIFORMES,Rallidae,Yeni Britanya Yelvesi
1683,Hypotaenidia rovianae,AU,GRUIFORMES,Rallidae,Roviana Yelvesi
1684,Hypotaenidia woodfordi,AU,GRUIFORMES,Rallidae,Karaca Yelve
1685,Hypotaenidia sylvestris,AU,GRUIFORMES,Rallidae,Lord Howe Adası Yelvesi
1686,Porphyriops melanops,SA,GRUIFORMES,Rallidae,Benekli Sutavuğu
1687,Porzana porzana,PAL,GRUIFORMES,Rallidae,Benekli Suyelvesi
1688,Porzana fluminea,AU,GRUIFORMES,Rallidae,Avustralya Suyelvesi
1689,Tribonyx ventralis,AU,GRUIFORMES,Rallidae,Kara Kuyruklu Yertavuğu
1690,Tribonyx mortierii,AU,GRUIFORMES,Rallidae,Tasmanya Yertavuğu
1691,Paragallinula angulata,AF,GRUIFORMES,Rallidae,Küçük Sutavuğu
1692,Gallinula tenebrosa,AU,GRUIFORMES,Rallidae,Karaca Sutavuğu
1693,Gallinula galeata,"NA, SA, PO",GRUIFORMES,Rallidae,Amerika Sutavuğu
1694,Gallinula chloropus,"PAL, AF, IO, OR, PO",GRUIFORMES,Rallidae,Sutavuğu
1695,Gallinula comeri,AO,GRUIFORMES,Rallidae,Gough Sutavuğu
1696,Gallinula silvestris,AU,GRUIFORMES,Rallidae,Kara Alınlı Sutavuğu
1697,Fulica rufifrons,SA,GRUIFORMES,Rallidae,Kırmızı Alınlı Meke
1698,Fulica cornuta,SA,GRUIFORMES,Rallidae,Boynuzlu Meke
1699,Fulica gigantea,SA,GRUIFORMES,Rallidae,Koca Meke
1700,Fulica armillata,SA,GRUIFORMES,Rallidae,Al Burunlu Meke
1701,Fulica atra,"PAL, OR, AU",GRUIFORMES,Rallidae,Sakarmeke
1702,Fulica cristata,"PAL, AF",GRUIFORMES,Rallidae,Tepeli Meke
1703,Fulica alai,PO,GRUIFORMES,Rallidae,Hawaii Mekesi
1704,Fulica americana,"NA, MA, SA",GRUIFORMES,Rallidae,Amerika Mekesi
1705,Fulica ardesiaca,SA,GRUIFORMES,Rallidae,And Mekesi
1706,Fulica leucoptera,SA,GRUIFORMES,Rallidae,Ak Kanatlı Meke
1707,Porphyrio alleni,AF,GRUIFORMES,Rallidae,Küçük Sazhorozu
1708,Porphyrio martinica,"NA, MA, SA",GRUIFORMES,Rallidae,Sarı Bacaklı Sazhorozu
1709,Porphyrio flavirostris,SA,GRUIFORMES,Rallidae,Sarı Gagalı Sazhorozu
1710,Porphyrio porphyrio,"PAL, AF",GRUIFORMES,Rallidae,Mor Sazhorozu
1711,Porphyrio madagascariensis,AF,GRUIFORMES,Rallidae,Afrika Sazhorozu
1712,Porphyrio poliocephalus,"PAL, OR",GRUIFORMES,Rallidae,Gri Başlı Sazhorozu
1713,Porphyrio indicus,"OR, AU",GRUIFORMES,Rallidae,Kara Sırtlı Sazhorozu
1714,Porphyrio pulverulentus,OR,GRUIFORMES,Rallidae,Filipin Sazhorozu
1715,Porphyrio melanotus,"AU, PO",GRUIFORMES,Rallidae,Avustralya Sazhorozu
1716,Porphyrio hochstetteri,AU,GRUIFORMES,Rallidae,Güney Adası Sazhorozu
1717,Micropygia schomburgkii,SA,GRUIFORMES,Rallidae,Aynalı Yelve
1718,Rufirallus viridis,SA,GRUIFORMES,Rallidae,Maskeli Kestane Yelvesi
1719,Rufirallus castaneiceps,SA,GRUIFORMES,Rallidae,Kızıl Başlı Yelve
1720,Coturnicops exquisitus,PAL,GRUIFORMES,Rallidae,Asya Çil Yelvesi
1721,Coturnicops notatus,SA,GRUIFORMES,Rallidae,Kara Çil Yelvesi
1722,Laterallus flaviventer,"NA, MA, SA",GRUIFORMES,Rallidae,Sarı Göğüslü Suyelvesi
1723,Laterallus jamaicensis,"NA, MA, SA",GRUIFORMES,Rallidae,Yazılı Yelve
1724,Laterallus spilonota,SA,GRUIFORMES,Rallidae,Galapagos Yelvesi
1725,Laterallus spiloptera,SA,GRUIFORMES,Rallidae,Civciv Suyelvesi
1726,Laterallus rogersi,AO,GRUIFORMES,Rallidae,Atlantis Yelvesi
1727,Laterallus ruber,MA,GRUIFORMES,Rallidae,Başlıklı Kızıl Yelve
1728,Laterallus melanophaius,SA,GRUIFORMES,Rallidae,Kızıl Böğürlü Yelve
1729,Laterallus levraudi,SA,GRUIFORMES,Rallidae,Kızıl Yelve
1730,Laterallus xenopterus,SA,GRUIFORMES,Rallidae,Conover Yelvesi
1731,Laterallus leucopyrrhus,SA,GRUIFORMES,Rallidae,Albeyaz Yelve
1732,Laterallus exilis,"MA, SA",GRUIFORMES,Rallidae,Gök Yüzlü Yelve
1733,Laterallus albigularis,"MA, SA",GRUIFORMES,Rallidae,Boyalı Kızıl Yelve
1734,Laterallus fasciatus,SA,GRUIFORMES,Rallidae,Kırmızı Çizgili Kestane Yelvesi
1735,Zapornia flavirostra,AF,GRUIFORMES,Rallidae,Kara Afrika Yelvesi
1736,Zapornia olivieri,AF,GRUIFORMES,Rallidae,Madagaskar Kara Yelvesi
1737,Zapornia fusca,OR,GRUIFORMES,Rallidae,Kızıl Göğüslü Yelve
1738,Zapornia paykullii,PAL,GRUIFORMES,Rallidae,Mandarin Yelvesi
1739,Zapornia bicolor,OR,GRUIFORMES,Rallidae,Kara Kuyruklu Yelve
1740,Zapornia akool,OR,GRUIFORMES,Rallidae,Boz Yelve
1741,Zapornia pusilla,"PAL, AF, OR, AU",GRUIFORMES,Rallidae,Küçük Suyelvesi
1742,Zapornia parva,PAL,GRUIFORMES,Rallidae,Bataklık Suyelvesi
1743,Zapornia tabuensis,"OR, AU",GRUIFORMES,Rallidae,Okyanusya Suyelvesi
1744,Zapornia atra,PO,GRUIFORMES,Rallidae,Henderson Adası Yelvesi
1745,Rallina eurizonoides,"OR, AU",GRUIFORMES,Rallidae,Şeritli Kestane Yelvesi
1746,Rallina canningi,OR,GRUIFORMES,Rallidae,Andaman Kestane Yelvesi
1747,Rallina fasciata,OR,GRUIFORMES,Rallidae,Kırmızı Ayaklı Kestane Yelvesi
1748,Rallina tricolor,AU,GRUIFORMES,Rallidae,Yeşil Gagalı Kestane Yelvesi
1749,Gymnocrex rosenbergii,AU,GRUIFORMES,Rallidae,Mavi Gözlüklü Kılavuz
1750,Gymnocrex talaudensis,AU,GRUIFORMES,Rallidae,Talaud Kılavuzu
1751,Gymnocrex plumbeiventris,AU,GRUIFORMES,Rallidae,Boyalı Kılavuz
1752,Himantornis haematopus,AF,GRUIFORMES,Rallidae,Turaç Yelvesi
1753,Megacrex inepta,AU,GRUIFORMES,Rallidae,Büyük Papua Yelvesi
1754,Poliolimnas cinereus,"OR, AU",GRUIFORMES,Rallidae,Sürmeli Yelve
1755,Aenigmatolimnas marginalis,AF,GRUIFORMES,Rallidae,Çizgili Yelve
1756,Gallicrex cinerea,OR,GRUIFORMES,Rallidae,İbikli Sukılavuzu
1757,Amaurornis phoenicurus,"OR, AU",GRUIFORMES,Rallidae,Ak Göğüslü Suyelvesi
1758,Amaurornis olivacea,OR,GRUIFORMES,Rallidae,Filipin Yelvesi
1759,Amaurornis magnirostris,AU,GRUIFORMES,Rallidae,Talaud Yelvesi
1760,Amaurornis isabellina,AU,GRUIFORMES,Rallidae,Selebes Yelvesi
1761,Amaurornis moluccana,AU,GRUIFORMES,Rallidae,Soluk Etekli Yelve
1762,Psophia crepitans,SA,GRUIFORMES,Psophiidae,Boz Kanatlı Borazankuşu
1763,Psophia leucoptera,SA,GRUIFORMES,Psophiidae,Ak Kanatlı Borazankuşu
1764,Psophia viridis,SA,GRUIFORMES,Psophiidae,Kara Kanatlı Borazankuşu
1765,Balearica regulorum,AF,GRUIFORMES,Gruidae,Gri Taçlı Turna
1766,Balearica pavonina,AF,GRUIFORMES,Gruidae,Siyah Taçlı Turna
1767,Leucogeranus leucogeranus,PAL,GRUIFORMES,Gruidae,Ak Turna
1768,Antigone vipio,PAL,GRUIFORMES,Gruidae,Gözlüklü Turna
1769,Antigone antigone,"OR, AU",GRUIFORMES,Gruidae,Sarus Turnası
1770,Antigone rubicunda,AU,GRUIFORMES,Gruidae,Brolga Turnası
1771,Grus carunculata,AF,GRUIFORMES,Gruidae,İbikli Turna
1772,Grus paradisea,AF,GRUIFORMES,Gruidae,Gökçe Turna
1773,Grus virgo,PAL,GRUIFORMES,Gruidae,Telli Turna
1774,Grus japonensis,PAL,GRUIFORMES,Gruidae,Japon Turnası
1775,Grus grus,PAL,GRUIFORMES,Gruidae,Turna
1776,Grus monacha,PAL,GRUIFORMES,Gruidae,Ak Başlı Turna
1777,Grus nigricollis,PAL,GRUIFORMES,Gruidae,Kara Boyunlu Turna
1778,Aramus guarauna,"NA, MA, SA",GRUIFORMES,Aramidae,Turnayelvesi
1779,Tachybaptus ruficollis,"PAL, AF, OR",PODICIPEDIFORMES,Podicipedidae,Küçük Batağan
1780,Tachybaptus tricolor,"OR, AU",PODICIPEDIFORMES,Podicipedidae,Tricolored Grebe
1781,Tachybaptus novaehollandiae,"OR, AU",PODICIPEDIFORMES,Podicipedidae,Avustralya Küçük Batağanı
1782,Tachybaptus pelzelnii,AF,PODICIPEDIFORMES,Podicipedidae,Madagaskar Küçük Batağanı
1783,Tachybaptus dominicus,"NA, MA, SA",PODICIPEDIFORMES,Podicipedidae,Amerika Küçük Batağanı
1784,Podilymbus podiceps,"NA, MA, SA",PODICIPEDIFORMES,Podicipedidae,Kalın Gagalı Batağan
1785,Rollandia rolland,SA,PODICIPEDIFORMES,Podicipedidae,Ak Kulaklı Batağan
1786,Rollandia microptera,SA,PODICIPEDIFORMES,Podicipedidae,Titikaka Batağanı
1787,Poliocephalus poliocephalus,AU,PODICIPEDIFORMES,Podicipedidae,Kır Saçlı Batağan
1788,Poliocephalus rufopectus,AU,PODICIPEDIFORMES,Podicipedidae,Yeni Zelanda Batağanı
1789,Podiceps major,SA,PODICIPEDIFORMES,Podicipedidae,Büyük Batağan
1790,Podiceps grisegena,"NA, PAL",PODICIPEDIFORMES,Podicipedidae,Kızıl Boyunlu Batağan
1791,Podiceps cristatus,"PAL, AF, OR, AU",PODICIPEDIFORMES,Podicipedidae,Bahri
1792,Podiceps auritus,"NA, PAL",PODICIPEDIFORMES,Podicipedidae,Kulaklı Batağan
1793,Podiceps nigricollis,"PAL, AF, NA, MA",PODICIPEDIFORMES,Podicipedidae,Kara Boyunlu Batağan
1794,Podiceps occipitalis,SA,PODICIPEDIFORMES,Podicipedidae,İnka Batağanı
1795,Podiceps taczanowskii,SA,PODICIPEDIFORMES,Podicipedidae,Junin Batağanı
1796,Podiceps gallardoi,SA,PODICIPEDIFORMES,Podicipedidae,Ak Alınlı Batağan
1797,Aechmophorus occidentalis,"NA, MA",PODICIPEDIFORMES,Podicipedidae,İnce Gagalı Batağan
1798,Aechmophorus clarkii,"NA, MA",PODICIPEDIFORMES,Podicipedidae,Clark Batağanı
1799,Phoenicopterus roseus,"PAL, AF",PHOENICOPTERIFORMES,Phoenicopteridae,Flamingo
1800,Phoenicopterus ruber,"MA, SA",PHOENICOPTERIFORMES,Phoenicopteridae,Amerika Flamingosu
1801,Phoenicopterus chilensis,SA,PHOENICOPTERIFORMES,Phoenicopteridae,Şili Flamingosu
1802,Phoeniconaias minor,"AF, OR",PHOENICOPTERIFORMES,Phoenicopteridae,Küçük Flamingo
1803,Phoenicoparrus andinus,SA,PHOENICOPTERIFORMES,Phoenicopteridae,And Flamingosu
1804,Phoenicoparrus jamesi,SA,PHOENICOPTERIFORMES,Phoenicopteridae,Puna Flamingosu
1805,Turnix sylvaticus,"PAL, AF, OR",CHARADRIIFORMES,Turnicidae,Endelüs Bıldırcınyelvesi
1806,Turnix maculosus,AU,CHARADRIIFORMES,Turnicidae,Kızıl Sırtlı Bıldırcınyelvesi
1807,Turnix hottentottus,AF,CHARADRIIFORMES,Turnicidae,Kap Bıldırcınyelvesi
1808,Turnix nanus,AF,CHARADRIIFORMES,Turnicidae,Kara Belli Bıldırcınyelvesi
1809,Turnix tanki,OR,CHARADRIIFORMES,Turnicidae,Hint Bıldırcınyelvesi
