,IOC,Breeding Range,Order,Family,Finnish
2409,Threskiornis melanocephalus,OR,PELECANIFORMES,Threskiornithidae,aasianpyhäiibis
2410,Threskiornis molucca,AU,PELECANIFORMES,Threskiornithidae,australianpyhäiibis
2411,Threskiornis spinicollis,AU,PELECANIFORMES,Threskiornithidae,poutaiibis
2412,Pseudibis papillosa,OR,PELECANIFORMES,Threskiornithidae,intianiibis
2413,Pseudibis davisoni,OR,PELECANIFORMES,Threskiornithidae,sininiskaiibis
2414,Pseudibis gigantea,OR,PELECANIFORMES,Threskiornithidae,jätti-iibis
2415,Geronticus eremita,AF,PELECANIFORMES,Threskiornithidae,töyhtöiibis
2416,Geronticus calvus,AF,PELECANIFORMES,Threskiornithidae,kaljuiibis
2417,Nipponia nippon,PAL,PELECANIFORMES,Threskiornithidae,japaniniibis
2418,Bostrychia olivacea,AF,PELECANIFORMES,Threskiornithidae,oliivi-iibis
2419,Bostrychia bocagei,AF,PELECANIFORMES,Threskiornithidae,saotomeniibis
2420,Bostrychia rara,AF,PELECANIFORMES,Threskiornithidae,täpläiibis
2421,Bostrychia hagedash,AF,PELECANIFORMES,Threskiornithidae,hadadaiibis
2422,Bostrychia carunculata,AF,PELECANIFORMES,Threskiornithidae,helttaiibis
2423,Theristicus caerulescens,SA,PELECANIFORMES,Threskiornithidae,harmaaiibis
2424,Theristicus caudatus,SA,PELECANIFORMES,Threskiornithidae,eteläamerikaniibis
2425,Theristicus melanopis,SA,PELECANIFORMES,Threskiornithidae,andieniibis
2426,Theristicus branickii,SA,PELECANIFORMES,Threskiornithidae,Andean Ibis
2427,Cercibis oxycerca,SA,PELECANIFORMES,Threskiornithidae,suippopyrstöiibis
2428,Mesembrinibis cayennensis,"MA, SA",PELECANIFORMES,Threskiornithidae,viheriibis
2429,Phimosus infuscatus,SA,PELECANIFORMES,Threskiornithidae,kuiskaajaiibis
2430,Eudocimus albus,"NA, MA, SA",PELECANIFORMES,Threskiornithidae,valkoiibis
2431,Eudocimus ruber,SA,PELECANIFORMES,Threskiornithidae,rubiini-iibis
2432,Plegadis falcinellus,Worldwide but disjunctly,PELECANIFORMES,Threskiornithidae,pronssi-iibis
2433,Plegadis chihi,"NA, MA, SA",PELECANIFORMES,Threskiornithidae,amerikanpronssi-iibis
2434,Plegadis ridgwayi,SA,PELECANIFORMES,Threskiornithidae,punaniibis
2435,Lophotibis cristata,AF,PELECANIFORMES,Threskiornithidae,madagaskariniibis
2436,Platalea leucorodia,"AF, PAL, OR",PELECANIFORMES,Threskiornithidae,kapustahaikara
2437,Platalea minor,PAL,PELECANIFORMES,Threskiornithidae,pikkukapustahaikara
2438,Platalea alba,AF,PELECANIFORMES,Threskiornithidae,afrikankapustahaikara
2439,Platalea regia,AU,PELECANIFORMES,Threskiornithidae,australiankapustahaikara
2440,Platalea flavipes,AU,PELECANIFORMES,Threskiornithidae,keltakapustahaikara
2441,Platalea ajaja,"NA, MA, SA",PELECANIFORMES,Threskiornithidae,ruusukapustahaikara
2442,Zonerodius heliosylus,AU,PELECANIFORMES,Ardeidae,papuanhaikara
2443,Tigriornis leucolopha,AF,PELECANIFORMES,Ardeidae,afrikantiikerihaikara
2444,Tigrisoma lineatum,"MA, SA",PELECANIFORMES,Ardeidae,ruskotiikerihaikara
2445,Tigrisoma fasciatum,"MA, SA",PELECANIFORMES,Ardeidae,kirjotiikerihaikara
2446,Tigrisoma mexicanum,"MA, SA",PELECANIFORMES,Ardeidae,isotiikerihaikara
2447,Agamia agami,"MA, SA",PELECANIFORMES,Ardeidae,keihäshaikara
2448,Cochlearius cochlearius,"MA, SA",PELECANIFORMES,Ardeidae,ruuhinokka
2449,Zebrilus undulatus,SA,PELECANIFORMES,Ardeidae,nokihaikara
2450,Botaurus stellaris,PAL,PELECANIFORMES,Ardeidae,kaulushaikara
2451,Botaurus poiciloptilus,AU,PELECANIFORMES,Ardeidae,australiankaulushaikara
2452,Botaurus pinnatus,"MA, SA",PELECANIFORMES,Ardeidae,amazoniankaulushaikara
2453,Ixobrychus involucris,SA,PELECANIFORMES,Ardeidae,viirupikkuhaikara
2454,Ixobrychus exilis,"NA, MA, SA",PELECANIFORMES,Ardeidae,amerikanpikkuhaikara
2455,Ixobrychus minutus,"PAL, AF",PELECANIFORMES,Ardeidae,pikkuhaikara
2456,Ixobrychus dubius,AU,PELECANIFORMES,Ardeidae,Black-backed Bittern
2457,Ixobrychus sinensis,"PAL, IO, OR",PELECANIFORMES,Ardeidae,kiinanpikkuhaikara
2458,Ixobrychus eurhythmus,PAL,PELECANIFORMES,Ardeidae,kastanjapikkuhaikara
2459,Ixobrychus cinnamomeus,"OR, PAL",PELECANIFORMES,Ardeidae,kanelipikkuhaikara
2460,Ixobrychus sturmii,AF,PELECANIFORMES,Ardeidae,sinipikkuhaikara
2461,Ixobrychus flavicollis,"OR, AU",PELECANIFORMES,Ardeidae,mustapikkuhaikara
2462,Gorsachius magnificus,OR,PELECANIFORMES,Ardeidae,kiinanhämyhaikara
2463,Gorsachius goisagi,PAL,PELECANIFORMES,Ardeidae,japaninhämyhaikara
2464,Gorsachius melanolophus,OR,PELECANIFORMES,Ardeidae,etelänhämyhaikara
2465,Gorsachius leuconotus,AF,PELECANIFORMES,Ardeidae,silmälasihaikara
2466,Nycticorax nycticorax,Worldwide,PELECANIFORMES,Ardeidae,yöhaikara
2467,Nycticorax caledonicus,AU,PELECANIFORMES,Ardeidae,australianyöhaikara
2468,Nyctanassa violacea,"NA, MA, SA",PELECANIFORMES,Ardeidae,kruunuyöhaikara
2469,Butorides virescens,"NA, MA",PELECANIFORMES,Ardeidae,amerikankyyryhaikara
2470,Butorides sundevalli,SA,PELECANIFORMES,Ardeidae,galapagosinkyyryhaikara
2471,Butorides striata,"SA, PAL, AF, AU",PELECANIFORMES,Ardeidae,kyyryhaikara
2472,Ardeola ralloides,"PAL, AF",PELECANIFORMES,Ardeidae,rääkkähaikara
2473,Ardeola grayii,"PAL, OR",PELECANIFORMES,Ardeidae,intianriisihaikara
2474,Ardeola bacchus,OR,PELECANIFORMES,Ardeidae,kiinanriisihaikara
2475,Ardeola speciosa,OR,PELECANIFORMES,Ardeidae,jaavanriisihaikara
2476,Ardeola idae,AF,PELECANIFORMES,Ardeidae,valkorääkkähaikara
2477,Ardeola rufiventris,AF,PELECANIFORMES,Ardeidae,punavatsahaikara
2478,Bubulcus ibis,"PAL, AF, NA, MA, SA",PELECANIFORMES,Ardeidae,lehmähaikara
2479,Bubulcus coromandus,OR,PELECANIFORMES,Ardeidae,Eastern Cattle Egret
2480,Ardea cinerea,"PAL, AF, OR",PELECANIFORMES,Ardeidae,harmaahaikara
2481,Ardea herodias,"NA, MA",PELECANIFORMES,Ardeidae,amerikanharmaahaikara
2482,Ardea cocoi,SA,PELECANIFORMES,Ardeidae,eteläamerikanhaikara
2483,Ardea pacifica,AU,PELECANIFORMES,Ardeidae,valkopäähaikara
2484,Ardea melanocephala,AF,PELECANIFORMES,Ardeidae,kobolttihaikara
2485,Ardea humbloti,AF,PELECANIFORMES,Ardeidae,madagaskarinhaikara
2486,Ardea insignis,OR,PELECANIFORMES,Ardeidae,himalajanhaikara
2487,Ardea sumatrana,"OR, AU",PELECANIFORMES,Ardeidae,paksunokkahaikara
2488,Ardea goliath,"AF, PAL",PELECANIFORMES,Ardeidae,goljathaikara
2489,Ardea purpurea,"PAL, OR, AF",PELECANIFORMES,Ardeidae,ruskohaikara
2490,Ardea alba,"NA, SA, AF, PAL, OR, AU",PELECANIFORMES,Ardeidae,jalohaikara
2491,Ardea intermedia,"OR, AF, AU",PELECANIFORMES,Ardeidae,pikkujalohaikara
2492,Pilherodius pileatus,"MA, SA",PELECANIFORMES,Ardeidae,kalottihaikara
2493,Syrigma sibilatrix,SA,PELECANIFORMES,Ardeidae,viheltäjähaikara
2494,Egretta picata,AU,PELECANIFORMES,Ardeidae,valkokaulahaikara
2495,Egretta novaehollandiae,AU,PELECANIFORMES,Ardeidae,valkonaamahaikara
2496,Egretta rufescens,"NA, MA",PELECANIFORMES,Ardeidae,klovnihaikara
2497,Egretta ardesiaca,AF,PELECANIFORMES,Ardeidae,varjostajahaikara
2498,Egretta vinaceigula,AF,PELECANIFORMES,Ardeidae,ruskokurkkuhaikara
2499,Egretta tricolor,"NA, MA, SA",PELECANIFORMES,Ardeidae,karibianhaikara
2500,Egretta caerulea,"NA, MA, SA",PELECANIFORMES,Ardeidae,sinihaikara
2501,Egretta thula,"NA, MA, SA",PELECANIFORMES,Ardeidae,lumihaikara
2502,Egretta garzetta,"PAL, AF, OR, AU",PELECANIFORMES,Ardeidae,silkkihaikara
2503,Egretta gularis,"AF, PAL, OR",PELECANIFORMES,Ardeidae,riuttahaikara
2504,Egretta dimorpha,AF,PELECANIFORMES,Ardeidae,madagaskarinsilkkihaikara
2505,Egretta sacra,"OR, AU",PELECANIFORMES,Ardeidae,korallihaikara
2506,Egretta eulophotes,PAL,PELECANIFORMES,Ardeidae,kiinanjalohaikara
2507,Scopus umbretta,AF,PELECANIFORMES,Scopidae,vasarapäähaikara
2508,Balaeniceps rex,AF,PELECANIFORMES,Balaenicipitidae,kenkänokka
2509,Pelecanus onocrotalus,"PAL, AF",PELECANIFORMES,Pelecanidae,pelikaani
2510,Pelecanus rufescens,AF,PELECANIFORMES,Pelecanidae,afrikanpelikaani
2511,Pelecanus philippensis,OR,PELECANIFORMES,Pelecanidae,pisamapelikaani
2512,Pelecanus crispus,PAL,PELECANIFORMES,Pelecanidae,kiharapelikaani
2513,Pelecanus conspicillatus,AU,PELECANIFORMES,Pelecanidae,australianpelikaani
2514,Pelecanus occidentalis,"NA, MA, SA",PELECANIFORMES,Pelecanidae,ruskopelikaani
2515,Pelecanus thagus,SA,PELECANIFORMES,Pelecanidae,perunpelikaani
2516,Opisthocomus hoazin,SA,OPISTHOCOMIFORMES,Opisthocomidae,hoatsin
2517,Sarcoramphus papa,"MA, SA",ACCIPITRIFORMES,Cathartidae,kuningaskondori
2518,Vultur gryphus,SA,ACCIPITRIFORMES,Cathartidae,andienkondori
2519,Coragyps atratus,"NA, MA, SA",ACCIPITRIFORMES,Cathartidae,mustakondori
2520,Cathartes aura,"NA, MA, SA",ACCIPITRIFORMES,Cathartidae,kalkkunakondori
2521,Cathartes burrovianus,"MA, SA",ACCIPITRIFORMES,Cathartidae,pikkukondori
2522,Cathartes melambrotus,SA,ACCIPITRIFORMES,Cathartidae,amazoniankondori
2523,Sagittarius serpentarius,AF,ACCIPITRIFORMES,Sagittariidae,sihteeri
2524,Pandion haliaetus,Worldwide,ACCIPITRIFORMES,Pandionidae,sääksi (kalasääski)
2525,Elanus caeruleus,"AF, OR, AU",ACCIPITRIFORMES,Accipitridae,liitohaukka
2526,Elanus axillaris,AU,ACCIPITRIFORMES,Accipitridae,australianliitohaukka
2527,Elanus leucurus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,amerikanliitohaukka
2528,Elanus scriptus,AU,ACCIPITRIFORMES,Accipitridae,yöliitohaukka
2529,Gampsonyx swainsonii,SA,ACCIPITRIFORMES,Accipitridae,pikkuhaukka
2530,Chelictinia riocourii,AF,ACCIPITRIFORMES,Accipitridae,afrikansirohaukka
2531,Polyboroides typus,AF,ACCIPITRIFORMES,Accipitridae,rosvohaukka
2532,Polyboroides radiatus,AF,ACCIPITRIFORMES,Accipitridae,madagaskarinrosvohaukka
2533,Gypohierax angolensis,AF,ACCIPITRIFORMES,Accipitridae,palmukorppikotka
2534,Gypaetus barbatus,"AF, PAL",ACCIPITRIFORMES,Accipitridae,partakorppikotka
2535,Neophron percnopterus,"AF, PAL, OR",ACCIPITRIFORMES,Accipitridae,pikkukorppikotka
2536,Eutriorchis astur,AF,ACCIPITRIFORMES,Accipitridae,madagaskarinkäärmehaukka
2537,Leptodon cayanensis,"MA, SA",ACCIPITRIFORMES,Accipitridae,jokihaukka
2538,Leptodon forbesi,SA,ACCIPITRIFORMES,Accipitridae,valkokaulushaukka
2539,Chondrohierax uncinatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,väkänokkahaukka
2540,Pernis apivorus,PAL,ACCIPITRIFORMES,Accipitridae,mehiläishaukka
2541,Pernis ptilorhynchus,"PAL, OR",ACCIPITRIFORMES,Accipitridae,idänmehiläishaukka
2542,Pernis celebensis,AU,ACCIPITRIFORMES,Accipitridae,celebesinmehiläishaukka
2543,Pernis steerei,OR,ACCIPITRIFORMES,Accipitridae,filippiinienmehiläishaukka
2544,Elanoides forficatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,amerikansirohaukka
2545,Lophoictinia isura,AU,ACCIPITRIFORMES,Accipitridae,leijahaukka
2546,Hamirostra melanosternon,AU,ACCIPITRIFORMES,Accipitridae,australianarohaukka
2547,Aviceda cuculoides,AF,ACCIPITRIFORMES,Accipitridae,afrikantöyhtöhaukka
2548,Aviceda madagascariensis,AF,ACCIPITRIFORMES,Accipitridae,madagaskarintöyhtöhaukka
2549,Aviceda jerdoni,"OR, AU",ACCIPITRIFORMES,Accipitridae,isotöyhtöhaukka
2550,Aviceda subcristata,AU,ACCIPITRIFORMES,Accipitridae,töyhtöhaukka
2551,Aviceda leuphotes,OR,ACCIPITRIFORMES,Accipitridae,kirjotöyhtöhaukka
2552,Henicopernis longicauda,AU,ACCIPITRIFORMES,Accipitridae,ampiaishaukka
2553,Henicopernis infuscatus,AU,ACCIPITRIFORMES,Accipitridae,tumma-ampiaishaukka
2554,Necrosyrtes monachus,AF,ACCIPITRIFORMES,Accipitridae,huppukorppikotka
2555,Gyps africanus,AF,ACCIPITRIFORMES,Accipitridae,savannikorppikotka
2556,Gyps bengalensis,OR,ACCIPITRIFORMES,Accipitridae,bengalinkorppikotka
2557,Gyps indicus,OR,ACCIPITRIFORMES,Accipitridae,intiankorppikotka
2558,Gyps tenuirostris,OR,ACCIPITRIFORMES,Accipitridae,gangesinkorppikotka
2559,Gyps rueppelli,AF,ACCIPITRIFORMES,Accipitridae,suomukorppikotka
2560,Gyps himalayensis,OR,ACCIPITRIFORMES,Accipitridae,himalajankorppikotka
2561,Gyps fulvus,"AF, PAL",ACCIPITRIFORMES,Accipitridae,hanhikorppikotka
2562,Gyps coprotheres,AF,ACCIPITRIFORMES,Accipitridae,kapinkorppikotka
2563,Sarcogyps calvus,OR,ACCIPITRIFORMES,Accipitridae,kalmokorppikotka
2564,Trigonoceps occipitalis,AF,ACCIPITRIFORMES,Accipitridae,kirjokorppikotka
2565,Aegypius monachus,PAL,ACCIPITRIFORMES,Accipitridae,munkkikorppikotka
2566,Torgos tracheliotos,AF,ACCIPITRIFORMES,Accipitridae,korvakorppikotka
2567,Spilornis cheela,OR,ACCIPITRIFORMES,Accipitridae,harjakotka
2568,Spilornis klossi,OR,ACCIPITRIFORMES,Accipitridae,pikkuharjakotka
2569,Spilornis kinabaluensis,OR,ACCIPITRIFORMES,Accipitridae,borneonharjakotka
2570,Spilornis rufipectus,AU,ACCIPITRIFORMES,Accipitridae,celebesinharjakotka
2571,Spilornis holospilus,OR,ACCIPITRIFORMES,Accipitridae,Philippine Serpent Eagle
2572,Spilornis elgini,OR,ACCIPITRIFORMES,Accipitridae,tummaharjakotka
2573,Pithecophaga jefferyi,OR,ACCIPITRIFORMES,Accipitridae,filippiinienkotka
2574,Circaetus gallicus,"PAL, OR",ACCIPITRIFORMES,Accipitridae,käärmekotka
2575,Circaetus beaudouini,AF,ACCIPITRIFORMES,Accipitridae,sahelinkäärmekotka
2576,Circaetus pectoralis,AF,ACCIPITRIFORMES,Accipitridae,savannikäärmekotka
2577,Circaetus cinereus,AF,ACCIPITRIFORMES,Accipitridae,ruskokäärmekotka
2578,Circaetus fasciolatus,AF,ACCIPITRIFORMES,Accipitridae,pikkukäärmekotka
2579,Circaetus cinerascens,AF,ACCIPITRIFORMES,Accipitridae,jokikäärmekotka
2580,Dryotriorchis spectabilis,AF,ACCIPITRIFORMES,Accipitridae,kongonkäärmehaukka
2581,Terathopius ecaudatus,AF,ACCIPITRIFORMES,Accipitridae,liitokotka
2582,Macheiramphus alcinus,"AF, OR, AU",ACCIPITRIFORMES,Accipitridae,lepakkohaukka
2583,Harpyopsis novaeguineae,AU,ACCIPITRIFORMES,Accipitridae,papuanharpyija
2584,Morphnus guianensis,"MA, SA",ACCIPITRIFORMES,Accipitridae,pikkuharpyija
2585,Harpia harpyja,"MA, SA",ACCIPITRIFORMES,Accipitridae,harpyija
2586,Stephanoaetus coronatus,AF,ACCIPITRIFORMES,Accipitridae,keisarijalokotka
2587,Nisaetus kelaarti,OR,ACCIPITRIFORMES,Accipitridae,Legge's Hawk-Eagle
2588,Nisaetus nanus,OR,ACCIPITRIFORMES,Accipitridae,pikkujalokotka
2589,Nisaetus nipalensis,OR,ACCIPITRIFORMES,Accipitridae,mahtijalokotka
2590,Nisaetus alboniger,OR,ACCIPITRIFORMES,Accipitridae,vuorijalokotka
2591,Nisaetus bartelsi,OR,ACCIPITRIFORMES,Accipitridae,jaavanjalokotka
2592,Nisaetus lanceolatus,AU,ACCIPITRIFORMES,Accipitridae,celebesinjalokotka
2593,Nisaetus pinskeri,OR,ACCIPITRIFORMES,Accipitridae,mindanaonjalokotka
2594,Nisaetus philippensis,OR,ACCIPITRIFORMES,Accipitridae,filippiinienjalokotka
2595,Nisaetus cirrhatus,OR,ACCIPITRIFORMES,Accipitridae,jalokotka
2596,Nisaetus floris,AU,ACCIPITRIFORMES,Accipitridae,Flores Hawk-Eagle
2597,Spizaetus tyrannus,"MA, SA",ACCIPITRIFORMES,Accipitridae,ritarijalokotka
2598,Spizaetus melanoleucus,"MA, SA",ACCIPITRIFORMES,Accipitridae,töyhtövalkokotka
2599,Spizaetus ornatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,kuningasjalokotka
2600,Spizaetus isidori,SA,ACCIPITRIFORMES,Accipitridae,rotkokotka
2601,Lophotriorchis kienerii,"OR, AU",ACCIPITRIFORMES,Accipitridae,punavatsakotka
2602,Polemaetus bellicosus,AF,ACCIPITRIFORMES,Accipitridae,gasellikotka
2603,Lophaetus occipitalis,AF,ACCIPITRIFORMES,Accipitridae,töyhtökotka
2604,Ictinaetus malaiensis,OR,ACCIPITRIFORMES,Accipitridae,rosvokotka
2605,Clanga hastata,OR,ACCIPITRIFORMES,Accipitridae,intiankiljukotka
2606,Clanga pomarina,PAL,ACCIPITRIFORMES,Accipitridae,pikkukiljukotka
2607,Clanga clanga,PAL,ACCIPITRIFORMES,Accipitridae,kiljukotka
2608,Hieraaetus wahlbergi,AF,ACCIPITRIFORMES,Accipitridae,sirokotka
2609,Hieraaetus ayresii,AF,ACCIPITRIFORMES,Accipitridae,afrikanpikkukotka
2610,Hieraaetus pennatus,PAL,ACCIPITRIFORMES,Accipitridae,pikkukotka
2611,Hieraaetus weiskei,AU,ACCIPITRIFORMES,Accipitridae,uudenguineanpikkukotka
2612,Hieraaetus morphnoides,AU,ACCIPITRIFORMES,Accipitridae,australianpikkukotka
2613,Aquila nipalensis,PAL,ACCIPITRIFORMES,Accipitridae,arokotka
2614,Aquila rapax,AF,ACCIPITRIFORMES,Accipitridae,savannikotka
2615,Aquila adalberti,PAL,ACCIPITRIFORMES,Accipitridae,iberiankeisarikotka
2616,Aquila heliaca,PAL,ACCIPITRIFORMES,Accipitridae,keisarikotka
2617,Aquila chrysaetos,"NA, MA, PAL",ACCIPITRIFORMES,Accipitridae,maakotka
2618,Aquila africana,AF,ACCIPITRIFORMES,Accipitridae,afrikanjalokotka
2619,Aquila audax,AU,ACCIPITRIFORMES,Accipitridae,kiilapyrstökotka
2620,Aquila gurneyi,AU,ACCIPITRIFORMES,Accipitridae,papuankotka
2621,Aquila verreauxii,AF,ACCIPITRIFORMES,Accipitridae,mustakotka
2622,Aquila fasciata,"PAL, OR",ACCIPITRIFORMES,Accipitridae,vuorikotka
2623,Aquila spilogaster,AF,ACCIPITRIFORMES,Accipitridae,afrikanvuorikotka
2624,Harpagus bidentatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,hammashaukka
2625,Harpagus diodon,SA,ACCIPITRIFORMES,Accipitridae,vaaleahammashaukka
2626,Kaupifalco monogrammicus,AF,ACCIPITRIFORMES,Accipitridae,liskohaukka
2627,Micronisus gabar,AF,ACCIPITRIFORMES,Accipitridae,pikkulauluhaukka
2628,Melierax metabates,AF,ACCIPITRIFORMES,Accipitridae,lauluhaukka
2629,Melierax poliopterus,AF,ACCIPITRIFORMES,Accipitridae,somalianlauluhaukka
2630,Melierax canorus,AF,ACCIPITRIFORMES,Accipitridae,kapinlauluhaukka
2631,Urotriorchis macrourus,AF,ACCIPITRIFORMES,Accipitridae,viuhkahaukka
2632,Erythrotriorchis buergersi,AU,ACCIPITRIFORMES,Accipitridae,papuankanahaukka
2633,Erythrotriorchis radiatus,AU,ACCIPITRIFORMES,Accipitridae,australianhaukka
2634,Megatriorchis doriae,AU,ACCIPITRIFORMES,Accipitridae,isopyrstöhaukka
2635,Microspizias superciliosus,"MA, SA",ACCIPITRIFORMES,Accipitridae,kolibrihaukka
2636,Microspizias collaris,SA,ACCIPITRIFORMES,Accipitridae,pilvimetsähaukka
2637,Accipiter trivirgatus,OR,ACCIPITRIFORMES,Accipitridae,töyhtölintuhaukka
2638,Accipiter griseiceps,AU,ACCIPITRIFORMES,Accipitridae,täplälintuhaukka
2639,Accipiter poliogaster,SA,ACCIPITRIFORMES,Accipitridae,amazoniankanahaukka
2640,Accipiter toussenelii,AF,ACCIPITRIFORMES,Accipitridae,guineanlintuhaukka
2641,Accipiter tachiro,AF,ACCIPITRIFORMES,Accipitridae,afrikanlintuhaukka
2642,Accipiter castanilius,AF,ACCIPITRIFORMES,Accipitridae,viidakkolintuhaukka
2643,Accipiter badius,"AF, OR",ACCIPITRIFORMES,Accipitridae,arovarpushaukka
2644,Accipiter butleri,OR,ACCIPITRIFORMES,Accipitridae,nikobaarienlintuhaukka
2645,Accipiter brevipes,PAL,ACCIPITRIFORMES,Accipitridae,sirovarpushaukka
2646,Accipiter soloensis,PAL,ACCIPITRIFORMES,Accipitridae,sammakkohaukka
2647,Accipiter francesiae,AF,ACCIPITRIFORMES,Accipitridae,madagaskarinvarpushaukka
2648,Accipiter trinotatus,AU,ACCIPITRIFORMES,Accipitridae,liskovarpushaukka
2649,Accipiter novaehollandiae,AU,ACCIPITRIFORMES,Accipitridae,vaaleakanahaukka
2650,Accipiter hiogaster,AU,ACCIPITRIFORMES,Accipitridae,punakanahaukka
2651,Accipiter fasciatus,AU,ACCIPITRIFORMES,Accipitridae,australiankanahaukka
2652,Accipiter melanochlamys,AU,ACCIPITRIFORMES,Accipitridae,keikarilintuhaukka
2653,Accipiter albogularis,AU,ACCIPITRIFORMES,Accipitridae,salomoninhaukka
2654,Accipiter haplochrous,AU,ACCIPITRIFORMES,Accipitridae,uudenkaledonianhaukka
2655,Accipiter rufitorques,PO,ACCIPITRIFORMES,Accipitridae,fidzinlintuhaukka
2656,Accipiter henicogrammus,AU,ACCIPITRIFORMES,Accipitridae,molukkienvarpushaukka
2657,Accipiter luteoschistaceus,AU,ACCIPITRIFORMES,Accipitridae,liuskelintuhaukka
2658,Accipiter imitator,AU,ACCIPITRIFORMES,Accipitridae,matkijalintuhaukka
2659,Accipiter poliocephalus,AU,ACCIPITRIFORMES,Accipitridae,harmaalintuhaukka
2660,Accipiter princeps,AU,ACCIPITRIFORMES,Accipitridae,haamulintuhaukka
2661,Accipiter erythropus,AF,ACCIPITRIFORMES,Accipitridae,kongonvarpushaukka
2662,Accipiter minullus,AF,ACCIPITRIFORMES,Accipitridae,afrikanvarpushaukka
2663,Accipiter gularis,PAL,ACCIPITRIFORMES,Accipitridae,idänvarpushaukka
2664,Accipiter virgatus,OR,ACCIPITRIFORMES,Accipitridae,ruostevarpushaukka
2665,Accipiter nanus,AU,ACCIPITRIFORMES,Accipitridae,celebesinvarpushaukka
2666,Accipiter erythrauchen,AU,ACCIPITRIFORMES,Accipitridae,molukkienlintuhaukka
2667,Accipiter cirrocephalus,AU,ACCIPITRIFORMES,Accipitridae,ruosteniskahaukka
2668,Accipiter brachyurus,AU,ACCIPITRIFORMES,Accipitridae,nokilintuhaukka
2669,Accipiter rhodogaster,AU,ACCIPITRIFORMES,Accipitridae,mangrovevarpushaukka
2670,Accipiter madagascariensis,AF,ACCIPITRIFORMES,Accipitridae,madagaskarinlintuhaukka
2671,Accipiter ovampensis,AF,ACCIPITRIFORMES,Accipitridae,savannilintuhaukka
2672,Accipiter nisus,PAL,ACCIPITRIFORMES,Accipitridae,varpushaukka
2673,Accipiter rufiventris,AF,ACCIPITRIFORMES,Accipitridae,ruostelintuhaukka
2674,Accipiter striatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,amerikanvarpushaukka
2675,Accipiter chionogaster,MA,ACCIPITRIFORMES,Accipitridae,White-breasted Hawk
2676,Accipiter ventralis,SA,ACCIPITRIFORMES,Accipitridae,Plain-breasted Hawk
2677,Accipiter erythronemius,SA,ACCIPITRIFORMES,Accipitridae,Rufous-thighed Hawk
2678,Accipiter cooperii,"NA, MA",ACCIPITRIFORMES,Accipitridae,kyyhkyhaukka
2679,Accipiter bicolor,"MA, SA",ACCIPITRIFORMES,Accipitridae,ruostehousuhaukka
2680,Accipiter chilensis,SA,ACCIPITRIFORMES,Accipitridae,Chilean Hawk
2681,Accipiter melanoleucus,AF,ACCIPITRIFORMES,Accipitridae,mustakanahaukka
2682,Accipiter henstii,AF,ACCIPITRIFORMES,Accipitridae,madagaskarinkanahaukka
2683,Accipiter gentilis,PAL,ACCIPITRIFORMES,Accipitridae,kanahaukka
2684,Accipiter atricapillus,"NA, MA",ACCIPITRIFORMES,Accipitridae,American Goshawk
2685,Accipiter meyerianus,AU,ACCIPITRIFORMES,Accipitridae,molukkienkanahaukka
2686,Circus aeruginosus,"PAL, AF",ACCIPITRIFORMES,Accipitridae,ruskosuohaukka
2687,Circus spilonotus,PAL,ACCIPITRIFORMES,Accipitridae,siperiansuohaukka
2688,Circus spilothorax,AU,ACCIPITRIFORMES,Accipitridae,Papuan Harrier
2689,Circus approximans,AU,ACCIPITRIFORMES,Accipitridae,australiansuohaukka
2690,Circus ranivorus,AF,ACCIPITRIFORMES,Accipitridae,afrikansuohaukka
2691,Circus maillardi,AF,ACCIPITRIFORMES,Accipitridae,reunioninsuohaukka
2692,Circus macrosceles,AF,ACCIPITRIFORMES,Accipitridae,madagaskarinsuohaukka
2693,Circus buffoni,SA,ACCIPITRIFORMES,Accipitridae,pampasuohaukka
2694,Circus assimilis,AU,ACCIPITRIFORMES,Accipitridae,helmisuohaukka
2695,Circus maurus,AF,ACCIPITRIFORMES,Accipitridae,mustasuohaukka
2696,Circus cyaneus,PAL,ACCIPITRIFORMES,Accipitridae,sinisuohaukka
2697,Circus hudsonius,"NA, MA",ACCIPITRIFORMES,Accipitridae,Northern Harrier
2698,Circus cinereus,SA,ACCIPITRIFORMES,Accipitridae,raitasuohaukka
2699,Circus macrourus,PAL,ACCIPITRIFORMES,Accipitridae,arosuohaukka
2700,Circus melanoleucos,PAL,ACCIPITRIFORMES,Accipitridae,huppusuohaukka
2701,Circus pygargus,PAL,ACCIPITRIFORMES,Accipitridae,niittysuohaukka
2702,Milvus milvus,PAL,ACCIPITRIFORMES,Accipitridae,isohaarahaukka
2703,Milvus migrans,"PAL, AF, OR, AU",ACCIPITRIFORMES,Accipitridae,haarahaukka
2704,Milvus aegyptius,AF,ACCIPITRIFORMES,Accipitridae,Yellow-billed Kite
2705,Haliastur sphenurus,AU,ACCIPITRIFORMES,Accipitridae,viheltäjähaukka
2706,Haliastur indus,"OR, AU",ACCIPITRIFORMES,Accipitridae,bramiinihaukka
