,IOC,Breeding Range,Order,Family,Japanese
947,Lamprolaima rhami,MA,APODIFORMES,Trochilidae,ガーネットハチドリ
948,Calliphlox amethystina,SA,APODIFORMES,Trochilidae,アメシストハチドリ
949,Myrtis fanny,SA,APODIFORMES,Trochilidae,オウギオハチドリ
950,Rhodopis vesper,SA,APODIFORMES,Trochilidae,オアシスハチドリ
951,Myrmia micrura,SA,APODIFORMES,Trochilidae,チビオハチドリ
952,Thaumastura cora,SA,APODIFORMES,Trochilidae,ホソフタオハチドリ
953,Philodice bryantae,MA,APODIFORMES,Trochilidae,コスタリカハチドリ
954,Philodice mitchellii,"MA, SA",APODIFORMES,Trochilidae,フジノドハチドリ
955,Eulidia yarrellii,SA,APODIFORMES,Trochilidae,カワリオハチドリ
956,Microstilbon burmeisteri,SA,APODIFORMES,Trochilidae,ホソオハチドリ
957,Chaetocercus mulsant,SA,APODIFORMES,Trochilidae,シロハラチビハチドリ
958,Chaetocercus bombus,SA,APODIFORMES,Trochilidae,バラノドチビハチドリ
959,Chaetocercus heliodor,SA,APODIFORMES,Trochilidae,エリマキチビハチドリ
960,Chaetocercus astreans,SA,APODIFORMES,Trochilidae,サンタマルタエリマキチビハチドリ
961,Chaetocercus berlepschi,SA,APODIFORMES,Trochilidae,ムナジロチビハチドリ
962,Chaetocercus jourdanii,SA,APODIFORMES,Trochilidae,ハリオハチドリ
963,Tilmatura dupontii,MA,APODIFORMES,Trochilidae,ムナジロエンビハチドリ
964,Doricha enicura,MA,APODIFORMES,Trochilidae,トガリエンビハチドリ
965,Doricha eliza,MA,APODIFORMES,Trochilidae,オビロエンビハチドリ
966,Calothorax pulcher,MA,APODIFORMES,Trochilidae,シロハラアカヒゲハチドリ
967,Calypte costae,"NA, MA",APODIFORMES,Trochilidae,コスタハチドリ
968,Selasphorus heloisa,MA,APODIFORMES,Trochilidae,コアカヒゲハチドリ
969,Selasphorus ellioti,MA,APODIFORMES,Trochilidae,グアテマラコアカヒゲハチドリ
970,Selasphorus flammula,MA,APODIFORMES,Trochilidae,バラエリフトオハチドリ
971,Selasphorus scintilla,MA,APODIFORMES,Trochilidae,コスタリカノドジロフトオハチドリ
972,Selasphorus ardens,MA,APODIFORMES,Trochilidae,パナマノドジロフトオハチドリ
973,Phaeoptila sordida,MA,APODIFORMES,Trochilidae,ブロンズアカハシハチドリ
974,Cynanthus latirostris,"NA, MA",APODIFORMES,Trochilidae,アカハシハチドリ
975,Cynanthus lawrencei,MA,APODIFORMES,Trochilidae,Tres Marias Hummingbird
976,Cynanthus doubledayi,MA,APODIFORMES,Trochilidae,ミナミアカハシハチドリ
977,Cynanthus auriceps,MA,APODIFORMES,Trochilidae,キボウシヒメエメラルドハチドリ
978,Cynanthus forficatus,MA,APODIFORMES,Trochilidae,コスメルヒメエメラルドハチドリ
979,Cynanthus canivetii,MA,APODIFORMES,Trochilidae,エンビヒメエメラルドハチドリ
980,Chlorostilbon assimilis,MA,APODIFORMES,Trochilidae,パナマヒメエメラルドハチドリ
981,Chlorostilbon melanorhynchus,SA,APODIFORMES,Trochilidae,ニシアンデスエメラルドハチドリ
982,Chlorostilbon gibsoni,SA,APODIFORMES,Trochilidae,アカハシヒメエメラルドハチドリ
983,Chlorostilbon mellisugus,SA,APODIFORMES,Trochilidae,アイオヒメエメラルドハチドリ
984,Chlorostilbon olivaresi,SA,APODIFORMES,Trochilidae,コロンビアヒメエメラルドハチドリ
985,Chlorostilbon lucidus,SA,APODIFORMES,Trochilidae,アオムネヒメエメラルドハチドリ
986,Chlorostilbon russatus,SA,APODIFORMES,Trochilidae,ドウイロヒメエメラルドハチドリ
987,Chlorostilbon stenurus,SA,APODIFORMES,Trochilidae,ホソオヒメエメラルドハチドリ
988,Chlorostilbon alice,SA,APODIFORMES,Trochilidae,ミドリオヒメエメラルドハチドリ
989,Chlorostilbon poortmani,SA,APODIFORMES,Trochilidae,タンビヒメエメラルドハチドリ
990,Basilinna leucotis,MA,APODIFORMES,Trochilidae,ミミジロサファイアハチドリ
991,Basilinna xantusii,MA,APODIFORMES,Trochilidae,クロビタイサファイアハチドリ
992,Pampa curvipennis,MA,APODIFORMES,Trochilidae,クサビオケンバネハチドリ
993,Pampa pampa,MA,APODIFORMES,Trochilidae,Wedge-tailed Sabrewing
994,Pampa rufa,MA,APODIFORMES,Trochilidae,チャバラケンバネハチドリ
995,Abeillia abeillei,MA,APODIFORMES,Trochilidae,コバシハチドリ
996,Klais guimeti,"MA, SA",APODIFORMES,Trochilidae,スミレガシラハチドリ
997,Anthocephala floriceps,SA,APODIFORMES,Trochilidae,チャガシラハチドリ
998,Anthocephala berlepschi,SA,APODIFORMES,Trochilidae,トリマハチドリ
999,Stephanoxis lalandi,SA,APODIFORMES,Trochilidae,カンムリハチドリ
1000,Stephanoxis loddigesii,SA,APODIFORMES,Trochilidae,スミレカンムリハチドリ
1001,Campylopterus largipennis,SA,APODIFORMES,Trochilidae,ハイバラケンバネハチドリ
1002,Campylopterus calcirupicola,SA,APODIFORMES,Trochilidae,タイセイヨウシンリンケンバネハチドリ
1003,Campylopterus diamantinensis,SA,APODIFORMES,Trochilidae,Diamantina Sabrewing
1004,Campylopterus hyperythrus,SA,APODIFORMES,Trochilidae,アカハラケンバネハチドリ
1005,Campylopterus ensipennis,SA,APODIFORMES,Trochilidae,オジロケンバネハチドリ
1006,Campylopterus falcatus,SA,APODIFORMES,Trochilidae,ルリムネケンバネハチドリ
1007,Campylopterus phainopeplus,SA,APODIFORMES,Trochilidae,アイガシラハチドリ
1008,Campylopterus hemileucurus,MA,APODIFORMES,Trochilidae,ムラサキケンバネハチドリ
1009,Campylopterus duidae,SA,APODIFORMES,Trochilidae,キバラケンバネハチドリ
1010,Campylopterus villaviscensio,SA,APODIFORMES,Trochilidae,キンボウシハチドリ
1011,Chalybura urochrysia,"MA, SA",APODIFORMES,Trochilidae,ドウイロハチドリ
1012,Chalybura buffonii,"MA, SA",APODIFORMES,Trochilidae,ワタハラハチドリ
1013,Thalurania colombica,"MA, SA",APODIFORMES,Trochilidae,アオボウシモリハチドリ
1014,Thalurania furcata,SA,APODIFORMES,Trochilidae,エンビモリハチドリ
1015,Thalurania watertonii,SA,APODIFORMES,Trochilidae,オナガエンビハチドリ
1016,Thalurania glaucopis,SA,APODIFORMES,Trochilidae,スミレボウシハチドリ
1017,Microchera albocoronata,MA,APODIFORMES,Trochilidae,ワタボウシハチドリ
1018,Microchera cupreiceps,MA,APODIFORMES,Trochilidae,ドウボウシハチドリ
1019,Microchera chionura,MA,APODIFORMES,Trochilidae,オジロエメラルドハチドリ
1020,Goldmania violiceps,"MA, SA",APODIFORMES,Trochilidae,ムラサキボウシハチドリ
1021,Goldmania bella,"MA, SA",APODIFORMES,Trochilidae,ビジョハチドリ
1022,Eupherusa ridgwayi,MA,APODIFORMES,Trochilidae,メキシコモリハチドリ
1023,Eupherusa poliocerca,MA,APODIFORMES,Trochilidae,オジロハチドリ
1024,Eupherusa cyanophrys,MA,APODIFORMES,Trochilidae,クロビタイオジロハチドリ
1025,Eupherusa eximia,MA,APODIFORMES,Trochilidae,クロスジオジロハチドリ
1026,Eupherusa nigriventris,MA,APODIFORMES,Trochilidae,クロハラオジロハチドリ
1027,Phaeochroa cuvierii,"MA, SA",APODIFORMES,Trochilidae,セイガイハチドリ
1028,Leucippus fallax,SA,APODIFORMES,Trochilidae,ミズベハチドリ
1029,Thaumasius baeri,SA,APODIFORMES,Trochilidae,ハイバラミズベハチドリ
1030,Thaumasius taczanowskii,SA,APODIFORMES,Trochilidae,ホシノドミズベハチドリ
1031,Taphrospilus hypostictus,SA,APODIFORMES,Trochilidae,ウロコハチドリ
1032,Eupetomena macroura,SA,APODIFORMES,Trochilidae,ツバメハチドリ
1033,Eupetomena cirrochloris,SA,APODIFORMES,Trochilidae,ウスグロハチドリ
1034,Talaphorus chlorocercus,SA,APODIFORMES,Trochilidae,キボシミズベハチドリ
1035,Ramosomyia violiceps,"NA, MA",APODIFORMES,Trochilidae,スミレハチドリ
1036,Ramosomyia viridifrons,MA,APODIFORMES,Trochilidae,ミドリビタイハチドリ
1037,Ramosomyia wagneri,MA,APODIFORMES,Trochilidae,ワキアカエメラルドハチドリ
1038,Saucerottia cyanocephala,MA,APODIFORMES,Trochilidae,ソライロボウシエメラルドハチドリ
1039,Saucerottia hoffmanni,MA,APODIFORMES,Trochilidae,Blue-vented Hummingbird
1040,Saucerottia beryllina,MA,APODIFORMES,Trochilidae,コウゲンエメラルドハチドリ
1041,Saucerottia cyanura,MA,APODIFORMES,Trochilidae,ルリオエメラルドハチドリ
1042,Saucerottia edward,MA,APODIFORMES,Trochilidae,シロムネエメラルドハチドリ
1043,Saucerottia saucerottei,SA,APODIFORMES,Trochilidae,ブロンズエメラルドハチドリ
1044,Saucerottia cyanifrons,SA,APODIFORMES,Trochilidae,ルリボウシエメラルドハチドリ
1045,Saucerottia castaneiventris,SA,APODIFORMES,Trochilidae,クリハラエメラルドハチドリ
1046,Saucerottia viridigaster,SA,APODIFORMES,Trochilidae,スミレオエメラルドハチドリ
1047,Saucerottia cupreicauda,SA,APODIFORMES,Trochilidae,Copper-tailed Hummingbird
1048,Saucerottia tobaci,SA,APODIFORMES,Trochilidae,チャゴシエメラルドハチドリ
1049,Amazilia rutila,MA,APODIFORMES,Trochilidae,ニッケイハチドリ
1050,Amazilia yucatanensis,MA,APODIFORMES,Trochilidae,アカハシエメラルドハチドリ
1051,Amazilia tzacatl,"MA, SA",APODIFORMES,Trochilidae,ハイバラエメラルドハチドリ
1052,Amazilia luciae,MA,APODIFORMES,Trochilidae,ホンジュラスエメラルドハチドリ
1053,Amazilia boucardi,MA,APODIFORMES,Trochilidae,マングローブエメラルドハチドリ
1054,Amazilis amazilia,SA,APODIFORMES,Trochilidae,チャムネエメラルドハチドリ
1055,Uranomitra franciae,SA,APODIFORMES,Trochilidae,ズアオエメラルドハチドリ
1056,Chrysuronia goudoti,SA,APODIFORMES,Trochilidae,ミドリルリノドハチドリ
1057,Chrysuronia oenone,SA,APODIFORMES,Trochilidae,コガネオハチドリ
1058,Chrysuronia versicolor,SA,APODIFORMES,Trochilidae,アオボウシエメラルドハチドリ
1059,Chrysuronia coeruleogularis,"MA, SA",APODIFORMES,Trochilidae,ルリノドハチドリ
1060,Chrysuronia lilliae,SA,APODIFORMES,Trochilidae,ルリハラハチドリ
1061,Chrysuronia humboldtii,"MA, SA",APODIFORMES,Trochilidae,フンボルトサファイアハチドリ
1062,Chrysuronia grayi,SA,APODIFORMES,Trochilidae,ズアオサファイアハチドリ
1063,Chrysuronia brevirostris,SA,APODIFORMES,Trochilidae,ユキムネエメラルドハチドリ
1064,Chrysuronia leucogaster,SA,APODIFORMES,Trochilidae,オグロエメラルドハチドリ
1065,Leucochloris albicollis,SA,APODIFORMES,Trochilidae,ノドジロハチドリ
1066,Chionomesa fimbriata,SA,APODIFORMES,Trochilidae,テリノドエメラルドハチドリ
1067,Chionomesa lactea,SA,APODIFORMES,Trochilidae,シロスジエメラルドハチドリ
1068,Hylocharis sapphirina,SA,APODIFORMES,Trochilidae,サファイアハチドリ
1069,Hylocharis chrysura,SA,APODIFORMES,Trochilidae,コガネオサファイアハチドリ
1070,Elliotomyia chionogaster,SA,APODIFORMES,Trochilidae,ユキハラエメラルドハチドリ
1071,Elliotomyia viridicauda,SA,APODIFORMES,Trochilidae,アオシロエメラルドハチドリ
1072,Polyerata amabilis,"MA, SA",APODIFORMES,Trochilidae,エメラルドハチドリ
1073,Polyerata decora,MA,APODIFORMES,Trochilidae,エメラルドカンムリハチドリ
1074,Polyerata rosenbergi,SA,APODIFORMES,Trochilidae,ムネムラサキエメラルドハチドリ
1075,Chlorestes candida,MA,APODIFORMES,Trochilidae,シロハラエメラルドハチドリ
1076,Chlorestes eliciae,"MA, SA",APODIFORMES,Trochilidae,オウゴンサファイアハチドリ
1077,Chlorestes cyanus,SA,APODIFORMES,Trochilidae,シロアゴサファイアハチドリ
1078,Chlorestes julie,"MA, SA",APODIFORMES,Trochilidae,スミレハラハチドリ
1079,Chlorestes notata,SA,APODIFORMES,Trochilidae,アイオハチドリ
1080,Corythaeola cristata,AF,MUSOPHAGIFORMES,Musophagidae,カンムリエボシドリ
1081,Crinifer personatus,AF,MUSOPHAGIFORMES,Musophagidae,クロガオハイイロエボシドリ
1082,Crinifer concolor,AF,MUSOPHAGIFORMES,Musophagidae,ムジハイイロエボシドリ
1083,Crinifer leucogaster,AF,MUSOPHAGIFORMES,Musophagidae,シロハラハイイロエボシドリ
1084,Crinifer piscator,AF,MUSOPHAGIFORMES,Musophagidae,ハイイロエボシドリ
1085,Crinifer zonurus,AF,MUSOPHAGIFORMES,Musophagidae,ヒガシハイイロエボシドリ
1086,Gallirex porphyreolophus,AF,MUSOPHAGIFORMES,Musophagidae,ズグロエボシドリ
1087,Gallirex johnstoni,AF,MUSOPHAGIFORMES,Musophagidae,アカエリエボシドリ
1088,Menelikornis ruspolii,AF,MUSOPHAGIFORMES,Musophagidae,シラガエボシドリ
1089,Menelikornis leucotis,AF,MUSOPHAGIFORMES,Musophagidae,ホオジロエボシドリ
1090,Tauraco violaceus,AF,MUSOPHAGIFORMES,Musophagidae,ニシムラサキエボシドリ
1091,Tauraco rossae,AF,MUSOPHAGIFORMES,Musophagidae,ムラサキエボシドリ
1092,Tauraco macrorhynchus,AF,MUSOPHAGIFORMES,Musophagidae,ハシブトエボシドリ
1093,Tauraco bannermani,AF,MUSOPHAGIFORMES,Musophagidae,ニシアカガシラエボシドリ
1094,Tauraco leucolophus,AF,MUSOPHAGIFORMES,Musophagidae,シロガシラエボシドリ
1095,Tauraco erythrolophus,AF,MUSOPHAGIFORMES,Musophagidae,アカガシラエボシドリ
1096,Tauraco persa,AF,MUSOPHAGIFORMES,Musophagidae,ギニアエボシドリ
1097,Tauraco livingstonii,AF,MUSOPHAGIFORMES,Musophagidae,リビングストンエボシドリ
1098,Tauraco schalowi,AF,MUSOPHAGIFORMES,Musophagidae,シャローエボシドリ
1099,Tauraco corythaix,AF,MUSOPHAGIFORMES,Musophagidae,エボシドリ
1100,Tauraco schuettii,AF,MUSOPHAGIFORMES,Musophagidae,ハシグロエボシドリ
1101,Tauraco fischeri,AF,MUSOPHAGIFORMES,Musophagidae,フィッシャーエボシドリ
1102,Tauraco hartlaubi,AF,MUSOPHAGIFORMES,Musophagidae,オウカンエボシドリ
1103,Otis tarda,PAL,OTIDIFORMES,Otididae,ノガン
1104,Ardeotis arabs,AF,OTIDIFORMES,Otididae,アラビアオオノガン
1105,Ardeotis kori,AF,OTIDIFORMES,Otididae,アフリカオオノガン
1106,Ardeotis nigriceps,OR,OTIDIFORMES,Otididae,インドオオノガン
1107,Ardeotis australis,AU,OTIDIFORMES,Otididae,オーストラリアオオノガン
1108,Chlamydotis undulata,AF,OTIDIFORMES,Otididae,フサエリショウノガン
1109,Chlamydotis macqueenii,PAL,OTIDIFORMES,Otididae,サバクフサエリショウノガン
1110,Neotis ludwigii,AF,OTIDIFORMES,Otididae,ナンアチュウノガン
1111,Neotis denhami,AF,OTIDIFORMES,Otididae,アフリカチュウノガン
1112,Neotis heuglinii,AF,OTIDIFORMES,Otididae,チュウノガン
1113,Neotis nuba,AF,OTIDIFORMES,Otididae,ヌビアチュウノガン
1114,Eupodotis senegalensis,AF,OTIDIFORMES,Otididae,セネガルショウノガン
1115,Eupodotis caerulescens,AF,OTIDIFORMES,Otididae,アオショウノガン
1116,Heterotetrax vigorsii,AF,OTIDIFORMES,Otididae,ノドグロショウノガン
1117,Heterotetrax rueppelii,AF,OTIDIFORMES,Otididae,コノドグロショウノガン
1118,Heterotetrax humilis,AF,OTIDIFORMES,Otididae,カッショクショウノガン
1119,Lophotis savilei,AF,OTIDIFORMES,Otididae,ニシカンムリショウノガン
1120,Lophotis gindiana,AF,OTIDIFORMES,Otididae,キタカンムリショウノガン
1121,Lophotis ruficrista,AF,OTIDIFORMES,Otididae,カンムリショウノガン
1122,Afrotis afra,AF,OTIDIFORMES,Otididae,クロエリショウノガン
1123,Afrotis afraoides,AF,OTIDIFORMES,Otididae,ハジロクロエリショウノガン
1124,Lissotis melanogaster,AF,OTIDIFORMES,Otididae,クロハラチュウノガン
1125,Lissotis hartlaubii,AF,OTIDIFORMES,Otididae,クロビタイチュウノガン
1126,Houbaropsis bengalensis,OR,OTIDIFORMES,Otididae,ベンガルショウノガン
1127,Sypheotides indicus,OR,OTIDIFORMES,Otididae,インドショウノガン
1128,Tetrax tetrax,PAL,OTIDIFORMES,Otididae,ヒメノガン
1129,Guira guira,SA,CUCULIFORMES,Cuculidae,アマゾンカッコウ
1130,Crotophaga major,"MA, SA",CUCULIFORMES,Cuculidae,オニオオハシカッコウ
1131,Crotophaga ani,"NA, MA, SA",CUCULIFORMES,Cuculidae,オオハシカッコウ
1132,Crotophaga sulcirostris,"MA, SA",CUCULIFORMES,Cuculidae,ミゾハシカッコウ
1133,Tapera naevia,"MA, SA",CUCULIFORMES,Cuculidae,セスジカッコウ
1134,Dromococcyx phasianellus,"MA, SA",CUCULIFORMES,Cuculidae,キジミチバシリ
1135,Dromococcyx pavoninus,SA,CUCULIFORMES,Cuculidae,ヒメキジミチバシリ
1136,Morococcyx erythropygus,MA,CUCULIFORMES,Cuculidae,チビミチバシリ
1137,Geococcyx californianus,"NA, MA",CUCULIFORMES,Cuculidae,オオミチバシリ
1138,Geococcyx velox,MA,CUCULIFORMES,Cuculidae,コミチバシリ
1139,Neomorphus geoffroyi,"MA, SA",CUCULIFORMES,Cuculidae,チャバラアメリカジカッコウ
1140,Neomorphus squamiger,SA,CUCULIFORMES,Cuculidae,ウロコアメリカジカッコウ
1141,Neomorphus radiolosus,SA,CUCULIFORMES,Cuculidae,シマアメリカジカッコウ
1142,Neomorphus rufipennis,SA,CUCULIFORMES,Cuculidae,アカメアメリカジカッコウ
1143,Neomorphus pucheranii,SA,CUCULIFORMES,Cuculidae,アカハシアメリカジカッコウ
1144,Centropus milo,AU,CUCULIFORMES,Cuculidae,キガシラバンケン
1145,Centropus ateralbus,AU,CUCULIFORMES,Cuculidae,ニューブリテンバンケン
1146,Centropus menbeki,AU,CUCULIFORMES,Cuculidae,パプアバンケン
1147,Centropus chalybeus,AU,CUCULIFORMES,Cuculidae,ビアクバンケン
1148,Centropus unirufus,OR,CUCULIFORMES,Cuculidae,アカチャバンケン
1149,Centropus chlororhynchos,OR,CUCULIFORMES,Cuculidae,セイロンバンケン
1150,Centropus melanops,OR,CUCULIFORMES,Cuculidae,カオグロバンケン
1151,Centropus steerii,OR,CUCULIFORMES,Cuculidae,ミンドロバンケン
1152,Centropus rectunguis,OR,CUCULIFORMES,Cuculidae,コユビバンケン
1153,Centropus celebensis,AU,CUCULIFORMES,Cuculidae,セレベスバンケン
1154,Centropus anselli,AF,CUCULIFORMES,Cuculidae,チャバラバンケン
1155,Centropus leucogaster,AF,CUCULIFORMES,Cuculidae,ノドグロバンケン
1156,Centropus senegalensis,AF,CUCULIFORMES,Cuculidae,セネガルバンケン
1157,Centropus monachus,AF,CUCULIFORMES,Cuculidae,ズアオバンケン
1158,Centropus cupreicaudus,AF,CUCULIFORMES,Cuculidae,ドウイロオナガバンケン
1159,Centropus superciliosus,AF,CUCULIFORMES,Cuculidae,マミジロバンケン
1160,Centropus burchellii,AF,CUCULIFORMES,Cuculidae,ズグロバンケン
1161,Centropus nigrorufus,OR,CUCULIFORMES,Cuculidae,ジャワバンケン
1162,Centropus sinensis,OR,CUCULIFORMES,Cuculidae,オオバンケン
1163,Centropus toulou,AF,CUCULIFORMES,Cuculidae,アフリカバンケン
1164,Centropus goliath,AU,CUCULIFORMES,Cuculidae,オニバンケン
1165,Centropus grillii,AF,CUCULIFORMES,Cuculidae,ムナグロバンケン
1166,Centropus viridis,OR,CUCULIFORMES,Cuculidae,ミドリバンケン
1167,Centropus bengalensis,"OR, AU",CUCULIFORMES,Cuculidae,バンケン
1168,Centropus violaceus,AU,CUCULIFORMES,Cuculidae,スミレバンケン
1169,Centropus bernsteini,AU,CUCULIFORMES,Cuculidae,アカジマバンケン
1170,Centropus spilopterus,AU,CUCULIFORMES,Cuculidae,ケイバンケン
1171,Centropus phasianinus,AU,CUCULIFORMES,Cuculidae,キジバンケン
1172,Centropus andamanensis,OR,CUCULIFORMES,Cuculidae,アンダマンバンケン
1173,Carpococcyx radiceus,OR,CUCULIFORMES,Cuculidae,ハシリカッコウ
1174,Carpococcyx viridis,OR,CUCULIFORMES,Cuculidae,スマトラハシリカッコウ
1175,Carpococcyx renauldi,OR,CUCULIFORMES,Cuculidae,アカハシハシリカッコウ
1176,Coua cristata,AF,CUCULIFORMES,Cuculidae,カンムリジカッコウ
1177,Coua verreauxi,AF,CUCULIFORMES,Cuculidae,ミナミジカッコウ
1178,Coua caerulea,AF,CUCULIFORMES,Cuculidae,アオジカッコウ
1179,Coua ruficeps,AF,CUCULIFORMES,Cuculidae,アカボウシジカッコウ
1180,Coua reynaudii,AF,CUCULIFORMES,Cuculidae,アカビタイジカッコウ
1181,Coua coquereli,AF,CUCULIFORMES,Cuculidae,ニシジカッコウ
1182,Coua cursor,AF,CUCULIFORMES,Cuculidae,ハシリジカッコウ
1183,Coua gigas,AF,CUCULIFORMES,Cuculidae,オニジカッコウ
1184,Coua serriana,AF,CUCULIFORMES,Cuculidae,ムネアカジカッコウ
1185,Rhinortha chlorophaea,OR,CUCULIFORMES,Cuculidae,クリイロバンケンモドキ
1186,Ceuthmochares aereus,AF,CUCULIFORMES,Cuculidae,キバシバンケンモドキ
1187,Ceuthmochares australis,AF,CUCULIFORMES,Cuculidae,ミナミバンケンモドキ
1188,Taccocua leschenaultii,OR,CUCULIFORMES,Cuculidae,タテフバンケンモドキ
1189,Zanclostomus javanicus,OR,CUCULIFORMES,Cuculidae,アカハシバンケンモドキ
1190,Rhamphococcyx calyorhynchus,AU,CUCULIFORMES,Cuculidae,セレベスバンケンモドキ
1191,Phaenicophaeus curvirostris,OR,CUCULIFORMES,Cuculidae,チャムネバンケンモドキ
1192,Phaenicophaeus pyrrhocephalus,OR,CUCULIFORMES,Cuculidae,アカガオバンケンモドキ
1193,Phaenicophaeus sumatranus,OR,CUCULIFORMES,Cuculidae,チャバラクロバンケンモドキ
1194,Phaenicophaeus viridirostris,OR,CUCULIFORMES,Cuculidae,アオメクロバンケンモドキ
1195,Phaenicophaeus diardi,OR,CUCULIFORMES,Cuculidae,クロバンケンモドキ
1196,Phaenicophaeus tristis,OR,CUCULIFORMES,Cuculidae,オニクロバンケンモドキ
1197,Dasylophus superciliosus,OR,CUCULIFORMES,Cuculidae,カンムリバンケンモドキ
1198,Dasylophus cumingi,OR,CUCULIFORMES,Cuculidae,ウロコバンケンモドキ
1199,Clamator coromandus,OR,CUCULIFORMES,Cuculidae,カンムリカッコウ
1200,Clamator glandarius,"AF, PAL",CUCULIFORMES,Cuculidae,マダラカンムリカッコウ
1201,Clamator levaillantii,AF,CUCULIFORMES,Cuculidae,ムナフカンムリカッコウ
1202,Clamator jacobinus,"AF, OR",CUCULIFORMES,Cuculidae,クロシロカンムリカッコウ
1203,Coccycua minuta,"MA, SA",CUCULIFORMES,Cuculidae,ヒメリスカッコウ
1204,Coccycua pumila,SA,CUCULIFORMES,Cuculidae,ヒメアメリカカッコウ
1205,Coccycua cinerea,SA,CUCULIFORMES,Cuculidae,ハイイロアメリカカッコウ
1206,Piaya cayana,"MA, SA",CUCULIFORMES,Cuculidae,リスカッコウ
1207,Piaya melanogaster,SA,CUCULIFORMES,Cuculidae,クリハラリスカッコウ
1208,Coccyzus melacoryphus,SA,CUCULIFORMES,Cuculidae,コミミグロカッコウ
1209,Coccyzus americanus,"NA, MA",CUCULIFORMES,Cuculidae,キバシカッコウ
1210,Coccyzus euleri,SA,CUCULIFORMES,Cuculidae,ギンムネカッコウ
1211,Coccyzus minor,"NA, MA, SA",CUCULIFORMES,Cuculidae,マングローブカッコウ
1212,Coccyzus ferrugineus,MA,CUCULIFORMES,Cuculidae,ココスカッコウ
1213,Coccyzus lansbergi,SA,CUCULIFORMES,Cuculidae,ハイズキンカッコウ
1214,Pachycoccyx audeberti,AF,CUCULIFORMES,Cuculidae,ハシブトカッコウ
1215,Microdynamis parva,AU,CUCULIFORMES,Cuculidae,クロボウシカッコウ
1216,Eudynamys scolopaceus,OR,CUCULIFORMES,Cuculidae,オニカッコウ
1217,Eudynamys melanorhynchus,AU,CUCULIFORMES,Cuculidae,スラウェシオニカッコウ
1218,Eudynamys orientalis,AU,CUCULIFORMES,Cuculidae,オーストラリアオニカッコウ
1219,Urodynamis taitensis,AU,CUCULIFORMES,Cuculidae,キジカッコウ
1220,Scythrops novaehollandiae,AU,CUCULIFORMES,Cuculidae,オオオニカッコウ
1221,Chrysococcyx maculatus,OR,CUCULIFORMES,Cuculidae,ミドリテリカッコウ
1222,Chrysococcyx xanthorhynchus,OR,CUCULIFORMES,Cuculidae,スミレテリカッコウ
1223,Chrysococcyx caprius,AF,CUCULIFORMES,Cuculidae,ブロンズミドリカッコウ
1224,Chrysococcyx klaas,"AF, PAL",CUCULIFORMES,Cuculidae,シロハラミドリカッコウ
1225,Chrysococcyx flavigularis,AF,CUCULIFORMES,Cuculidae,キノドミドリカッコウ
1226,Chrysococcyx cupreus,AF,CUCULIFORMES,Cuculidae,ミドリカッコウ
1227,Chrysococcyx megarhynchus,AU,CUCULIFORMES,Cuculidae,ハシナガヒメカッコウ
1228,Chrysococcyx basalis,AU,CUCULIFORMES,Cuculidae,マミジロテリカッコウ
1229,Chrysococcyx osculans,AU,CUCULIFORMES,Cuculidae,ミミグロカッコウ
1230,Chrysococcyx ruficollis,AU,CUCULIFORMES,Cuculidae,ノドアカテリカッコウ
1231,Chrysococcyx lucidus,AU,CUCULIFORMES,Cuculidae,ヨコジマテリカッコウ
1232,Chrysococcyx meyerii,AU,CUCULIFORMES,Cuculidae,パプアテリカッコウ
1233,Chrysococcyx minutillus,"OR, AU",CUCULIFORMES,Cuculidae,アカメテリカッコウ
1234,Cacomantis pallidus,AU,CUCULIFORMES,Cuculidae,ハイイロカッコウ
1235,Cacomantis leucolophus,AU,CUCULIFORMES,Cuculidae,ユキボウシカッコウ
1236,Cacomantis castaneiventris,AU,CUCULIFORMES,Cuculidae,クリハラヒメカッコウ
1237,Cacomantis flabelliformis,"AU, PO",CUCULIFORMES,Cuculidae,ウチワヒメカッコウ
1238,Cacomantis sonneratii,OR,CUCULIFORMES,Cuculidae,クリイロヒメカッコウ
1239,Cacomantis merulinus,"OR, AU",CUCULIFORMES,Cuculidae,ヒメカッコウ
1240,Cacomantis passerinus,OR,CUCULIFORMES,Cuculidae,ハイバラカッコウ
1241,Cacomantis variolosus,AU,CUCULIFORMES,Cuculidae,ハイガシラヒメカッコウ
1242,Cacomantis sepulcralis,"OR, AU",CUCULIFORMES,Cuculidae,チャムネヒメカッコウ
1243,Cacomantis aeruginosus,AU,CUCULIFORMES,Cuculidae,ハルマヘラヒメカッコウ
1244,Cercococcyx mechowi,AF,CUCULIFORMES,Cuculidae,オナガカッコウ
1245,Cercococcyx olivinus,AF,CUCULIFORMES,Cuculidae,オリーブオナガカッコウ
1246,Cercococcyx montanus,AF,CUCULIFORMES,Cuculidae,シマオナガカッコウ
1247,Surniculus velutinus,OR,CUCULIFORMES,Cuculidae,フィリピンオウチュウカッコウ
1248,Surniculus lugubris,OR,CUCULIFORMES,Cuculidae,オウチュウカッコウ
1249,Surniculus dicruroides,OR,CUCULIFORMES,Cuculidae,エンビオウチュウカッコウ
1250,Surniculus musschenbroeki,AU,CUCULIFORMES,Cuculidae,モルッカオウチュウカッコウ
1251,Hierococcyx vagans,OR,CUCULIFORMES,Cuculidae,チャイロジュウイチ
