,IOC,Breeding Range,Order,Family,Catalan
1550,Ptilinopus solomonensis,AU,COLUMBIFORMES,Columbidae,tilinop de les illes Salomó
1551,Ptilinopus viridis,AU,COLUMBIFORMES,Columbidae,tilinop xiulaire
1552,Ptilinopus eugeniae,AU,COLUMBIFORMES,Columbidae,tilinop capblanc
1553,Ptilinopus iozonus,AU,COLUMBIFORMES,Columbidae,tilinop de ventre carbassa
1554,Ptilinopus insolitus,AU,COLUMBIFORMES,Columbidae,tilinop lobulat
1555,Ptilinopus hyogastrus,AU,COLUMBIFORMES,Columbidae,tilinop capgrís
1556,Ptilinopus granulifrons,AU,COLUMBIFORMES,Columbidae,tilinop carunculat
1557,Ptilinopus melanospilus,"OR, AU",COLUMBIFORMES,Columbidae,tilinop de clatell negre
1558,Ptilinopus nainus,AU,COLUMBIFORMES,Columbidae,tilinop nan
1559,Ptilinopus arcanus,OR,COLUMBIFORMES,Columbidae,tilinop de l'illa de Negros
1560,Ptilinopus victor,PO,COLUMBIFORMES,Columbidae,tilinop carbassa
1561,Ptilinopus luteovirens,PO,COLUMBIFORMES,Columbidae,tilinop daurat
1562,Ptilinopus layardi,PO,COLUMBIFORMES,Columbidae,tilinop xiulador
1563,Drepanoptila holosericea,AU,COLUMBIFORMES,Columbidae,tilinop de Nova Caledònia
1564,Alectroenas madagascariensis,AF,COLUMBIFORMES,Columbidae,colom blau de Madagascar
1565,Alectroenas sganzini,AF,COLUMBIFORMES,Columbidae,colom blau de les illes Comores
1566,Alectroenas pulcherrimus,AF,COLUMBIFORMES,Columbidae,colom blau de les Seychelles
1567,Ducula poliocephala,OR,COLUMBIFORMES,Columbidae,colom imperial ventre-rosat
1568,Ducula forsteni,AU,COLUMBIFORMES,Columbidae,colom imperial de Forsten
1569,Ducula mindorensis,OR,COLUMBIFORMES,Columbidae,colom imperial de Mindoro
1570,Ducula radiata,AU,COLUMBIFORMES,Columbidae,colom imperial cuabarrat
1571,Ducula carola,OR,COLUMBIFORMES,Columbidae,colom imperial de Carlota
1572,Ducula aenea,OR,COLUMBIFORMES,Columbidae,colom imperial verd
1573,Ducula oenothorax,OR,COLUMBIFORMES,Columbidae,Enggano Imperial Pigeon
1574,Ducula nicobarica,OR,COLUMBIFORMES,Columbidae,Nicobar Imperial Pigeon
1575,Ducula perspicillata,AU,COLUMBIFORMES,Columbidae,colom imperial d'ulleres
1576,Ducula neglecta,AU,COLUMBIFORMES,Columbidae,colom imperial de Seram
1577,Ducula concinna,AU,COLUMBIFORMES,Columbidae,colom imperial cuablau
1578,Ducula pacifica,PO,COLUMBIFORMES,Columbidae,colom imperial del Pacífic
1579,Ducula oceanica,PO,COLUMBIFORMES,Columbidae,colom imperial de Micronèsia
1580,Ducula aurorae,PO,COLUMBIFORMES,Columbidae,colom imperial de les illes de la Societat
1581,Ducula galeata,PO,COLUMBIFORMES,Columbidae,colom imperial de les illes Marqueses
1582,Ducula rubricera,AU,COLUMBIFORMES,Columbidae,colom imperial cera-roig
1583,Ducula myristicivora,AU,COLUMBIFORMES,Columbidae,colom imperial ceranegre
1584,Ducula geelvinkiana,AU,COLUMBIFORMES,Columbidae,colom imperial de Geelvink
1585,Ducula rufigaster,AU,COLUMBIFORMES,Columbidae,colom imperial ventre-rogenc
1586,Ducula basilica,AU,COLUMBIFORMES,Columbidae,colom imperial de les Moluques
1587,Ducula finschii,AU,COLUMBIFORMES,Columbidae,colom imperial de Finsch
1588,Ducula chalconota,AU,COLUMBIFORMES,Columbidae,colom imperial caputxí
1589,Ducula pistrinaria,AU,COLUMBIFORMES,Columbidae,colom imperial de Bonaparte
1590,Ducula rosacea,AU,COLUMBIFORMES,Columbidae,colom imperial cap-rosat
1591,Ducula whartoni,OR,COLUMBIFORMES,Columbidae,colom imperial de l'illa Christmas
1592,Ducula pickeringii,OR,COLUMBIFORMES,Columbidae,colom imperial de Pickering
1593,Ducula latrans,PO,COLUMBIFORMES,Columbidae,colom imperial de les Fiji
1594,Ducula brenchleyi,AU,COLUMBIFORMES,Columbidae,colom imperial de les illes Salomó
1595,Ducula bakeri,AU,COLUMBIFORMES,Columbidae,colom imperial de Vanuatu
1596,Ducula goliath,AU,COLUMBIFORMES,Columbidae,colom imperial Goliat
1597,Ducula pinon,AU,COLUMBIFORMES,Columbidae,colom imperial de Pinon
1598,Ducula melanochroa,AU,COLUMBIFORMES,Columbidae,colom imperial negre
1599,Ducula mullerii,AU,COLUMBIFORMES,Columbidae,colom imperial de collar
1600,Ducula zoeae,AU,COLUMBIFORMES,Columbidae,colom imperial de Zoë
1601,Ducula cuprea,OR,COLUMBIFORMES,Columbidae,colom imperial dels Nilgiri
1602,Ducula badia,OR,COLUMBIFORMES,Columbidae,colom imperial dorsibrú
1603,Ducula lacernulata,"OR, AU",COLUMBIFORMES,Columbidae,colom imperial dorsifosc
1604,Ducula cineracea,AU,COLUMBIFORMES,Columbidae,colom imperial de Timor
1605,Ducula bicolor,OR,COLUMBIFORMES,Columbidae,colom imperial bicolor
1606,Ducula luctuosa,AU,COLUMBIFORMES,Columbidae,colom imperial blanc
1607,Ducula spilorrhoa,AU,COLUMBIFORMES,Columbidae,colom imperial argentat
1608,Ducula subflavescens,AU,COLUMBIFORMES,Columbidae,colom imperial cremós
1609,Lopholaimus antarcticus,AU,COLUMBIFORMES,Columbidae,colom bicrestat
1610,Hemiphaga novaeseelandiae,AU,COLUMBIFORMES,Columbidae,colom de Nova Zelanda
1611,Hemiphaga chathamensis,AU,COLUMBIFORMES,Columbidae,colom de les illes Chatham
1612,Cryptophaps poecilorrhoa,AU,COLUMBIFORMES,Columbidae,colom de ventre escatós
1613,Gymnophaps albertisii,AU,COLUMBIFORMES,Columbidae,colom muntanyenc de Nova Guinea
1614,Gymnophaps mada,AU,COLUMBIFORMES,Columbidae,colom muntanyenc de Buru
1615,Gymnophaps stalkeri,AU,COLUMBIFORMES,Columbidae,colom muntanyenc de Seram
1616,Gymnophaps solomonensis,AU,COLUMBIFORMES,Columbidae,colom muntanyenc de les Salomó
1617,Podica senegalensis,AF,GRUIFORMES,Heliornithidae,heliorni africà
1618,Heliopais personatus,OR,GRUIFORMES,Heliornithidae,heliorni asiàtic
1619,Heliornis fulica,"MA, SA",GRUIFORMES,Heliornithidae,heliorni americà
1620,Mentocrex kioloides,AF,GRUIFORMES,Sarothruridae,rascló becblau
1621,Mentocrex beankaensis,AF,GRUIFORMES,Sarothruridae,rascló del Tsingy
1622,Sarothrura pulchra,AF,GRUIFORMES,Sarothruridae,rasclet perlat
1623,Sarothrura elegans,AF,GRUIFORMES,Sarothruridae,rasclet elegant
1624,Sarothrura rufa,AF,GRUIFORMES,Sarothruridae,rasclet de Vieillot
1625,Sarothrura lugens,AF,GRUIFORMES,Sarothruridae,rasclet de cap rogenc
1626,Sarothrura boehmi,AF,GRUIFORMES,Sarothruridae,rasclet de Boehm
1627,Sarothrura ayresi,AF,GRUIFORMES,Sarothruridae,rasclet alablanc
1628,Sarothrura affinis,AF,GRUIFORMES,Sarothruridae,rasclet estriat
1629,Sarothrura insularis,AF,GRUIFORMES,Sarothruridae,rasclet de Madagascar
1630,Sarothrura watersi,AF,GRUIFORMES,Sarothruridae,rasclet de Waters
1631,Rallicula leucospila,AU,GRUIFORMES,Sarothruridae,rasclet llistat
1632,Rallicula rubra,AU,GRUIFORMES,Sarothruridae,rasclet bru
1633,Rallicula forbesi,AU,GRUIFORMES,Sarothruridae,rasclet de Forbes
1634,Rallicula mayri,AU,GRUIFORMES,Sarothruridae,rasclet de Mayr
1635,Canirallus oculeus,AF,GRUIFORMES,Rallidae,rascló caragrís
1636,Mustelirallus albicollis,SA,GRUIFORMES,Rallidae,rasclet golagrís
1637,Mustelirallus erythrops,SA,GRUIFORMES,Rallidae,rasclet de bec pintat
1638,Mustelirallus colombianus,"MA, SA",GRUIFORMES,Rallidae,rasclet de Colòmbia
1639,Pardirallus maculatus,"MA, SA",GRUIFORMES,Rallidae,rascló pintat
1640,Pardirallus nigricans,SA,GRUIFORMES,Rallidae,rascló culnegre
1641,Pardirallus sanguinolentus,SA,GRUIFORMES,Rallidae,rascló de bec sagnant
1642,Amaurolimnas concolor,"MA, SA",GRUIFORMES,Rallidae,rascló unicolor
1643,Aramides axillaris,"MA, SA",GRUIFORMES,Rallidae,rascló de coll rogenc
1644,Aramides mangle,SA,GRUIFORMES,Rallidae,rascló dels manglars
1645,Aramides albiventris,MA,GRUIFORMES,Rallidae,Russet-naped Wood Rail
1646,Aramides cajaneus,"MA, SA",GRUIFORMES,Rallidae,rascló de Caiena
1647,Aramides wolfi,SA,GRUIFORMES,Rallidae,rascló de Wolf
1648,Aramides ypecaha,SA,GRUIFORMES,Rallidae,rascló gegant
1649,Aramides calopterus,SA,GRUIFORMES,Rallidae,rascló d'ales rogenques
1650,Aramides saracura,SA,GRUIFORMES,Rallidae,rascló saracura
1651,Rallus obsoletus,"NA, MA",GRUIFORMES,Rallidae,rascló de Ridgway
1652,Rallus crepitans,"NA, MA",GRUIFORMES,Rallidae,rascló sorollós
1653,Rallus tenuirostris,MA,GRUIFORMES,Rallidae,rascló mexicà
1654,Rallus longirostris,"MA, SA",GRUIFORMES,Rallidae,rascló dels manglars
1655,Rallus elegans,"NA, MA",GRUIFORMES,Rallidae,rascló elegant
1656,Rallus wetmorei,SA,GRUIFORMES,Rallidae,rascló de Wetmore
1657,Rallus semiplumbeus,SA,GRUIFORMES,Rallidae,rascló de Bogotà
1658,Rallus aequatorialis,SA,GRUIFORMES,Rallidae,Ecuadorian Rail
1659,Rallus antarcticus,SA,GRUIFORMES,Rallidae,rascló austral
1660,Rallus aquaticus,PAL,GRUIFORMES,Rallidae,rascló occidental
1661,Rallus indicus,PAL,GRUIFORMES,Rallidae,rascló oriental
1662,Rallus caerulescens,AF,GRUIFORMES,Rallidae,rascló africà
1663,Rallus madagascariensis,AF,GRUIFORMES,Rallidae,rascló de Madagascar
1664,Crecopsis egregia,AF,GRUIFORMES,Rallidae,guatlla maresa africana
1665,Rougetius rougetii,AF,GRUIFORMES,Rallidae,rascló de Rouget
1666,Dryolimnas cuvieri,"AF, IO",GRUIFORMES,Rallidae,rascló de Cuvier
1667,Crex crex,PAL,GRUIFORMES,Rallidae,guatlla maresa eurasiàtica
1668,Aramidopsis plateni,AU,GRUIFORMES,Rallidae,rascló de Platen
1669,Lewinia striata,"OR, AU",GRUIFORMES,Rallidae,rascló de cap vermell
1670,Lewinia mirifica,OR,GRUIFORMES,Rallidae,rascló de Luzon
1671,Lewinia pectoralis,AU,GRUIFORMES,Rallidae,rascló de Lewin
1672,Lewinia muelleri,AU,GRUIFORMES,Rallidae,rascló de les illes Auckland
1673,Aptenorallus calayanensis,OR,GRUIFORMES,Rallidae,rascló de l'illa Calayan
1674,Habroptila wallacii,AU,GRUIFORMES,Rallidae,rascló de Wallace
1675,Gallirallus australis,AU,GRUIFORMES,Rallidae,rascló weka
1676,Eulabeornis castaneoventris,AU,GRUIFORMES,Rallidae,rascló bru
1677,Cabalus lafresnayanus,AU,GRUIFORMES,Rallidae,rascló de Nova Caledònia
1678,Hypotaenidia okinawae,PAL,GRUIFORMES,Rallidae,rascló d'Okinawa
1679,Hypotaenidia torquata,AU,GRUIFORMES,Rallidae,rascló embridat
1680,Hypotaenidia philippensis,"AU, PO",GRUIFORMES,Rallidae,rascló de clatell vermell
1681,Hypotaenidia owstoni,PO,GRUIFORMES,Rallidae,rascló de l'illa de Guam
1682,Hypotaenidia insignis,AU,GRUIFORMES,Rallidae,rascló de Nova Bretanya
1683,Hypotaenidia rovianae,AU,GRUIFORMES,Rallidae,rascló de Roviana
1684,Hypotaenidia woodfordi,AU,GRUIFORMES,Rallidae,rascló de l'illa Santa Isabel
1685,Hypotaenidia sylvestris,AU,GRUIFORMES,Rallidae,rascló de l'illa Lord Howe
1686,Porphyriops melanops,SA,GRUIFORMES,Rallidae,polla caranegra
1687,Porzana porzana,PAL,GRUIFORMES,Rallidae,polla pintada europea
1688,Porzana fluminea,AU,GRUIFORMES,Rallidae,polla pintada australiana
1689,Tribonyx ventralis,AU,GRUIFORMES,Rallidae,polla cama-roja
1690,Tribonyx mortierii,AU,GRUIFORMES,Rallidae,polla de Tasmània
1691,Paragallinula angulata,AF,GRUIFORMES,Rallidae,polla menuda
1692,Gallinula tenebrosa,AU,GRUIFORMES,Rallidae,polla endolada
1693,Gallinula galeata,"NA, SA, PO",GRUIFORMES,Rallidae,polla d'aigua americana
1694,Gallinula chloropus,"PAL, AF, IO, OR, PO",GRUIFORMES,Rallidae,polla d'aigua comuna
1695,Gallinula comeri,AO,GRUIFORMES,Rallidae,polla de l'illa Gough
1696,Gallinula silvestris,AU,GRUIFORMES,Rallidae,polla de l'illa San Cristóbal
1697,Fulica rufifrons,SA,GRUIFORMES,Rallidae,fotja de front vermell
1698,Fulica cornuta,SA,GRUIFORMES,Rallidae,fotja de banyes negres
1699,Fulica gigantea,SA,GRUIFORMES,Rallidae,fotja gegant
1700,Fulica armillata,SA,GRUIFORMES,Rallidae,fotja de lligacames
1701,Fulica atra,"PAL, OR, AU",GRUIFORMES,Rallidae,fotja comuna
1702,Fulica cristata,"PAL, AF",GRUIFORMES,Rallidae,fotja banyuda
1703,Fulica alai,PO,GRUIFORMES,Rallidae,fotja de les Hawaii
1704,Fulica americana,"NA, MA, SA",GRUIFORMES,Rallidae,fotja americana
1705,Fulica ardesiaca,SA,GRUIFORMES,Rallidae,fotja dels Andes
1706,Fulica leucoptera,SA,GRUIFORMES,Rallidae,fotja alablanca
1707,Porphyrio alleni,AF,GRUIFORMES,Rallidae,polla blava d'Allen
1708,Porphyrio martinica,"NA, MA, SA",GRUIFORMES,Rallidae,polla blava americana
1709,Porphyrio flavirostris,SA,GRUIFORMES,Rallidae,polla blava becgroga
1710,Porphyrio porphyrio,"PAL, AF",GRUIFORMES,Rallidae,polla blava
1711,Porphyrio madagascariensis,AF,GRUIFORMES,Rallidae,polla blava africana
1712,Porphyrio poliocephalus,"PAL, OR",GRUIFORMES,Rallidae,Grey-headed Swamphen
1713,Porphyrio indicus,"OR, AU",GRUIFORMES,Rallidae,Black-backed Swamphen
1714,Porphyrio pulverulentus,OR,GRUIFORMES,Rallidae,Philippine Swamphen
1715,Porphyrio melanotus,"AU, PO",GRUIFORMES,Rallidae,Australasian Swamphen
1716,Porphyrio hochstetteri,AU,GRUIFORMES,Rallidae,takahe de l'illa Sud
1717,Micropygia schomburgkii,SA,GRUIFORMES,Rallidae,rasclet ocel·lat
1718,Rufirallus viridis,SA,GRUIFORMES,Rallidae,rasclet d'antifaç
1719,Rufirallus castaneiceps,SA,GRUIFORMES,Rallidae,rasclet capbrú
1720,Coturnicops exquisitus,PAL,GRUIFORMES,Rallidae,rasclet de Swinhoe
1721,Coturnicops notatus,SA,GRUIFORMES,Rallidae,rasclet de Darwin
1722,Laterallus flaviventer,"NA, MA, SA",GRUIFORMES,Rallidae,rasclet pàl·lid
1723,Laterallus jamaicensis,"NA, MA, SA",GRUIFORMES,Rallidae,rasclet fosc
1724,Laterallus spilonota,SA,GRUIFORMES,Rallidae,rasclet de les Galápagos
1725,Laterallus spiloptera,SA,GRUIFORMES,Rallidae,rasclet d'ales tacades
1726,Laterallus rogersi,AO,GRUIFORMES,Rallidae,rascló de l'illa Inaccessible
1727,Laterallus ruber,MA,GRUIFORMES,Rallidae,rasclet encaputxat
1728,Laterallus melanophaius,SA,GRUIFORMES,Rallidae,rasclet de flancs rogencs
1729,Laterallus levraudi,SA,GRUIFORMES,Rallidae,rasclet de l'Orinoco
1730,Laterallus xenopterus,SA,GRUIFORMES,Rallidae,rasclet de Conover
1731,Laterallus leucopyrrhus,SA,GRUIFORMES,Rallidae,rasclet cuablanc
1732,Laterallus exilis,"MA, SA",GRUIFORMES,Rallidae,rasclet pitgrís
1733,Laterallus albigularis,"MA, SA",GRUIFORMES,Rallidae,rasclet golablanc
1734,Laterallus fasciatus,SA,GRUIFORMES,Rallidae,rasclet de ventre barrat
1735,Zapornia flavirostra,AF,GRUIFORMES,Rallidae,polla negra
1736,Zapornia olivieri,AF,GRUIFORMES,Rallidae,polla d'Olivier
1737,Zapornia fusca,OR,GRUIFORMES,Rallidae,rasclet de pit rogenc
1738,Zapornia paykullii,PAL,GRUIFORMES,Rallidae,rasclet mandarí
1739,Zapornia bicolor,OR,GRUIFORMES,Rallidae,polla cuanegra
1740,Zapornia akool,OR,GRUIFORMES,Rallidae,polla akool
1741,Zapornia pusilla,"PAL, AF, OR, AU",GRUIFORMES,Rallidae,rasclet europeu
1742,Zapornia parva,PAL,GRUIFORMES,Rallidae,rascletó
1743,Zapornia tabuensis,"OR, AU",GRUIFORMES,Rallidae,rasclet del Pacífic
1744,Zapornia atra,PO,GRUIFORMES,Rallidae,rasclet de l'illa Henderson
1745,Rallina eurizonoides,"OR, AU",GRUIFORMES,Rallidae,rasclet forestal
1746,Rallina canningi,OR,GRUIFORMES,Rallidae,rasclet de les illes Andaman
1747,Rallina fasciata,OR,GRUIFORMES,Rallidae,rasclet cama-roig
1748,Rallina tricolor,AU,GRUIFORMES,Rallidae,rasclet tricolor
1749,Gymnocrex rosenbergii,AU,GRUIFORMES,Rallidae,rascló de Rosenberg
1750,Gymnocrex talaudensis,AU,GRUIFORMES,Rallidae,rascló de les illes Talaud
1751,Gymnocrex plumbeiventris,AU,GRUIFORMES,Rallidae,rascló de ventre gris
1752,Himantornis haematopus,AF,GRUIFORMES,Rallidae,rascló cama-roig
1753,Megacrex inepta,AU,GRUIFORMES,Rallidae,rascló àpter
1754,Poliolimnas cinereus,"OR, AU",GRUIFORMES,Rallidae,rasclet emmascarat
1755,Aenigmatolimnas marginalis,AF,GRUIFORMES,Rallidae,rasclet cul-roig
1756,Gallicrex cinerea,OR,GRUIFORMES,Rallidae,polla crestada
1757,Amaurornis phoenicurus,"OR, AU",GRUIFORMES,Rallidae,polla pitblanca
1758,Amaurornis olivacea,OR,GRUIFORMES,Rallidae,polla de les Filipines
1759,Amaurornis magnirostris,AU,GRUIFORMES,Rallidae,polla becgrossa
1760,Amaurornis isabellina,AU,GRUIFORMES,Rallidae,polla isabelina
1761,Amaurornis moluccana,AU,GRUIFORMES,Rallidae,polla de les Moluques
1762,Psophia crepitans,SA,GRUIFORMES,Psophiidae,trompeter alagrís
1763,Psophia leucoptera,SA,GRUIFORMES,Psophiidae,trompeter alablanc
1764,Psophia viridis,SA,GRUIFORMES,Psophiidae,trompeter alaverd occidental
1765,Balearica regulorum,AF,GRUIFORMES,Gruidae,grua coronada collgrisa
1766,Balearica pavonina,AF,GRUIFORMES,Gruidae,grua coronada collnegra
1767,Leucogeranus leucogeranus,PAL,GRUIFORMES,Gruidae,grua siberiana
1768,Antigone vipio,PAL,GRUIFORMES,Gruidae,grua collblanca
1769,Antigone antigone,"OR, AU",GRUIFORMES,Gruidae,grua sarus
1770,Antigone rubicunda,AU,GRUIFORMES,Gruidae,grua australiana
1771,Grus carunculata,AF,GRUIFORMES,Gruidae,grua carunculada
1772,Grus paradisea,AF,GRUIFORMES,Gruidae,grua del paradís
1773,Grus virgo,PAL,GRUIFORMES,Gruidae,grua damisel·la
1774,Grus japonensis,PAL,GRUIFORMES,Gruidae,grua del Japó
1775,Grus grus,PAL,GRUIFORMES,Gruidae,grua europea
1776,Grus monacha,PAL,GRUIFORMES,Gruidae,grua monjo
1777,Grus nigricollis,PAL,GRUIFORMES,Gruidae,grua collnegra
1778,Aramus guarauna,"NA, MA, SA",GRUIFORMES,Aramidae,carrau
1779,Tachybaptus ruficollis,"PAL, AF, OR",PODICIPEDIFORMES,Podicipedidae,cabusset comú
1780,Tachybaptus tricolor,"OR, AU",PODICIPEDIFORMES,Podicipedidae,Tricolored Grebe
1781,Tachybaptus novaehollandiae,"OR, AU",PODICIPEDIFORMES,Podicipedidae,cabusset australià
1782,Tachybaptus pelzelnii,AF,PODICIPEDIFORMES,Podicipedidae,cabusset de Madagascar
1783,Tachybaptus dominicus,"NA, MA, SA",PODICIPEDIFORMES,Podicipedidae,cabusset americà
1784,Podilymbus podiceps,"NA, MA, SA",PODICIPEDIFORMES,Podicipedidae,cabusset becgròs
1785,Rollandia rolland,SA,PODICIPEDIFORMES,Podicipedidae,cabusset de plomall blanc
1786,Rollandia microptera,SA,PODICIPEDIFORMES,Podicipedidae,cabusset del Titicaca
1787,Poliocephalus poliocephalus,AU,PODICIPEDIFORMES,Podicipedidae,cabussó canós
1788,Poliocephalus rufopectus,AU,PODICIPEDIFORMES,Podicipedidae,cabussó de Nova Zelanda
1789,Podiceps major,SA,PODICIPEDIFORMES,Podicipedidae,cabussó gran
1790,Podiceps grisegena,"NA, PAL",PODICIPEDIFORMES,Podicipedidae,cabussó gris
1791,Podiceps cristatus,"PAL, AF, OR, AU",PODICIPEDIFORMES,Podicipedidae,cabussó emplomallat
1792,Podiceps auritus,"NA, PAL",PODICIPEDIFORMES,Podicipedidae,cabussó orellut
1793,Podiceps nigricollis,"PAL, AF, NA, MA",PODICIPEDIFORMES,Podicipedidae,cabussó collnegre
1794,Podiceps occipitalis,SA,PODICIPEDIFORMES,Podicipedidae,cabussó argentat meridional
1795,Podiceps taczanowskii,SA,PODICIPEDIFORMES,Podicipedidae,cabussó del llac Junín
1796,Podiceps gallardoi,SA,PODICIPEDIFORMES,Podicipedidae,cabussó encaputxat
1797,Aechmophorus occidentalis,"NA, MA",PODICIPEDIFORMES,Podicipedidae,cabussó nord-americà comú
1798,Aechmophorus clarkii,"NA, MA",PODICIPEDIFORMES,Podicipedidae,cabussó nord-americà carablanc
1799,Phoenicopterus roseus,"PAL, AF",PHOENICOPTERIFORMES,Phoenicopteridae,flamenc comú
1800,Phoenicopterus ruber,"MA, SA",PHOENICOPTERIFORMES,Phoenicopteridae,flamenc de Cuba
1801,Phoenicopterus chilensis,SA,PHOENICOPTERIFORMES,Phoenicopteridae,flamenc de Xile
1802,Phoeniconaias minor,"AF, OR",PHOENICOPTERIFORMES,Phoenicopteridae,flamenc nan
1803,Phoenicoparrus andinus,SA,PHOENICOPTERIFORMES,Phoenicopteridae,flamenc dels Andes
1804,Phoenicoparrus jamesi,SA,PHOENICOPTERIFORMES,Phoenicopteridae,flamenc de James
1805,Turnix sylvaticus,"PAL, AF, OR",CHARADRIIFORMES,Turnicidae,guatlla pintada andalusa
1806,Turnix maculosus,AU,CHARADRIIFORMES,Turnicidae,guatlla pintada dorsi-roja
1807,Turnix hottentottus,AF,CHARADRIIFORMES,Turnicidae,guatlla pintada hotentot
1808,Turnix nanus,AF,CHARADRIIFORMES,Turnicidae,guatlla pintada nana
1809,Turnix tanki,OR,CHARADRIIFORMES,Turnicidae,guatlla pintada camagroga
1810,Turnix ocellatus,OR,CHARADRIIFORMES,Turnicidae,guatlla pintada capnegra
1811,Turnix suscitator,OR,CHARADRIIFORMES,Turnicidae,guatlla pintada batallaire
1812,Turnix nigricollis,AF,CHARADRIIFORMES,Turnicidae,guatlla pintada de Madagascar
1813,Turnix melanogaster,AU,CHARADRIIFORMES,Turnicidae,guatlla pintada pitnegra
1814,Turnix castanotus,AU,CHARADRIIFORMES,Turnicidae,guatlla pintada dorsicastanya
1815,Turnix olivii,AU,CHARADRIIFORMES,Turnicidae,guatlla pintada de Robinson
1816,Turnix varius,AU,CHARADRIIFORMES,Turnicidae,guatlla pintada ullroja
1817,Turnix worcesteri,OR,CHARADRIIFORMES,Turnicidae,guatlla pintada de Worcester
1818,Turnix everetti,AU,CHARADRIIFORMES,Turnicidae,guatlla pintada de Sumba
1819,Turnix pyrrhothorax,AU,CHARADRIIFORMES,Turnicidae,guatlla pintada pit-roja
1820,Turnix velox,AU,CHARADRIIFORMES,Turnicidae,guatlla pintada canyella
1821,Ortyxelos meiffrenii,AF,CHARADRIIFORMES,Turnicidae,guatlla pintada alablanca
1822,Burhinus oedicnemus,PAL,CHARADRIIFORMES,Burhinidae,torlit comú
1823,Burhinus indicus,OR,CHARADRIIFORMES,Burhinidae,torlit de l'Índia
1824,Burhinus senegalensis,AF,CHARADRIIFORMES,Burhinidae,torlit del Senegal
1825,Burhinus vermiculatus,AF,CHARADRIIFORMES,Burhinidae,torlit d'aigua
1826,Burhinus capensis,AF,CHARADRIIFORMES,Burhinidae,torlit pigallat
1827,Burhinus bistriatus,"MA, SA",CHARADRIIFORMES,Burhinidae,torlit de Veneçuela
1828,Burhinus superciliaris,SA,CHARADRIIFORMES,Burhinidae,torlit del Perú
1829,Burhinus grallarius,AU,CHARADRIIFORMES,Burhinidae,torlit australià
1830,Esacus recurvirostris,OR,CHARADRIIFORMES,Burhinidae,torlit becgros de l'Índia
1831,Esacus magnirostris,"OR, AU",CHARADRIIFORMES,Burhinidae,torlit becgros dels esculls
1832,Chionis albus,AN,CHARADRIIFORMES,Chionidae,colom antàrtic becgroc
1833,Chionis minor,IO,CHARADRIIFORMES,Chionidae,colom antàrtic becnegre
1834,Pluvianellus socialis,SA,CHARADRIIFORMES,Pluvianellidae,corriol de Magallanes
1835,Haematopus leucopodus,SA,CHARADRIIFORMES,Haematopodidae,garsa de mar de Magallanes
1836,Haematopus ater,SA,CHARADRIIFORMES,Haematopodidae,garsa de mar negra sud-americana
1837,Haematopus bachmani,"NA, MA",CHARADRIIFORMES,Haematopodidae,garsa de mar negra nord-americana
1838,Haematopus palliatus,"NA, MA, SA",CHARADRIIFORMES,Haematopodidae,garsa de mar americana
1839,Haematopus moquini,AF,CHARADRIIFORMES,Haematopodidae,garsa de mar negra africana
1840,Haematopus ostralegus,PAL,CHARADRIIFORMES,Haematopodidae,garsa de mar
1841,Haematopus finschi,AU,CHARADRIIFORMES,Haematopodidae,South Island Oystercatcher
1842,Haematopus longirostris,AU,CHARADRIIFORMES,Haematopodidae,garsa de mar becllarga
1843,Haematopus unicolor,AU,CHARADRIIFORMES,Haematopodidae,garsa de mar variable
1844,Haematopus chathamensis,AU,CHARADRIIFORMES,Haematopodidae,garsa de mar de les illes Chatham
1845,Haematopus fuliginosus,AU,CHARADRIIFORMES,Haematopodidae,garsa de mar negra australiana
1846,Ibidorhyncha struthersii,PAL,CHARADRIIFORMES,Ibidorhynchidae,bec d'ibis
1847,Himantopus himantopus,"PAL, AF, OR",CHARADRIIFORMES,Recurvirostridae,cames llargues
1848,Himantopus leucocephalus,"OR, AU",CHARADRIIFORMES,Recurvirostridae,Pied Stilt
1849,Himantopus mexicanus,"NA, MA, SA, PO",CHARADRIIFORMES,Recurvirostridae,Black-necked Stilt
1850,Himantopus melanurus,SA,CHARADRIIFORMES,Recurvirostridae,White-backed Stilt
1851,Himantopus novaezelandiae,AU,CHARADRIIFORMES,Recurvirostridae,camallarga negre
1852,Cladorhynchus leucocephalus,AU,CHARADRIIFORMES,Recurvirostridae,camallarga capblanca
1853,Recurvirostra avosetta,"AF, PAL",CHARADRIIFORMES,Recurvirostridae,bec d'alena comú
1854,Recurvirostra americana,"NA, MA",CHARADRIIFORMES,Recurvirostridae,bec d'alena nord-americà
1855,Recurvirostra novaehollandiae,AU,CHARADRIIFORMES,Recurvirostridae,bec d'alena australià
1856,Recurvirostra andina,SA,CHARADRIIFORMES,Recurvirostridae,bec d'alena dels Andes
1857,Vanellus vanellus,PAL,CHARADRIIFORMES,Charadriidae,fredeluga europea
1858,Vanellus crassirostris,AF,CHARADRIIFORMES,Charadriidae,fredeluga carablanca
1859,Vanellus armatus,AF,CHARADRIIFORMES,Charadriidae,fredeluga armada
1860,Vanellus spinosus,"PAL, AF",CHARADRIIFORMES,Charadriidae,fredeluga esperonada
1861,Vanellus duvaucelii,OR,CHARADRIIFORMES,Charadriidae,fredeluga fluvial
1862,Vanellus tectus,AF,CHARADRIIFORMES,Charadriidae,fredeluga capnegra
