,IOC,Breeding Range,Order,Family,Catalan
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,oca de coll roig
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,oca de les Hawaii
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,oca de galta blanca
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,oca de l'Índia
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,oca emperadriu
78,Anser anser,PAL,ANSERIFORMES,Anatidae,oca comuna
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,oca cigne
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,oca de bec curt
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,oca de bec curt
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,oca de la Tundra
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,oca riallera grossa
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,oca riallera petita
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,cigne coscoroba
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,cigne negre
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,cigne de coll negre
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,cigne mut
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,cigne petit
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,cigne cantaire
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,ànec pigat
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,ànec blau
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,ànec vapor de la Patagònia
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,ànec vapor de Magallanes
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,ànec vapor de les Malvines
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,ànec vapor capblanc
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,ànec torrenter
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,oca esperonada
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,ànec bec-crestat americà
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,ànec bec-crestat africà
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,oca alablava
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,oca d'Egipte
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,oca de l'Orinoco
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,oca dels Andes
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,oca de Magallanes
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,oca caranca
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,oca capgrisa
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,oca de cap rogenc
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,ànec de collar
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,ànec blanc
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,ànec canyella
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,ànec sud-africà
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,ànec australià
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,ànec maori
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,ànec cullerot zebrat
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,ànec de Salvadori
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,ànec mut
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,ànec de cap tacat
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,ànec de Hartlaub
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,ànec mandarí
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,ànec de crinera
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,oca pigmea africana
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,oca pigmea asiàtica
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,oca pigmea verda
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,ànec del Brasil
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,ànec de pit tacat
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,ànec crestat
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,ànec de galtes blanques
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,xarxet del Baikal
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,xarrasclet
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,xarxet hotentot
132,Spatula puna,SA,ANSERIFORMES,Anatidae,xarxet de la Puna
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,xarxet encaputxat
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,ànec cullerot sud-americà
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,xarxet canyella
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,ànec cullerot sud-africà
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,ànec cullerot australià
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,ànec cullerot comú
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,ànec griset
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,xarxet falcat
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,ànec xiulador comú
