,IOC,Breeding Range,Order,Family,Indonesian
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Brant Goose
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Red-breasted Goose
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Nene
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Barnacle Goose
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Bar-headed Goose
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Emperor Goose
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Greylag Goose
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Swan Goose
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Taiga Bean Goose
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Pink-footed Goose
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Tundra Bean Goose
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Greater White-fronted Goose
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Lesser White-fronted Goose
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Coscoroba Swan
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Soang hitam
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Black-necked Swan
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Mute Swan
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Tundra Swan
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Whooper Swan
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Freckled Duck
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Blue Duck
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Flying Steamer Duck
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Fuegian Steamer Duck
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Falkland Steamer Duck
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Chubut Steamer Duck
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Torrent Duck
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Spur-winged Goose
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Comb Duck
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Knob-billed Duck
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Blue-winged Goose
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Egyptian Goose
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Orinoco Goose
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Andean Goose
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Upland Goose
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Kelp Goose
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Ashy-headed Goose
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Ruddy-headed Goose
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Umukia raja
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Common Shelduck
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Ruddy Shelduck
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,South African Shelduck
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Australian Shelduck
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Paradise Shelduck
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Pink-eared Duck
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Itik gunung
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Muscovy Duck
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Mentok rimba
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Hartlaub's Duck
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Mandarin Duck
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Maned Duck
