,IOC,Breeding Range,Order,Family,Italian
1108,Chlamydotis undulata,AF,OTIDIFORMES,Otididae,Ubara africana
1109,Chlamydotis macqueenii,PAL,OTIDIFORMES,Otididae,Ubara asiatica
1110,Neotis ludwigii,AF,OTIDIFORMES,Otididae,Otarda di Ludwig
1111,Neotis denhami,AF,OTIDIFORMES,Otididae,Otarda di Stanley
1112,Neotis heuglinii,AF,OTIDIFORMES,Otididae,Otarda di Heuglin
1113,Neotis nuba,AF,OTIDIFORMES,Otididae,Otarda nubiana
1114,Eupodotis senegalensis,AF,OTIDIFORMES,Otididae,Otarda panciabianca
1115,Eupodotis caerulescens,AF,OTIDIFORMES,Otididae,Otarda blu
1116,Heterotetrax vigorsii,AF,OTIDIFORMES,Otididae,Otarda del karoo
1117,Heterotetrax rueppelii,AF,OTIDIFORMES,Otididae,Otarda di Rüppell
1118,Heterotetrax humilis,AF,OTIDIFORMES,Otididae,Otarda bruna
1119,Lophotis savilei,AF,OTIDIFORMES,Otididae,Otarda di Savile
1120,Lophotis gindiana,AF,OTIDIFORMES,Otididae,Otarda crestacamoscio
1121,Lophotis ruficrista,AF,OTIDIFORMES,Otididae,Otarda crestarossa
1122,Afrotis afra,AF,OTIDIFORMES,Otididae,Otarda nera
1123,Afrotis afraoides,AF,OTIDIFORMES,Otididae,Otarda alibianche
1124,Lissotis melanogaster,AF,OTIDIFORMES,Otididae,Otarda pancianera
1125,Lissotis hartlaubii,AF,OTIDIFORMES,Otididae,Otarda di Hartlaub
1126,Houbaropsis bengalensis,OR,OTIDIFORMES,Otididae,Florican del Bengala
1127,Sypheotides indicus,OR,OTIDIFORMES,Otididae,Florican minore
1128,Tetrax tetrax,PAL,OTIDIFORMES,Otididae,Gallina prataiola
1129,Guira guira,SA,CUCULIFORMES,Cuculidae,Cuculo guira
1130,Crotophaga major,"MA, SA",CUCULIFORMES,Cuculidae,Ani maggiore
1131,Crotophaga ani,"NA, MA, SA",CUCULIFORMES,Cuculidae,Ani beccoliscio
1132,Crotophaga sulcirostris,"MA, SA",CUCULIFORMES,Cuculidae,Ani beccosolcato
1133,Tapera naevia,"MA, SA",CUCULIFORMES,Cuculidae,Cuculo striato
1134,Dromococcyx phasianellus,"MA, SA",CUCULIFORMES,Cuculidae,Cuculo fagiano
1135,Dromococcyx pavoninus,SA,CUCULIFORMES,Cuculidae,Cuculo pavonino
1136,Morococcyx erythropygus,MA,CUCULIFORMES,Cuculidae,Cuculo terragnolo minore
1137,Geococcyx californianus,"NA, MA",CUCULIFORMES,Cuculidae,Mimì maggiore
1138,Geococcyx velox,MA,CUCULIFORMES,Cuculidae,Mimì minore
1139,Neomorphus geoffroyi,"MA, SA",CUCULIFORMES,Cuculidae,Cuculo terragnolo culorossiccio
1140,Neomorphus squamiger,SA,CUCULIFORMES,Cuculidae,Cuculo terragnolo squamato
1141,Neomorphus radiolosus,SA,CUCULIFORMES,Cuculidae,Cuculo terragnolo fasciato
1142,Neomorphus rufipennis,SA,CUCULIFORMES,Cuculidae,Cuculo terragnolo alirossicce
1143,Neomorphus pucheranii,SA,CUCULIFORMES,Cuculidae,Cuculo terragnolo beccorosso
1144,Centropus milo,AU,CUCULIFORMES,Cuculidae,Cucal testacamoscio
1145,Centropus ateralbus,AU,CUCULIFORMES,Cuculidae,Cucal bianconero
1146,Centropus menbeki,AU,CUCULIFORMES,Cuculidae,Cucal nero maggiore
1147,Centropus chalybeus,AU,CUCULIFORMES,Cuculidae,Cucal di Biak
1148,Centropus unirufus,OR,CUCULIFORMES,Cuculidae,Cucal rossiccio
1149,Centropus chlororhynchos,OR,CUCULIFORMES,Cuculidae,Cucal beccoverde
1150,Centropus melanops,OR,CUCULIFORMES,Cuculidae,Cucal faccianera
1151,Centropus steerii,OR,CUCULIFORMES,Cuculidae,Cucal monaco
1152,Centropus rectunguis,OR,CUCULIFORMES,Cuculidae,Cucal ditacorte
1153,Centropus celebensis,AU,CUCULIFORMES,Cuculidae,Cucal baio
1154,Centropus anselli,AF,CUCULIFORMES,Cuculidae,Cucal del Gabon
1155,Centropus leucogaster,AF,CUCULIFORMES,Cuculidae,Cucal golanera
1156,Centropus senegalensis,AF,CUCULIFORMES,Cuculidae,Cuculo fagiano del Senegal
1157,Centropus monachus,AF,CUCULIFORMES,Cuculidae,Cucal testablu
1158,Centropus cupreicaudus,AF,CUCULIFORMES,Cuculidae,Cucal codarame
1159,Centropus superciliosus,AF,CUCULIFORMES,Cuculidae,Cucal cigliabianche
1160,Centropus burchellii,AF,CUCULIFORMES,Cuculidae,Cuculo fagiano di Burchell
1161,Centropus nigrorufus,OR,CUCULIFORMES,Cuculidae,Cucal della Sonda
1162,Centropus sinensis,OR,CUCULIFORMES,Cuculidae,Cucal maggiore
1163,Centropus toulou,AF,CUCULIFORMES,Cuculidae,Cucal del Madagascar
1164,Centropus goliath,AU,CUCULIFORMES,Cuculidae,Cucal golia
1165,Centropus grillii,AF,CUCULIFORMES,Cuculidae,Cucal nerastro
1166,Centropus viridis,OR,CUCULIFORMES,Cuculidae,Cucal delle Filippine
1167,Centropus bengalensis,"OR, AU",CUCULIFORMES,Cuculidae,Cucal minore
1168,Centropus violaceus,AU,CUCULIFORMES,Cuculidae,Cucal violaceo
1169,Centropus bernsteini,AU,CUCULIFORMES,Cuculidae,Cucal nero minore
1170,Centropus spilopterus,AU,CUCULIFORMES,Cuculidae,Cucal delle Kai
1171,Centropus phasianinus,AU,CUCULIFORMES,Cuculidae,Cucal fagiano
1172,Centropus andamanensis,OR,CUCULIFORMES,Cuculidae,Cucal delle Andamane
1173,Carpococcyx radiceus,OR,CUCULIFORMES,Cuculidae,Cuculo terragnolo del Borneo
1174,Carpococcyx viridis,OR,CUCULIFORMES,Cuculidae,Cuculo terragnolo di Sumatra
1175,Carpococcyx renauldi,OR,CUCULIFORMES,Cuculidae,Cuculo terragnolo beccocorallino
1176,Coua cristata,AF,CUCULIFORMES,Cuculidae,Cua crestato
1177,Coua verreauxi,AF,CUCULIFORMES,Cuculidae,Cua di Verreaux
1178,Coua caerulea,AF,CUCULIFORMES,Cuculidae,Cua blu
1179,Coua ruficeps,AF,CUCULIFORMES,Cuculidae,Cua capirosso
1180,Coua reynaudii,AF,CUCULIFORMES,Cuculidae,Cua fronterossa
1181,Coua coquereli,AF,CUCULIFORMES,Cuculidae,Cua di Coquerel
1182,Coua cursor,AF,CUCULIFORMES,Cuculidae,Cua corridore
1183,Coua gigas,AF,CUCULIFORMES,Cuculidae,Cua gigante
1184,Coua serriana,AF,CUCULIFORMES,Cuculidae,Cua pettorosso
1185,Rhinortha chlorophaea,OR,CUCULIFORMES,Cuculidae,Malcoa di Raffles
1186,Ceuthmochares aereus,AF,CUCULIFORMES,Cuculidae,Malcoa africana
1187,Ceuthmochares australis,AF,CUCULIFORMES,Cuculidae,Malcoa verde
1188,Taccocua leschenaultii,OR,CUCULIFORMES,Cuculidae,Malcoa sirkir
1189,Zanclostomus javanicus,OR,CUCULIFORMES,Cuculidae,Malcoa beccorosso
1190,Rhamphococcyx calyorhynchus,AU,CUCULIFORMES,Cuculidae,Malcoa beccogiallo
1191,Phaenicophaeus curvirostris,OR,CUCULIFORMES,Cuculidae,Malcoa pettocastano
1192,Phaenicophaeus pyrrhocephalus,OR,CUCULIFORMES,Cuculidae,Malcoa facciarossa
1193,Phaenicophaeus sumatranus,OR,CUCULIFORMES,Cuculidae,Malcoa panciacastana
1194,Phaenicophaeus viridirostris,OR,CUCULIFORMES,Cuculidae,Malcoa facciablu
1195,Phaenicophaeus diardi,OR,CUCULIFORMES,Cuculidae,Malcoa pancianera
1196,Phaenicophaeus tristis,OR,CUCULIFORMES,Cuculidae,Malcoa beccoverde
1197,Dasylophus superciliosus,OR,CUCULIFORMES,Cuculidae,Malcoa crestarossa
1198,Dasylophus cumingi,OR,CUCULIFORMES,Cuculidae,Malcoa squamata
1199,Clamator coromandus,OR,CUCULIFORMES,Cuculidae,Cuculo alicastane
1200,Clamator glandarius,"AF, PAL",CUCULIFORMES,Cuculidae,Cuculo dal ciuffo
1201,Clamator levaillantii,AF,CUCULIFORMES,Cuculidae,Cuculo di Levaillant
1202,Clamator jacobinus,"AF, OR",CUCULIFORMES,Cuculidae,Cuculo bianco e nero
1203,Coccycua minuta,"MA, SA",CUCULIFORMES,Cuculidae,Cuculo piccolo
1204,Coccycua pumila,SA,CUCULIFORMES,Cuculidae,Cuculo nano
1205,Coccycua cinerea,SA,CUCULIFORMES,Cuculidae,Cuculo cenerino
1206,Piaya cayana,"MA, SA",CUCULIFORMES,Cuculidae,Cuculo scoiattolo
1207,Piaya melanogaster,SA,CUCULIFORMES,Cuculidae,Cuculo pancianera
1208,Coccyzus melacoryphus,SA,CUCULIFORMES,Cuculidae,Cuculo beccoscuro
1209,Coccyzus americanus,"NA, MA",CUCULIFORMES,Cuculidae,Cuculo americano
1210,Coccyzus euleri,SA,CUCULIFORMES,Cuculidae,Cuculo pettoperlato
1211,Coccyzus minor,"NA, MA, SA",CUCULIFORMES,Cuculidae,Cuculo delle mangrovie
1212,Coccyzus ferrugineus,MA,CUCULIFORMES,Cuculidae,Cuculo di Cocos
1213,Coccyzus lansbergi,SA,CUCULIFORMES,Cuculidae,Cuculo capogrigio
1214,Pachycoccyx audeberti,AF,CUCULIFORMES,Cuculidae,Cuculo beccogrosso
1215,Microdynamis parva,AU,CUCULIFORMES,Cuculidae,Koel nano
1216,Eudynamys scolopaceus,OR,CUCULIFORMES,Cuculidae,Koel comune
1217,Eudynamys melanorhynchus,AU,CUCULIFORMES,Cuculidae,Koel becconero
1218,Eudynamys orientalis,AU,CUCULIFORMES,Cuculidae,Koel australiano
1219,Urodynamis taitensis,AU,CUCULIFORMES,Cuculidae,Koel codalunga
1220,Scythrops novaehollandiae,AU,CUCULIFORMES,Cuculidae,Cuculo scanalato
1221,Chrysococcyx maculatus,OR,CUCULIFORMES,Cuculidae,Cuculo smeraldino asiatico
1222,Chrysococcyx xanthorhynchus,OR,CUCULIFORMES,Cuculidae,Cuculo viola
1223,Chrysococcyx caprius,AF,CUCULIFORMES,Cuculidae,Cuculo dorato di Levaillant
1224,Chrysococcyx klaas,"AF, PAL",CUCULIFORMES,Cuculidae,Cuculo di Klaas
1225,Chrysococcyx flavigularis,AF,CUCULIFORMES,Cuculidae,Cuculo golagialla
1226,Chrysococcyx cupreus,AF,CUCULIFORMES,Cuculidae,Cuculo smeraldino africano
1227,Chrysococcyx megarhynchus,AU,CUCULIFORMES,Cuculidae,Cuculo beccolungo
1228,Chrysococcyx basalis,AU,CUCULIFORMES,Cuculidae,Cuculo bronzeo di Horsfield
1229,Chrysococcyx osculans,AU,CUCULIFORMES,Cuculidae,Cuculo guancenere
1230,Chrysococcyx ruficollis,AU,CUCULIFORMES,Cuculidae,Cuculo bronzeo golarossiccia
1231,Chrysococcyx lucidus,AU,CUCULIFORMES,Cuculidae,Cuculo bronzeo splendente
1232,Chrysococcyx meyerii,AU,CUCULIFORMES,Cuculidae,Cuculo bronzeo guancebianche
1233,Chrysococcyx minutillus,"OR, AU",CUCULIFORMES,Cuculidae,Cuculo bronzeo minore
1234,Cacomantis pallidus,AU,CUCULIFORMES,Cuculidae,Cuculo pallido
1235,Cacomantis leucolophus,AU,CUCULIFORMES,Cuculidae,Koel capobianco
1236,Cacomantis castaneiventris,AU,CUCULIFORMES,Cuculidae,Cuculo pettocastano
1237,Cacomantis flabelliformis,"AU, PO",CUCULIFORMES,Cuculidae,Cuculo codaventaglio
1238,Cacomantis sonneratii,OR,CUCULIFORMES,Cuculidae,Cuculo baio
1239,Cacomantis merulinus,"OR, AU",CUCULIFORMES,Cuculidae,Cuculo lamentoso
1240,Cacomantis passerinus,OR,CUCULIFORMES,Cuculidae,Cuculo panciagrigia
1241,Cacomantis variolosus,AU,CUCULIFORMES,Cuculidae,Cuculo di macchia
1242,Cacomantis sepulcralis,"OR, AU",CUCULIFORMES,Cuculidae,Cuculo indonesiano
1243,Cacomantis aeruginosus,AU,CUCULIFORMES,Cuculidae,Cuculo delle Molucche
1244,Cercococcyx mechowi,AF,CUCULIFORMES,Cuculidae,Cuculo codalunga fosco
1245,Cercococcyx olivinus,AF,CUCULIFORMES,Cuculidae,Cuculo codalunga olivaceo
1246,Cercococcyx montanus,AF,CUCULIFORMES,Cuculidae,Cuculo codalunga barrato
1247,Surniculus velutinus,OR,CUCULIFORMES,Cuculidae,Cuculo drongo delle Filippine
1248,Surniculus lugubris,OR,CUCULIFORMES,Cuculidae,Cuculo drongo asiatico
1249,Surniculus dicruroides,OR,CUCULIFORMES,Cuculidae,Cuculo drongo codaforcuta
1250,Surniculus musschenbroeki,AU,CUCULIFORMES,Cuculidae,Cuculo drongo delle Molucche
1251,Hierococcyx vagans,OR,CUCULIFORMES,Cuculidae,Cuculastore dai mustacchi
1252,Hierococcyx sparverioides,OR,CUCULIFORMES,Cuculidae,Cuculastore maggiore
1253,Hierococcyx bocki,OR,CUCULIFORMES,Cuculidae,Cuculastore di Bock
1254,Hierococcyx varius,OR,CUCULIFORMES,Cuculidae,Cuculastore comune
1255,Hierococcyx hyperythrus,PAL,CUCULIFORMES,Cuculidae,Cuculastore settentrionale
1256,Hierococcyx pectoralis,OR,CUCULIFORMES,Cuculidae,Cuculastore delle Filippine
1257,Hierococcyx fugax,OR,CUCULIFORMES,Cuculidae,Cuculastore di Malesia
1258,Hierococcyx nisicolor,OR,CUCULIFORMES,Cuculidae,Cuculastore di Hodgson
1259,Cuculus clamosus,AF,CUCULIFORMES,Cuculidae,Cuculo nero
1260,Cuculus solitarius,AF,CUCULIFORMES,Cuculidae,Cuculo pettorosso
1261,Cuculus poliocephalus,"PAL, OR",CUCULIFORMES,Cuculidae,Cuculo minore
1262,Cuculus crassirostris,AU,CUCULIFORMES,Cuculidae,Cuculastore di Sulawesi
1263,Cuculus micropterus,"OR, PAL",CUCULIFORMES,Cuculidae,Cuculo indiano
1264,Cuculus rochii,AF,CUCULIFORMES,Cuculidae,Cuculo del Madagascar
1265,Cuculus gularis,AF,CUCULIFORMES,Cuculidae,Cuculo africano
1266,Cuculus saturatus,OR,CUCULIFORMES,Cuculidae,Cuculo dell'Himalaya
1267,Cuculus optatus,PAL,CUCULIFORMES,Cuculidae,Cuculo orientale
1268,Cuculus lepidus,OR,CUCULIFORMES,Cuculidae,Cuculo della Sonda
1269,Cuculus canorus,PAL,CUCULIFORMES,Cuculidae,Cuculo
1270,Mesitornis variegatus,AF,MESITORNITHIFORMES,Mesitornithidae,Mesite pettobianco
1271,Mesitornis unicolor,AF,MESITORNITHIFORMES,Mesitornithidae,Mesite bruno
1272,Monias benschi,AF,MESITORNITHIFORMES,Mesitornithidae,Mesite monias
1273,Syrrhaptes tibetanus,PAL,PTEROCLIFORMES,Pteroclidae,Sirratte del Tibet
1274,Syrrhaptes paradoxus,PAL,PTEROCLIFORMES,Pteroclidae,Sirratte
1275,Pterocles alchata,"PAL, AF",PTEROCLIFORMES,Pteroclidae,Grandule
1276,Pterocles namaqua,AF,PTEROCLIFORMES,Pteroclidae,Grandule del Namaqua
1277,Pterocles exustus,"AF, PAL, OR",PTEROCLIFORMES,Pteroclidae,Grandule ventrecastano
1278,Pterocles senegallus,"AF, PAL",PTEROCLIFORMES,Pteroclidae,Grandule del Senegal
1279,Pterocles orientalis,PAL,PTEROCLIFORMES,Pteroclidae,Ganga
1280,Pterocles gutturalis,AF,PTEROCLIFORMES,Pteroclidae,Grandule golagialla
1281,Pterocles coronatus,"AF, PAL",PTEROCLIFORMES,Pteroclidae,Grandule coronata
1282,Pterocles decoratus,AF,PTEROCLIFORMES,Pteroclidae,Grandule faccianera
1283,Pterocles personatus,AF,PTEROCLIFORMES,Pteroclidae,Grandule del Madagascar
1284,Pterocles lichtensteinii,"AF, PAL",PTEROCLIFORMES,Pteroclidae,Grandule di Lichtenstein
1285,Pterocles indicus,OR,PTEROCLIFORMES,Pteroclidae,Grandule pittata
1286,Pterocles quadricinctus,AF,PTEROCLIFORMES,Pteroclidae,Grandule quattrobande
1287,Pterocles bicinctus,AF,PTEROCLIFORMES,Pteroclidae,Grandule doppiabanda
1288,Pterocles burchelli,AF,PTEROCLIFORMES,Pteroclidae,Grandule di Burchell
1289,Columba livia,Worldwide,COLUMBIFORMES,Columbidae,Piccione selvatico
1290,Columba rupestris,PAL,COLUMBIFORMES,Columbidae,Piccione di collina
1291,Columba leuconota,PAL,COLUMBIFORMES,Columbidae,Piccione delle nevi
1292,Columba guinea,AF,COLUMBIFORMES,Columbidae,Piccione marezzato
1293,Columba albitorques,AF,COLUMBIFORMES,Columbidae,Piccione dal collare
1294,Columba oenas,PAL,COLUMBIFORMES,Columbidae,Colombella
1295,Columba eversmanni,PAL,COLUMBIFORMES,Columbidae,Colombella orientale
1296,Columba oliviae,AF,COLUMBIFORMES,Columbidae,Piccione di Somalia
1297,Columba palumbus,PAL,COLUMBIFORMES,Columbidae,Colombaccio
1298,Columba trocaz,AF,COLUMBIFORMES,Columbidae,Colomba di Madera
1299,Columba bollii,AF,COLUMBIFORMES,Columbidae,Colomba di Bolle
1300,Columba junoniae,AF,COLUMBIFORMES,Columbidae,Colomba dei lauri
1301,Columba unicincta,AF,COLUMBIFORMES,Columbidae,Piccione afep
1302,Columba arquatrix,AF,COLUMBIFORMES,Columbidae,Piccione oliva africano
1303,Columba sjostedti,AF,COLUMBIFORMES,Columbidae,Piccione oliva del Camerun
1304,Columba thomensis,AF,COLUMBIFORMES,Columbidae,Piccione oliva di São Tomé
1305,Columba pollenii,AF,COLUMBIFORMES,Columbidae,Piccione oliva delle Comore
1306,Columba hodgsonii,OR,COLUMBIFORMES,Columbidae,Colombaccio marezzato
1307,Columba albinucha,AF,COLUMBIFORMES,Columbidae,Piccione nucabianca
1308,Columba pulchricollis,OR,COLUMBIFORMES,Columbidae,Colombaccio cenerino
1309,Columba elphinstonii,OR,COLUMBIFORMES,Columbidae,Colombaccio delle Nilgiri
1310,Columba torringtoniae,OR,COLUMBIFORMES,Columbidae,Colombaccio di Sri Lanka
1311,Columba punicea,OR,COLUMBIFORMES,Columbidae,Piccione capochiaro
1312,Columba argentina,OR,COLUMBIFORMES,Columbidae,Colombaccio argentato
1313,Columba palumboides,OR,COLUMBIFORMES,Columbidae,Colombaccio delle Andamane
1314,Columba janthina,PAL,COLUMBIFORMES,Columbidae,Colombaccio del Giappone
1315,Columba vitiensis,"OR, AU, PO",COLUMBIFORMES,Columbidae,Piccione metallico
1316,Columba leucomela,AU,COLUMBIFORMES,Columbidae,Piccione testabianca
1317,Columba pallidiceps,AU,COLUMBIFORMES,Columbidae,Piccione zampegialle
1318,Columba delegorguei,AF,COLUMBIFORMES,Columbidae,Piccione nucabronzo orientale
1319,Columba iriditorques,AF,COLUMBIFORMES,Columbidae,Piccione nucabronzo occidentale
1320,Columba malherbii,AF,COLUMBIFORMES,Columbidae,Piccione nucabronzo di São Tomé
1321,Columba larvata,AF,COLUMBIFORMES,Columbidae,Tortora cannella
1322,Patagioenas leucocephala,"NA, MA",COLUMBIFORMES,Columbidae,Piccione capobianco
1323,Patagioenas speciosa,"MA, SA",COLUMBIFORMES,Columbidae,Piccione squamato
1324,Patagioenas picazuro,SA,COLUMBIFORMES,Columbidae,Piccione picazuro
1325,Patagioenas corensis,SA,COLUMBIFORMES,Columbidae,Piccione occhinudi
1326,Patagioenas maculosa,SA,COLUMBIFORMES,Columbidae,Piccione alimacchiate
1327,Patagioenas fasciata,"NA, MA, SA",COLUMBIFORMES,Columbidae,Piccione codafasciata
1328,Patagioenas araucana,SA,COLUMBIFORMES,Columbidae,Piccione del Cile
1329,Patagioenas cayennensis,"MA, SA",COLUMBIFORMES,Columbidae,Piccione culchiaro
1330,Patagioenas flavirostris,MA,COLUMBIFORMES,Columbidae,Piccione beccorosso
1331,Patagioenas oenops,SA,COLUMBIFORMES,Columbidae,Piccione del Perù
1332,Patagioenas plumbea,SA,COLUMBIFORMES,Columbidae,Piccione piombato
1333,Patagioenas subvinacea,"MA, SA",COLUMBIFORMES,Columbidae,Piccione rossiccio
1334,Patagioenas nigrirostris,"MA, SA",COLUMBIFORMES,Columbidae,Piccione beccocorto
1335,Patagioenas goodsoni,SA,COLUMBIFORMES,Columbidae,Piccione fosco
1336,Nesoenas picturatus,AF,COLUMBIFORMES,Columbidae,Tortora del Madagascar
1337,Nesoenas mayeri,IO,COLUMBIFORMES,Columbidae,Piccione rosa
1338,Streptopelia turtur,PAL,COLUMBIFORMES,Columbidae,Tortora selvatica
1339,Streptopelia lugens,"AF, PAL",COLUMBIFORMES,Columbidae,Tortora fosca
1340,Streptopelia hypopyrrha,AF,COLUMBIFORMES,Columbidae,Tortora di Adamawa
1341,Streptopelia orientalis,"PAL, OR",COLUMBIFORMES,Columbidae,Tortora orientale
1342,Streptopelia bitorquata,"OR, AU",COLUMBIFORMES,Columbidae,Tortora dal collare insulare
1343,Streptopelia dusumieri,OR,COLUMBIFORMES,Columbidae,Philippine Collared Dove
1344,Streptopelia decaocto,"PAL, OR",COLUMBIFORMES,Columbidae,Tortora dal collare
1345,Streptopelia xanthocycla,OR,COLUMBIFORMES,Columbidae,Burmese Collared Dove
1346,Streptopelia roseogrisea,AF,COLUMBIFORMES,Columbidae,Tortora dal collare africana
1347,Streptopelia reichenowi,AF,COLUMBIFORMES,Columbidae,Tortora dal collare alibianche
1348,Streptopelia decipiens,AF,COLUMBIFORMES,Columbidae,Tortora lamentosa
1349,Streptopelia semitorquata,"AF, PAL",COLUMBIFORMES,Columbidae,Tortora occhirossi
1350,Streptopelia capicola,AF,COLUMBIFORMES,Columbidae,Tortora dal collare del Capo
1351,Streptopelia vinacea,AF,COLUMBIFORMES,Columbidae,Tortora vinata
1352,Streptopelia tranquebarica,OR,COLUMBIFORMES,Columbidae,Tortora dal collare asiatica
1353,Spilopelia chinensis,OR,COLUMBIFORMES,Columbidae,Tortora macchiata
1354,Spilopelia senegalensis,"AF, PAL, OR",COLUMBIFORMES,Columbidae,Tortora delle palme
1355,Macropygia unchall,OR,COLUMBIFORMES,Columbidae,Tortora cuculo barrata
1356,Macropygia amboinensis,AU,COLUMBIFORMES,Columbidae,Tortora cuculo beccosottile
1357,Macropygia doreya,AU,COLUMBIFORMES,Columbidae,Sultan's Cuckoo-Dove
1358,Macropygia emiliana,OR,COLUMBIFORMES,Columbidae,Tortora cuculo rossiccia
1359,Macropygia cinnamomea,OR,COLUMBIFORMES,Columbidae,Enggano Cuckoo-Dove
1360,Macropygia modiglianii,OR,COLUMBIFORMES,Columbidae,Barusan Cuckoo-Dove
1361,Macropygia magna,AU,COLUMBIFORMES,Columbidae,Tortora cuculo fosca
1362,Macropygia timorlaoensis,AU,COLUMBIFORMES,Columbidae,Tanimbar Cuckoo-Dove
1363,Macropygia macassariensis,AU,COLUMBIFORMES,Columbidae,Flores Sea Cuckoo-Dove
1364,Macropygia tenuirostris,OR,COLUMBIFORMES,Columbidae,Tortora cuculo delle Filippine
1365,Macropygia phasianella,AU,COLUMBIFORMES,Columbidae,Tortora cuculo bruna
1366,Macropygia rufipennis,OR,COLUMBIFORMES,Columbidae,Tortora cuculo delle Andamane
1367,Macropygia nigrirostris,AU,COLUMBIFORMES,Columbidae,Tortora cuculo becconero
1368,Macropygia mackinlayi,AU,COLUMBIFORMES,Columbidae,Tortora cuculo di Mackinlay
1369,Macropygia ruficeps,OR,COLUMBIFORMES,Columbidae,Tortora cuculo minore
1370,Reinwardtoena reinwardti,AU,COLUMBIFORMES,Columbidae,Tortora cuculo maggiore
1371,Reinwardtoena browni,AU,COLUMBIFORMES,Columbidae,Tortora cuculo bianconera
1372,Reinwardtoena crassirostris,AU,COLUMBIFORMES,Columbidae,Tortora cuculo crestata
1373,Turacoena manadensis,AU,COLUMBIFORMES,Columbidae,Tortora cuculo facciabianca
1374,Turacoena sulaensis,AU,COLUMBIFORMES,Columbidae,Sula Cuckoo-Dove
1375,Turacoena modesta,AU,COLUMBIFORMES,Columbidae,Tortora cuculo nera
1376,Turtur chalcospilos,AF,COLUMBIFORMES,Columbidae,Tortora boschereccia macchiesmeraldo
1377,Turtur abyssinicus,AF,COLUMBIFORMES,Columbidae,Tortora boschereccia becconero
1378,Turtur afer,AF,COLUMBIFORMES,Columbidae,Tortora boschereccia macchieblu
1379,Turtur tympanistria,AF,COLUMBIFORMES,Columbidae,Tortora tamburina
1380,Turtur brehmeri,AF,COLUMBIFORMES,Columbidae,Tortora boschereccia testazzurra
1381,Oena capensis,"AF, PAL",COLUMBIFORMES,Columbidae,Tortora maschera di ferro
1382,Chalcophaps indica,"OR, AU",COLUMBIFORMES,Columbidae,Tortora smeraldina comune
1383,Chalcophaps longirostris,AU,COLUMBIFORMES,Columbidae,Tortora smeraldina del Pacifico
1384,Chalcophaps stephani,AU,COLUMBIFORMES,Columbidae,Tortora di Stephan
1385,Henicophaps albifrons,AU,COLUMBIFORMES,Columbidae,Alabronzo papua
1386,Henicophaps foersteri,AU,COLUMBIFORMES,Columbidae,Alabronzo di New Britain
1387,Phaps chalcoptera,AU,COLUMBIFORMES,Columbidae,Alabronzo comune
1388,Phaps elegans,AU,COLUMBIFORMES,Columbidae,Alabronzo di macchia
1389,Phaps histrionica,AU,COLUMBIFORMES,Columbidae,Alabronzo arlecchino
1390,Ocyphaps lophotes,AU,COLUMBIFORMES,Columbidae,Piccione crestato
1391,Geophaps plumifera,AU,COLUMBIFORMES,Columbidae,Piccione dello spinifex
1392,Geophaps scripta,AU,COLUMBIFORMES,Columbidae,Piccione scritto
1393,Geophaps smithii,AU,COLUMBIFORMES,Columbidae,Piccione pernice
1394,Trugon terrestris,AU,COLUMBIFORMES,Columbidae,Piccione terragnolo
1395,Leucosarcia melanoleuca,AU,COLUMBIFORMES,Columbidae,Piccione wonga
1396,Petrophassa rufipennis,AU,COLUMBIFORMES,Columbidae,Piccione di roccia alicastane
1397,Petrophassa albipennis,AU,COLUMBIFORMES,Columbidae,Piccione di roccia alibianche
1398,Geopelia cuneata,AU,COLUMBIFORMES,Columbidae,Tortora diamantina
1399,Geopelia striata,OR,COLUMBIFORMES,Columbidae,Tortora zebrata
1400,Geopelia placida,AU,COLUMBIFORMES,Columbidae,Tortora placida
1401,Geopelia maugeus,AU,COLUMBIFORMES,Columbidae,Tortora barrata
1402,Geopelia humeralis,AU,COLUMBIFORMES,Columbidae,Tortora spallebarrate
1403,Columbina inca,"NA, MA",COLUMBIFORMES,Columbidae,Tortora inca
1404,Columbina squammata,SA,COLUMBIFORMES,Columbidae,Tortora squamata
1405,Columbina passerina,"NA, MA, SA",COLUMBIFORMES,Columbidae,Tortorina comune
1406,Columbina minuta,"MA, SA",COLUMBIFORMES,Columbidae,Tortorina pettounicolore
1407,Columbina buckleyi,SA,COLUMBIFORMES,Columbidae,Tortorina dell'Ecuador
1408,Columbina talpacoti,"MA, SA",COLUMBIFORMES,Columbidae,Tortorina rossiccia
1409,Columbina picui,SA,COLUMBIFORMES,Columbidae,Tortorina picui
1410,Columbina cruziana,SA,COLUMBIFORMES,Columbidae,Tortorina gracchiante
1411,Columbina cyanopis,SA,COLUMBIFORMES,Columbidae,Tortorina occhiblu
1412,Claravis pretiosa,"MA, SA",COLUMBIFORMES,Columbidae,Tortorina azzurra
1413,Paraclaravis geoffroyi,SA,COLUMBIFORMES,Columbidae,Tortorina aliviola
1414,Paraclaravis mondetoura,"MA, SA",COLUMBIFORMES,Columbidae,Tortorina pettomarrone
1415,Metriopelia ceciliae,SA,COLUMBIFORMES,Columbidae,Tortorina faccianuda
1416,Metriopelia morenoi,SA,COLUMBIFORMES,Columbidae,Tortorina occhinudi
1417,Metriopelia melanoptera,SA,COLUMBIFORMES,Columbidae,Tortorina alinere
