,IOC,Breeding Range,Order,Family,German
2541,Pernis ptilorhynchus,"PAL, OR",ACCIPITRIFORMES,Accipitridae,Schopfwespenbussard
2542,Pernis celebensis,AU,ACCIPITRIFORMES,Accipitridae,Celebeswespenbussard
2543,Pernis steerei,OR,ACCIPITRIFORMES,Accipitridae,Philippinenwespenbussard
2544,Elanoides forficatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,Schwalbenweih
2545,Lophoictinia isura,AU,ACCIPITRIFORMES,Accipitridae,Milanweih
2546,Hamirostra melanosternon,AU,ACCIPITRIFORMES,Accipitridae,Schwarzbrustweih
2547,Aviceda cuculoides,AF,ACCIPITRIFORMES,Accipitridae,Kuckucksweih
2548,Aviceda madagascariensis,AF,ACCIPITRIFORMES,Accipitridae,Lemurenweih
2549,Aviceda jerdoni,"OR, AU",ACCIPITRIFORMES,Accipitridae,Orientweih
2550,Aviceda subcristata,AU,ACCIPITRIFORMES,Accipitridae,Papuaweih
2551,Aviceda leuphotes,OR,ACCIPITRIFORMES,Accipitridae,Dreifarbweih
2552,Henicopernis longicauda,AU,ACCIPITRIFORMES,Accipitridae,Langschwanzweih
2553,Henicopernis infuscatus,AU,ACCIPITRIFORMES,Accipitridae,Bänderweih
2554,Necrosyrtes monachus,AF,ACCIPITRIFORMES,Accipitridae,Kappengeier
2555,Gyps africanus,AF,ACCIPITRIFORMES,Accipitridae,Weißrückengeier
2556,Gyps bengalensis,OR,ACCIPITRIFORMES,Accipitridae,Bengalengeier
2557,Gyps indicus,OR,ACCIPITRIFORMES,Accipitridae,Indiengeier
2558,Gyps tenuirostris,OR,ACCIPITRIFORMES,Accipitridae,Dünnschnabelgeier
2559,Gyps rueppelli,AF,ACCIPITRIFORMES,Accipitridae,Sperbergeier
2560,Gyps himalayensis,OR,ACCIPITRIFORMES,Accipitridae,Schneegeier
2561,Gyps fulvus,"AF, PAL",ACCIPITRIFORMES,Accipitridae,Gänsegeier
2562,Gyps coprotheres,AF,ACCIPITRIFORMES,Accipitridae,Kapgeier
2563,Sarcogyps calvus,OR,ACCIPITRIFORMES,Accipitridae,Kahlkopfgeier
2564,Trigonoceps occipitalis,AF,ACCIPITRIFORMES,Accipitridae,Wollkopfgeier
2565,Aegypius monachus,PAL,ACCIPITRIFORMES,Accipitridae,Mönchsgeier
2566,Torgos tracheliotos,AF,ACCIPITRIFORMES,Accipitridae,Ohrengeier
2567,Spilornis cheela,OR,ACCIPITRIFORMES,Accipitridae,Haubenschlangenadler
2568,Spilornis klossi,OR,ACCIPITRIFORMES,Accipitridae,Nikobarenschlangenadler
2569,Spilornis kinabaluensis,OR,ACCIPITRIFORMES,Accipitridae,Bergschlangenadler
2570,Spilornis rufipectus,AU,ACCIPITRIFORMES,Accipitridae,Sulawesischlangenadler
2571,Spilornis holospilus,OR,ACCIPITRIFORMES,Accipitridae,Philippinenschlangenadler
2572,Spilornis elgini,OR,ACCIPITRIFORMES,Accipitridae,Andamanenschlangenadler
2573,Pithecophaga jefferyi,OR,ACCIPITRIFORMES,Accipitridae,Affenadler
2574,Circaetus gallicus,"PAL, OR",ACCIPITRIFORMES,Accipitridae,Schlangenadler
2575,Circaetus beaudouini,AF,ACCIPITRIFORMES,Accipitridae,Beaudouin-Schlangenadler
2576,Circaetus pectoralis,AF,ACCIPITRIFORMES,Accipitridae,Schwarzbrust-Schlangenadler
2577,Circaetus cinereus,AF,ACCIPITRIFORMES,Accipitridae,Einfarb-Schlangenadler
2578,Circaetus fasciolatus,AF,ACCIPITRIFORMES,Accipitridae,Graubrust-Schlangenadler
2579,Circaetus cinerascens,AF,ACCIPITRIFORMES,Accipitridae,Bandschlangenadler
2580,Dryotriorchis spectabilis,AF,ACCIPITRIFORMES,Accipitridae,Kongoschlangenadler
2581,Terathopius ecaudatus,AF,ACCIPITRIFORMES,Accipitridae,Gaukler
2582,Macheiramphus alcinus,"AF, OR, AU",ACCIPITRIFORMES,Accipitridae,Fledermausadler
2583,Harpyopsis novaeguineae,AU,ACCIPITRIFORMES,Accipitridae,Papuaadler
2584,Morphnus guianensis,"MA, SA",ACCIPITRIFORMES,Accipitridae,Würgadler
2585,Harpia harpyja,"MA, SA",ACCIPITRIFORMES,Accipitridae,Harpyie
2586,Stephanoaetus coronatus,AF,ACCIPITRIFORMES,Accipitridae,Kronenadler
2587,Nisaetus kelaarti,OR,ACCIPITRIFORMES,Accipitridae,Ceylonhaubenadler
2588,Nisaetus nanus,OR,ACCIPITRIFORMES,Accipitridae,Dschungelhaubenadler
2589,Nisaetus nipalensis,OR,ACCIPITRIFORMES,Accipitridae,Berghaubenadler
2590,Nisaetus alboniger,OR,ACCIPITRIFORMES,Accipitridae,Borneohaubenadler
2591,Nisaetus bartelsi,OR,ACCIPITRIFORMES,Accipitridae,Javahaubenadler
2592,Nisaetus lanceolatus,AU,ACCIPITRIFORMES,Accipitridae,Celebeshaubenadler
2593,Nisaetus pinskeri,OR,ACCIPITRIFORMES,Accipitridae,Mindanaohaubenadler
2594,Nisaetus philippensis,OR,ACCIPITRIFORMES,Accipitridae,Luzonhaubenadler
2595,Nisaetus cirrhatus,OR,ACCIPITRIFORMES,Accipitridae,Indienhaubenadler
2596,Nisaetus floris,AU,ACCIPITRIFORMES,Accipitridae,Floreshaubenadler
2597,Spizaetus tyrannus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Tyrannenadler
2598,Spizaetus melanoleucus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Elsteradler
2599,Spizaetus ornatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Prachtadler
2600,Spizaetus isidori,SA,ACCIPITRIFORMES,Accipitridae,Kastanienbauchadler
2601,Lophotriorchis kienerii,"OR, AU",ACCIPITRIFORMES,Accipitridae,Rotbauchadler
2602,Polemaetus bellicosus,AF,ACCIPITRIFORMES,Accipitridae,Kampfadler
2603,Lophaetus occipitalis,AF,ACCIPITRIFORMES,Accipitridae,Schopfadler
2604,Ictinaetus malaiensis,OR,ACCIPITRIFORMES,Accipitridae,Malaienadler
2605,Clanga hastata,OR,ACCIPITRIFORMES,Accipitridae,Gangesadler
2606,Clanga pomarina,PAL,ACCIPITRIFORMES,Accipitridae,Schreiadler
2607,Clanga clanga,PAL,ACCIPITRIFORMES,Accipitridae,Schelladler
2608,Hieraaetus wahlbergi,AF,ACCIPITRIFORMES,Accipitridae,Silberadler
2609,Hieraaetus ayresii,AF,ACCIPITRIFORMES,Accipitridae,Fleckenadler
2610,Hieraaetus pennatus,PAL,ACCIPITRIFORMES,Accipitridae,Zwergadler
2611,Hieraaetus weiskei,AU,ACCIPITRIFORMES,Accipitridae,Papuazwergadler
2612,Hieraaetus morphnoides,AU,ACCIPITRIFORMES,Accipitridae,Kaninchenadler
2613,Aquila nipalensis,PAL,ACCIPITRIFORMES,Accipitridae,Steppenadler
2614,Aquila rapax,AF,ACCIPITRIFORMES,Accipitridae,Savannenadler
2615,Aquila adalberti,PAL,ACCIPITRIFORMES,Accipitridae,Iberienadler
2616,Aquila heliaca,PAL,ACCIPITRIFORMES,Accipitridae,Kaiseradler
2617,Aquila chrysaetos,"NA, MA, PAL",ACCIPITRIFORMES,Accipitridae,Steinadler
2618,Aquila africana,AF,ACCIPITRIFORMES,Accipitridae,Schwarzachseladler
2619,Aquila audax,AU,ACCIPITRIFORMES,Accipitridae,Keilschwanzadler
2620,Aquila gurneyi,AU,ACCIPITRIFORMES,Accipitridae,Molukkenadler
2621,Aquila verreauxii,AF,ACCIPITRIFORMES,Accipitridae,Klippenadler
2622,Aquila fasciata,"PAL, OR",ACCIPITRIFORMES,Accipitridae,Habichtsadler
2623,Aquila spilogaster,AF,ACCIPITRIFORMES,Accipitridae,Akazienadler
2624,Harpagus bidentatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Rostbrust-Zahnhabicht
2625,Harpagus diodon,SA,ACCIPITRIFORMES,Accipitridae,Rostschenkel-Zahnhabicht
2626,Kaupifalco monogrammicus,AF,ACCIPITRIFORMES,Accipitridae,Kuckuckshabicht
2627,Micronisus gabar,AF,ACCIPITRIFORMES,Accipitridae,Gabarhabicht
2628,Melierax metabates,AF,ACCIPITRIFORMES,Accipitridae,Graubürzel-Singhabicht
2629,Melierax poliopterus,AF,ACCIPITRIFORMES,Accipitridae,Weißbürzel-Singhabicht
2630,Melierax canorus,AF,ACCIPITRIFORMES,Accipitridae,Silbersinghabicht
2631,Urotriorchis macrourus,AF,ACCIPITRIFORMES,Accipitridae,Langschwanzhabicht
2632,Erythrotriorchis buergersi,AU,ACCIPITRIFORMES,Accipitridae,Prachthabicht
2633,Erythrotriorchis radiatus,AU,ACCIPITRIFORMES,Accipitridae,Fuchshabicht
2634,Megatriorchis doriae,AU,ACCIPITRIFORMES,Accipitridae,Salvadorihabicht
2635,Microspizias superciliosus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Däumlingssperber
2636,Microspizias collaris,SA,ACCIPITRIFORMES,Accipitridae,Halsbandsperber
2637,Accipiter trivirgatus,OR,ACCIPITRIFORMES,Accipitridae,Schopfhabicht
2638,Accipiter griseiceps,AU,ACCIPITRIFORMES,Accipitridae,Graukopfhabicht
2639,Accipiter poliogaster,SA,ACCIPITRIFORMES,Accipitridae,Graubauchhabicht
2640,Accipiter toussenelii,AF,ACCIPITRIFORMES,Accipitridae,Rotbrusthabicht
2641,Accipiter tachiro,AF,ACCIPITRIFORMES,Accipitridae,Afrikahabicht
2642,Accipiter castanilius,AF,ACCIPITRIFORMES,Accipitridae,Rotflankenhabicht
2643,Accipiter badius,"AF, OR",ACCIPITRIFORMES,Accipitridae,Schikrasperber
2644,Accipiter butleri,OR,ACCIPITRIFORMES,Accipitridae,Nikobarensperber
2645,Accipiter brevipes,PAL,ACCIPITRIFORMES,Accipitridae,Kurzfangsperber
2646,Accipiter soloensis,PAL,ACCIPITRIFORMES,Accipitridae,Froschsperber
2647,Accipiter francesiae,AF,ACCIPITRIFORMES,Accipitridae,Echsensperber
2648,Accipiter trinotatus,AU,ACCIPITRIFORMES,Accipitridae,Fleckschwanzsperber
2649,Accipiter novaehollandiae,AU,ACCIPITRIFORMES,Accipitridae,Grauhabicht
2650,Accipiter hiogaster,AU,ACCIPITRIFORMES,Accipitridae,Inselhabicht
2651,Accipiter fasciatus,AU,ACCIPITRIFORMES,Accipitridae,Bänderhabicht
2652,Accipiter melanochlamys,AU,ACCIPITRIFORMES,Accipitridae,Schwarzmantelhabicht
2653,Accipiter albogularis,AU,ACCIPITRIFORMES,Accipitridae,Elsterhabicht
2654,Accipiter haplochrous,AU,ACCIPITRIFORMES,Accipitridae,Weißbauchhabicht
2655,Accipiter rufitorques,PO,ACCIPITRIFORMES,Accipitridae,Fidschihabicht
2656,Accipiter henicogrammus,AU,ACCIPITRIFORMES,Accipitridae,Halmaherahabicht
2657,Accipiter luteoschistaceus,AU,ACCIPITRIFORMES,Accipitridae,Schiefermantelhabicht
2658,Accipiter imitator,AU,ACCIPITRIFORMES,Accipitridae,Trughabicht
2659,Accipiter poliocephalus,AU,ACCIPITRIFORMES,Accipitridae,Aschkopfhabicht
2660,Accipiter princeps,AU,ACCIPITRIFORMES,Accipitridae,Prinzenhabicht
2661,Accipiter erythropus,AF,ACCIPITRIFORMES,Accipitridae,Waldsperber
2662,Accipiter minullus,AF,ACCIPITRIFORMES,Accipitridae,Zwergsperber
2663,Accipiter gularis,PAL,ACCIPITRIFORMES,Accipitridae,Trillersperber
2664,Accipiter virgatus,OR,ACCIPITRIFORMES,Accipitridae,Besrasperber
2665,Accipiter nanus,AU,ACCIPITRIFORMES,Accipitridae,Sulawesisperber
2666,Accipiter erythrauchen,AU,ACCIPITRIFORMES,Accipitridae,Rotnackensperber
2667,Accipiter cirrocephalus,AU,ACCIPITRIFORMES,Accipitridae,Halsringsperber
2668,Accipiter brachyurus,AU,ACCIPITRIFORMES,Accipitridae,Dreifarbensperber
2669,Accipiter rhodogaster,AU,ACCIPITRIFORMES,Accipitridae,Rosenbrustsperber
2670,Accipiter madagascariensis,AF,ACCIPITRIFORMES,Accipitridae,Madagaskarsperber
2671,Accipiter ovampensis,AF,ACCIPITRIFORMES,Accipitridae,Ovambosperber
2672,Accipiter nisus,PAL,ACCIPITRIFORMES,Accipitridae,Sperber
2673,Accipiter rufiventris,AF,ACCIPITRIFORMES,Accipitridae,Rotbauchsperber
2674,Accipiter striatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,Eckschwanzsperber
2675,Accipiter chionogaster,MA,ACCIPITRIFORMES,Accipitridae,Weißbrustsperber
2676,Accipiter ventralis,SA,ACCIPITRIFORMES,Accipitridae,Andensperber
2677,Accipiter erythronemius,SA,ACCIPITRIFORMES,Accipitridae,Rotschenkelsperber
2678,Accipiter cooperii,"NA, MA",ACCIPITRIFORMES,Accipitridae,Rundschwanzhabicht
2679,Accipiter bicolor,"MA, SA",ACCIPITRIFORMES,Accipitridae,Zweifarbhabicht
2680,Accipiter chilensis,SA,ACCIPITRIFORMES,Accipitridae,Chilehabicht
2681,Accipiter melanoleucus,AF,ACCIPITRIFORMES,Accipitridae,Dominohabicht
2682,Accipiter henstii,AF,ACCIPITRIFORMES,Accipitridae,Madagaskarhabicht
2683,Accipiter gentilis,PAL,ACCIPITRIFORMES,Accipitridae,Habicht
2684,Accipiter atricapillus,"NA, MA",ACCIPITRIFORMES,Accipitridae,American Goshawk
2685,Accipiter meyerianus,AU,ACCIPITRIFORMES,Accipitridae,Papuahabicht
2686,Circus aeruginosus,"PAL, AF",ACCIPITRIFORMES,Accipitridae,Rohrweihe
2687,Circus spilonotus,PAL,ACCIPITRIFORMES,Accipitridae,Mangroveweihe
2688,Circus spilothorax,AU,ACCIPITRIFORMES,Accipitridae,Papuaweihe
2689,Circus approximans,AU,ACCIPITRIFORMES,Accipitridae,Sumpfweihe
2690,Circus ranivorus,AF,ACCIPITRIFORMES,Accipitridae,Froschweihe
2691,Circus maillardi,AF,ACCIPITRIFORMES,Accipitridae,Réunionweihe
2692,Circus macrosceles,AF,ACCIPITRIFORMES,Accipitridae,Madagaskarweihe
2693,Circus buffoni,SA,ACCIPITRIFORMES,Accipitridae,Weißbrauenweihe
2694,Circus assimilis,AU,ACCIPITRIFORMES,Accipitridae,Fleckenweihe
2695,Circus maurus,AF,ACCIPITRIFORMES,Accipitridae,Kapweihe
2696,Circus cyaneus,PAL,ACCIPITRIFORMES,Accipitridae,Kornweihe
2697,Circus hudsonius,"NA, MA",ACCIPITRIFORMES,Accipitridae,Hudsonweihe
2698,Circus cinereus,SA,ACCIPITRIFORMES,Accipitridae,Grauweihe
2699,Circus macrourus,PAL,ACCIPITRIFORMES,Accipitridae,Steppenweihe
2700,Circus melanoleucos,PAL,ACCIPITRIFORMES,Accipitridae,Elsterweihe
2701,Circus pygargus,PAL,ACCIPITRIFORMES,Accipitridae,Wiesenweihe
2702,Milvus milvus,PAL,ACCIPITRIFORMES,Accipitridae,Rotmilan
2703,Milvus migrans,"PAL, AF, OR, AU",ACCIPITRIFORMES,Accipitridae,Schwarzmilan
2704,Milvus aegyptius,AF,ACCIPITRIFORMES,Accipitridae,Schmarotzermilan
2705,Haliastur sphenurus,AU,ACCIPITRIFORMES,Accipitridae,Keilschwanzmilan
2706,Haliastur indus,"OR, AU",ACCIPITRIFORMES,Accipitridae,Brahmanenmilan
2707,Haliaeetus pelagicus,PAL,ACCIPITRIFORMES,Accipitridae,Riesenseeadler
2708,Haliaeetus leucoryphus,PAL,ACCIPITRIFORMES,Accipitridae,Bindenseeadler
2709,Haliaeetus albicilla,PAL,ACCIPITRIFORMES,Accipitridae,Seeadler
2710,Icthyophaga leucogaster,"OR, AU",ACCIPITRIFORMES,Accipitridae,Weißbauch-Seeadler
2711,Icthyophaga sanfordi,AU,ACCIPITRIFORMES,Accipitridae,Salomonenseeadler
2712,Icthyophaga vocifer,AF,ACCIPITRIFORMES,Accipitridae,Schreiseeadler
2713,Icthyophaga vociferoides,AF,ACCIPITRIFORMES,Accipitridae,Madagaskarseeadler
2714,Icthyophaga humilis,"OR, AU",ACCIPITRIFORMES,Accipitridae,Braunschwanz-Seeadler
2715,Icthyophaga ichthyaetus,OR,ACCIPITRIFORMES,Accipitridae,Graukopf-Seeadler
2716,Butastur rufipennis,AF,ACCIPITRIFORMES,Accipitridae,Heuschreckenbussard
2717,Butastur teesa,OR,ACCIPITRIFORMES,Accipitridae,Weißaugenbussard
2718,Butastur liventer,"OR, AU",ACCIPITRIFORMES,Accipitridae,Malaienbussard
2719,Butastur indicus,PAL,ACCIPITRIFORMES,Accipitridae,Amurbussard
2720,Ictinia plumbea,"MA, SA",ACCIPITRIFORMES,Accipitridae,Schwebebussard
2721,Busarellus nigricollis,"MA, SA",ACCIPITRIFORMES,Accipitridae,Fischbussard
2722,Rostrhamus sociabilis,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,Schneckenbussard
2723,Helicolestes hamatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Hakenbussard
2724,Geranospiza caerulescens,"MA, SA",ACCIPITRIFORMES,Accipitridae,Stelzenbussard
2725,Cryptoleucopteryx plumbea,SA,ACCIPITRIFORMES,Accipitridae,Bleibussard
2726,Buteogallus schistaceus,SA,ACCIPITRIFORMES,Accipitridae,Schieferbussard
2727,Buteogallus anthracinus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,Krabbenbussard
2728,Buteogallus aequinoctialis,SA,ACCIPITRIFORMES,Accipitridae,Rotbauchbussard
2729,Buteogallus meridionalis,"MA, SA",ACCIPITRIFORMES,Accipitridae,Savannenbussard
2730,Buteogallus lacernulatus,SA,ACCIPITRIFORMES,Accipitridae,Weißhalsbussard
2731,Buteogallus urubitinga,"MA, SA",ACCIPITRIFORMES,Accipitridae,Schwarzbussard
2732,Buteogallus solitarius,"MA, SA",ACCIPITRIFORMES,Accipitridae,Einsiedlerbussard
2733,Buteogallus coronatus,SA,ACCIPITRIFORMES,Accipitridae,Kronenbussard
2734,Morphnarchus princeps,"MA, SA",ACCIPITRIFORMES,Accipitridae,Prinzenbussard
2735,Rupornis magnirostris,"MA, SA",ACCIPITRIFORMES,Accipitridae,Wegebussard
2736,Parabuteo unicinctus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,Wüstenbussard
2737,Parabuteo leucorrhous,SA,ACCIPITRIFORMES,Accipitridae,Weißbürzelbussard
2738,Geranoaetus albicaudatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,Weißschwanzbussard
2739,Geranoaetus polyosoma,SA,ACCIPITRIFORMES,Accipitridae,Rotrückenbussard
2740,Geranoaetus melanoleucus,SA,ACCIPITRIFORMES,Accipitridae,Andenbussard
2741,Pseudastur polionotus,SA,ACCIPITRIFORMES,Accipitridae,Mantelbussard
2742,Pseudastur albicollis,"MA, SA",ACCIPITRIFORMES,Accipitridae,Schneebussard
2743,Pseudastur occidentalis,SA,ACCIPITRIFORMES,Accipitridae,Graurückenbussard
2744,Leucopternis semiplumbeus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Möwenbussard
2745,Leucopternis melanops,SA,ACCIPITRIFORMES,Accipitridae,Zügelbussard
2746,Leucopternis kuhli,SA,ACCIPITRIFORMES,Accipitridae,Weißbrauenbussard
2747,Buteo plagiatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,Graubussard
2748,Buteo nitidus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Silberbussard
2749,Buteo lineatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,Rotschulterbussard
2750,Buteo albigula,SA,ACCIPITRIFORMES,Accipitridae,Weißkehlbussard
2751,Buteo brachyurus,"MA, SA",ACCIPITRIFORMES,Accipitridae,Kurzschwanzbussard
2752,Buteo solitarius,PO,ACCIPITRIFORMES,Accipitridae,Hawaiibussard
2753,Buteo swainsoni,"NA, MA",ACCIPITRIFORMES,Accipitridae,Präriebussard
2754,Buteo galapagoensis,SA,ACCIPITRIFORMES,Accipitridae,Galápagosbussard
2755,Buteo albonotatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,Rußbussard
2756,Buteo jamaicensis,"NA, MA",ACCIPITRIFORMES,Accipitridae,Rotschwanzbussard
2757,Buteo ventralis,SA,ACCIPITRIFORMES,Accipitridae,Magellanbussard
2758,Buteo lagopus,"NA, PAL",ACCIPITRIFORMES,Accipitridae,Raufußbussard
2759,Buteo hemilasius,PAL,ACCIPITRIFORMES,Accipitridae,Mongolenbussard
2760,Buteo japonicus,OR,ACCIPITRIFORMES,Accipitridae,Taigabussard
2761,Buteo refectus,OR,ACCIPITRIFORMES,Accipitridae,Tibetbussard
2762,Buteo rufinus,"PAL, AF",ACCIPITRIFORMES,Accipitridae,Adlerbussard
2763,Buteo bannermani,AF,ACCIPITRIFORMES,Accipitridae,Kapverdenbussard
2764,Buteo socotraensis,AF,ACCIPITRIFORMES,Accipitridae,Sokotrabussard
2765,Buteo buteo,PAL,ACCIPITRIFORMES,Accipitridae,Mäusebussard
2766,Buteo trizonatus,AF,ACCIPITRIFORMES,Accipitridae,Kapbussard
2767,Buteo oreophilus,AF,ACCIPITRIFORMES,Accipitridae,Bergbussard
2768,Buteo auguralis,AF,ACCIPITRIFORMES,Accipitridae,Rostnackenbussard
2769,Buteo brachypterus,AF,ACCIPITRIFORMES,Accipitridae,Madagaskarbussard
2770,Buteo augur,AF,ACCIPITRIFORMES,Accipitridae,Augurbussard
2771,Buteo rufofuscus,AF,ACCIPITRIFORMES,Accipitridae,Felsenbussard
2772,Tyto tenebricosa,AU,STRIGIFORMES,Tytonidae,Rußeule
2773,Tyto multipunctata,AU,STRIGIFORMES,Tytonidae,Fleckenrußeule
2774,Tyto inexspectata,AU,STRIGIFORMES,Tytonidae,Minahassaeule
2775,Tyto nigrobrunnea,AU,STRIGIFORMES,Tytonidae,Taliabueule
2776,Tyto sororcula,AU,STRIGIFORMES,Tytonidae,Molukkeneule
2777,Tyto manusi,AU,STRIGIFORMES,Tytonidae,Manuseule
2778,Tyto aurantia,AU,STRIGIFORMES,Tytonidae,Goldeule
2779,Tyto novaehollandiae,AU,STRIGIFORMES,Tytonidae,Neuhollandeule
2780,Tyto rosenbergii,AU,STRIGIFORMES,Tytonidae,Sulawesieule
2781,Tyto soumagnei,AF,STRIGIFORMES,Tytonidae,Malegasseneule
2782,Tyto alba,"AF, PAL",STRIGIFORMES,Tytonidae,Schleiereule
2783,Tyto furcata,"NA, MA, SA",STRIGIFORMES,Tytonidae,Amerikaschleiereule
2784,Tyto javanica,"OR, AU, PO",STRIGIFORMES,Tytonidae,Australschleiereule
2785,Tyto deroepstorffi,OR,STRIGIFORMES,Tytonidae,Andamanenschleiereule
2786,Tyto capensis,AF,STRIGIFORMES,Tytonidae,Kapgraseule
2787,Tyto longimembris,"OR, AU",STRIGIFORMES,Tytonidae,Graseule
2788,Tyto prigoginei,AF,STRIGIFORMES,Tytonidae,Kongomaskeneule
2789,Phodilus badius,OR,STRIGIFORMES,Tytonidae,Maskeneule
2790,Phodilus assimilis,OR,STRIGIFORMES,Tytonidae,Ceylonmaskeneule
2791,Uroglaux dimorpha,AU,STRIGIFORMES,Strigidae,Rundflügelkauz
2792,Ninox rufa,AU,STRIGIFORMES,Strigidae,Rostkauz
2793,Ninox strenua,AU,STRIGIFORMES,Strigidae,Riesenkauz
2794,Ninox connivens,AU,STRIGIFORMES,Strigidae,Kläfferkauz
2795,Ninox rudolfi,AU,STRIGIFORMES,Strigidae,Sumbakauz
2796,Ninox boobook,AU,STRIGIFORMES,Strigidae,Boobookkauz
2797,Ninox rotiensis,AU,STRIGIFORMES,Strigidae,Rotikauz
2798,Ninox fusca,AU,STRIGIFORMES,Strigidae,Timorkauz
2799,Ninox plesseni,AU,STRIGIFORMES,Strigidae,Alorkauz
2800,Ninox leucopsis,AU,STRIGIFORMES,Strigidae,Tasmankuckuckskauz
2801,Ninox novaeseelandiae,AU,STRIGIFORMES,Strigidae,Kuckuckskauz
2802,Ninox japonica,OR,STRIGIFORMES,Strigidae,Japankauz
2803,Ninox scutulata,"OR, PAL",STRIGIFORMES,Strigidae,Falkenkauz
2804,Ninox obscura,OR,STRIGIFORMES,Strigidae,Dunkelkauz
2805,Ninox randi,OR,STRIGIFORMES,Strigidae,Schokoladenkauz
2806,Ninox affinis,OR,STRIGIFORMES,Strigidae,Andamanenkauz
2807,Ninox philippensis,OR,STRIGIFORMES,Strigidae,Luzonkauz
2808,Ninox spilocephala,OR,STRIGIFORMES,Strigidae,Mindanaokauz
2809,Ninox leventisi,OR,STRIGIFORMES,Strigidae,Camiguinkauz
2810,Ninox reyi,OR,STRIGIFORMES,Strigidae,Sulukauz
2811,Ninox rumseyi,OR,STRIGIFORMES,Strigidae,Cebukauz
2812,Ninox spilonotus,OR,STRIGIFORMES,Strigidae,Romblonkauz
2813,Ninox mindorensis,OR,STRIGIFORMES,Strigidae,Mindorokauz
2814,Ninox sumbaensis,AU,STRIGIFORMES,Strigidae,Graugesicht-Sumbakauz
2815,Ninox burhani,AU,STRIGIFORMES,Strigidae,Togiankauz
2816,Ninox ochracea,AU,STRIGIFORMES,Strigidae,Ockerbauchkauz
2817,Ninox ios,AU,STRIGIFORMES,Strigidae,Zinnoberkauz
2818,Ninox hypogramma,AU,STRIGIFORMES,Strigidae,Halmaherakauz
2819,Ninox hantu,AU,STRIGIFORMES,Strigidae,Burukauz
2820,Ninox squamipila,AU,STRIGIFORMES,Strigidae,Seramkauz
2821,Ninox forbesi,AU,STRIGIFORMES,Strigidae,Tanimbarkauz
2822,Ninox natalis,IO,STRIGIFORMES,Strigidae,Weihnachtsinselkauz
2823,Ninox meeki,AU,STRIGIFORMES,Strigidae,Manuskauz
2824,Ninox theomacha,AU,STRIGIFORMES,Strigidae,Einfarbkauz
2825,Ninox punctulata,AU,STRIGIFORMES,Strigidae,Pünktchenkauz
2826,Ninox odiosa,AU,STRIGIFORMES,Strigidae,Neubritannienkauz
2827,Ninox variegata,AU,STRIGIFORMES,Strigidae,Bismarckkauz
2828,Taenioptynx brodiei,OR,STRIGIFORMES,Strigidae,Wachtelzwergkauz
2829,Taenioptynx sylvaticus,OR,STRIGIFORMES,Strigidae,Sundazwergkauz
2830,Micrathene whitneyi,"NA, MA",STRIGIFORMES,Strigidae,Elfenkauz
2831,Xenoglaux loweryi,SA,STRIGIFORMES,Strigidae,Perukauz
2832,Aegolius funereus,"NA, PAL",STRIGIFORMES,Strigidae,Raufußkauz
2833,Aegolius acadicus,"NA, MA",STRIGIFORMES,Strigidae,Sägekauz
2834,Aegolius ridgwayi,MA,STRIGIFORMES,Strigidae,Ridgwaykauz
2835,Aegolius harrisii,SA,STRIGIFORMES,Strigidae,Blassstirnkauz
2836,Athene cunicularia,"NA, MA, SA",STRIGIFORMES,Strigidae,Kaninchenkauz
2837,Athene brama,"OR, PAL",STRIGIFORMES,Strigidae,Brahmakauz
2838,Athene noctua,"PAL, AF",STRIGIFORMES,Strigidae,Steinkauz
2839,Athene superciliaris,AF,STRIGIFORMES,Strigidae,Madagaskarkauz
2840,Athene blewitti,OR,STRIGIFORMES,Strigidae,Blewittkauz
2841,Athene jacquinoti,AU,STRIGIFORMES,Strigidae,Salomonenkauz
2842,Athene granti,AU,STRIGIFORMES,Strigidae,Guadalcanalkauz
2843,Athene malaitae,AU,STRIGIFORMES,Strigidae,Malaitakauz
2844,Athene roseoaxillaris,AU,STRIGIFORMES,Strigidae,Makirakauz
2845,Surnia ulula,"NA, PAL",STRIGIFORMES,Strigidae,Sperbereule
2846,Glaucidium passerinum,PAL,STRIGIFORMES,Strigidae,Sperlingskauz
2847,Glaucidium perlatum,AF,STRIGIFORMES,Strigidae,Perlzwergkauz
