,IOC,Breeding Range,Order,Family,Dutch
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Hoendergans
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Rotgans
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Roodhalsgans
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Hawaiigans
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Brandgans
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Indische Gans
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Keizergans
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Grauwe Gans
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Zwaangans
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Taigarietgans
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Kleine Rietgans
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Toendrarietgans
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Kolgans
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Dwerggans
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Coscoroba
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Zwarte Zwaan
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Zwarthalszwaan
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Knobbelzwaan
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Kleine Zwaan
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Wilde Zwaan
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Stippeleend
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Blauwe Eend
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Vliegende Booteend
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Reuzenbooteend
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Falklandbooteend
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Witkopbooteend
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Bergbeekeend
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Spoorwiekgans
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Amerikaanse Knobbeleend
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Knobbeleend
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Blauwvleugelgans
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Nijlgans
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Orinocogans
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Andesgans
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Magelhaengans
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Kelpgans
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Grijskopgans
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Roodkopgans
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Radjaheend
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Bergeend
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Casarca
