,IOC,Breeding Range,Order,Family,Dutch
1875,Vanellus gregarius,PAL,CHARADRIIFORMES,Charadriidae,Steppekievit
1876,Vanellus leucurus,PAL,CHARADRIIFORMES,Charadriidae,Witstaartkievit
1877,Vanellus chilensis,"MA, SA",CHARADRIIFORMES,Charadriidae,Chileense Kievit
1878,Vanellus resplendens,SA,CHARADRIIFORMES,Charadriidae,Andeskievit
1879,Erythrogonys cinctus,AU,CHARADRIIFORMES,Charadriidae,Roodknieplevier
1880,Peltohyas australis,AU,CHARADRIIFORMES,Charadriidae,Australische Renplevier
1881,Anarhynchus frontalis,AU,CHARADRIIFORMES,Charadriidae,Scheefsnavelplevier
1882,Pluvialis apricaria,PAL,CHARADRIIFORMES,Charadriidae,Goudplevier
1883,Pluvialis fulva,PAL,CHARADRIIFORMES,Charadriidae,Aziatische Goudplevier
1884,Pluvialis squatarola,"NA, PAL",CHARADRIIFORMES,Charadriidae,Zilverplevier
1885,Charadrius obscurus,AU,CHARADRIIFORMES,Charadriidae,Rosse Plevier
1886,Charadrius hiaticula,PAL,CHARADRIIFORMES,Charadriidae,Bontbekplevier
1887,Charadrius placidus,PAL,CHARADRIIFORMES,Charadriidae,Japanse Bontbekplevier
1888,Charadrius dubius,"PAL, OR",CHARADRIIFORMES,Charadriidae,Kleine Plevier
1889,Charadrius wilsonia,"NA, MA, SA",CHARADRIIFORMES,Charadriidae,Dikbekplevier
1890,Charadrius vociferus,"NA, MA, SA",CHARADRIIFORMES,Charadriidae,Killdeerplevier
1891,Charadrius thoracicus,AF,CHARADRIIFORMES,Charadriidae,Madagaskarplevier
1892,Charadrius pecuarius,AF,CHARADRIIFORMES,Charadriidae,Herdersplevier
1893,Charadrius sanctaehelenae,AO,CHARADRIIFORMES,Charadriidae,Sint-Helenaplevier
1894,Charadrius tricollaris,AF,CHARADRIIFORMES,Charadriidae,Driebandplevier
1895,Charadrius forbesi,AF,CHARADRIIFORMES,Charadriidae,Forbes' Plevier
1896,Charadrius marginatus,AF,CHARADRIIFORMES,Charadriidae,Vale Strandplevier
1897,Charadrius alexandrinus,"PAL, AF, OR",CHARADRIIFORMES,Charadriidae,Strandplevier
1898,Charadrius dealbatus,OR,CHARADRIIFORMES,Charadriidae,Witwangstrandplevier
1899,Charadrius nivosus,"NA, MA, SA",CHARADRIIFORMES,Charadriidae,Amerikaanse Strandplevier
1900,Charadrius javanicus,OR,CHARADRIIFORMES,Charadriidae,Javaanse Strandplevier
1901,Charadrius ruficapillus,AU,CHARADRIIFORMES,Charadriidae,Roodkopplevier
1902,Charadrius peronii,OR,CHARADRIIFORMES,Charadriidae,Maleise Plevier
1903,Charadrius pallidus,AF,CHARADRIIFORMES,Charadriidae,Kaapse Plevier
1904,Charadrius collaris,"MA, SA",CHARADRIIFORMES,Charadriidae,Kraagplevier
1905,Charadrius alticola,SA,CHARADRIIFORMES,Charadriidae,Punaplevier
1906,Charadrius falklandicus,SA,CHARADRIIFORMES,Charadriidae,Falklandplevier
1907,Charadrius bicinctus,AU,CHARADRIIFORMES,Charadriidae,Dubbelbandplevier
1908,Charadrius leschenaultii,PAL,CHARADRIIFORMES,Charadriidae,Woestijnplevier
1909,Charadrius mongolus,PAL,CHARADRIIFORMES,Charadriidae,Mongoolse Plevier
1910,Charadrius atrifrons,PAL,CHARADRIIFORMES,Charadriidae,Tibetan Sand Plover
1911,Charadrius asiaticus,PAL,CHARADRIIFORMES,Charadriidae,Kaspische Plevier
1912,Charadrius veredus,PAL,CHARADRIIFORMES,Charadriidae,Steppeplevier
1913,Charadrius morinellus,PAL,CHARADRIIFORMES,Charadriidae,Morinelplevier
1914,Charadrius modestus,SA,CHARADRIIFORMES,Charadriidae,Patagonische Plevier
1915,Thinornis cucullatus,AU,CHARADRIIFORMES,Charadriidae,Zwartkopplevier
1916,Thinornis novaeseelandiae,AU,CHARADRIIFORMES,Charadriidae,Nieuw-Zeelandse Plevier
1917,Elseyornis melanops,AU,CHARADRIIFORMES,Charadriidae,Maskerplevier
1918,Oreopholus ruficollis,SA,CHARADRIIFORMES,Charadriidae,Andesplevier
1919,Phegornis mitchellii,SA,CHARADRIIFORMES,Charadriidae,Diadeemplevier
1920,Hoploxypterus cayanus,SA,CHARADRIIFORMES,Charadriidae,Cayennekievit
1921,Pluvianus aegyptius,AF,CHARADRIIFORMES,Pluvianidae,Krokodilwachter
1922,Rostratula benghalensis,"AF, OR",CHARADRIIFORMES,Rostratulidae,Goudsnip
1923,Rostratula australis,AU,CHARADRIIFORMES,Rostratulidae,Australische Goudsnip
1924,Nycticryphes semicollaris,SA,CHARADRIIFORMES,Rostratulidae,Pampasnip
1925,Microparra capensis,AF,CHARADRIIFORMES,Jacanidae,Dwergjacana
1926,Actophilornis africanus,AF,CHARADRIIFORMES,Jacanidae,Lelieloper
1927,Actophilornis albinucha,AF,CHARADRIIFORMES,Jacanidae,Madagaskarjacana
1928,Irediparra gallinacea,AU,CHARADRIIFORMES,Jacanidae,Australische Jacana
1929,Hydrophasianus chirurgus,OR,CHARADRIIFORMES,Jacanidae,Waterfazant
1930,Metopidius indicus,OR,CHARADRIIFORMES,Jacanidae,Bronsvleugeljacana
1931,Jacana spinosa,MA,CHARADRIIFORMES,Jacanidae,Jacana
1932,Jacana jacana,SA,CHARADRIIFORMES,Jacanidae,Leljacana
1933,Pedionomus torquatus,AU,CHARADRIIFORMES,Pedionomidae,Trapvechtkwartel
1934,Attagis gayi,SA,CHARADRIIFORMES,Thinocoridae,Andeskwartelsnip
1935,Attagis malouinus,SA,CHARADRIIFORMES,Thinocoridae,Witbuikkwartelsnip
1936,Thinocorus orbignyianus,SA,CHARADRIIFORMES,Thinocoridae,Punakwartelsnip
1937,Thinocorus rumicivorus,SA,CHARADRIIFORMES,Thinocoridae,Patagonische Kwartelsnip
1938,Numenius phaeopus,PAL,CHARADRIIFORMES,Scolopacidae,Regenwulp
1939,Numenius minutus,PAL,CHARADRIIFORMES,Scolopacidae,Kleine Regenwulp
1940,Numenius madagascariensis,PAL,CHARADRIIFORMES,Scolopacidae,Siberische Wulp
1941,Numenius tenuirostris,PAL,CHARADRIIFORMES,Scolopacidae,Dunbekwulp
1942,Numenius arquata,PAL,CHARADRIIFORMES,Scolopacidae,Wulp
1943,Limosa lapponica,PAL,CHARADRIIFORMES,Scolopacidae,Rosse Grutto
1944,Limosa limosa,PAL,CHARADRIIFORMES,Scolopacidae,Grutto
1945,Arenaria interpres,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Steenloper
1946,Prosobonia parvirostris,PO,CHARADRIIFORMES,Scolopacidae,Tuamotustrandloper
1947,Calidris tenuirostris,PAL,CHARADRIIFORMES,Scolopacidae,Grote Kanoet
1948,Calidris canutus,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Kanoet
1949,Calidris pugnax,PAL,CHARADRIIFORMES,Scolopacidae,Kemphaan
1950,Calidris falcinellus,PAL,CHARADRIIFORMES,Scolopacidae,Breedbekstrandloper
1951,Calidris acuminata,PAL,CHARADRIIFORMES,Scolopacidae,Siberische Strandloper
1952,Calidris ferruginea,PAL,CHARADRIIFORMES,Scolopacidae,Krombekstrandloper
1953,Calidris temminckii,PAL,CHARADRIIFORMES,Scolopacidae,Temmincks Strandloper
1954,Calidris subminuta,PAL,CHARADRIIFORMES,Scolopacidae,Taigastrandloper
1955,Calidris pygmaea,PAL,CHARADRIIFORMES,Scolopacidae,Lepelbekstrandloper
1956,Calidris ruficollis,PAL,CHARADRIIFORMES,Scolopacidae,Roodkeelstrandloper
1957,Calidris alba,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Drieteenstrandloper
1958,Calidris alpina,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Bonte Strandloper
1959,Calidris ptilocnemis,"PAL, NA",CHARADRIIFORMES,Scolopacidae,Beringstrandloper
1960,Calidris maritima,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Paarse Strandloper
1961,Calidris bairdii,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Bairds Strandloper
1962,Calidris minuta,PAL,CHARADRIIFORMES,Scolopacidae,Kleine Strandloper
1963,Calidris subruficollis,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Blonde Ruiter
1964,Calidris melanotos,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Gestreepte Strandloper
1965,Calidris pusilla,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Grijze Strandloper
1966,Calidris mauri,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Alaskastrandloper
1967,Limnodromus semipalmatus,PAL,CHARADRIIFORMES,Scolopacidae,Aziatische Grijze Snip
1968,Limnodromus scolopaceus,"PAL, NA",CHARADRIIFORMES,Scolopacidae,Grote Grijze Snip
1969,Scolopax rusticola,PAL,CHARADRIIFORMES,Scolopacidae,Houtsnip
1970,Scolopax mira,PAL,CHARADRIIFORMES,Scolopacidae,Amamihoutsnip
1971,Scolopax saturata,OR,CHARADRIIFORMES,Scolopacidae,Indische Houtsnip
1972,Scolopax rosenbergii,AU,CHARADRIIFORMES,Scolopacidae,Nieuw-Guinese Houtsnip
1973,Scolopax bukidnonensis,OR,CHARADRIIFORMES,Scolopacidae,Bukidnonhoutsnip
1974,Scolopax celebensis,AU,CHARADRIIFORMES,Scolopacidae,Celebeshoutsnip
1975,Scolopax rochussenii,AU,CHARADRIIFORMES,Scolopacidae,Obihoutsnip
1976,Coenocorypha pusilla,AU,CHARADRIIFORMES,Scolopacidae,Chathamsnip
1977,Coenocorypha huegeli,AU,CHARADRIIFORMES,Scolopacidae,Snaressnip
1978,Coenocorypha aucklandica,AU,CHARADRIIFORMES,Scolopacidae,Aucklandsnip
1979,Lymnocryptes minimus,PAL,CHARADRIIFORMES,Scolopacidae,Bokje
1980,Gallinago solitaria,PAL,CHARADRIIFORMES,Scolopacidae,Bergsnip
1981,Gallinago hardwickii,PAL,CHARADRIIFORMES,Scolopacidae,Japanse Snip
1982,Gallinago nemoricola,OR,CHARADRIIFORMES,Scolopacidae,Bossnip
1983,Gallinago stenura,PAL,CHARADRIIFORMES,Scolopacidae,Stekelstaartsnip
1984,Gallinago megala,PAL,CHARADRIIFORMES,Scolopacidae,Siberische Snip
1985,Gallinago nigripennis,AF,CHARADRIIFORMES,Scolopacidae,Afrikaanse Snip
1986,Gallinago macrodactyla,AF,CHARADRIIFORMES,Scolopacidae,Madagaskarsnip
1987,Gallinago media,PAL,CHARADRIIFORMES,Scolopacidae,Poelsnip
1988,Gallinago gallinago,PAL,CHARADRIIFORMES,Scolopacidae,Watersnip
1989,Gallinago paraguaiae,SA,CHARADRIIFORMES,Scolopacidae,Zuid-Amerikaanse Snip
1990,Gallinago magellanica,SA,CHARADRIIFORMES,Scolopacidae,Magelhaensnip
1991,Gallinago andina,SA,CHARADRIIFORMES,Scolopacidae,Bergwatersnip
1992,Gallinago nobilis,SA,CHARADRIIFORMES,Scolopacidae,Páramosnip
1993,Gallinago undulata,SA,CHARADRIIFORMES,Scolopacidae,Reuzensnip
1994,Gallinago stricklandii,SA,CHARADRIIFORMES,Scolopacidae,Vuurlandsnip
1995,Gallinago jamesoni,SA,CHARADRIIFORMES,Scolopacidae,Andessnip
1996,Gallinago imperialis,SA,CHARADRIIFORMES,Scolopacidae,Keizersnip
1997,Xenus cinereus,PAL,CHARADRIIFORMES,Scolopacidae,Terekruiter
1998,Phalaropus lobatus,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Grauwe Franjepoot
1999,Phalaropus fulicarius,"NA, PAL",CHARADRIIFORMES,Scolopacidae,Rosse Franjepoot
2000,Actitis hypoleucos,PAL,CHARADRIIFORMES,Scolopacidae,Oeverloper
2001,Tringa ochropus,PAL,CHARADRIIFORMES,Scolopacidae,Witgat
2002,Tringa incana,"PAL, NA",CHARADRIIFORMES,Scolopacidae,Amerikaanse Grijze Ruiter
2003,Tringa brevipes,PAL,CHARADRIIFORMES,Scolopacidae,Siberische Grijze Ruiter
2004,Tringa totanus,PAL,CHARADRIIFORMES,Scolopacidae,Tureluur
2005,Tringa stagnatilis,PAL,CHARADRIIFORMES,Scolopacidae,Poelruiter
2006,Tringa glareola,PAL,CHARADRIIFORMES,Scolopacidae,Bosruiter
2007,Tringa erythropus,PAL,CHARADRIIFORMES,Scolopacidae,Zwarte Ruiter
2008,Tringa nebularia,PAL,CHARADRIIFORMES,Scolopacidae,Groenpootruiter
2009,Tringa guttifer,PAL,CHARADRIIFORMES,Scolopacidae,Nordmanns Groenpootruiter
2010,Dromas ardeola,"AF, IO",CHARADRIIFORMES,Dromadidae,Krabplevier
2011,Cursorius cursor,"PAL, AF",CHARADRIIFORMES,Glareolidae,Renvogel
2012,Cursorius somalensis,AF,CHARADRIIFORMES,Glareolidae,Somalische Renvogel
2013,Cursorius rufus,AF,CHARADRIIFORMES,Glareolidae,Rosse Renvogel
2014,Cursorius temminckii,AF,CHARADRIIFORMES,Glareolidae,Temmincks Renvogel
2015,Cursorius coromandelicus,OR,CHARADRIIFORMES,Glareolidae,Indische Renvogel
2016,Rhinoptilus africanus,AF,CHARADRIIFORMES,Glareolidae,Dubbelbandrenvogel
2017,Rhinoptilus cinctus,AF,CHARADRIIFORMES,Glareolidae,Driebandrenvogel
2018,Rhinoptilus chalcopterus,AF,CHARADRIIFORMES,Glareolidae,Bronsvleugelrenvogel
2019,Rhinoptilus bitorquatus,OR,CHARADRIIFORMES,Glareolidae,Jerdons Renvogel
2020,Stiltia isabella,AU,CHARADRIIFORMES,Glareolidae,Steltvorkstaartplevier
2021,Glareola pratincola,"AF, PAL",CHARADRIIFORMES,Glareolidae,Vorkstaartplevier
2022,Glareola maldivarum,"PAL, OR",CHARADRIIFORMES,Glareolidae,Oosterse Vorkstaartplevier
2023,Glareola nordmanni,PAL,CHARADRIIFORMES,Glareolidae,Steppevorkstaartplevier
2024,Glareola ocularis,AF,CHARADRIIFORMES,Glareolidae,Madagaskarvorkstaartplevier
2025,Glareola nuchalis,AF,CHARADRIIFORMES,Glareolidae,Rotsvorkstaartplevier
2026,Glareola cinerea,AF,CHARADRIIFORMES,Glareolidae,Grijze Vorkstaartplevier
2027,Glareola lactea,OR,CHARADRIIFORMES,Glareolidae,Kleine Vorkstaartplevier
2028,Anous stolidus,TrO,CHARADRIIFORMES,Laridae,Noddy
2029,Anous tenuirostris,IO,CHARADRIIFORMES,Laridae,Kleine Noddy
2030,Anous minutus,"PO, AO",CHARADRIIFORMES,Laridae,Witkapnoddy
2031,Anous ceruleus,PO,CHARADRIIFORMES,Laridae,Blauwe Noddy
2032,Anous albivitta,PO,CHARADRIIFORMES,Laridae,Grijze Noddy
2033,Gygis alba,TrO,CHARADRIIFORMES,Laridae,Opaalstern
2034,Rynchops niger,"NA, MA, SA",CHARADRIIFORMES,Laridae,Amerikaanse Schaarbek
2035,Rynchops flavirostris,AF,CHARADRIIFORMES,Laridae,Afrikaanse Schaarbek
2036,Rynchops albicollis,OR,CHARADRIIFORMES,Laridae,Indische Schaarbek
2037,Creagrus furcatus,SA,CHARADRIIFORMES,Laridae,Zwaluwstaartmeeuw
2038,Rissa tridactyla,"PAL, NA",CHARADRIIFORMES,Laridae,Drieteenmeeuw
2039,Pagophila eburnea,"PAL, NA",CHARADRIIFORMES,Laridae,Ivoormeeuw
2040,Xema sabini,"PAL, NA",CHARADRIIFORMES,Laridae,Vorkstaartmeeuw
2041,Chroicocephalus genei,"PAL, AF",CHARADRIIFORMES,Laridae,Dunbekmeeuw
2042,Chroicocephalus novaehollandiae,AU,CHARADRIIFORMES,Laridae,Witkopmeeuw
2043,Chroicocephalus bulleri,AU,CHARADRIIFORMES,Laridae,Zwartsnavelmeeuw
2044,Chroicocephalus serranus,SA,CHARADRIIFORMES,Laridae,Andesmeeuw
2045,Chroicocephalus brunnicephalus,PAL,CHARADRIIFORMES,Laridae,Bruinkopmeeuw
2046,Chroicocephalus maculipennis,SA,CHARADRIIFORMES,Laridae,Patagonische Kokmeeuw
2047,Chroicocephalus ridibundus,PAL,CHARADRIIFORMES,Laridae,Kokmeeuw
2048,Chroicocephalus cirrocephalus,"SA, AF",CHARADRIIFORMES,Laridae,Grijskopmeeuw
2049,Chroicocephalus hartlaubii,AF,CHARADRIIFORMES,Laridae,Hartlaubs Meeuw
2050,Chroicocephalus saundersi,PAL,CHARADRIIFORMES,Laridae,Saunders' Meeuw
2051,Hydrocoloeus minutus,PAL,CHARADRIIFORMES,Laridae,Dwergmeeuw
2052,Rhodostethia rosea,"PAL, NA",CHARADRIIFORMES,Laridae,Ross' Meeuw
2053,Leucophaeus scoresbii,SA,CHARADRIIFORMES,Laridae,Dolfijnmeeuw
2054,Leucophaeus fuliginosus,SA,CHARADRIIFORMES,Laridae,Lavameeuw
2055,Leucophaeus atricilla,"NA, MA, SA",CHARADRIIFORMES,Laridae,Lachmeeuw
2056,Leucophaeus modestus,SA,CHARADRIIFORMES,Laridae,Grijze Meeuw
2057,Ichthyaetus relictus,PAL,CHARADRIIFORMES,Laridae,Relictmeeuw
2058,Ichthyaetus audouinii,PAL,CHARADRIIFORMES,Laridae,Audouins Meeuw
2059,Ichthyaetus melanocephalus,PAL,CHARADRIIFORMES,Laridae,Zwartkopmeeuw
2060,Ichthyaetus ichthyaetus,PAL,CHARADRIIFORMES,Laridae,Reuzenzwartkopmeeuw
2061,Ichthyaetus leucophthalmus,AF,CHARADRIIFORMES,Laridae,Witoogmeeuw
2062,Ichthyaetus hemprichii,"AF, PAL",CHARADRIIFORMES,Laridae,Hemprichs Meeuw
2063,Larus pacificus,AU,CHARADRIIFORMES,Laridae,Diksnavelmeeuw
2064,Larus belcheri,SA,CHARADRIIFORMES,Laridae,Simeons Meeuw
2065,Larus atlanticus,SA,CHARADRIIFORMES,Laridae,Olrogs Meeuw
2066,Larus crassirostris,PAL,CHARADRIIFORMES,Laridae,Japanse Meeuw
2067,Larus heermanni,"NA, MA",CHARADRIIFORMES,Laridae,Heermanns Meeuw
2068,Larus canus,"NA, PAL",CHARADRIIFORMES,Laridae,Stormmeeuw
2069,Larus marinus,"NA, PAL",CHARADRIIFORMES,Laridae,Grote Mantelmeeuw
2070,Larus dominicanus,"SA, AU, AF",CHARADRIIFORMES,Laridae,Kelpmeeuw
2071,Larus glaucescens,"PAL, NA",CHARADRIIFORMES,Laridae,Beringmeeuw
2072,Larus occidentalis,"NA, MA",CHARADRIIFORMES,Laridae,Californische Meeuw
2073,Larus livens,"NA, MA",CHARADRIIFORMES,Laridae,Mexicaanse Meeuw
2074,Larus hyperboreus,"PAL, NA",CHARADRIIFORMES,Laridae,Grote Burgemeester
2075,Larus glaucoides,"NA, PAL",CHARADRIIFORMES,Laridae,Kleine Burgemeester
2076,Larus argentatus,PAL,CHARADRIIFORMES,Laridae,Zilvermeeuw
2077,Larus vegae,PAL,CHARADRIIFORMES,Laridae,Vegameeuw
2078,Larus cachinnans,PAL,CHARADRIIFORMES,Laridae,Pontische Meeuw
2079,Larus michahellis,PAL,CHARADRIIFORMES,Laridae,Geelpootmeeuw
2080,Larus armenicus,PAL,CHARADRIIFORMES,Laridae,Armeense Meeuw
2081,Larus schistisagus,PAL,CHARADRIIFORMES,Laridae,Kamtsjatkameeuw
2082,Larus fuscus,PAL,CHARADRIIFORMES,Laridae,Kleine Mantelmeeuw
2083,Gelochelidon nilotica,"PAL, AF, OR, NA, MA, SA",CHARADRIIFORMES,Laridae,Lachstern
2084,Gelochelidon macrotarsa,AU,CHARADRIIFORMES,Laridae,Australische Lachstern
2085,Hydroprogne caspia,"PAL, OR, AU, NA",CHARADRIIFORMES,Laridae,Reuzenstern
2086,Thalasseus maximus,"NA, MA, SA",CHARADRIIFORMES,Laridae,Koningsstern
2087,Thalasseus bergii,"AU, OR, AF",CHARADRIIFORMES,Laridae,Grote Kuifstern
2088,Thalasseus bengalensis,"AF, OR, AU",CHARADRIIFORMES,Laridae,Bengaalse Stern
2089,Thalasseus albididorsalis,AF,CHARADRIIFORMES,Laridae,Afrikaanse Koningsstern
2090,Thalasseus bernsteini,PAL,CHARADRIIFORMES,Laridae,Chinese Kuifstern
2091,Thalasseus sandvicensis,"PAL, AF",CHARADRIIFORMES,Laridae,Grote Stern
2092,Thalasseus acuflavidus,"NA, MA, SA",CHARADRIIFORMES,Laridae,Amerikaanse Grote Stern
2093,Thalasseus elegans,"NA, MA",CHARADRIIFORMES,Laridae,Sierlijke Stern
2094,Sternula albifrons,"AF, PAL, OR, AU",CHARADRIIFORMES,Laridae,Dwergstern
2095,Sternula saundersi,"AF, PAL",CHARADRIIFORMES,Laridae,Saunders' Dwergstern
2096,Sternula antillarum,"NA, MA",CHARADRIIFORMES,Laridae,Amerikaanse Dwergstern
2097,Sternula superciliaris,SA,CHARADRIIFORMES,Laridae,Amazonestern
2098,Sternula lorata,SA,CHARADRIIFORMES,Laridae,Humboldtstern
2099,Sternula nereis,AU,CHARADRIIFORMES,Laridae,Elfenstern
2100,Sternula balaenarum,AF,CHARADRIIFORMES,Laridae,Damarastern
2101,Onychoprion aleuticus,"PAL, NA",CHARADRIIFORMES,Laridae,Aleoetenstern
2102,Onychoprion lunatus,PO,CHARADRIIFORMES,Laridae,Fijistern
2103,Onychoprion anaethetus,TrO,CHARADRIIFORMES,Laridae,Brilstern
2104,Onychoprion fuscatus,TrO,CHARADRIIFORMES,Laridae,Bonte Stern
2105,Sterna aurantia,OR,CHARADRIIFORMES,Laridae,Rivierstern
2106,Sterna dougallii,Worldwide,CHARADRIIFORMES,Laridae,Dougalls Stern
2107,Sterna striata,AU,CHARADRIIFORMES,Laridae,Tarastern
2108,Sterna sumatrana,"AF, OR, AU",CHARADRIIFORMES,Laridae,Zwartnekstern
2109,Sterna hirundinacea,SA,CHARADRIIFORMES,Laridae,Zuid-Amerikaanse Visdief
2110,Sterna hirundo,"PAL, NA",CHARADRIIFORMES,Laridae,Visdief
2111,Sterna repressa,"AF, PAL",CHARADRIIFORMES,Laridae,Arabische Stern
2112,Sterna paradisaea,"PAL, NA",CHARADRIIFORMES,Laridae,Noordse Stern
2113,Sterna vittata,SO,CHARADRIIFORMES,Laridae,Zuidpoolstern
2114,Sterna virgata,IO,CHARADRIIFORMES,Laridae,Kerguelenstern
2115,Sterna forsteri,"NA, MA",CHARADRIIFORMES,Laridae,Forsters Stern
2116,Sterna trudeaui,SA,CHARADRIIFORMES,Laridae,Trudeaus Stern
2117,Sterna acuticauda,OR,CHARADRIIFORMES,Laridae,Zwartbuikstern
2118,Chlidonias albostriatus,AU,CHARADRIIFORMES,Laridae,Nieuw-Zeelandse Stern
2119,Chlidonias hybrida,"AF, PAL, OR, AU",CHARADRIIFORMES,Laridae,Witwangstern
2120,Chlidonias leucopterus,PAL,CHARADRIIFORMES,Laridae,Witvleugelstern
2121,Chlidonias niger,"NA, PAL",CHARADRIIFORMES,Laridae,Zwarte Stern
2122,Phaetusa simplex,SA,CHARADRIIFORMES,Laridae,Grootsnavelstern
2123,Larosterna inca,SA,CHARADRIIFORMES,Laridae,Incastern
2124,Stercorarius chilensis,SA,CHARADRIIFORMES,Stercorariidae,Chileense Grote Jager
2125,Stercorarius maccormicki,AN,CHARADRIIFORMES,Stercorariidae,Zuidpooljager
2126,Stercorarius antarcticus,"SO, AN",CHARADRIIFORMES,Stercorariidae,Subantarctische Grote Jager
2127,Stercorarius skua,PAL,CHARADRIIFORMES,Stercorariidae,Grote Jager
2128,Stercorarius pomarinus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,Middelste Jager
2129,Stercorarius parasiticus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,Kleine Jager
2130,Stercorarius longicaudus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,Kleinste Jager
2131,Alle alle,"NA, PAL",CHARADRIIFORMES,Alcidae,Kleine Alk
2132,Uria lomvia,"NA, PAL",CHARADRIIFORMES,Alcidae,Kortbekzeekoet
2133,Uria aalge,"NA, PAL",CHARADRIIFORMES,Alcidae,Zeekoet
2134,Alca torda,"NA, PAL",CHARADRIIFORMES,Alcidae,Alk
2135,Cepphus grylle,"NA, PAL",CHARADRIIFORMES,Alcidae,Zwarte Zeekoet
2136,Cepphus columba,"PAL, NA",CHARADRIIFORMES,Alcidae,Duifzeekoet
2137,Cepphus carbo,PAL,CHARADRIIFORMES,Alcidae,Brilzeekoet
2138,Brachyramphus perdix,PAL,CHARADRIIFORMES,Alcidae,Aziatische Marmeralk
2139,Brachyramphus brevirostris,"PAL, NA",CHARADRIIFORMES,Alcidae,Kittlitz' Alk
2140,Synthliboramphus hypoleucus,MA,CHARADRIIFORMES,Alcidae,Xantus' Alk
2141,Synthliboramphus scrippsi,"NA, MA",CHARADRIIFORMES,Alcidae,Scripps' Alk
2142,Synthliboramphus craveri,"NA, MA",CHARADRIIFORMES,Alcidae,Craveri's Alk
2143,Synthliboramphus antiquus,"PAL, NA",CHARADRIIFORMES,Alcidae,Zilveralk
2144,Synthliboramphus wumizusume,PAL,CHARADRIIFORMES,Alcidae,Japanse Alk
2145,Ptychoramphus aleuticus,"NA, MA",CHARADRIIFORMES,Alcidae,Cassins Alk
2146,Aethia psittacula,"PAL, NA",CHARADRIIFORMES,Alcidae,Papegaaialk
2147,Aethia pusilla,"PAL, NA",CHARADRIIFORMES,Alcidae,Dwergalk
2148,Aethia pygmaea,"PAL, NA",CHARADRIIFORMES,Alcidae,Geoorde Dwergalk
2149,Aethia cristatella,"PAL, NA",CHARADRIIFORMES,Alcidae,Kuifalk
2150,Cerorhinca monocerata,"PAL, NA",CHARADRIIFORMES,Alcidae,Neushoornalk
2151,Fratercula arctica,"PAL, NA",CHARADRIIFORMES,Alcidae,Papegaaiduiker
2152,Fratercula corniculata,"PAL, NA",CHARADRIIFORMES,Alcidae,Gehoornde Papegaaiduiker
2153,Fratercula cirrhata,"PAL, NA",CHARADRIIFORMES,Alcidae,Kuifpapegaaiduiker
2154,Rhynochetos jubatus,AU,EURYPYGIFORMES,Rhynochetidae,Kagoe
2155,Eurypyga helias,"MA, SA",EURYPYGIFORMES,Eurypygidae,Zonneral
2156,Phaethon aethereus,TrO,PHAETHONTIFORMES,Phaethontidae,Roodsnavelkeerkringvogel
2157,Phaethon rubricauda,TrO,PHAETHONTIFORMES,Phaethontidae,Roodstaartkeerkringvogel
2158,Phaethon lepturus,TrO,PHAETHONTIFORMES,Phaethontidae,Witstaartkeerkringvogel
2159,Gavia stellata,"NA, PAL",GAVIIFORMES,Gaviidae,Roodkeelduiker
2160,Gavia arctica,"PAL, NA",GAVIIFORMES,Gaviidae,Parelduiker
2161,Gavia pacifica,"NA, PAL",GAVIIFORMES,Gaviidae,Pacifische Parelduiker
2162,Gavia immer,"NA, PAL",GAVIIFORMES,Gaviidae,IJsduiker
2163,Gavia adamsii,"NA, PAL",GAVIIFORMES,Gaviidae,Geelsnavelduiker
2164,Aptenodytes patagonicus,SO,SPHENISCIFORMES,Spheniscidae,Koningspinguïn
2165,Aptenodytes forsteri,AN,SPHENISCIFORMES,Spheniscidae,Keizerspinguïn
2166,Pygoscelis adeliae,"SO, AN",SPHENISCIFORMES,Spheniscidae,Adéliepinguïn
2167,Pygoscelis antarcticus,"SO, AN",SPHENISCIFORMES,Spheniscidae,Stormbandpinguïn
2168,Pygoscelis papua,SO,SPHENISCIFORMES,Spheniscidae,Ezelspinguïn
2169,Eudyptula minor,AU,SPHENISCIFORMES,Spheniscidae,Dwergpinguïn
2170,Spheniscus mendiculus,SA,SPHENISCIFORMES,Spheniscidae,Galápagospinguïn
2171,Spheniscus humboldti,SA,SPHENISCIFORMES,Spheniscidae,Humboldtpinguïn
2172,Spheniscus magellanicus,SA,SPHENISCIFORMES,Spheniscidae,Magelhaenpinguïn
