,IOC,Breeding Range,Order,Family,Spanish
2159,Gavia stellata,"NA, PAL",GAVIIFORMES,Gaviidae,Colimbo chico
2160,Gavia arctica,"PAL, NA",GAVIIFORMES,Gaviidae,Colimbo ártico
2161,Gavia pacifica,"NA, PAL",GAVIIFORMES,Gaviidae,Colimbo del Pacífico
2162,Gavia immer,"NA, PAL",GAVIIFORMES,Gaviidae,Colimbo grande
2163,Gavia adamsii,"NA, PAL",GAVIIFORMES,Gaviidae,Colimbo de Adams
2164,Aptenodytes patagonicus,SO,SPHENISCIFORMES,Spheniscidae,Pingüino rey
2165,Aptenodytes forsteri,AN,SPHENISCIFORMES,Spheniscidae,Pingüino emperador
2166,Pygoscelis adeliae,"SO, AN",SPHENISCIFORMES,Spheniscidae,Pingüino de Adelia
2167,Pygoscelis antarcticus,"SO, AN",SPHENISCIFORMES,Spheniscidae,Pingüino barbijo
2168,Pygoscelis papua,SO,SPHENISCIFORMES,Spheniscidae,Pingüino juanito
2169,Eudyptula minor,AU,SPHENISCIFORMES,Spheniscidae,Pingüino enano
2170,Spheniscus mendiculus,SA,SPHENISCIFORMES,Spheniscidae,Pingüino de Galápagos
2171,Spheniscus humboldti,SA,SPHENISCIFORMES,Spheniscidae,Pingüino de Humboldt
2172,Spheniscus magellanicus,SA,SPHENISCIFORMES,Spheniscidae,Pingüino magallánico
2173,Spheniscus demersus,AF,SPHENISCIFORMES,Spheniscidae,Pingüino de El Cabo
2174,Megadyptes antipodes,AU,SPHENISCIFORMES,Spheniscidae,Pingüino ojigualdo
2175,Eudyptes chrysolophus,SO,SPHENISCIFORMES,Spheniscidae,Pingüino de macarrones
2176,Eudyptes schlegeli,AU,SPHENISCIFORMES,Spheniscidae,Pingüino de Schlegel
2177,Eudyptes moseleyi,"AO, IO",SPHENISCIFORMES,Spheniscidae,Pingüino saltarrocas septentrional
2178,Eudyptes chrysocome,"AO, SA",SPHENISCIFORMES,Spheniscidae,Pingüino saltarrocas meridional
2179,Eudyptes pachyrhynchus,AU,SPHENISCIFORMES,Spheniscidae,Pingüino de Fiordland
2180,Eudyptes robustus,AU,SPHENISCIFORMES,Spheniscidae,Pingüino de las Snares
2181,Eudyptes sclateri,AU,SPHENISCIFORMES,Spheniscidae,Pingüino de Sclater
2182,Oceanites oceanicus,SO,PROCELLARIIFORMES,Oceanitidae,Paíño de Wilson
2183,Oceanites gracilis,PO,PROCELLARIIFORMES,Oceanitidae,Paíño de Elliot
2184,Oceanites pincoyae,PO,PROCELLARIIFORMES,Oceanitidae,Paíño pincoya
2185,Garrodia nereis,SO,PROCELLARIIFORMES,Oceanitidae,Paíño dorsigrís
2186,Pelagodroma marina,"AO, IO, PO",PROCELLARIIFORMES,Oceanitidae,Paíño pechialbo
2187,Fregetta grallaria,SO,PROCELLARIIFORMES,Oceanitidae,Paíño ventriblanco
2188,Fregetta tropica,SO,PROCELLARIIFORMES,Oceanitidae,Paíño ventrinegro
2189,Fregetta lineata,PO,PROCELLARIIFORMES,Oceanitidae,New Caledonian Storm Petrel
2190,Fregetta maoriana,PO,PROCELLARIIFORMES,Oceanitidae,Paíño maorí
2191,Nesofregetta fuliginosa,PO,PROCELLARIIFORMES,Oceanitidae,Paíño gorjiblanco
2192,Phoebastria immutabilis,PO,PROCELLARIIFORMES,Diomedeidae,Albatros de Laysan
2193,Phoebastria nigripes,PO,PROCELLARIIFORMES,Diomedeidae,Albatros patinegro
2194,Phoebastria irrorata,PO,PROCELLARIIFORMES,Diomedeidae,Albatros de Galápagos
2195,Phoebastria albatrus,PO,PROCELLARIIFORMES,Diomedeidae,Albatros colicorto
2196,Diomedea exulans,SO,PROCELLARIIFORMES,Diomedeidae,Albatros viajero
2197,Diomedea antipodensis,PO,PROCELLARIIFORMES,Diomedeidae,Albatros de las Antípodas
2198,Diomedea amsterdamensis,IO,PROCELLARIIFORMES,Diomedeidae,Albatros de la Amsterdam
2199,Diomedea dabbenena,AO,PROCELLARIIFORMES,Diomedeidae,Albatros de Tristán de Acuña
2200,Diomedea epomophora,PO,PROCELLARIIFORMES,Diomedeidae,Albatros real meridional
2201,Diomedea sanfordi,PO,PROCELLARIIFORMES,Diomedeidae,Albatros real septentrional
2202,Phoebetria fusca,"IO, AO",PROCELLARIIFORMES,Diomedeidae,Albatros ahumado
2203,Phoebetria palpebrata,SO,PROCELLARIIFORMES,Diomedeidae,Albatros tiznado
2204,Thalassarche melanophris,SO,PROCELLARIIFORMES,Diomedeidae,Albatros ojeroso
2205,Thalassarche impavida,PO,PROCELLARIIFORMES,Diomedeidae,Albatros impávido
2206,Thalassarche cauta,SO,PROCELLARIIFORMES,Diomedeidae,Albatros cauto
2207,Thalassarche eremita,PO,PROCELLARIIFORMES,Diomedeidae,Albatros de las Chatham
2208,Thalassarche salvini,"IO, PO",PROCELLARIIFORMES,Diomedeidae,Albatros de Salvin
2209,Thalassarche chrysostoma,SO,PROCELLARIIFORMES,Diomedeidae,Albatros cabecigrís
2210,Thalassarche chlororhynchos,AO,PROCELLARIIFORMES,Diomedeidae,Albatros clororrinco atlántico
2211,Thalassarche carteri,IO,PROCELLARIIFORMES,Diomedeidae,Albatros clororrinco pacífico
2212,Thalassarche bulleri,PO,PROCELLARIIFORMES,Diomedeidae,Albatros de Buller
2213,Hydrobates pelagicus,AO,PROCELLARIIFORMES,Hydrobatidae,Paíño europeo
2214,Hydrobates furcatus,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño rabihorcado
2215,Hydrobates hornbyi,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño acollarado
2216,Hydrobates monorhis,"IO, PO",PROCELLARIIFORMES,Hydrobatidae,Paíño de Swinhoe
2217,Hydrobates matsudairae,"IO, PO",PROCELLARIIFORMES,Hydrobatidae,Paíño de Matsudaira
2218,Hydrobates leucorhous,"PO, AO",PROCELLARIIFORMES,Hydrobatidae,Paíño boreal
2219,Hydrobates socorroensis,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño de isla Socorro
2220,Hydrobates cheimomnestes,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño de Ainley
2221,Hydrobates homochroa,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño ceniciento
2222,Hydrobates castro,"PO, AO",PROCELLARIIFORMES,Hydrobatidae,Paíño de Madeira
2223,Hydrobates monteiroi,AO,PROCELLARIIFORMES,Hydrobatidae,Paíño de Monteiro
2224,Hydrobates jabejabe,AO,PROCELLARIIFORMES,Hydrobatidae,Paíño de Cabo Verde
2225,Hydrobates tethys,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño de Galápagos
2226,Hydrobates melania,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño negro
2227,Hydrobates markhami,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño ahumado
2228,Hydrobates tristrami,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño de Tristram
2229,Hydrobates microsoma,PO,PROCELLARIIFORMES,Hydrobatidae,Paíño menudo
2230,Macronectes giganteus,"SO, AN",PROCELLARIIFORMES,Procellariidae,Abanto marino antártico
2231,Macronectes halli,SO,PROCELLARIIFORMES,Procellariidae,Abanto marino subantártico
2232,Fulmarus glacialis,"NA, PAL",PROCELLARIIFORMES,Procellariidae,Fulmar boreal
2233,Fulmarus glacialoides,"SO, AN",PROCELLARIIFORMES,Procellariidae,Fulmar austral
2234,Thalassoica antarctica,"SO, AN",PROCELLARIIFORMES,Procellariidae,Petrel antártico
2235,Daption capense,"SO, AN",PROCELLARIIFORMES,Procellariidae,Petrel damero
2236,Pagodroma nivea,"SO, AN",PROCELLARIIFORMES,Procellariidae,Petrel níveo
2237,Halobaena caerulea,SO,PROCELLARIIFORMES,Procellariidae,Petrel azulado
2238,Pachyptila vittata,SO,PROCELLARIIFORMES,Procellariidae,Prión piquiancho
2239,Pachyptila salvini,IO,PROCELLARIIFORMES,Procellariidae,Prión de Salvin
2240,Pachyptila macgillivrayi,"AO, IO",PROCELLARIIFORMES,Procellariidae,MacGillivray's Prion
2241,Pachyptila desolata,"SO, AN",PROCELLARIIFORMES,Procellariidae,Prión antártico
2242,Pachyptila belcheri,SO,PROCELLARIIFORMES,Procellariidae,Prión picofino
2243,Pachyptila turtur,SO,PROCELLARIIFORMES,Procellariidae,Prión piquicorto
2244,Pachyptila crassirostris,SO,PROCELLARIIFORMES,Procellariidae,Prión picogrueso
2245,Aphrodroma brevirostris,SO,PROCELLARIIFORMES,Procellariidae,Petrel de las Kerguelen
2246,Pterodroma macroptera,SO,PROCELLARIIFORMES,Procellariidae,Petrel aligrande
2247,Pterodroma lessonii,SO,PROCELLARIIFORMES,Procellariidae,Petrel cabeciblanco
2248,Pterodroma gouldi,SO,PROCELLARIIFORMES,Procellariidae,Petrel carigrís
2249,Pterodroma incerta,AO,PROCELLARIIFORMES,Procellariidae,Petrel de Schlegel
2250,Pterodroma solandri,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Solander
2251,Pterodroma magentae,PO,PROCELLARIIFORMES,Procellariidae,Petrel taiko
2252,Pterodroma ultima,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Murphy
2253,Pterodroma mollis,SO,PROCELLARIIFORMES,Procellariidae,Petrel suave
2254,Pterodroma madeira,AO,PROCELLARIIFORMES,Procellariidae,Petrel freira
2255,Pterodroma feae,AO,PROCELLARIIFORMES,Procellariidae,Petrel gongón
2256,Pterodroma deserta,AO,PROCELLARIIFORMES,Procellariidae,Petrel de las Desertas
2257,Pterodroma cahow,AO,PROCELLARIIFORMES,Procellariidae,Petrel cahow
2258,Pterodroma hasitata,AO,PROCELLARIIFORMES,Procellariidae,Petrel antillano
2259,Pterodroma externa,PO,PROCELLARIIFORMES,Procellariidae,Petrel de las Juan Fernández
2260,Pterodroma occulta,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Vanuatu
2261,Pterodroma neglecta,PO,PROCELLARIIFORMES,Procellariidae,Petrel de las Kermadec
2262,Pterodroma heraldica,"IO, PO",PROCELLARIIFORMES,Procellariidae,Petrel del Herald
2263,Pterodroma arminjoniana,"AO, IO",PROCELLARIIFORMES,Procellariidae,Petrel de la Trindade
2264,Pterodroma atrata,PO,PROCELLARIIFORMES,Procellariidae,Petrel de la Henderson
2265,Pterodroma alba,PO,PROCELLARIIFORMES,Procellariidae,Petrel de las Fénix
2266,Pterodroma baraui,IO,PROCELLARIIFORMES,Procellariidae,Petrel de Barau
2267,Pterodroma sandwichensis,PO,PROCELLARIIFORMES,Procellariidae,Petrel hawaiano
2268,Pterodroma phaeopygia,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Galápagos
2269,Pterodroma inexpectata,"PO, IO",PROCELLARIIFORMES,Procellariidae,Petrel moteado
2270,Pterodroma cervicalis,PO,PROCELLARIIFORMES,Procellariidae,Petrel cuelliblanco
2271,Pterodroma nigripennis,PO,PROCELLARIIFORMES,Procellariidae,Petrel alinegro
2272,Pterodroma axillaris,PO,PROCELLARIIFORMES,Procellariidae,Petrel de las Chatham
2273,Pterodroma hypoleuca,PO,PROCELLARIIFORMES,Procellariidae,Petrel de las Bonin
2274,Pterodroma leucoptera,PO,PROCELLARIIFORMES,Procellariidae,Petrel aliblanco
2275,Pterodroma brevipes,PO,PROCELLARIIFORMES,Procellariidae,Petrel acollarado
2276,Pterodroma cookii,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Cook
2277,Pterodroma defilippiana,PO,PROCELLARIIFORMES,Procellariidae,Petrel chileno
2278,Pterodroma longirostris,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Más Afuera
2279,Pterodroma pycrofti,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Pycroft
2280,Pseudobulweria aterrima,IO,PROCELLARIIFORMES,Procellariidae,Petrel de Reunión
2281,Pseudobulweria rostrata,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Tahití
2282,Pseudobulweria becki,PO,PROCELLARIIFORMES,Procellariidae,Petrel de Beck
2283,Pseudobulweria macgillivrayi,PO,PROCELLARIIFORMES,Procellariidae,Petrel de las Fiji
2284,Procellaria cinerea,SO,PROCELLARIIFORMES,Procellariidae,Pardela gris
2285,Procellaria aequinoctialis,SO,PROCELLARIIFORMES,Procellariidae,Pardela gorjiblanca
2286,Procellaria conspicillata,SO,PROCELLARIIFORMES,Procellariidae,Pardela de anteojos
2287,Procellaria parkinsoni,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Parkinson
2288,Procellaria westlandica,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Westland
2289,Calonectris leucomelas,PO,PROCELLARIIFORMES,Procellariidae,Pardela canosa
2290,Calonectris diomedea,AO,PROCELLARIIFORMES,Procellariidae,Pardela cenicienta mediterránea
2291,Calonectris borealis,AO,PROCELLARIIFORMES,Procellariidae,Pardela cenicienta canaria
2292,Calonectris edwardsii,AO,PROCELLARIIFORMES,Procellariidae,Pardela cenicienta caboverdiana
2293,Ardenna pacifica,"PO, IO",PROCELLARIIFORMES,Procellariidae,Pardela del Pacífico
2294,Ardenna bulleri,PO,PROCELLARIIFORMES,Procellariidae,Pardela dorsigrís
2295,Ardenna grisea,Worldwide,PROCELLARIIFORMES,Procellariidae,Pardela sombría
2296,Ardenna tenuirostris,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Tasmania
2297,Ardenna creatopus,PO,PROCELLARIIFORMES,Procellariidae,Pardela patirrosa
2298,Ardenna carneipes,"PO, IO",PROCELLARIIFORMES,Procellariidae,Pardela paticlara
2299,Ardenna gravis,AO,PROCELLARIIFORMES,Procellariidae,Pardela capirotada
2300,Puffinus nativitatis,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Navidad
2301,Puffinus puffinus,AO,PROCELLARIIFORMES,Procellariidae,Pardela pichoneta
2302,Puffinus yelkouan,AO,PROCELLARIIFORMES,Procellariidae,Pardela mediterránea
2303,Puffinus mauretanicus,AO,PROCELLARIIFORMES,Procellariidae,Pardela balear
2304,Puffinus bryani,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Bryan
2305,Puffinus opisthomelas,PO,PROCELLARIIFORMES,Procellariidae,Pardela culinegra
2306,Puffinus auricularis,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Townsend
2307,Puffinus newelli,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Newell
2308,Puffinus myrtae,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Rapa
2309,Puffinus gavia,PO,PROCELLARIIFORMES,Procellariidae,Pardela gavia
2310,Puffinus huttoni,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Hutton
2311,Puffinus lherminieri,AO,PROCELLARIIFORMES,Procellariidae,Pardela de Audubon
2312,Puffinus persicus,IO,PROCELLARIIFORMES,Procellariidae,Pardela persa
2313,Puffinus bailloni,"IO, PO",PROCELLARIIFORMES,Procellariidae,Pardela tropical
2314,Puffinus subalaris,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Galápagos
2315,Puffinus bannermani,PO,PROCELLARIIFORMES,Procellariidae,Pardela de las Bonin
2316,Puffinus heinrothi,PO,PROCELLARIIFORMES,Procellariidae,Pardela de Heinroth
2317,Puffinus assimilis,"IO, PO",PROCELLARIIFORMES,Procellariidae,Pardela semejante
2318,Puffinus elegans,"AO, PO, IO",PROCELLARIIFORMES,Procellariidae,Pardela subantártica
2319,Puffinus baroli,AO,PROCELLARIIFORMES,Procellariidae,Pardela chica macaronésica
2320,Puffinus boydi,AO,PROCELLARIIFORMES,Procellariidae,Pardela chica de Cabo Verde
2321,Pelecanoides garnotii,SA,PROCELLARIIFORMES,Procellariidae,Potoyunco peruano
2322,Pelecanoides magellani,SA,PROCELLARIIFORMES,Procellariidae,Potoyunco magallánico
2323,Pelecanoides georgicus,SO,PROCELLARIIFORMES,Procellariidae,Potoyunco de Georgia del Sur
2324,Pelecanoides urinatrix,SO,PROCELLARIIFORMES,Procellariidae,Potoyunco común
2325,Bulweria bulwerii,TrO,PROCELLARIIFORMES,Procellariidae,Petrel de Bulwer
2326,Bulweria fallax,IO,PROCELLARIIFORMES,Procellariidae,Petrel de Jouanin
2327,Anastomus lamelligerus,AF,CICONIIFORMES,Ciconiidae,Picotenaza africano
2328,Anastomus oscitans,OR,CICONIIFORMES,Ciconiidae,Picotenaza asiático
2329,Leptoptilos crumenifer,AF,CICONIIFORMES,Ciconiidae,Marabú africano
2330,Leptoptilos javanicus,OR,CICONIIFORMES,Ciconiidae,Marabú menor
2331,Leptoptilos dubius,OR,CICONIIFORMES,Ciconiidae,Marabú argala
2332,Mycteria americana,"NA, MA, SA",CICONIIFORMES,Ciconiidae,Tántalo americano
2333,Mycteria ibis,AF,CICONIIFORMES,Ciconiidae,Tántalo africano
2334,Mycteria leucocephala,OR,CICONIIFORMES,Ciconiidae,Tántalo indio
2335,Mycteria cinerea,"OR, AU",CICONIIFORMES,Ciconiidae,Tántalo malayo
2336,Jabiru mycteria,"MA, SA",CICONIIFORMES,Ciconiidae,Jabirú americano
2337,Ephippiorhynchus senegalensis,AF,CICONIIFORMES,Ciconiidae,Jabirú africano
2338,Ephippiorhynchus asiaticus,"OR, AU",CICONIIFORMES,Ciconiidae,Jabirú asiático
2339,Ciconia abdimii,AF,CICONIIFORMES,Ciconiidae,Cigüeña de Abdim
2340,Ciconia episcopus,"OR, AU",CICONIIFORMES,Ciconiidae,Cigüeña lanuda asiática
2341,Ciconia stormi,OR,CICONIIFORMES,Ciconiidae,Cigüeña de Storm
2342,Ciconia nigra,"AF, PAL",CICONIIFORMES,Ciconiidae,Cigüeña negra
2343,Ciconia maguari,SA,CICONIIFORMES,Ciconiidae,Cigüeña maguari
2344,Ciconia microscelis,AF,CICONIIFORMES,Ciconiidae,Cigüeña lanuda africana
2345,Ciconia ciconia,"PAL, AF",CICONIIFORMES,Ciconiidae,Cigüeña blanca
2346,Ciconia boyciana,PAL,CICONIIFORMES,Ciconiidae,Cigüeña oriental
2347,Fregata aquila,AO,SULIFORMES,Fregatidae,Rabihorcado de Ascensión
2348,Fregata andrewsi,IO,SULIFORMES,Fregatidae,Rabihorcado de la Christmas
2349,Fregata magnificens,"AO, PO",SULIFORMES,Fregatidae,Rabihorcado magnífico
2350,Fregata minor,TrO,SULIFORMES,Fregatidae,Rabihorcado grande
2351,Fregata ariel,TrO,SULIFORMES,Fregatidae,Rabihorcado chico
2352,Morus bassanus,AO,SULIFORMES,Sulidae,Alcatraz atlántico
2353,Morus capensis,AF,SULIFORMES,Sulidae,Alcatraz de El Cabo
2354,Morus serrator,AU,SULIFORMES,Sulidae,Alcatraz australiano
2355,Papasula abbotti,IO,SULIFORMES,Sulidae,Piquero de Abbott
2356,Sula nebouxii,PO,SULIFORMES,Sulidae,Piquero camanay
2357,Sula variegata,SA,SULIFORMES,Sulidae,Piquero peruano
2358,Sula dactylatra,TrO,SULIFORMES,Sulidae,Piquero enmascarado
2359,Sula granti,PO,SULIFORMES,Sulidae,Piquero nazca
2360,Sula sula,TrO,SULIFORMES,Sulidae,Piquero patirrojo
2361,Sula leucogaster,TrO,SULIFORMES,Sulidae,Piquero pardo
2362,Anhinga melanogaster,"OR, AU",SULIFORMES,Anhingidae,Anhinga asiática
2363,Anhinga rufa,"AF, PAL",SULIFORMES,Anhingidae,Anhinga africana
2364,Anhinga novaehollandiae,AU,SULIFORMES,Anhingidae,Anhinga australiana
2365,Anhinga anhinga,"NA, MA, SA",SULIFORMES,Anhingidae,Anhinga americana
2366,Microcarbo pygmaeus,PAL,SULIFORMES,Phalacrocoracidae,Cormorán pigmeo
2367,Microcarbo africanus,AF,SULIFORMES,Phalacrocoracidae,Cormorán africano
2368,Microcarbo coronatus,AF,SULIFORMES,Phalacrocoracidae,Cormorán coronado
2369,Microcarbo niger,OR,SULIFORMES,Phalacrocoracidae,Cormorán de Java
2370,Microcarbo melanoleucos,AU,SULIFORMES,Phalacrocoracidae,Cormorán piquicorto
2371,Poikilocarbo gaimardi,SA,SULIFORMES,Phalacrocoracidae,Cormorán chuita
2372,Urile penicillatus,"NA, MA",SULIFORMES,Phalacrocoracidae,Cormorán sargento
2373,Urile urile,PO,SULIFORMES,Phalacrocoracidae,Cormorán carirrojo
2374,Urile pelagicus,PO,SULIFORMES,Phalacrocoracidae,Cormorán pelágico
2375,Phalacrocorax neglectus,AF,SULIFORMES,Phalacrocoracidae,Cormorán de bajío
2376,Phalacrocorax nigrogularis,"PAL, AF",SULIFORMES,Phalacrocoracidae,Cormorán de Socotora
2377,Phalacrocorax featherstoni,AU,SULIFORMES,Phalacrocoracidae,Cormorán de la Pitt
2378,Phalacrocorax punctatus,AU,SULIFORMES,Phalacrocoracidae,Cormorán moteado
2379,Phalacrocorax fuscescens,AU,SULIFORMES,Phalacrocoracidae,Cormorán carinegro
2380,Phalacrocorax varius,AU,SULIFORMES,Phalacrocoracidae,Cormorán pío
2381,Phalacrocorax sulcirostris,"OR, AU",SULIFORMES,Phalacrocoracidae,Cormorán totinegro
2382,Phalacrocorax fuscicollis,OR,SULIFORMES,Phalacrocoracidae,Cormorán indio
2383,Phalacrocorax capensis,AF,SULIFORMES,Phalacrocoracidae,Cormorán de El Cabo
2384,Phalacrocorax capillatus,PAL,SULIFORMES,Phalacrocoracidae,Cormorán japonés
2385,Phalacrocorax lucidus,AF,SULIFORMES,Phalacrocoracidae,Cormorán Cuelliblanco
2386,Phalacrocorax carbo,"PAL, AU, OR, NA, AF",SULIFORMES,Phalacrocoracidae,Cormorán grande
2387,Gulosus aristotelis,"PAL, AF",SULIFORMES,Phalacrocoracidae,Cormorán moñudo
2388,Nannopterum harrisi,SA,SULIFORMES,Phalacrocoracidae,Cormorán mancón
2389,Nannopterum brasilianum,"NA, MA, SA",SULIFORMES,Phalacrocoracidae,Cormorán biguá
2390,Nannopterum auritum,"NA, MA",SULIFORMES,Phalacrocoracidae,Cormorán orejudo
2391,Leucocarbo magellanicus,SA,SULIFORMES,Phalacrocoracidae,Cormorán magallánico
2392,Leucocarbo bougainvillii,SA,SULIFORMES,Phalacrocoracidae,Cormorán guanay
2393,Leucocarbo ranfurlyi,AU,SULIFORMES,Phalacrocoracidae,Cormorán de las Bounty
2394,Leucocarbo carunculatus,AU,SULIFORMES,Phalacrocoracidae,Cormorán carunculado
2395,Leucocarbo onslowi,AU,SULIFORMES,Phalacrocoracidae,Cormorán de las Chatham
2396,Leucocarbo chalconotus,AU,SULIFORMES,Phalacrocoracidae,Cormorán de la Stewart
2397,Leucocarbo stewarti,AU,SULIFORMES,Phalacrocoracidae,Foveaux Shag
2398,Leucocarbo colensoi,AU,SULIFORMES,Phalacrocoracidae,Cormorán de las Auckland
2399,Leucocarbo campbelli,AU,SULIFORMES,Phalacrocoracidae,Cormorán de la Campbell
2400,Leucocarbo atriceps,SA,SULIFORMES,Phalacrocoracidae,Cormorán imperial
2401,Leucocarbo georgianus,SO,SULIFORMES,Phalacrocoracidae,Cormorán de Georgia
2402,Leucocarbo melanogenis,SO,SULIFORMES,Phalacrocoracidae,Cormorán de las Crozet
2403,Leucocarbo bransfieldensis,SO,SULIFORMES,Phalacrocoracidae,Cormorán Antártico
2404,Leucocarbo verrucosus,IO,SULIFORMES,Phalacrocoracidae,Cormorán de las Kerguelen
2405,Leucocarbo nivalis,SO,SULIFORMES,Phalacrocoracidae,Cormorán de la Heard
2406,Leucocarbo purpurascens,SO,SULIFORMES,Phalacrocoracidae,Cormorán de la Macquarie
2407,Threskiornis aethiopicus,AF,PELECANIFORMES,Threskiornithidae,Ibis sagrado
2408,Threskiornis bernieri,AF,PELECANIFORMES,Threskiornithidae,Ibis malgache
2409,Threskiornis melanocephalus,OR,PELECANIFORMES,Threskiornithidae,Ibis oriental
2410,Threskiornis molucca,AU,PELECANIFORMES,Threskiornithidae,Ibis moluqueño
2411,Threskiornis spinicollis,AU,PELECANIFORMES,Threskiornithidae,Ibis tornasolado
2412,Pseudibis papillosa,OR,PELECANIFORMES,Threskiornithidae,Ibis verrugoso
2413,Pseudibis davisoni,OR,PELECANIFORMES,Threskiornithidae,Ibis de Davison
2414,Pseudibis gigantea,OR,PELECANIFORMES,Threskiornithidae,Ibis gigante
2415,Geronticus eremita,AF,PELECANIFORMES,Threskiornithidae,Ibis eremita
2416,Geronticus calvus,AF,PELECANIFORMES,Threskiornithidae,Ibis calvo
2417,Nipponia nippon,PAL,PELECANIFORMES,Threskiornithidae,Ibis nipón
2418,Bostrychia olivacea,AF,PELECANIFORMES,Threskiornithidae,Ibis oliváceo
2419,Bostrychia bocagei,AF,PELECANIFORMES,Threskiornithidae,Ibis enano
2420,Bostrychia rara,AF,PELECANIFORMES,Threskiornithidae,Ibis moteado
2421,Bostrychia hagedash,AF,PELECANIFORMES,Threskiornithidae,Ibis hadada
2422,Bostrychia carunculata,AF,PELECANIFORMES,Threskiornithidae,Ibis carunculado
2423,Theristicus caerulescens,SA,PELECANIFORMES,Threskiornithidae,Bandurria mora
2424,Theristicus caudatus,SA,PELECANIFORMES,Threskiornithidae,Bandurria común
2425,Theristicus melanopis,SA,PELECANIFORMES,Threskiornithidae,Bandurria acollarada austral
2426,Theristicus branickii,SA,PELECANIFORMES,Threskiornithidae,Bandurria acollarada andina
2427,Cercibis oxycerca,SA,PELECANIFORMES,Threskiornithidae,Ibis rabudo
2428,Mesembrinibis cayennensis,"MA, SA",PELECANIFORMES,Threskiornithidae,Ibis verde
2429,Phimosus infuscatus,SA,PELECANIFORMES,Threskiornithidae,Ibis afeitado
2430,Eudocimus albus,"NA, MA, SA",PELECANIFORMES,Threskiornithidae,Corocoro blanco
2431,Eudocimus ruber,SA,PELECANIFORMES,Threskiornithidae,Corocoro rojo
2432,Plegadis falcinellus,Worldwide but disjunctly,PELECANIFORMES,Threskiornithidae,Morito común
2433,Plegadis chihi,"NA, MA, SA",PELECANIFORMES,Threskiornithidae,Morito cariblanco
2434,Plegadis ridgwayi,SA,PELECANIFORMES,Threskiornithidae,Morito de la puna
2435,Lophotibis cristata,AF,PELECANIFORMES,Threskiornithidae,Ibis crestado
2436,Platalea leucorodia,"AF, PAL, OR",PELECANIFORMES,Threskiornithidae,Espátula común
2437,Platalea minor,PAL,PELECANIFORMES,Threskiornithidae,Espátula menor
2438,Platalea alba,AF,PELECANIFORMES,Threskiornithidae,Espátula africana
2439,Platalea regia,AU,PELECANIFORMES,Threskiornithidae,Espátula real
2440,Platalea flavipes,AU,PELECANIFORMES,Threskiornithidae,Espátula piquigualda
2441,Platalea ajaja,"NA, MA, SA",PELECANIFORMES,Threskiornithidae,Espátula rosada
2442,Zonerodius heliosylus,AU,PELECANIFORMES,Ardeidae,Avetigre papúa
2443,Tigriornis leucolopha,AF,PELECANIFORMES,Ardeidae,Avetigre africana
2444,Tigrisoma lineatum,"MA, SA",PELECANIFORMES,Ardeidae,Avetigre colorada
2445,Tigrisoma fasciatum,"MA, SA",PELECANIFORMES,Ardeidae,Avetigre oscura
2446,Tigrisoma mexicanum,"MA, SA",PELECANIFORMES,Ardeidae,Avetigre mejicana
2447,Agamia agami,"MA, SA",PELECANIFORMES,Ardeidae,Garza agamí
2448,Cochlearius cochlearius,"MA, SA",PELECANIFORMES,Ardeidae,Martinete cucharón
2449,Zebrilus undulatus,SA,PELECANIFORMES,Ardeidae,Avetigre enana
2450,Botaurus stellaris,PAL,PELECANIFORMES,Ardeidae,Avetoro común
2451,Botaurus poiciloptilus,AU,PELECANIFORMES,Ardeidae,Avetoro australiano
2452,Botaurus pinnatus,"MA, SA",PELECANIFORMES,Ardeidae,Avetoro mirasol
2453,Ixobrychus involucris,SA,PELECANIFORMES,Ardeidae,Avetorillo listado
2454,Ixobrychus exilis,"NA, MA, SA",PELECANIFORMES,Ardeidae,Avetorillo americano
2455,Ixobrychus minutus,"PAL, AF",PELECANIFORMES,Ardeidae,Avetorillo común
