,IOC,Breeding Range,Order,Family,Spanish
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Barnacla cuelliroja
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Barnacla nené
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Barnacla cariblanca
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Ánsar indio
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Ánsar emperador
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Ánsar común
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Ánsar cisnal
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Ánsar campestre
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Ánsar piquicorto
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Ánsar campestre de la tundra
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Ánsar careto
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Ánsar chico
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Cisne coscoroba
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Cisne negro
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Cisne cuellinegro
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Cisne vulgar
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Cisne chico
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Cisne cantor
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Pato pecoso
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Pato azul
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Pato vapor volador
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Pato vapor del Magallanes
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Pato vapor malvinero
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Pato vapor cabeciblanco
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Pato torrentero
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Ganso espolonado
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Pato crestudo americano
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Pato crestudo afroasiático
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Ganso aliazul
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Ganso del Nilo
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Ganso del Orinoco
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Cauquén guayata
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Cauquén común
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Cauquén caranca
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Cauquén cabecigrís
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Cauquén colorado
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Tarro rajá
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Tarro blanco
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Tarro canelo
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,Tarro sudafricano
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Tarro australiano
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Tarro maorí
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Pato pachón
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Ánade papúa
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Pato criollo
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Pato de jungla
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Pato de Hartlaub
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Pato mandarín
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Pato de crin
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,Gansito africano
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Gansito asiático
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,Gansito australiano
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,Pato brasileño
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,Pato acollarado
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,Ánade juarjal
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,Ánade anteojillo
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,Cerceta del Baikal
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,Cerceta carretona
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,Cerceta hotentote
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Cerceta de la puna
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Cerceta capuchina
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Cuchara argentino
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Cerceta colorada
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Cuchara de El Cabo
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Cuchara australiano
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Cuchara común
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Ánade friso
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Cerceta de Alfanjes
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Silbón europeo
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Silbón overo
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,Ánade negro
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Ánade picolimón
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Ánade malgache
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Ánade cejudo
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Ánade de Laysán
