,IOC,Breeding Range,Order,Family,Croatian
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,havajska guska
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,bjelolica guska
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,indijska guska
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,carska guska
78,Anser anser,PAL,ANSERIFORMES,Anatidae,siva guska
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,labudolika guska
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,guska glogovnjača
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,kratkokljuna guska
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,tundranska guska
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,lisasta guska
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,mala guska
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,južnoamerički labud
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,crni labud
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,crnovrati labud
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,crvenokljuni labud
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,mali labud
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,žutokljuni labud
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,pjegava utva
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,sinja patka
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,patagonska parobrotka
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,mageljanska parobrotka
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,falklandska parobrotka
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,bjeloglava parobrotka
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,patka potočarka
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,ostrugasta guska
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,crnoboka patka
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,crnoleđa patka
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,plavokrila guska
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,egipatska guska
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,kudrava guska
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,andska guska
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,prugasta guska
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,obalna guska
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,sivoglava guska
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,riđoglava guska
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,bjeloglava utva
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,utva
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,zlatnokrila utva
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,južnoafrička utva
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,riđoprsa utva
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,novozelandska utva
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,prugasta patka
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,papuanska patka
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,mošusna patka
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,pjegavoglava patka
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,crnoglava patka
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandarinka
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,smeđoglava patka
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,bjelolica patka
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,crnokapa patka
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,zelenoleđa patka
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,brazilska patka
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,pjegavoprsa patka
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,kukmasta patka
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,bjelogrla patka
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,šarenoglava patka
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,patka pupčanica
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,hotentotska patka
132,Spatula puna,SA,ANSERIFORMES,Anatidae,punska patka
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,modrokljuna patka
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,pjegavotrba patka
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,cimetasta patka
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,kapska patka
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,pjegavoboka patka
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,patka žličarka
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,patka kreketaljka
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,srpastopera patka
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,zviždara
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,čilska zviždara
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,afrička patka
144,Anas undulata,AF,ANSERIFORMES,Anatidae,zlatnokljuna patka
145,Anas melleri,AF,ANSERIFORMES,Anatidae,madagaskarska patka
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,prugastolica patka
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,lajsanska patka
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,havajska patka
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,filipinska patka
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,šarenokljuna patka
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,kineska patka
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,divlja patka
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Mexican Duck
154,Anas capensis,AF,ANSERIFORMES,Anatidae,kapska kržulja
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,smeđokapa patka
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,crvenokljuna patka
157,Anas georgica,SA,ANSERIFORMES,Anatidae,žutokljuna patka
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,kerguelenska patka
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,patka lastarka
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,kržulja
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,pjegavoprsa kržulja
162,Anas andium,SA,ANSERIFORMES,Anatidae,andska kržulja
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,sundska kržulja
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,andamanska kržulja
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,australska kržulja
166,Anas castanea,AU,ANSERIFORMES,Anatidae,riđoprsa kržulja
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,madagaskarska kržulja
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,maorska kržulja
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,novozelandska kržulja
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,kambelska kržulja
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,pjegava patka
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,patka gogoljica
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,rumenokljuna patka
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,crvenooka patka
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,glavata patka
176,Aythya australis,AU,ANSERIFORMES,Anatidae,australska patka
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,madagaskarska patka njorka
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,smeđoprsa patka
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,patka njorka
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,novozelandska patka
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,krunata patka
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,patka crninka
