,IOC,Breeding Range,Order,Family,Croatian
1900,Charadrius javanicus,OR,CHARADRIIFORMES,Charadriidae,javanski kulik
1901,Charadrius ruficapillus,AU,CHARADRIIFORMES,Charadriidae,riđokapi kulik
1902,Charadrius peronii,OR,CHARADRIIFORMES,Charadriidae,indonezijski kulik
1903,Charadrius pallidus,AF,CHARADRIIFORMES,Charadriidae,riđoprugasti kulik
1904,Charadrius collaris,"MA, SA",CHARADRIIFORMES,Charadriidae,južnoamerički kulik
1905,Charadrius alticola,SA,CHARADRIIFORMES,Charadriidae,punski kulik
1906,Charadrius falklandicus,SA,CHARADRIIFORMES,Charadriidae,patagonski kulik
1907,Charadrius bicinctus,AU,CHARADRIIFORMES,Charadriidae,riđoprsi kulik
1908,Charadrius leschenaultii,PAL,CHARADRIIFORMES,Charadriidae,pustinjski kulik
1909,Charadrius mongolus,PAL,CHARADRIIFORMES,Charadriidae,mongolski kulik
1910,Charadrius atrifrons,PAL,CHARADRIIFORMES,Charadriidae,tibetski kulik
1911,Charadrius asiaticus,PAL,CHARADRIIFORMES,Charadriidae,kaspijski kulik
1912,Charadrius veredus,PAL,CHARADRIIFORMES,Charadriidae,kineski kulik
1913,Charadrius morinellus,PAL,CHARADRIIFORMES,Charadriidae,šareni kulik
1914,Charadrius modestus,SA,CHARADRIIFORMES,Charadriidae,sivolici kulik
1915,Thinornis cucullatus,AU,CHARADRIIFORMES,Charadriidae,crnoglavi kulik
1916,Thinornis novaeseelandiae,AU,CHARADRIIFORMES,Charadriidae,čatamski kulik
1917,Elseyornis melanops,AU,CHARADRIIFORMES,Charadriidae,crnočeli kulik
1918,Oreopholus ruficollis,SA,CHARADRIIFORMES,Charadriidae,sivoprsi kulik
1919,Phegornis mitchellii,SA,CHARADRIIFORMES,Charadriidae,prugastotrbi kulik
1920,Hoploxypterus cayanus,SA,CHARADRIIFORMES,Charadriidae,crnolici vivak
1921,Pluvianus aegyptius,AF,CHARADRIIFORMES,Pluvianidae,ogrličasti kulik
1922,Rostratula benghalensis,"AF, OR",CHARADRIIFORMES,Rostratulidae,šarena šljuka
1923,Rostratula australis,AU,CHARADRIIFORMES,Rostratulidae,australska šljuka
1924,Nycticryphes semicollaris,SA,CHARADRIIFORMES,Rostratulidae,crnoprsa šljuka
1925,Microparra capensis,AF,CHARADRIIFORMES,Jacanidae,mala jakana
1926,Actophilornis africanus,AF,CHARADRIIFORMES,Jacanidae,afrička jakana
1927,Actophilornis albinucha,AF,CHARADRIIFORMES,Jacanidae,madagaskarska jakana
1928,Irediparra gallinacea,AU,CHARADRIIFORMES,Jacanidae,crvenočela jakana
1929,Hydrophasianus chirurgus,OR,CHARADRIIFORMES,Jacanidae,dugorepa jakana
1930,Metopidius indicus,OR,CHARADRIIFORMES,Jacanidae,mrka jakana
1931,Jacana spinosa,MA,CHARADRIIFORMES,Jacanidae,žutočela jakana
1932,Jacana jacana,SA,CHARADRIIFORMES,Jacanidae,južnoamerička jakana
1933,Pedionomus torquatus,AU,CHARADRIIFORMES,Pedionomidae,kulik prepeličar
1934,Attagis gayi,SA,CHARADRIIFORMES,Thinocoridae,riđotrba tinokora
1935,Attagis malouinus,SA,CHARADRIIFORMES,Thinocoridae,bjelotrba tinokora
1936,Thinocorus orbignyianus,SA,CHARADRIIFORMES,Thinocoridae,bjelogrla tinokora
1937,Thinocorus rumicivorus,SA,CHARADRIIFORMES,Thinocoridae,mala tinokora
1938,Numenius phaeopus,PAL,CHARADRIIFORMES,Scolopacidae,prugasti pozviždač
1939,Numenius minutus,PAL,CHARADRIIFORMES,Scolopacidae,mali pozviždač
1940,Numenius madagascariensis,PAL,CHARADRIIFORMES,Scolopacidae,dugokljuni pozviždač
1941,Numenius tenuirostris,PAL,CHARADRIIFORMES,Scolopacidae,tankokljuni pozviždač
1942,Numenius arquata,PAL,CHARADRIIFORMES,Scolopacidae,veliki pozviždač
1943,Limosa lapponica,PAL,CHARADRIIFORMES,Scolopacidae,riđa muljača
1944,Limosa limosa,PAL,CHARADRIIFORMES,Scolopacidae,crnorepa muljača
1945,Arenaria interpres,"NA, PAL",CHARADRIIFORMES,Scolopacidae,kameničar
1946,Prosobonia parvirostris,PO,CHARADRIIFORMES,Scolopacidae,tuamotska prutka
1947,Calidris tenuirostris,PAL,CHARADRIIFORMES,Scolopacidae,veliki žalar
1948,Calidris canutus,"NA, PAL",CHARADRIIFORMES,Scolopacidae,hrđasti žalar
1949,Calidris pugnax,PAL,CHARADRIIFORMES,Scolopacidae,pršljivac
1950,Calidris falcinellus,PAL,CHARADRIIFORMES,Scolopacidae,plosnatokljuni žalar
1951,Calidris acuminata,PAL,CHARADRIIFORMES,Scolopacidae,oštrorepi žalar
1952,Calidris ferruginea,PAL,CHARADRIIFORMES,Scolopacidae,krivokljuni žalar
1953,Calidris temminckii,PAL,CHARADRIIFORMES,Scolopacidae,sijedi žalar
1954,Calidris subminuta,PAL,CHARADRIIFORMES,Scolopacidae,dugoprsti žalar
1955,Calidris pygmaea,PAL,CHARADRIIFORMES,Scolopacidae,žalar žličar
1956,Calidris ruficollis,PAL,CHARADRIIFORMES,Scolopacidae,riđovrati žalar
1957,Calidris alba,"NA, PAL",CHARADRIIFORMES,Scolopacidae,bijeli žalar
1958,Calidris alpina,"NA, PAL",CHARADRIIFORMES,Scolopacidae,žalar cirikavac
1959,Calidris ptilocnemis,"PAL, NA",CHARADRIIFORMES,Scolopacidae,žalar stjenjak
1960,Calidris maritima,"NA, PAL",CHARADRIIFORMES,Scolopacidae,morski žalar
1961,Calidris bairdii,"NA, PAL",CHARADRIIFORMES,Scolopacidae,bairdov žalar
1962,Calidris minuta,PAL,CHARADRIIFORMES,Scolopacidae,mali žalar
1963,Calidris subruficollis,"NA, PAL",CHARADRIIFORMES,Scolopacidae,žutonogi žalar
1964,Calidris melanotos,"NA, PAL",CHARADRIIFORMES,Scolopacidae,žalar šljukar
1965,Calidris pusilla,"NA, PAL",CHARADRIIFORMES,Scolopacidae,žalar pješčar
1966,Calidris mauri,"NA, PAL",CHARADRIIFORMES,Scolopacidae,aljaski žalar
1967,Limnodromus semipalmatus,PAL,CHARADRIIFORMES,Scolopacidae,azijska šljukolika
1968,Limnodromus scolopaceus,"PAL, NA",CHARADRIIFORMES,Scolopacidae,dugokljuna šljukolika
1969,Scolopax rusticola,PAL,CHARADRIIFORMES,Scolopacidae,šumska šljuka
1970,Scolopax mira,PAL,CHARADRIIFORMES,Scolopacidae,riukiuška šljuka
1971,Scolopax saturata,OR,CHARADRIIFORMES,Scolopacidae,mrka šljuka
1972,Scolopax rosenbergii,AU,CHARADRIIFORMES,Scolopacidae,novogvinejska šljuka
1973,Scolopax bukidnonensis,OR,CHARADRIIFORMES,Scolopacidae,filipinska šljuka
1974,Scolopax celebensis,AU,CHARADRIIFORMES,Scolopacidae,sulaveška šljuka
1975,Scolopax rochussenii,AU,CHARADRIIFORMES,Scolopacidae,molučka šljuka
1976,Coenocorypha pusilla,AU,CHARADRIIFORMES,Scolopacidae,čatamska šljuka
1977,Coenocorypha huegeli,AU,CHARADRIIFORMES,Scolopacidae,snerska šljuka
1978,Coenocorypha aucklandica,AU,CHARADRIIFORMES,Scolopacidae,kratkorepa šljuka
1979,Lymnocryptes minimus,PAL,CHARADRIIFORMES,Scolopacidae,mala šljuka
1980,Gallinago solitaria,PAL,CHARADRIIFORMES,Scolopacidae,planinska šljuka
1981,Gallinago hardwickii,PAL,CHARADRIIFORMES,Scolopacidae,japanska šljuka
1982,Gallinago nemoricola,OR,CHARADRIIFORMES,Scolopacidae,himalajska šljuka
1983,Gallinago stenura,PAL,CHARADRIIFORMES,Scolopacidae,sibirska šljuka
1984,Gallinago megala,PAL,CHARADRIIFORMES,Scolopacidae,bajkalska šljuka
1985,Gallinago nigripennis,AF,CHARADRIIFORMES,Scolopacidae,afrička šljuka
1986,Gallinago macrodactyla,AF,CHARADRIIFORMES,Scolopacidae,madagaskarska šljuka
1987,Gallinago media,PAL,CHARADRIIFORMES,Scolopacidae,šljuka livadarka
1988,Gallinago gallinago,PAL,CHARADRIIFORMES,Scolopacidae,šljuka kokošica
1989,Gallinago paraguaiae,SA,CHARADRIIFORMES,Scolopacidae,južnoamerička šljuka
1990,Gallinago magellanica,SA,CHARADRIIFORMES,Scolopacidae,Magellanic Snipe
1991,Gallinago andina,SA,CHARADRIIFORMES,Scolopacidae,punska šljuka
1992,Gallinago nobilis,SA,CHARADRIIFORMES,Scolopacidae,kolumbijska šljuka
1993,Gallinago undulata,SA,CHARADRIIFORMES,Scolopacidae,velika šljuka
1994,Gallinago stricklandii,SA,CHARADRIIFORMES,Scolopacidae,patagonska šljuka
1995,Gallinago jamesoni,SA,CHARADRIIFORMES,Scolopacidae,andska šljuka
1996,Gallinago imperialis,SA,CHARADRIIFORMES,Scolopacidae,riđa šljuka
1997,Xenus cinereus,PAL,CHARADRIIFORMES,Scolopacidae,prutka sabljarka
1998,Phalaropus lobatus,"NA, PAL",CHARADRIIFORMES,Scolopacidae,tankokljuna liskonoga
1999,Phalaropus fulicarius,"NA, PAL",CHARADRIIFORMES,Scolopacidae,riđa liskonoga
2000,Actitis hypoleucos,PAL,CHARADRIIFORMES,Scolopacidae,mala prutka
2001,Tringa ochropus,PAL,CHARADRIIFORMES,Scolopacidae,crnokrila prutka
2002,Tringa incana,"PAL, NA",CHARADRIIFORMES,Scolopacidae,pacifička prutka
2003,Tringa brevipes,PAL,CHARADRIIFORMES,Scolopacidae,sivorepa prutka
2004,Tringa totanus,PAL,CHARADRIIFORMES,Scolopacidae,crvenonoga prutka
2005,Tringa stagnatilis,PAL,CHARADRIIFORMES,Scolopacidae,dugonoga prutka
2006,Tringa glareola,PAL,CHARADRIIFORMES,Scolopacidae,prutka migavica
2007,Tringa erythropus,PAL,CHARADRIIFORMES,Scolopacidae,crna prutka
2008,Tringa nebularia,PAL,CHARADRIIFORMES,Scolopacidae,krivokljuna prutka
2009,Tringa guttifer,PAL,CHARADRIIFORMES,Scolopacidae,sahalinska prutka
2010,Dromas ardeola,"AF, IO",CHARADRIIFORMES,Dromadidae,dromas
2011,Cursorius cursor,"PAL, AF",CHARADRIIFORMES,Glareolidae,smeđa trkalica
2012,Cursorius somalensis,AF,CHARADRIIFORMES,Glareolidae,somalijska trkalica
2013,Cursorius rufus,AF,CHARADRIIFORMES,Glareolidae,riđa trkalica
2014,Cursorius temminckii,AF,CHARADRIIFORMES,Glareolidae,riđokapa trkalica
2015,Cursorius coromandelicus,OR,CHARADRIIFORMES,Glareolidae,indijska trkalica
2016,Rhinoptilus africanus,AF,CHARADRIIFORMES,Glareolidae,mala trkalica
2017,Rhinoptilus cinctus,AF,CHARADRIIFORMES,Glareolidae,prugasta trkalica
2018,Rhinoptilus chalcopterus,AF,CHARADRIIFORMES,Glareolidae,velika trkalica
2019,Rhinoptilus bitorquatus,OR,CHARADRIIFORMES,Glareolidae,penarska trkalica
2020,Stiltia isabella,AU,CHARADRIIFORMES,Glareolidae,australska pješčarka
2021,Glareola pratincola,"AF, PAL",CHARADRIIFORMES,Glareolidae,riđokrila pješčarka
2022,Glareola maldivarum,"PAL, OR",CHARADRIIFORMES,Glareolidae,kratkorepa pješčarka
2023,Glareola nordmanni,PAL,CHARADRIIFORMES,Glareolidae,crnokrila pješčarka
2024,Glareola ocularis,AF,CHARADRIIFORMES,Glareolidae,madagaskarska pješčarka
2025,Glareola nuchalis,AF,CHARADRIIFORMES,Glareolidae,mrka pješčarka
2026,Glareola cinerea,AF,CHARADRIIFORMES,Glareolidae,sivoleđa pješčarka
2027,Glareola lactea,OR,CHARADRIIFORMES,Glareolidae,mala pješčarka
2028,Anous stolidus,TrO,CHARADRIIFORMES,Laridae,smeđa čigra
2029,Anous tenuirostris,IO,CHARADRIIFORMES,Laridae,tankokljuna čigra
2030,Anous minutus,"PO, AO",CHARADRIIFORMES,Laridae,bjelokapa čigra
2031,Anous ceruleus,PO,CHARADRIIFORMES,Laridae,sinja čigra
2032,Anous albivitta,PO,CHARADRIIFORMES,Laridae,bjeloglava čigra
2033,Gygis alba,TrO,CHARADRIIFORMES,Laridae,bijela čigra
2034,Rynchops niger,"NA, MA, SA",CHARADRIIFORMES,Laridae,američki vodosijek
2035,Rynchops flavirostris,AF,CHARADRIIFORMES,Laridae,afrički vodosijek
2036,Rynchops albicollis,OR,CHARADRIIFORMES,Laridae,indijski vodosijek
2037,Creagrus furcatus,SA,CHARADRIIFORMES,Laridae,galapagoski galeb
2038,Rissa tridactyla,"PAL, NA",CHARADRIIFORMES,Laridae,troprsti galeb
2039,Pagophila eburnea,"PAL, NA",CHARADRIIFORMES,Laridae,bijeli galeb
2040,Xema sabini,"PAL, NA",CHARADRIIFORMES,Laridae,galeb lastar
2041,Chroicocephalus genei,"PAL, AF",CHARADRIIFORMES,Laridae,tankokljuni galeb
2042,Chroicocephalus novaehollandiae,AU,CHARADRIIFORMES,Laridae,australski galeb
2043,Chroicocephalus bulleri,AU,CHARADRIIFORMES,Laridae,crnokljuni galeb
2044,Chroicocephalus serranus,SA,CHARADRIIFORMES,Laridae,andski galeb
2045,Chroicocephalus brunnicephalus,PAL,CHARADRIIFORMES,Laridae,planinski galeb
2046,Chroicocephalus maculipennis,SA,CHARADRIIFORMES,Laridae,smeđoglavi galeb
2047,Chroicocephalus ridibundus,PAL,CHARADRIIFORMES,Laridae,riječni galeb
2048,Chroicocephalus cirrocephalus,"SA, AF",CHARADRIIFORMES,Laridae,sivoglavi galeb
2049,Chroicocephalus hartlaubii,AF,CHARADRIIFORMES,Laridae,južnoafrički galeb
2050,Chroicocephalus saundersi,PAL,CHARADRIIFORMES,Laridae,kratkokljuni galeb
2051,Hydrocoloeus minutus,PAL,CHARADRIIFORMES,Laridae,mali galeb
2052,Rhodostethia rosea,"PAL, NA",CHARADRIIFORMES,Laridae,ružičasti galeb
2053,Leucophaeus scoresbii,SA,CHARADRIIFORMES,Laridae,mageljanski galeb
2054,Leucophaeus fuliginosus,SA,CHARADRIIFORMES,Laridae,mrki galeb
2055,Leucophaeus atricilla,"NA, MA, SA",CHARADRIIFORMES,Laridae,astečki galeb
2056,Leucophaeus modestus,SA,CHARADRIIFORMES,Laridae,sivi galeb
2057,Ichthyaetus relictus,PAL,CHARADRIIFORMES,Laridae,mongolski galeb
2058,Ichthyaetus audouinii,PAL,CHARADRIIFORMES,Laridae,sredozemni galeb
2059,Ichthyaetus melanocephalus,PAL,CHARADRIIFORMES,Laridae,crnoglavi galeb
2060,Ichthyaetus ichthyaetus,PAL,CHARADRIIFORMES,Laridae,veliki crnoglavi galeb
2061,Ichthyaetus leucophthalmus,AF,CHARADRIIFORMES,Laridae,crvenomorski galeb
2062,Ichthyaetus hemprichii,"AF, PAL",CHARADRIIFORMES,Laridae,tamnoprsi galeb
2063,Larus pacificus,AU,CHARADRIIFORMES,Laridae,krupnokljuni galeb
2064,Larus belcheri,SA,CHARADRIIFORMES,Laridae,humboltski galeb
2065,Larus atlanticus,SA,CHARADRIIFORMES,Laridae,patagonski galeb
2066,Larus crassirostris,PAL,CHARADRIIFORMES,Laridae,japanski galeb
2067,Larus heermanni,"NA, MA",CHARADRIIFORMES,Laridae,kalifornijski galeb
2068,Larus canus,"NA, PAL",CHARADRIIFORMES,Laridae,burni galeb
2069,Larus marinus,"NA, PAL",CHARADRIIFORMES,Laridae,veliki galeb
2070,Larus dominicanus,"SA, AU, AF",CHARADRIIFORMES,Laridae,južni galeb
2071,Larus glaucescens,"PAL, NA",CHARADRIIFORMES,Laridae,sjevernopacifički galeb
2072,Larus occidentalis,"NA, MA",CHARADRIIFORMES,Laridae,obalni galeb
2073,Larus livens,"NA, MA",CHARADRIIFORMES,Laridae,meksički galeb
2074,Larus hyperboreus,"PAL, NA",CHARADRIIFORMES,Laridae,sjeverni galeb
2075,Larus glaucoides,"NA, PAL",CHARADRIIFORMES,Laridae,arktički galeb
2076,Larus argentatus,PAL,CHARADRIIFORMES,Laridae,srebrnasti galeb
2077,Larus vegae,PAL,CHARADRIIFORMES,Laridae,Vega Gull
2078,Larus cachinnans,PAL,CHARADRIIFORMES,Laridae,pontski galeb
2079,Larus michahellis,PAL,CHARADRIIFORMES,Laridae,galeb klaukavac
2080,Larus armenicus,PAL,CHARADRIIFORMES,Laridae,armenski galeb
2081,Larus schistisagus,PAL,CHARADRIIFORMES,Laridae,sinji galeb
2082,Larus fuscus,PAL,CHARADRIIFORMES,Laridae,tamnoleđi galeb
2083,Gelochelidon nilotica,"PAL, AF, OR, NA, MA, SA",CHARADRIIFORMES,Laridae,debelokljuna čigra
2084,Gelochelidon macrotarsa,AU,CHARADRIIFORMES,Laridae,australska čigra
2085,Hydroprogne caspia,"PAL, OR, AU, NA",CHARADRIIFORMES,Laridae,velika čigra
2086,Thalasseus maximus,"NA, MA, SA",CHARADRIIFORMES,Laridae,kraljevska čigra
2087,Thalasseus bergii,"AU, OR, AF",CHARADRIIFORMES,Laridae,kudrava čigra
2088,Thalasseus bengalensis,"AF, OR, AU",CHARADRIIFORMES,Laridae,narančastokljuna čigra
2089,Thalasseus albididorsalis,AF,CHARADRIIFORMES,Laridae,West African Crested Tern
2090,Thalasseus bernsteini,PAL,CHARADRIIFORMES,Laridae,šandonška čigra
2091,Thalasseus sandvicensis,"PAL, AF",CHARADRIIFORMES,Laridae,dugokljuna čigra
2092,Thalasseus acuflavidus,"NA, MA, SA",CHARADRIIFORMES,Laridae,američka dugokljuna čigra
2093,Thalasseus elegans,"NA, MA",CHARADRIIFORMES,Laridae,kalifornijska čigra
2094,Sternula albifrons,"AF, PAL, OR, AU",CHARADRIIFORMES,Laridae,mala čigra
2095,Sternula saundersi,"AF, PAL",CHARADRIIFORMES,Laridae,Saundersova čigra
2096,Sternula antillarum,"NA, MA",CHARADRIIFORMES,Laridae,američka mala čigra
2097,Sternula superciliaris,SA,CHARADRIIFORMES,Laridae,amazonska čigra
2098,Sternula lorata,SA,CHARADRIIFORMES,Laridae,peruanska čigra
2099,Sternula nereis,AU,CHARADRIIFORMES,Laridae,bjeločela čigra
2100,Sternula balaenarum,AF,CHARADRIIFORMES,Laridae,južnoafrička čigra
2101,Onychoprion aleuticus,"PAL, NA",CHARADRIIFORMES,Laridae,aleutska čigra
2102,Onychoprion lunatus,PO,CHARADRIIFORMES,Laridae,pacifička čigra
2103,Onychoprion anaethetus,TrO,CHARADRIIFORMES,Laridae,smeđokrila čigra
2104,Onychoprion fuscatus,TrO,CHARADRIIFORMES,Laridae,crnoleđa čigra
2105,Sterna aurantia,OR,CHARADRIIFORMES,Laridae,indijska čigra
2106,Sterna dougallii,Worldwide,CHARADRIIFORMES,Laridae,dugorepa čigra
2107,Sterna striata,AU,CHARADRIIFORMES,Laridae,crnokljuna čigra
2108,Sterna sumatrana,"AF, OR, AU",CHARADRIIFORMES,Laridae,svijetla čigra
2109,Sterna hirundinacea,SA,CHARADRIIFORMES,Laridae,južnoamerička čigra
2110,Sterna hirundo,"PAL, NA",CHARADRIIFORMES,Laridae,crvenokljuna čigra
2111,Sterna repressa,"AF, PAL",CHARADRIIFORMES,Laridae,siva čigra
2112,Sterna paradisaea,"PAL, NA",CHARADRIIFORMES,Laridae,arktička čigra
2113,Sterna vittata,SO,CHARADRIIFORMES,Laridae,antarktička čigra
2114,Sterna virgata,IO,CHARADRIIFORMES,Laridae,sivorepa čigra
2115,Sterna forsteri,"NA, MA",CHARADRIIFORMES,Laridae,Forsterova čigra
2116,Sterna trudeaui,SA,CHARADRIIFORMES,Laridae,crnolica čigra
2117,Sterna acuticauda,OR,CHARADRIIFORMES,Laridae,crnotrba čigra
2118,Chlidonias albostriatus,AU,CHARADRIIFORMES,Laridae,novozelandska čigra
2119,Chlidonias hybrida,"AF, PAL, OR, AU",CHARADRIIFORMES,Laridae,bjelobrada čigra
2120,Chlidonias leucopterus,PAL,CHARADRIIFORMES,Laridae,bjelokrila čigra
2121,Chlidonias niger,"NA, PAL",CHARADRIIFORMES,Laridae,crna čigra
2122,Phaetusa simplex,SA,CHARADRIIFORMES,Laridae,žutokljuna čigra
2123,Larosterna inca,SA,CHARADRIIFORMES,Laridae,brkata čigra
2124,Stercorarius chilensis,SA,CHARADRIIFORMES,Stercorariidae,čilski pomornik
2125,Stercorarius maccormicki,AN,CHARADRIIFORMES,Stercorariidae,antarktički pomornik
2126,Stercorarius antarcticus,"SO, AN",CHARADRIIFORMES,Stercorariidae,smeđi pomornik
2127,Stercorarius skua,PAL,CHARADRIIFORMES,Stercorariidae,veliki pomornik
2128,Stercorarius pomarinus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,širokorepi pomornik
2129,Stercorarius parasiticus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,kratkorepi pomornik
2130,Stercorarius longicaudus,"NA, PAL",CHARADRIIFORMES,Stercorariidae,dugorepi pomornik
2131,Alle alle,"NA, PAL",CHARADRIIFORMES,Alcidae,mala njorka
2132,Uria lomvia,"NA, PAL",CHARADRIIFORMES,Alcidae,debelokljuna njorka
2133,Uria aalge,"NA, PAL",CHARADRIIFORMES,Alcidae,tankokljuna njorka
2134,Alca torda,"NA, PAL",CHARADRIIFORMES,Alcidae,plosnatokljuna njorka
2135,Cepphus grylle,"NA, PAL",CHARADRIIFORMES,Alcidae,crna njorka
2136,Cepphus columba,"PAL, NA",CHARADRIIFORMES,Alcidae,njorka golubarka
2137,Cepphus carbo,PAL,CHARADRIIFORMES,Alcidae,njorka naočarka
2138,Brachyramphus perdix,PAL,CHARADRIIFORMES,Alcidae,dugokljuna njorka
2139,Brachyramphus brevirostris,"PAL, NA",CHARADRIIFORMES,Alcidae,kratkokljuna njorka
2140,Synthliboramphus hypoleucus,MA,CHARADRIIFORMES,Alcidae,kalifornijska njorka
2141,Synthliboramphus scrippsi,"NA, MA",CHARADRIIFORMES,Alcidae,crnokapa njorka
2142,Synthliboramphus craveri,"NA, MA",CHARADRIIFORMES,Alcidae,meksička njorka
2143,Synthliboramphus antiquus,"PAL, NA",CHARADRIIFORMES,Alcidae,srebrnasta njorka
2144,Synthliboramphus wumizusume,PAL,CHARADRIIFORMES,Alcidae,japanska njorka
2145,Ptychoramphus aleuticus,"NA, MA",CHARADRIIFORMES,Alcidae,smeđoprsa njorka
2146,Aethia psittacula,"PAL, NA",CHARADRIIFORMES,Alcidae,papigasta njorka
2147,Aethia pusilla,"PAL, NA",CHARADRIIFORMES,Alcidae,patuljasta njorka
2148,Aethia pygmaea,"PAL, NA",CHARADRIIFORMES,Alcidae,crvenokljuna njorka
2149,Aethia cristatella,"PAL, NA",CHARADRIIFORMES,Alcidae,ćubasta njorka
2150,Cerorhinca monocerata,"PAL, NA",CHARADRIIFORMES,Alcidae,brkata njorka
2151,Fratercula arctica,"PAL, NA",CHARADRIIFORMES,Alcidae,tupik
2152,Fratercula corniculata,"PAL, NA",CHARADRIIFORMES,Alcidae,žutokljuni tupik
2153,Fratercula cirrhata,"PAL, NA",CHARADRIIFORMES,Alcidae,ćubasti tupik
2154,Rhynochetos jubatus,AU,EURYPYGIFORMES,Rhynochetidae,kagu
2155,Eurypyga helias,"MA, SA",EURYPYGIFORMES,Eurypygidae,sunčanica
2156,Phaethon aethereus,TrO,PHAETHONTIFORMES,Phaethontidae,crvenokljuni feton
2157,Phaethon rubricauda,TrO,PHAETHONTIFORMES,Phaethontidae,crvenorepi feton
2158,Phaethon lepturus,TrO,PHAETHONTIFORMES,Phaethontidae,žutokljuni feton
2159,Gavia stellata,"NA, PAL",GAVIIFORMES,Gaviidae,crvenogrli plijenor
2160,Gavia arctica,"PAL, NA",GAVIIFORMES,Gaviidae,crnogrli plijenor
2161,Gavia pacifica,"NA, PAL",GAVIIFORMES,Gaviidae,pacifički plijenor
2162,Gavia immer,"NA, PAL",GAVIIFORMES,Gaviidae,veliki plijenor
2163,Gavia adamsii,"NA, PAL",GAVIIFORMES,Gaviidae,žutokljuni plijenor
2164,Aptenodytes patagonicus,SO,SPHENISCIFORMES,Spheniscidae,kraljevski pingvin
2165,Aptenodytes forsteri,AN,SPHENISCIFORMES,Spheniscidae,carski pingvin
2166,Pygoscelis adeliae,"SO, AN",SPHENISCIFORMES,Spheniscidae,adelijski pingvin
2167,Pygoscelis antarcticus,"SO, AN",SPHENISCIFORMES,Spheniscidae,ogrličasti pingvin
2168,Pygoscelis papua,SO,SPHENISCIFORMES,Spheniscidae,žutonogi pingvin
2169,Eudyptula minor,AU,SPHENISCIFORMES,Spheniscidae,patuljasti pingvin
2170,Spheniscus mendiculus,SA,SPHENISCIFORMES,Spheniscidae,galapagoski pingvin
2171,Spheniscus humboldti,SA,SPHENISCIFORMES,Spheniscidae,humboltski pingvin
2172,Spheniscus magellanicus,SA,SPHENISCIFORMES,Spheniscidae,mageljanski pingvin
2173,Spheniscus demersus,AF,SPHENISCIFORMES,Spheniscidae,afrički pingvin
2174,Megadyptes antipodes,AU,SPHENISCIFORMES,Spheniscidae,žutoglavi pingvin
2175,Eudyptes chrysolophus,SO,SPHENISCIFORMES,Spheniscidae,zlatnouhi pingvin
2176,Eudyptes schlegeli,AU,SPHENISCIFORMES,Spheniscidae,makvorijski pingvin
2177,Eudyptes moseleyi,"AO, IO",SPHENISCIFORMES,Spheniscidae,krunati pingvin
2178,Eudyptes chrysocome,"AO, SA",SPHENISCIFORMES,Spheniscidae,žutouhi pingvin
2179,Eudyptes pachyrhynchus,AU,SPHENISCIFORMES,Spheniscidae,debelokljuni pingvin
2180,Eudyptes robustus,AU,SPHENISCIFORMES,Spheniscidae,snerski pingvin
2181,Eudyptes sclateri,AU,SPHENISCIFORMES,Spheniscidae,antipodski pingvin
2182,Oceanites oceanicus,SO,PROCELLARIIFORMES,Oceanitidae,šarenonoga burnica
2183,Oceanites gracilis,PO,PROCELLARIIFORMES,Oceanitidae,Elliotova burnica
2184,Oceanites pincoyae,PO,PROCELLARIIFORMES,Oceanitidae,čilska burnica
2185,Garrodia nereis,SO,PROCELLARIIFORMES,Oceanitidae,sivoleđa burnica
2186,Pelagodroma marina,"AO, IO, PO",PROCELLARIIFORMES,Oceanitidae,bjelolica burnica
2187,Fregetta grallaria,SO,PROCELLARIIFORMES,Oceanitidae,bjelotrba burnica
2188,Fregetta tropica,SO,PROCELLARIIFORMES,Oceanitidae,crnotrba burnica
2189,Fregetta lineata,PO,PROCELLARIIFORMES,Oceanitidae,New Caledonian Storm Petrel
2190,Fregetta maoriana,PO,PROCELLARIIFORMES,Oceanitidae,novozelandska burnica
2191,Nesofregetta fuliginosa,PO,PROCELLARIIFORMES,Oceanitidae,polinezijska burnica
2192,Phoebastria immutabilis,PO,PROCELLARIIFORMES,Diomedeidae,havajski albatros
2193,Phoebastria nigripes,PO,PROCELLARIIFORMES,Diomedeidae,crnonogi albatros
2194,Phoebastria irrorata,PO,PROCELLARIIFORMES,Diomedeidae,smeđi albatros
2195,Phoebastria albatrus,PO,PROCELLARIIFORMES,Diomedeidae,žutoglavi albatros
2196,Diomedea exulans,SO,PROCELLARIIFORMES,Diomedeidae,albatros lutalica
2197,Diomedea antipodensis,PO,PROCELLARIIFORMES,Diomedeidae,antipodski albatros
2198,Diomedea amsterdamensis,IO,PROCELLARIIFORMES,Diomedeidae,crnoleđi albatros
2199,Diomedea dabbenena,AO,PROCELLARIIFORMES,Diomedeidae,tristanski albatros
2200,Diomedea epomophora,PO,PROCELLARIIFORMES,Diomedeidae,kraljevski albatros
2201,Diomedea sanfordi,PO,PROCELLARIIFORMES,Diomedeidae,novozelandski albatros
2202,Phoebetria fusca,"IO, AO",PROCELLARIIFORMES,Diomedeidae,mrki albatros
2203,Phoebetria palpebrata,SO,PROCELLARIIFORMES,Diomedeidae,sivi albatros
