,IOC,Breeding Range,Order,Family,Chinese
3039,Trogon ramonianus,SA,TROGONIFORMES,Trogonidae,亚马逊咬鹃
3040,Trogon violaceus,SA,TROGONIFORMES,Trogonidae,紫头美洲咬鹃
3041,Trogon curucui,SA,TROGONIFORMES,Trogonidae,蓝顶美洲咬鹃
3042,Trogon surrucura,SA,TROGONIFORMES,Trogonidae,苏鲁美洲咬鹃
3043,Trogon rufus,"MA, SA",TROGONIFORMES,Trogonidae,黑喉美洲咬鹃
3044,Trogon elegans,"NA, MA",TROGONIFORMES,Trogonidae,优雅美洲咬鹃
3045,Trogon mexicanus,MA,TROGONIFORMES,Trogonidae,高山美洲咬鹃
3046,Trogon collaris,"MA, SA",TROGONIFORMES,Trogonidae,白领美洲咬鹃
3047,Trogon personatus,SA,TROGONIFORMES,Trogonidae,美洲咬鹃
3048,Apaloderma narina,AF,TROGONIFORMES,Trogonidae,绿颊咬鹃
3049,Apaloderma aequatoriale,AF,TROGONIFORMES,Trogonidae,黄颊咬鹃
3050,Apaloderma vittatum,AF,TROGONIFORMES,Trogonidae,斑尾咬鹃
3051,Apalharpactes reinwardtii,OR,TROGONIFORMES,Trogonidae,蓝尾咬鹃
3052,Apalharpactes mackloti,OR,TROGONIFORMES,Trogonidae,苏门答腊咬鹃
3053,Harpactes fasciatus,OR,TROGONIFORMES,Trogonidae,黑头咬鹃
3054,Harpactes kasumba,OR,TROGONIFORMES,Trogonidae,红枕咬鹃
3055,Harpactes diardii,OR,TROGONIFORMES,Trogonidae,紫顶咬鹃
3056,Harpactes ardens,OR,TROGONIFORMES,Trogonidae,粉胸咬鹃
3057,Harpactes whiteheadi,OR,TROGONIFORMES,Trogonidae,灰胸咬鹃
3058,Harpactes orrhophaeus,OR,TROGONIFORMES,Trogonidae,橙腰咬鹃
3059,Harpactes duvaucelii,OR,TROGONIFORMES,Trogonidae,红腰咬鹃
3060,Harpactes oreskios,OR,TROGONIFORMES,Trogonidae,橙胸咬鹃
3061,Harpactes erythrocephalus,OR,TROGONIFORMES,Trogonidae,红头咬鹃
3062,Harpactes wardi,OR,TROGONIFORMES,Trogonidae,红腹咬鹃
3063,Upupa epops,"PAL, OR",BUCEROTIFORMES,Upupidae,戴胜
3064,Upupa africana,AF,BUCEROTIFORMES,Upupidae,非洲戴胜
3065,Upupa marginata,AF,BUCEROTIFORMES,Upupidae,马岛戴胜
3066,Phoeniculus castaneiceps,AF,BUCEROTIFORMES,Phoeniculidae,栗头林戴胜
3067,Phoeniculus bollei,AF,BUCEROTIFORMES,Phoeniculidae,白头林戴胜
3068,Phoeniculus purpureus,AF,BUCEROTIFORMES,Phoeniculidae,绿林戴胜
3069,Phoeniculus somaliensis,AF,BUCEROTIFORMES,Phoeniculidae,黑嘴林戴胜
3070,Phoeniculus damarensis,AF,BUCEROTIFORMES,Phoeniculidae,紫林戴胜
3071,Phoeniculus granti,AF,BUCEROTIFORMES,Phoeniculidae,格氏林戴胜
3072,Rhinopomastus aterrimus,AF,BUCEROTIFORMES,Phoeniculidae,黑弯嘴林戴胜
3073,Rhinopomastus cyanomelas,AF,BUCEROTIFORMES,Phoeniculidae,弯嘴林戴胜
3074,Rhinopomastus minor,AF,BUCEROTIFORMES,Phoeniculidae,小弯嘴林戴胜
3075,Bucorvus abyssinicus,AF,BUCEROTIFORMES,Bucorvidae,地犀鸟
3076,Bucorvus leadbeateri,AF,BUCEROTIFORMES,Bucorvidae,红脸地犀鸟
3077,Tockus ruahae,AF,BUCEROTIFORMES,Bucerotidae,坦桑红嘴犀鸟
3078,Tockus kempi,AF,BUCEROTIFORMES,Bucerotidae,西非红嘴犀鸟
3079,Tockus damarensis,AF,BUCEROTIFORMES,Bucerotidae,达马拉红嘴犀鸟
3080,Tockus rufirostris,AF,BUCEROTIFORMES,Bucerotidae,南红嘴犀鸟
3081,Tockus erythrorhynchus,AF,BUCEROTIFORMES,Bucerotidae,红嘴弯嘴犀鸟
3082,Tockus monteiri,AF,BUCEROTIFORMES,Bucerotidae,蒙氏弯嘴犀鸟
3083,Tockus deckeni,AF,BUCEROTIFORMES,Bucerotidae,德氏弯嘴犀鸟
3084,Tockus jacksoni,AF,BUCEROTIFORMES,Bucerotidae,杰氏弯嘴犀鸟
3085,Tockus leucomelas,AF,BUCEROTIFORMES,Bucerotidae,南黄弯嘴犀鸟
3086,Tockus flavirostris,AF,BUCEROTIFORMES,Bucerotidae,黄弯嘴犀鸟
3087,Lophoceros bradfieldi,AF,BUCEROTIFORMES,Bucerotidae,南非弯嘴犀鸟
3088,Lophoceros alboterminatus,AF,BUCEROTIFORMES,Bucerotidae,冕弯嘴犀鸟
3089,Lophoceros semifasciatus,AF,BUCEROTIFORMES,Bucerotidae,西斑尾弯嘴犀鸟
3090,Lophoceros fasciatus,AF,BUCEROTIFORMES,Bucerotidae,斑尾弯嘴犀鸟
3091,Lophoceros hemprichii,AF,BUCEROTIFORMES,Bucerotidae,亨氏弯嘴犀鸟
3092,Lophoceros nasutus,AF,BUCEROTIFORMES,Bucerotidae,黑嘴弯嘴犀鸟
3093,Lophoceros camurus,AF,BUCEROTIFORMES,Bucerotidae,红弯嘴犀鸟
3094,Lophoceros pallidirostris,AF,BUCEROTIFORMES,Bucerotidae,灰嘴弯嘴犀鸟
3095,Bycanistes fistulator,AF,BUCEROTIFORMES,Bucerotidae,笛声噪犀鸟
3096,Bycanistes bucinator,AF,BUCEROTIFORMES,Bucerotidae,噪犀鸟
3097,Bycanistes cylindricus,AF,BUCEROTIFORMES,Bucerotidae,褐颊噪犀鸟
3098,Bycanistes albotibialis,AF,BUCEROTIFORMES,Bucerotidae,白腿噪犀鸟
3099,Bycanistes subcylindricus,AF,BUCEROTIFORMES,Bucerotidae,黑白噪犀鸟
3100,Bycanistes brevis,AF,BUCEROTIFORMES,Bucerotidae,银颊噪犀鸟
3101,Ceratogymna atrata,AF,BUCEROTIFORMES,Bucerotidae,黑盔噪犀鸟
3102,Ceratogymna elata,AF,BUCEROTIFORMES,Bucerotidae,黄盔噪犀鸟
3103,Horizocerus hartlaubi,AF,BUCEROTIFORMES,Bucerotidae,黑弯嘴犀鸟
3104,Horizocerus albocristatus,AF,BUCEROTIFORMES,Bucerotidae,白冠弯嘴犀鸟
3105,Berenicornis comatus,OR,BUCEROTIFORMES,Bucerotidae,白冠犀鸟
3106,Buceros rhinoceros,OR,BUCEROTIFORMES,Bucerotidae,马来犀鸟
3107,Buceros bicornis,OR,BUCEROTIFORMES,Bucerotidae,双角犀鸟
3108,Buceros hydrocorax,OR,BUCEROTIFORMES,Bucerotidae,棕犀鸟
3109,Rhinoplax vigil,OR,BUCEROTIFORMES,Bucerotidae,盔犀鸟
3110,Anthracoceros marchei,OR,BUCEROTIFORMES,Bucerotidae,白嘴斑犀鸟
3111,Anthracoceros albirostris,OR,BUCEROTIFORMES,Bucerotidae,冠斑犀鸟
3112,Anthracoceros coronatus,OR,BUCEROTIFORMES,Bucerotidae,印度冠斑犀鸟
3113,Anthracoceros montani,OR,BUCEROTIFORMES,Bucerotidae,黑嘴斑犀鸟
3114,Anthracoceros malayanus,OR,BUCEROTIFORMES,Bucerotidae,黑斑犀鸟
3115,Ocyceros griseus,OR,BUCEROTIFORMES,Bucerotidae,印度灰犀鸟
3116,Ocyceros gingalensis,OR,BUCEROTIFORMES,Bucerotidae,斯里兰卡灰犀鸟
3117,Ocyceros birostris,OR,BUCEROTIFORMES,Bucerotidae,灰犀鸟
3118,Anorrhinus tickelli,OR,BUCEROTIFORMES,Bucerotidae,锈颊犀鸟
3119,Anorrhinus austeni,OR,BUCEROTIFORMES,Bucerotidae,白喉犀鸟
3120,Anorrhinus galeritus,OR,BUCEROTIFORMES,Bucerotidae,凤头犀鸟
3121,Aceros nipalensis,OR,BUCEROTIFORMES,Bucerotidae,棕颈犀鸟
3122,Rhyticeros plicatus,AU,BUCEROTIFORMES,Bucerotidae,蓝喉皱盔犀鸟
3123,Rhyticeros narcondami,OR,BUCEROTIFORMES,Bucerotidae,拿岛皱盔犀鸟
3124,Rhyticeros undulatus,OR,BUCEROTIFORMES,Bucerotidae,花冠皱盔犀鸟
3125,Rhyticeros everetti,AU,BUCEROTIFORMES,Bucerotidae,松巴皱盔犀鸟
3126,Rhyticeros subruficollis,OR,BUCEROTIFORMES,Bucerotidae,淡喉皱盔犀鸟
3127,Rhyticeros cassidix,AU,BUCEROTIFORMES,Bucerotidae,苏拉皱盔犀鸟
3128,Rhabdotorrhinus waldeni,OR,BUCEROTIFORMES,Bucerotidae,红头犀鸟
3129,Rhabdotorrhinus leucocephalus,OR,BUCEROTIFORMES,Bucerotidae,白头犀鸟
3130,Rhabdotorrhinus exarhatus,AU,BUCEROTIFORMES,Bucerotidae,白颊犀鸟
3131,Rhabdotorrhinus corrugatus,OR,BUCEROTIFORMES,Bucerotidae,皱盔犀鸟
3132,Penelopides manillae,OR,BUCEROTIFORMES,Bucerotidae,吕宋犀鸟
3133,Penelopides mindorensis,OR,BUCEROTIFORMES,Bucerotidae,民岛犀鸟
3134,Penelopides affinis,OR,BUCEROTIFORMES,Bucerotidae,棉岛犀鸟
3135,Penelopides samarensis,OR,BUCEROTIFORMES,Bucerotidae,萨岛犀鸟
3136,Penelopides panini,OR,BUCEROTIFORMES,Bucerotidae,棕尾犀鸟
3137,Coracias naevius,AF,CORACIIFORMES,Coraciidae,棕顶佛法僧
3138,Coracias benghalensis,PAL,CORACIIFORMES,Coraciidae,西棕胸佛法僧
3139,Coracias affinis,OR,CORACIIFORMES,Coraciidae,棕胸佛法僧
3140,Coracias temminckii,AU,CORACIIFORMES,Coraciidae,紫翅佛法僧
3141,Coracias spatulatus,AF,CORACIIFORMES,Coraciidae,扇尾佛法僧
3142,Coracias caudatus,AF,CORACIIFORMES,Coraciidae,紫胸佛法僧
3143,Coracias abyssinicus,AF,CORACIIFORMES,Coraciidae,蓝头佛法僧
3144,Coracias garrulus,PAL,CORACIIFORMES,Coraciidae,蓝胸佛法僧
3145,Coracias cyanogaster,AF,CORACIIFORMES,Coraciidae,蓝腹佛法僧
3146,Eurystomus gularis,AF,CORACIIFORMES,Coraciidae,蓝喉三宝鸟
3147,Eurystomus glaucurus,AF,CORACIIFORMES,Coraciidae,阔嘴三宝鸟
3148,Eurystomus orientalis,"PAL, OR, AU",CORACIIFORMES,Coraciidae,三宝鸟
3149,Eurystomus azureus,AU,CORACIIFORMES,Coraciidae,翠蓝三宝鸟
3150,Brachypteracias leptosomus,AF,CORACIIFORMES,Brachypteraciidae,短腿地三宝鸟
3151,Geobiastes squamiger,AF,CORACIIFORMES,Brachypteraciidae,鳞斑地三宝鸟
3152,Atelornis pittoides,AF,CORACIIFORMES,Brachypteraciidae,地三宝鸟
3153,Atelornis crossleyi,AF,CORACIIFORMES,Brachypteraciidae,栗头地三宝鸟
3154,Uratelornis chimaera,AF,CORACIIFORMES,Brachypteraciidae,长尾地三宝鸟
3155,Actenoides monachus,AU,CORACIIFORMES,Alcedinidae,绿背翡翠
3156,Actenoides princeps,AU,CORACIIFORMES,Alcedinidae,斑头翡翠
3157,Actenoides bougainvillei,AU,CORACIIFORMES,Alcedinidae,须翡翠
3158,Actenoides lindsayi,OR,CORACIIFORMES,Alcedinidae,斑林翡翠
3159,Actenoides hombroni,OR,CORACIIFORMES,Alcedinidae,蓝顶翡翠
3160,Actenoides concretus,OR,CORACIIFORMES,Alcedinidae,栗领翡翠
3161,Melidora macrorrhina,AU,CORACIIFORMES,Alcedinidae,钩嘴翠鸟
3162,Lacedo pulchella,OR,CORACIIFORMES,Alcedinidae,横斑翠鸟
3163,Tanysiptera galatea,AU,CORACIIFORMES,Alcedinidae,普通仙翡翠
3164,Tanysiptera ellioti,AU,CORACIIFORMES,Alcedinidae,黑翅仙翡翠
3165,Tanysiptera riedelii,AU,CORACIIFORMES,Alcedinidae,比岛仙翡翠
3166,Tanysiptera carolinae,AU,CORACIIFORMES,Alcedinidae,蓝仙翡翠
3167,Tanysiptera hydrocharis,AU,CORACIIFORMES,Alcedinidae,阿鲁仙翡翠
3168,Tanysiptera sylvia,AU,CORACIIFORMES,Alcedinidae,白尾仙翡翠
3169,Tanysiptera nigriceps,AU,CORACIIFORMES,Alcedinidae,黑冠仙翡翠
3170,Tanysiptera nympha,AU,CORACIIFORMES,Alcedinidae,粉胸仙翡翠
3171,Tanysiptera danae,AU,CORACIIFORMES,Alcedinidae,褐背仙翡翠
3172,Cittura cyanotis,AU,CORACIIFORMES,Alcedinidae,苏拉蓝耳翠鸟
3173,Cittura sanghirensis,AU,CORACIIFORMES,Alcedinidae,桑岛蓝耳翠鸟
3174,Dacelo rex,AU,CORACIIFORMES,Alcedinidae,铲嘴翠鸟
3175,Dacelo tyro,AU,CORACIIFORMES,Alcedinidae,披肩笑翠鸟
3176,Dacelo gaudichaud,AU,CORACIIFORMES,Alcedinidae,棕腹笑翠鸟
3177,Dacelo novaeguineae,AU,CORACIIFORMES,Alcedinidae,笑翠鸟
3178,Dacelo leachii,AU,CORACIIFORMES,Alcedinidae,蓝翅笑翠鸟
3179,Caridonax fulgidus,AU,CORACIIFORMES,Alcedinidae,白腰翡翠
3180,Pelargopsis capensis,OR,CORACIIFORMES,Alcedinidae,鹳嘴翡翠
3181,Pelargopsis melanorhyncha,AU,CORACIIFORMES,Alcedinidae,大嘴翡翠
3182,Pelargopsis amauroptera,OR,CORACIIFORMES,Alcedinidae,褐翅翡翠
3183,Halcyon coromanda,"OR, AU",CORACIIFORMES,Alcedinidae,赤翡翠
3184,Halcyon smyrnensis,OR,CORACIIFORMES,Alcedinidae,白胸翡翠
3185,Halcyon gularis,OR,CORACIIFORMES,Alcedinidae,褐胸翡翠
3186,Halcyon cyanoventris,OR,CORACIIFORMES,Alcedinidae,爪哇翡翠
3187,Halcyon badia,AF,CORACIIFORMES,Alcedinidae,栗背翡翠
3188,Halcyon pileata,OR,CORACIIFORMES,Alcedinidae,蓝翡翠
3189,Halcyon leucocephala,AF,CORACIIFORMES,Alcedinidae,灰头翡翠
3190,Halcyon albiventris,AF,CORACIIFORMES,Alcedinidae,褐头翡翠
3191,Halcyon chelicuti,AF,CORACIIFORMES,Alcedinidae,斑翡翠
3192,Halcyon malimbica,AF,CORACIIFORMES,Alcedinidae,蓝胸翡翠
3193,Halcyon senegalensis,AF,CORACIIFORMES,Alcedinidae,非洲林翡翠
3194,Halcyon senegaloides,AF,CORACIIFORMES,Alcedinidae,红树林翡翠
3195,Todiramphus nigrocyaneus,AU,CORACIIFORMES,Alcedinidae,蓝黑翡翠
3196,Todiramphus winchelli,OR,CORACIIFORMES,Alcedinidae,菲律宾翡翠
3197,Todiramphus diops,AU,CORACIIFORMES,Alcedinidae,摩鹿加翡翠
3198,Todiramphus lazuli,AU,CORACIIFORMES,Alcedinidae,南摩鹿加翡翠
3199,Todiramphus macleayii,AU,CORACIIFORMES,Alcedinidae,林翡翠
3200,Todiramphus albonotatus,AU,CORACIIFORMES,Alcedinidae,白背翡翠
3201,Todiramphus leucopygius,AU,CORACIIFORMES,Alcedinidae,深蓝翡翠
3202,Todiramphus farquhari,AU,CORACIIFORMES,Alcedinidae,栗腹翡翠
3203,Todiramphus funebris,AU,CORACIIFORMES,Alcedinidae,淡黑翡翠
3204,Todiramphus chloris,"OR, AU",CORACIIFORMES,Alcedinidae,白领翡翠
3205,Todiramphus sordidus,AU,CORACIIFORMES,Alcedinidae,托列斯翡翠
3206,Todiramphus colonus,AU,CORACIIFORMES,Alcedinidae,小岛翡翠
3207,Todiramphus albicilla,PO,CORACIIFORMES,Alcedinidae,马里亚纳翡翠
3208,Todiramphus tristrami,AU,CORACIIFORMES,Alcedinidae,美岛翡翠
3209,Todiramphus sacer,"AU, PO",CORACIIFORMES,Alcedinidae,太平洋翡翠
3210,Todiramphus enigma,AU,CORACIIFORMES,Alcedinidae,暗色翡翠
3211,Todiramphus cinnamominus,PO,CORACIIFORMES,Alcedinidae,桂红翡翠
3212,Todiramphus pelewensis,PO,CORACIIFORMES,Alcedinidae,锈顶翡翠
3213,Todiramphus reichenbachii,PO,CORACIIFORMES,Alcedinidae,波岛翡翠
3214,Todiramphus saurophagus,AU,CORACIIFORMES,Alcedinidae,白头翡翠
3215,Todiramphus sanctus,"OR, AU",CORACIIFORMES,Alcedinidae,白眉翡翠
3216,Todiramphus recurvirostris,PO,CORACIIFORMES,Alcedinidae,扁嘴翡翠
3217,Todiramphus australasia,AU,CORACIIFORMES,Alcedinidae,冠翡翠
3218,Todiramphus tutus,PO,CORACIIFORMES,Alcedinidae,博拉翡翠
3219,Todiramphus ruficollaris,PO,CORACIIFORMES,Alcedinidae,库克岛翡翠
3220,Todiramphus veneratus,PO,CORACIIFORMES,Alcedinidae,塔希提翡翠
3221,Todiramphus gertrudae,PO,CORACIIFORMES,Alcedinidae,尼澳岛翡翠
3222,Todiramphus godeffroyi,PO,CORACIIFORMES,Alcedinidae,马克岛翡翠
3223,Todiramphus pyrrhopygius,AU,CORACIIFORMES,Alcedinidae,红背翡翠
3224,Syma torotoro,AU,CORACIIFORMES,Alcedinidae,黄嘴翡翠
3225,Syma megarhyncha,AU,CORACIIFORMES,Alcedinidae,山黄嘴翡翠
3226,Ispidina lecontei,AF,CORACIIFORMES,Alcedinidae,红头小翠鸟
3227,Ispidina picta,AF,CORACIIFORMES,Alcedinidae,粉颊小翠鸟
3228,Corythornis madagascariensis,AF,CORACIIFORMES,Alcedinidae,马岛小翠鸟
3229,Corythornis leucogaster,AF,CORACIIFORMES,Alcedinidae,白腹翠鸟
3230,Corythornis cristatus,AF,CORACIIFORMES,Alcedinidae,冠翠鸟
3231,Corythornis vintsioides,AF,CORACIIFORMES,Alcedinidae,马岛翠鸟
3232,Alcedo coerulescens,"OR, AU",CORACIIFORMES,Alcedinidae,小蓝翠鸟
3233,Alcedo peninsulae,OR,CORACIIFORMES,Alcedinidae,马来蓝带翠鸟
3234,Alcedo euryzona,OR,CORACIIFORMES,Alcedinidae,蓝带翠鸟
3235,Alcedo quadribrachys,AF,CORACIIFORMES,Alcedinidae,亮蓝翠鸟
3236,Alcedo meninting,"OR, AU",CORACIIFORMES,Alcedinidae,蓝耳翠鸟
3237,Alcedo atthis,"PAL, OR, AU",CORACIIFORMES,Alcedinidae,普通翠鸟
3238,Alcedo semitorquata,AF,CORACIIFORMES,Alcedinidae,半领翠鸟
3239,Alcedo hercules,OR,CORACIIFORMES,Alcedinidae,斑头大翠鸟
3240,Ceyx erithaca,OR,CORACIIFORMES,Alcedinidae,三趾翠鸟
3241,Ceyx melanurus,OR,CORACIIFORMES,Alcedinidae,菲律宾三趾翠鸟
3242,Ceyx sangirensis,AU,CORACIIFORMES,Alcedinidae,桑岛小三趾翠鸟
3243,Ceyx fallax,AU,CORACIIFORMES,Alcedinidae,小三趾翠鸟
3244,Ceyx lepidus,AU,CORACIIFORMES,Alcedinidae,摩鹿加三趾翠鸟
3245,Ceyx margarethae,OR,CORACIIFORMES,Alcedinidae,双色三趾翠鸟
3246,Ceyx wallacii,AU,CORACIIFORMES,Alcedinidae,苏拉三趾翠鸟
3247,Ceyx cajeli,AU,CORACIIFORMES,Alcedinidae,布鲁三趾翠鸟
3248,Ceyx solitarius,AU,CORACIIFORMES,Alcedinidae,巴布亚三趾翠鸟
3249,Ceyx dispar,AU,CORACIIFORMES,Alcedinidae,马努斯三趾翠鸟
3250,Ceyx mulcatus,AU,CORACIIFORMES,Alcedinidae,新爱岛三趾翠鸟
3251,Ceyx sacerdotis,AU,CORACIIFORMES,Alcedinidae,新英岛三趾翠鸟
3252,Ceyx meeki,AU,CORACIIFORMES,Alcedinidae,所罗门三趾翠鸟
3253,Ceyx collectoris,AU,CORACIIFORMES,Alcedinidae,新乔岛三趾翠鸟
3254,Ceyx nigromaxilla,AU,CORACIIFORMES,Alcedinidae,瓜岛三趾翠鸟
3255,Ceyx gentianus,AU,CORACIIFORMES,Alcedinidae,马基拉三趾翠鸟
3256,Ceyx cyanopectus,OR,CORACIIFORMES,Alcedinidae,蓝胸翠鸟
3257,Ceyx argentatus,OR,CORACIIFORMES,Alcedinidae,银翠鸟
3258,Ceyx flumenicola,OR,CORACIIFORMES,Alcedinidae,北银翠鸟
3259,Ceyx azureus,AU,CORACIIFORMES,Alcedinidae,蓝翠鸟
3260,Ceyx websteri,AU,CORACIIFORMES,Alcedinidae,俾岛翠鸟
3261,Ceyx pusillus,AU,CORACIIFORMES,Alcedinidae,小翠鸟
3262,Chloroceryle amazona,"MA, SA",CORACIIFORMES,Alcedinidae,亚马逊绿鱼狗
3263,Chloroceryle aenea,"MA, SA",CORACIIFORMES,Alcedinidae,侏绿鱼狗
3264,Chloroceryle americana,"NA, MA, SA",CORACIIFORMES,Alcedinidae,绿鱼狗
3265,Chloroceryle inda,"MA, SA",CORACIIFORMES,Alcedinidae,棕腹绿鱼狗
3266,Megaceryle lugubris,"OR, PAL",CORACIIFORMES,Alcedinidae,冠鱼狗
3267,Megaceryle maxima,AF,CORACIIFORMES,Alcedinidae,大鱼狗
3268,Megaceryle torquata,"NA, MA, SA",CORACIIFORMES,Alcedinidae,棕腹鱼狗
3269,Ceryle rudis,"AF, OR",CORACIIFORMES,Alcedinidae,斑鱼狗
3270,Hylomanes momotula,"MA, SA",CORACIIFORMES,Momotidae,短尾翠鴗
3271,Aspatha gularis,MA,CORACIIFORMES,Momotidae,蓝喉翠鴗
3272,Momotus mexicanus,MA,CORACIIFORMES,Momotidae,锈顶翠鴗
3273,Momotus coeruliceps,MA,CORACIIFORMES,Momotidae,蓝顶翠鴗
3274,Momotus lessonii,MA,CORACIIFORMES,Momotidae,雷氏翠鴗
3275,Momotus subrufescens,"MA, SA",CORACIIFORMES,Momotidae,叫翠鴗
3276,Momotus bahamensis,SA,CORACIIFORMES,Momotidae,特岛翠鴗
3277,Momotus momota,SA,CORACIIFORMES,Momotidae,亚马逊翠鴗
3278,Momotus aequatorialis,SA,CORACIIFORMES,Momotidae,高原翠鴗
3279,Baryphthengus martii,"MA, SA",CORACIIFORMES,Momotidae,棕翠鴗
3280,Baryphthengus ruficapillus,SA,CORACIIFORMES,Momotidae,棕顶翠鴗
3281,Electron carinatum,MA,CORACIIFORMES,Momotidae,隆嘴翠鴗
3282,Electron platyrhynchum,"MA, SA",CORACIIFORMES,Momotidae,阔嘴翠鴗
3283,Eumomota superciliosa,MA,CORACIIFORMES,Momotidae,绿眉翠鴗
3284,Nyctyornis amictus,OR,CORACIIFORMES,Meropidae,赤须夜蜂虎
3285,Nyctyornis athertoni,OR,CORACIIFORMES,Meropidae,蓝须夜蜂虎
3286,Meropogon forsteni,AU,CORACIIFORMES,Meropidae,须蜂虎
3287,Merops breweri,AF,CORACIIFORMES,Meropidae,黑头蜂虎
3288,Merops muelleri,AF,CORACIIFORMES,Meropidae,蓝头蜂虎
3289,Merops mentalis,AF,CORACIIFORMES,Meropidae,蓝须蜂虎
3290,Merops gularis,AF,CORACIIFORMES,Meropidae,黑蜂虎
3291,Merops hirundineus,AF,CORACIIFORMES,Meropidae,燕尾蜂虎
3292,Merops pusillus,AF,CORACIIFORMES,Meropidae,小蜂虎
3293,Merops variegatus,AF,CORACIIFORMES,Meropidae,蓝胸蜂虎
3294,Merops lafresnayii,AF,CORACIIFORMES,Meropidae,埃塞俄比亚蜂虎
3295,Merops oreobates,AF,CORACIIFORMES,Meropidae,红胸蜂虎
3296,Merops bulocki,AF,CORACIIFORMES,Meropidae,赤喉蜂虎
3297,Merops bullockoides,AF,CORACIIFORMES,Meropidae,白额蜂虎
3298,Merops revoilii,AF,CORACIIFORMES,Meropidae,索马里蜂虎
3299,Merops albicollis,AF,CORACIIFORMES,Meropidae,白喉蜂虎
3300,Merops boehmi,AF,CORACIIFORMES,Meropidae,蓝领蜂虎
3301,Merops viridissimus,AF,CORACIIFORMES,Meropidae,非洲绿喉蜂虎
3302,Merops cyanophrys,PAL,CORACIIFORMES,Meropidae,阿拉伯绿喉蜂虎
3303,Merops orientalis,"PAL, OR",CORACIIFORMES,Meropidae,绿喉蜂虎
3304,Merops persicus,PAL,CORACIIFORMES,Meropidae,蓝颊蜂虎
3305,Merops superciliosus,AF,CORACIIFORMES,Meropidae,马岛蜂虎
3306,Merops philippinus,"OR, AU",CORACIIFORMES,Meropidae,栗喉蜂虎
3307,Merops ornatus,AU,CORACIIFORMES,Meropidae,彩虹蜂虎
3308,Merops viridis,OR,CORACIIFORMES,Meropidae,蓝喉蜂虎
3309,Merops americanus,OR,CORACIIFORMES,Meropidae,棕冠蜂虎
3310,Merops leschenaulti,OR,CORACIIFORMES,Meropidae,栗头蜂虎
3311,Merops apiaster,"PAL, AF",CORACIIFORMES,Meropidae,黄喉蜂虎
3312,Merops malimbicus,AF,CORACIIFORMES,Meropidae,粉蜂虎
3313,Merops nubicus,AF,CORACIIFORMES,Meropidae,红蜂虎
3314,Merops nubicoides,AF,CORACIIFORMES,Meropidae,南红蜂虎
3315,Galbalcyrhynchus leucotis,SA,PICIFORMES,Galbulidae,白耳鹟䴕
3316,Galbalcyrhynchus purusianus,SA,PICIFORMES,Galbulidae,栗鹟䴕
3317,Brachygalba salmoni,"MA, SA",PICIFORMES,Galbulidae,乌背鹟䴕
3318,Brachygalba goeringi,SA,PICIFORMES,Galbulidae,苍头鹟䴕
3319,Brachygalba lugubris,SA,PICIFORMES,Galbulidae,褐鹟䴕
3320,Brachygalba albogularis,SA,PICIFORMES,Galbulidae,白喉鹟䴕
3321,Jacamaralcyon tridactyla,SA,PICIFORMES,Galbulidae,三趾鹟䴕
3322,Galbula albirostris,SA,PICIFORMES,Galbulidae,黄嘴鹟䴕
3323,Galbula cyanicollis,SA,PICIFORMES,Galbulidae,蓝颈鹟䴕
3324,Galbula ruficauda,"MA, SA",PICIFORMES,Galbulidae,棕尾鹟䴕
3325,Galbula galbula,SA,PICIFORMES,Galbulidae,绿尾鹟䴕
3326,Galbula pastazae,SA,PICIFORMES,Galbulidae,铜胸鹟䴕
3327,Galbula tombacea,SA,PICIFORMES,Galbulidae,白颏鹟䴕
3328,Galbula cyanescens,SA,PICIFORMES,Galbulidae,蓝额鹟䴕
3329,Galbula chalcothorax,SA,PICIFORMES,Galbulidae,紫鹟䴕
3330,Galbula leucogastra,SA,PICIFORMES,Galbulidae,铜色鹟䴕
3331,Galbula dea,SA,PICIFORMES,Galbulidae,黑腹鹟䴕
3332,Jacamerops aureus,"MA, SA",PICIFORMES,Galbulidae,大鹟䴕
3333,Notharchus hyperrhynchus,"MA, SA",PICIFORMES,Bucconidae,白颈蓬头䴕
3334,Notharchus macrorhynchos,SA,PICIFORMES,Bucconidae,圭亚那蓬头䴕
3335,Notharchus swainsoni,SA,PICIFORMES,Bucconidae,黄腹蓬头䴕
3336,Notharchus pectoralis,"MA, SA",PICIFORMES,Bucconidae,黑胸蓬头䴕
3337,Notharchus ordii,SA,PICIFORMES,Bucconidae,褐斑蓬头䴕
3338,Notharchus tectus,"MA, SA",PICIFORMES,Bucconidae,丽色蓬头䴕
3339,Bucco macrodactylus,SA,PICIFORMES,Bucconidae,栗顶蓬头䴕
3340,Bucco tamatia,SA,PICIFORMES,Bucconidae,斑蓬头䴕
3341,Bucco noanamae,SA,PICIFORMES,Bucconidae,乌顶蓬头䴕
3342,Bucco capensis,SA,PICIFORMES,Bucconidae,领蓬头䴕
3343,Nystalus radiatus,"MA, SA",PICIFORMES,Bucconidae,横斑蓬头䴕
3344,Nystalus chacuru,SA,PICIFORMES,Bucconidae,白耳蓬头䴕
3345,Nystalus striolatus,SA,PICIFORMES,Bucconidae,条纹蓬头䴕
3346,Nystalus obamai,SA,PICIFORMES,Bucconidae,西条纹蓬头䴕
3347,Nystalus maculatus,SA,PICIFORMES,Bucconidae,斑背蓬头䴕
