,IOC,Breeding Range,Order,Family,Norwegian
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,keisergås
78,Anser anser,PAL,ANSERIFORMES,Anatidae,grågås
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,svanegås
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,sædgås
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,kortnebbgås
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,tundrasædgås
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,tundragås
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,dverggås
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,coscorobasvane
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,svartsvane
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,svarthalssvane
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,knoppsvane
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,dvergsvane
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,sangsvane
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,fregneand
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,kaskadeand
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,patagoniaskovleand
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,chileskovleand
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,falklandsskovleand
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,hvithodeskovleand
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,strømand
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,sporegås
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,kjølnebband
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,kamand
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,blåvingegås
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,niland
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,amazongås
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,andesgås
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,sebragås
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,taregås
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,gråhodegås
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,brunhodegås
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,beltegravand
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,gravand
