,IOC,Breeding Range,Order,Family,Czech
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,husa tibetská
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,husa císařská
78,Anser anser,PAL,ANSERIFORMES,Anatidae,husa velká
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,husa labutí
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,husa polní
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,husa krátkozobá
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,husa tundrová
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,husa běločelá
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,husa malá
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,labuť koskoroba
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,labuť černá
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,labuť černokrká
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,labuť velká
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,labuť malá
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,labuť zpěvná
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,kachnovec vlnkovaný
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,kachna měkkozobá
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,kachyně patagonská
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,kachyně parníková
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,kachyně krátkokřídlá
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,kachyně bělohlavá
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,kachna bystřinná
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,pižmovka ostruhatá
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,pižmovka černoboká
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,pižmovka hřebenatá
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,husice modrokřídlá
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,husice nilská
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,husice orinocká
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,husice andská
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,husice magellanská
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,husice patagonská
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,husice rudoprsá
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,husice rezavohlavá
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,husice bělohlavá
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,husice liščí
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,husice rezavá
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,husice šedohlavá
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,husice australská
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,husice rajská
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,lžičák širokozobý
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,kachna krahujková
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,pižmovka americká
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,pižmovka bělokřídlá
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,pižmovka konžská
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,kachnička mandarínská
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,kachnička hřívnatá
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,kachnička pestrá
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,kachnička obojková
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,kachnička vlnkovaná
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,kachnička brazilská
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,kachnička šedoboká
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,kachna vlasatá
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,kachna bronzovokřídlá
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,čírka sibiřská
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,čírka modrá
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,čírka tečkovaná
132,Spatula puna,SA,ANSERIFORMES,Anatidae,čírka punová
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,čírka modrozobá
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,lžičák tečkovaný
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,čírka skořicová
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,lžičák kapský
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,lžičák australský
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,lžičák pestrý
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,kopřivka obecná
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,čírka srpoperá
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,hvízdák eurasijský
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,hvízdák chilský
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,kachna temná
144,Anas undulata,AF,ANSERIFORMES,Anatidae,kachna žlutozobá
145,Anas melleri,AF,ANSERIFORMES,Anatidae,kachna madagaskarská
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,kachna pruhohlavá
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,kachna laysanská
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,kachna havajská
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,kachna filipínská
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,kachna skvrnozobá
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,kachna čínská
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,kachna divoká
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,kachna mexická
154,Anas capensis,AF,ANSERIFORMES,Anatidae,čírka popelavá
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,ostralka bělolící
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,ostralka rudozobá
157,Anas georgica,SA,ANSERIFORMES,Anatidae,ostralka žlutozobá
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,ostralka kerguelenská
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,ostralka štíhlá
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,čírka obecná
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,čírka kropenatá
162,Anas andium,SA,ANSERIFORMES,Anatidae,čírka andská
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,čírka sundská
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,čírka andamanská
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,čírka bělohrdlá
166,Anas castanea,AU,ANSERIFORMES,Anatidae,čírka kaštanová
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,čírka malgašská
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,čírka novozélandská
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,čírka aucklandská
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,čírka campbellská
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,čírka úzkozobá
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,zrzohlávka rudozobá
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,zrzohlávka peposaka
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,zrzohlávka rudooká
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,polák velký
176,Aythya australis,AU,ANSERIFORMES,Anatidae,polák australský
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,polák madagaskarský
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,polák amurský
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,polák malý
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,polák novozélandský
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,polák chocholačka
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,polák kaholka
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,kajka bělohlavá
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,kajka brýlatá
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,kajka královská
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,kajka mořská
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,kačka strakatá
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,turpan hnědý
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,turpan sibiřský
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,turpan černý
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,turpan žlutozobý
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,hoholka lední
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,hohol severní
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,hohol islandský
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,morčák malý
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,morčák brazilský
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,morčák velký
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,morčák prostřední
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,morčák šupinatý
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,kachnice černohlavá
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,kachnice škrabošková
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,kachnice kaštanová
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,kachnice andská
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,kachnice argentinská
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,kachnice australská
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,kachnice africká
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,kachnice bělohlavá
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,kachnice laločnatá
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,tabon brunátný
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,tabon hřebenatý
