,IOC,Breeding Range,Order,Family,Russian
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Куриный гусь
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Чёрная казарка
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Краснозобая казарка
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Гавайская казарка
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Белощёкая казарка
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Горный гусь
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Белошей
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Серый гусь
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Сухонос
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Гуменник
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Короткоклювый гуменник
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Восточный тундровый гусь
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Белолобый гусь
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Пискулька
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Коскороба
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Чёрный лебедь
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Черношейный лебедь
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Лебедь-шипун
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Американский лебедь
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Лебедь-кликун
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Крапчатая утка
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Синяя утка
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Патагонская утка-пароход
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Магелланова утка-пароход
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Фолклендская утка-пароход
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Белоголовая утка-пароход
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Ручьевая утка
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Шпорцевый гусь
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Лесная утка
