,IOC,Breeding Range,Order,Family,Lithuanian
652,Collocalia linchi,OR,APODIFORMES,Apodidae,sumatrinė salangana
653,Collocalia natalis,IO,APODIFORMES,Apodidae,Christmas Swiftlet
654,Collocalia troglodytes,OR,APODIFORMES,Apodidae,mažoji salangana
655,Aerodramus elaphrus,IO,APODIFORMES,Apodidae,seišelinis erodramas
656,Aerodramus francicus,IO,APODIFORMES,Apodidae,mauricinis erodramas
657,Aerodramus unicolor,OR,APODIFORMES,Apodidae,indinis erodramas
658,Aerodramus mearnsi,OR,APODIFORMES,Apodidae,filipininis erodramas
659,Aerodramus infuscatus,AU,APODIFORMES,Apodidae,molukinis erodramas
660,Aerodramus sororum,AU,APODIFORMES,Apodidae,Sulawesi Swiftlet
661,Aerodramus ceramensis,AU,APODIFORMES,Apodidae,Seram Swiftlet
662,Aerodramus hirundinaceus,AU,APODIFORMES,Apodidae,kalninis erodramas
663,Aerodramus spodiopygius,"AU, PO",APODIFORMES,Apodidae,baltasturplis erodramas
664,Aerodramus terraereginae,AU,APODIFORMES,Apodidae,australinis erodramas
665,Aerodramus brevirostris,OR,APODIFORMES,Apodidae,himalajinis erodramas
666,Aerodramus vulcanorum,OR,APODIFORMES,Apodidae,vulkaninis erodramas
667,Aerodramus whiteheadi,OR,APODIFORMES,Apodidae,Vaithedo erodramas
668,Aerodramus nuditarsus,AU,APODIFORMES,Apodidae,plikakojis erodramas
669,Aerodramus orientalis,AU,APODIFORMES,Apodidae,rytinis erodramas
670,Aerodramus salangana,OR,APODIFORMES,Apodidae,sundinis erodramas
671,Aerodramus vanikorensis,AU,APODIFORMES,Apodidae,pilkasis erodramas
672,Aerodramus amelis,OR,APODIFORMES,Apodidae,Ameline Swiftlet
673,Aerodramus pelewensis,PO,APODIFORMES,Apodidae,palaujinis erodramas
674,Aerodramus bartschi,PO,APODIFORMES,Apodidae,guaminis erodramas
675,Aerodramus inquietus,PO,APODIFORMES,Apodidae,karolininis erodramas
676,Aerodramus leucophaeus,PO,APODIFORMES,Apodidae,polinezinis erodramas
677,Aerodramus sawtelli,PO,APODIFORMES,Apodidae,Kuko erodramas
678,Aerodramus ocistus,PO,APODIFORMES,Apodidae,markizinis erodramas
679,Aerodramus maximus,OR,APODIFORMES,Apodidae,didysis erodramas
680,Aerodramus fuciphagus,"OR, AU",APODIFORMES,Apodidae,Tunbergo erodramas
681,Aerodramus germani,OR,APODIFORMES,Apodidae,Germain's Swiftlet
682,Aerodramus papuensis,AU,APODIFORMES,Apodidae,papuasinis erodramas
683,Schoutedenapus myoptilus,AF,APODIFORMES,Apodidae,retasis afrikinis čiurlys
684,Mearnsia picina,OR,APODIFORMES,Apodidae,filipininė mearnsija
685,Mearnsia novaeguineae,AU,APODIFORMES,Apodidae,papuasinė mearnsija
686,Zoonavena grandidieri,AF,APODIFORMES,Apodidae,madagaskarinė zoonavena
687,Zoonavena thomensis,AF,APODIFORMES,Apodidae,santominė zoonavena
688,Zoonavena sylvatica,OR,APODIFORMES,Apodidae,indinė zoonavena
689,Telacanthura ussheri,AF,APODIFORMES,Apodidae,dėmėtagurklė telekantura
690,Telacanthura melanopygia,AF,APODIFORMES,Apodidae,juodoji telekantura
691,Rhaphidura leucopygialis,OR,APODIFORMES,Apodidae,baltasturplė rafidura
692,Rhaphidura sabini,AF,APODIFORMES,Apodidae,balinė rafidura
693,Neafrapus cassini,AF,APODIFORMES,Apodidae,Kasino neafrapas
694,Neafrapus boehmi,AF,APODIFORMES,Apodidae,Bomo neafrapas
695,Hirundapus caudacutus,PAL,APODIFORMES,Apodidae,baltagurklis hirundapas
696,Hirundapus cochinchinensis,OR,APODIFORMES,Apodidae,gelsvagurklis hirundapas
697,Hirundapus giganteus,OR,APODIFORMES,Apodidae,didysis hirundapas
698,Hirundapus celebensis,"OR, AU",APODIFORMES,Apodidae,sulavesinis hirundapas
699,Chaetura cinereiventris,"MA, SA",APODIFORMES,Apodidae,pilkasturplė chetura
700,Chaetura spinicaudus,"MA, SA",APODIFORMES,Apodidae,dryžauodegė chetura
701,Chaetura fumosa,"MA, SA",APODIFORMES,Apodidae,kostarikinė chetura
702,Chaetura egregia,SA,APODIFORMES,Apodidae,blyškiasturplė chetura
703,Chaetura vauxi,"NA, MA, SA",APODIFORMES,Apodidae,Vo chetura
704,Chaetura chapmani,"MA, SA",APODIFORMES,Apodidae,Čapmeno chetura
705,Chaetura andrei,SA,APODIFORMES,Apodidae,pilkauodegė chetura
706,Chaetura meridionalis,SA,APODIFORMES,Apodidae,Sikso chetura
707,Chaetura brachyura,"MA, SA",APODIFORMES,Apodidae,trumpauodegė chetura
708,Aeronautes saxatalis,"NA, MA",APODIFORMES,Apodidae,baltagurklis šeriuotakojis čiurlys
709,Aeronautes montivagus,SA,APODIFORMES,Apodidae,kalninis šeriuotakojis čiurlys
710,Aeronautes andecolus,SA,APODIFORMES,Apodidae,andinis šeriuotakojis čiurlys
711,Tachornis furcata,SA,APODIFORMES,Apodidae,Centrinės Amerikos čiurlelis
712,Tachornis squamata,SA,APODIFORMES,Apodidae,skeltauodegis čiurlelis
713,Panyptila sanctihieronymi,MA,APODIFORMES,Apodidae,didysis skeltauodegis čiurlys
714,Panyptila cayennensis,"MA, SA",APODIFORMES,Apodidae,mažasis skeltauodegis čiurlys
715,Cypsiurus parvus,AF,APODIFORMES,Apodidae,afrikinis palminis čiurlys
716,Cypsiurus gracilis,AF,APODIFORMES,Apodidae,Malagasy Palm Swift
717,Cypsiurus balasiensis,OR,APODIFORMES,Apodidae,azijinis palminis čiurlys
718,Tachymarptis melba,"PAL, AF, OR",APODIFORMES,Apodidae,baltapilvis alpinis čiurlys
719,Tachymarptis aequatorialis,AF,APODIFORMES,Apodidae,šeriuotasis alpinis čiurlys
720,Apus alexandri,AF,APODIFORMES,Apodidae,salinis čiurlys
721,Apus apus,PAL,APODIFORMES,Apodidae,juodasis čiurlys
722,Apus unicolor,AF,APODIFORMES,Apodidae,vienaspalvis čiurlys
723,Apus niansae,AF,APODIFORMES,Apodidae,rudasis čiurlys
724,Apus pallidus,"PAL, AF",APODIFORMES,Apodidae,blyškusis čiurlys
725,Apus barbatus,AF,APODIFORMES,Apodidae,afrikinis čiurlys
726,Apus balstoni,AF,APODIFORMES,Apodidae,madagaskarinis čiurlys
727,Apus sladeniae,AF,APODIFORMES,Apodidae,Fernando Po Swift
728,Apus berliozi,AF,APODIFORMES,Apodidae,Rytų Afrikos čiurlys
729,Apus bradfieldi,AF,APODIFORMES,Apodidae,Bredfildo čiurlys
730,Apus pacificus,PAL,APODIFORMES,Apodidae,rytinis čiurlys
731,Apus salimalii,PAL,APODIFORMES,Apodidae,Salim Ali's Swift
732,Apus leuconyx,"PAL, OR",APODIFORMES,Apodidae,Blyth's Swift
733,Apus cooki,OR,APODIFORMES,Apodidae,Cook's Swift
734,Apus acuticauda,OR,APODIFORMES,Apodidae,tamsiasturplis čiurlys
735,Apus affinis,"AF, OR",APODIFORMES,Apodidae,mažasis čiurlys
736,Apus nipalensis,OR,APODIFORMES,Apodidae,malajinis čiurlys
737,Apus horus,AF,APODIFORMES,Apodidae,etiopinis čiurlys
738,Apus caffer,AF,APODIFORMES,Apodidae,baltasturplis čiurlys
739,Apus batesi,AF,APODIFORMES,Apodidae,Beitso čiurlys
740,Topaza pella,SA,APODIFORMES,Trochilidae,topazinis kolibris
741,Topaza pyra,SA,APODIFORMES,Trochilidae,Fiery Topaz
742,Florisuga mellivora,"MA, SA",APODIFORMES,Trochilidae,baltakaklis jakobinas
743,Florisuga fusca,SA,APODIFORMES,Trochilidae,juodasis jakobinas
744,Eutoxeres aquila,"MA, SA",APODIFORMES,Trochilidae,paprastasis kabliasnapis
745,Eutoxeres condamini,SA,APODIFORMES,Trochilidae,geltonuodegis kabliasnapis
746,Ramphodon naevius,SA,APODIFORMES,Trochilidae,dančiasnapis ramfodonas
747,Glaucis dohrnii,SA,APODIFORMES,Trochilidae,aštriasnapis kolibris atsiskyrėlis
748,Glaucis aeneus,"MA, SA",APODIFORMES,Trochilidae,bronzinis kolibris atsiskyrėlis
749,Glaucis hirsutus,"MA, SA",APODIFORMES,Trochilidae,plaukuotasis kolibris atsiskyrėlis
750,Threnetes ruckeri,"MA, SA",APODIFORMES,Trochilidae,dryžauodegis barzdotasis kolibris
751,Threnetes leucurus,SA,APODIFORMES,Trochilidae,Pale-tailed Barbthroat
752,Threnetes niger,SA,APODIFORMES,Trochilidae,juosvasis barzdotasis kolibris
753,Anopetia gounellei,SA,APODIFORMES,Trochilidae,brazilinis plačiauodegis kolibris
754,Phaethornis squalidus,SA,APODIFORMES,Trochilidae,tamsiagurklis saulėtasis kolibris
755,Phaethornis rupurumii,SA,APODIFORMES,Trochilidae,raibagurklis saulėtasis kolibris
756,Phaethornis longuemareus,SA,APODIFORMES,Trochilidae,nykštukinis saulėtasis kolibris
757,Phaethornis aethopygus,SA,APODIFORMES,Trochilidae,tapajosinis saulėtasis kolibris
758,Phaethornis idaliae,SA,APODIFORMES,Trochilidae,mažasis saulėtasis kolibris
759,Phaethornis nattereri,SA,APODIFORMES,Trochilidae,rudagurklis saulėtasis kolibris
760,Phaethornis atrimentalis,SA,APODIFORMES,Trochilidae,juodagurklis saulėtasis kolibris
761,Phaethornis striigularis,"MA, SA",APODIFORMES,Trochilidae,dryžagurklis saulėtasis kolibris
762,Phaethornis griseogularis,SA,APODIFORMES,Trochilidae,pilkasmakris saulėtasis kolibris
763,Phaethornis ruber,SA,APODIFORMES,Trochilidae,rausvasis saulėtasis kolibris
764,Phaethornis stuarti,SA,APODIFORMES,Trochilidae,baltabruvis saulėtasis kolibris
765,Phaethornis subochraceus,SA,APODIFORMES,Trochilidae,Todo saulėtasis kolibris
766,Phaethornis augusti,SA,APODIFORMES,Trochilidae,pilkakepuris saulėtasis kolibris
767,Phaethornis pretrei,SA,APODIFORMES,Trochilidae,Pretro saulėtasis kolibris
768,Phaethornis eurynome,SA,APODIFORMES,Trochilidae,žvynuotagurklis saulėtasis kolibris
769,Phaethornis anthophilus,"MA, SA",APODIFORMES,Trochilidae,blyškiapilvis saulėtasis kolibris
770,Phaethornis hispidus,SA,APODIFORMES,Trochilidae,baltabarzdis saulėtasis kolibris
771,Phaethornis yaruqui,SA,APODIFORMES,Trochilidae,ūsuotasis saulėtasis kolibris
772,Phaethornis guy,"MA, SA",APODIFORMES,Trochilidae,žaliasis saulėtasis kolibris
773,Phaethornis syrmatophorus,SA,APODIFORMES,Trochilidae,rudapilvis saulėtasis kolibris
774,Phaethornis koepckeae,SA,APODIFORMES,Trochilidae,andinis saulėtasis kolibris
775,Phaethornis philippii,SA,APODIFORMES,Trochilidae,plonasnapis saulėtasis kolibris
776,Phaethornis bourcieri,SA,APODIFORMES,Trochilidae,tiesiasnapis saulėtasis kolibris
777,Phaethornis mexicanus,MA,APODIFORMES,Trochilidae,Mexican Hermit
778,Phaethornis longirostris,"MA, SA",APODIFORMES,Trochilidae,vakarinis saulėtasis kolibris
779,Phaethornis superciliosus,SA,APODIFORMES,Trochilidae,rytinis saulėtasis kolibris
780,Phaethornis malaris,SA,APODIFORMES,Trochilidae,didžiasnapis saulėtasis kolibris
781,Doryfera ludovicae,"MA, SA",APODIFORMES,Trochilidae,žaliakaktis iečiasnapis kolibris
782,Doryfera johannae,SA,APODIFORMES,Trochilidae,mėlynkaktis iečiasnapis kolibris
783,Schistes albogularis,SA,APODIFORMES,Trochilidae,White-throated Daggerbill
784,Schistes geoffroyi,SA,APODIFORMES,Trochilidae,mėlynuodegis kapucinas
785,Augastes scutatus,SA,APODIFORMES,Trochilidae,hiacintinis kapucinas
786,Augastes lumachella,SA,APODIFORMES,Trochilidae,kaukėtasis kapucinas
787,Colibri delphinae,"MA, SA",APODIFORMES,Trochilidae,rudasis kolibris
788,Colibri thalassinus,MA,APODIFORMES,Trochilidae,žaliasis kolibris
789,Colibri cyanotus,"MA, SA",APODIFORMES,Trochilidae,Lesser Violetear
790,Colibri coruscans,SA,APODIFORMES,Trochilidae,blizgusis kolibris
791,Colibri serrirostris,SA,APODIFORMES,Trochilidae,baltapilvis kolibris
792,Androdon aequatorialis,"MA, SA",APODIFORMES,Trochilidae,dantytasnapis kolibris
793,Heliactin bilophus,SA,APODIFORMES,Trochilidae,raguotasis kolibris
794,Heliothryx barroti,"MA, SA",APODIFORMES,Trochilidae,purpuragalvis ausytasis kolibris
795,Heliothryx auritus,SA,APODIFORMES,Trochilidae,paprastasis ausytasis kolibris
796,Polytmus guainumbi,SA,APODIFORMES,Trochilidae,baltauodegis auksagurklis kolibris
797,Polytmus milleri,SA,APODIFORMES,Trochilidae,tepujinis auksagurklis kolibris
798,Polytmus theresiae,SA,APODIFORMES,Trochilidae,žaliauodegis auksagurklis kolibris
799,Avocettula recurvirostris,SA,APODIFORMES,Trochilidae,juodapilvis mangas
800,Chrysolampis mosquitus,"MA, SA",APODIFORMES,Trochilidae,rubininis kolibris
801,Anthracothorax viridigula,SA,APODIFORMES,Trochilidae,žaliagurklis mangas
802,Anthracothorax prevostii,"MA, SA",APODIFORMES,Trochilidae,žaliakrūtis mangas
803,Anthracothorax veraguensis,MA,APODIFORMES,Trochilidae,veraguavinis mangas
804,Anthracothorax nigricollis,"MA, SA",APODIFORMES,Trochilidae,juodagurklis mangas
805,Heliangelus mavors,SA,APODIFORMES,Trochilidae,rusvagurklė nimfa
806,Heliangelus amethysticollis,SA,APODIFORMES,Trochilidae,violetagurklė nimfa
807,Heliangelus clarisse,SA,APODIFORMES,Trochilidae,kolumbinė nimfa
808,Heliangelus spencei,SA,APODIFORMES,Trochilidae,Merida Sunangel
809,Heliangelus strophianus,SA,APODIFORMES,Trochilidae,pilkapilvė nimfa
810,Heliangelus exortis,SA,APODIFORMES,Trochilidae,turmalininė nimfa
811,Heliangelus micraster,SA,APODIFORMES,Trochilidae,mažoji nimfa
812,Heliangelus viola,SA,APODIFORMES,Trochilidae,mėlynkaktė nimfa
813,Heliangelus regalis,SA,APODIFORMES,Trochilidae,karališkoji nimfa
814,Sephanoides sephaniodes,SA,APODIFORMES,Trochilidae,čilinis liepsnavainikis kolibris
815,Sephanoides fernandensis,SA,APODIFORMES,Trochilidae,salinis liepsnavainikis kolibris
816,Discosura conversii,"MA, SA",APODIFORMES,Trochilidae,žaliasis dygliauodegis kolibris
817,Discosura popelairii,SA,APODIFORMES,Trochilidae,aštriakuodis dygliauodegis kolibris
818,Discosura langsdorffi,SA,APODIFORMES,Trochilidae,juodapilvis dygliauodegis kolibris
819,Discosura letitiae,SA,APODIFORMES,Trochilidae,varinis dygliauodegis kolibris
820,Discosura longicaudus,SA,APODIFORMES,Trochilidae,paprastasis dygliauodegis kolibris
821,Lophornis ornatus,SA,APODIFORMES,Trochilidae,puikusis elfas
822,Lophornis gouldii,SA,APODIFORMES,Trochilidae,Guldo elfas
823,Lophornis magnificus,SA,APODIFORMES,Trochilidae,puošnusis elfas
824,Lophornis brachylophus,MA,APODIFORMES,Trochilidae,trumpakuodis elfas
825,Lophornis delattrei,"MA, SA",APODIFORMES,Trochilidae,rusvakuodis elfas
826,Lophornis stictolophus,SA,APODIFORMES,Trochilidae,kukutinis elfas
827,Lophornis chalybeus,SA,APODIFORMES,Trochilidae,linksmasis elfas
828,Lophornis verreauxii,SA,APODIFORMES,Trochilidae,Butterfly Coquette
829,Lophornis pavoninus,SA,APODIFORMES,Trochilidae,povinis elfas
830,Lophornis helenae,MA,APODIFORMES,Trochilidae,juodakuodis elfas
831,Lophornis adorabilis,MA,APODIFORMES,Trochilidae,baltakuodis elfas
832,Phlogophilus hemileucurus,SA,APODIFORMES,Trochilidae,ekvadorinis flogofilas
833,Phlogophilus harterti,SA,APODIFORMES,Trochilidae,peruvinis flogofilas
834,Adelomyia melanogenys,SA,APODIFORMES,Trochilidae,raibasis kolibris
835,Aglaiocercus kingii,SA,APODIFORMES,Trochilidae,ilgauodegis silfas
836,Aglaiocercus coelestis,SA,APODIFORMES,Trochilidae,violetinis silfas
837,Aglaiocercus berlepschi,SA,APODIFORMES,Trochilidae,venesuelinis silfas
838,Sappho sparganurus,SA,APODIFORMES,Trochilidae,rausvauodegė kometa
839,Polyonymus caroli,SA,APODIFORMES,Trochilidae,paprastoji kometa
840,Taphrolesbia griseiventris,SA,APODIFORMES,Trochilidae,pilkapilvis kolibris
841,Oreotrochilus estella,SA,APODIFORMES,Trochilidae,andinė kalnų žvaigždė
842,Oreotrochilus leucopleurus,SA,APODIFORMES,Trochilidae,baltašonė kalnų žvaigždė
843,Oreotrochilus chimborazo,SA,APODIFORMES,Trochilidae,ekvadorinė kalnų žvaigždė
844,Oreotrochilus cyanolaemus,SA,APODIFORMES,Trochilidae,Blue-throated Hillstar
845,Oreotrochilus stolzmanni,SA,APODIFORMES,Trochilidae,žaliagalvė kalnų žvaigždė
846,Oreotrochilus melanogaster,SA,APODIFORMES,Trochilidae,juodakrūtė kalnų žvaigždė
847,Oreotrochilus adela,SA,APODIFORMES,Trochilidae,pleištauodegė kalnų žvaigždė
848,Opisthoprora euryptera,SA,APODIFORMES,Trochilidae,plonasnapis kolibris
849,Lesbia victoriae,SA,APODIFORMES,Trochilidae,juodauodegė lesbija
850,Lesbia nuna,SA,APODIFORMES,Trochilidae,žaliauodegė lesbija
851,Ramphomicron dorsale,SA,APODIFORMES,Trochilidae,juodnugaris trumpasnapis kolibris
852,Ramphomicron microrhynchum,SA,APODIFORMES,Trochilidae,purpurinis trumpasnapis kolibris
853,Oreonympha nobilis,SA,APODIFORMES,Trochilidae,kalnų nimfa
854,Oxypogon stuebelii,SA,APODIFORMES,Trochilidae,Buffy Helmetcrest
855,Oxypogon cyanolaemus,SA,APODIFORMES,Trochilidae,Blue-bearded Helmetcrest
856,Oxypogon lindenii,SA,APODIFORMES,Trochilidae,White-bearded Helmetcrest
857,Oxypogon guerinii,SA,APODIFORMES,Trochilidae,šalminis kolibris
858,Chalcostigma heteropogon,SA,APODIFORMES,Trochilidae,bronzinis dygliasnapis kolibris
859,Chalcostigma herrani,SA,APODIFORMES,Trochilidae,vaivorykštinis dygliasnapis kolibris
860,Chalcostigma ruficeps,SA,APODIFORMES,Trochilidae,rusvakepuris dygliasnapis kolibris
861,Chalcostigma olivaceum,SA,APODIFORMES,Trochilidae,alyvinis dygliasnapis kolibris
862,Chalcostigma stanleyi,SA,APODIFORMES,Trochilidae,Stanlio dygliasnapis kolibris
863,Metallura tyrianthina,SA,APODIFORMES,Trochilidae,smaragdinė metalura
864,Metallura iracunda,SA,APODIFORMES,Trochilidae,auksinė metalura
865,Metallura williami,SA,APODIFORMES,Trochilidae,žalioji metalura
866,Metallura baroni,SA,APODIFORMES,Trochilidae,violetagurklė metalura
867,Metallura odomae,SA,APODIFORMES,Trochilidae,angolinė metalura
868,Metallura theresiae,SA,APODIFORMES,Trochilidae,varinė metalura
869,Metallura eupogon,SA,APODIFORMES,Trochilidae,raudongurklė metalura
870,Metallura aeneocauda,SA,APODIFORMES,Trochilidae,žvynuotoji metalura
871,Metallura phoebe,SA,APODIFORMES,Trochilidae,juodoji metalura
872,Haplophaedia aureliae,"MA, SA",APODIFORMES,Trochilidae,žalsvoji haplofedija
873,Haplophaedia assimilis,SA,APODIFORMES,Trochilidae,geltonšlaunė haplofedija
874,Haplophaedia lugens,SA,APODIFORMES,Trochilidae,žiloji haplofedija
875,Eriocnemis nigrivestis,SA,APODIFORMES,Trochilidae,juodakrūtis erionas
876,Eriocnemis isabellae,SA,APODIFORMES,Trochilidae,Izabelos erionas
877,Eriocnemis vestita,SA,APODIFORMES,Trochilidae,puošnusis erionas
878,Eriocnemis derbyi,SA,APODIFORMES,Trochilidae,juodašlaunis erionas
879,Eriocnemis godini,SA,APODIFORMES,Trochilidae,turkiaspalvis erionas
880,Eriocnemis cupreoventris,SA,APODIFORMES,Trochilidae,rudapilvis erionas
881,Eriocnemis luciani,SA,APODIFORMES,Trochilidae,mėlynkaktis erionas
882,Eriocnemis mosquera,SA,APODIFORMES,Trochilidae,auksakrūtis erionas
883,Eriocnemis glaucopoides,SA,APODIFORMES,Trochilidae,mėlynkepuris erionas
884,Eriocnemis mirabilis,SA,APODIFORMES,Trochilidae,spalvingasis erionas
885,Eriocnemis aline,SA,APODIFORMES,Trochilidae,žaliasis erionas
886,Loddigesia mirabilis,SA,APODIFORMES,Trochilidae,lodigezija
887,Aglaeactis cupripennis,SA,APODIFORMES,Trochilidae,ryškusis saulės spindulėlis
888,Aglaeactis castelnaudii,SA,APODIFORMES,Trochilidae,baltakrūtis saulės spindulėlis
889,Aglaeactis aliciae,SA,APODIFORMES,Trochilidae,purpurinis saulės spindulėlis
890,Aglaeactis pamela,SA,APODIFORMES,Trochilidae,juodakuodis saulės spindulėlis
891,Coeligena coeligena,SA,APODIFORMES,Trochilidae,bronzinis inkas
892,Coeligena wilsoni,SA,APODIFORMES,Trochilidae,rudasis inkas
893,Coeligena prunellei,SA,APODIFORMES,Trochilidae,juodasis inkas
894,Coeligena conradii,SA,APODIFORMES,Trochilidae,Green Inca
895,Coeligena torquata,SA,APODIFORMES,Trochilidae,apykaklėtasis inkas
896,Coeligena inca,SA,APODIFORMES,Trochilidae,Guldo inkas
897,Coeligena violifer,SA,APODIFORMES,Trochilidae,violetagurklis inkas
898,Coeligena iris,SA,APODIFORMES,Trochilidae,vaivorykštinis inkas
899,Coeligena phalerata,SA,APODIFORMES,Trochilidae,baltauodegis inkas
900,Coeligena orina,SA,APODIFORMES,Trochilidae,žaliasis inkas
901,Coeligena lutetiae,SA,APODIFORMES,Trochilidae,rudasparnis inkas
902,Coeligena consita,SA,APODIFORMES,Trochilidae,Perija Starfrontlet
903,Coeligena bonapartei,SA,APODIFORMES,Trochilidae,auksapilvis inkas
904,Coeligena eos,SA,APODIFORMES,Trochilidae,auksinis inkas
905,Coeligena helianthea,SA,APODIFORMES,Trochilidae,mėlyngurklis inkas
906,Lafresnaya lafresnayi,SA,APODIFORMES,Trochilidae,kalninis kolibris
907,Ensifera ensifera,SA,APODIFORMES,Trochilidae,kardasnapis kolibris
908,Pterophanes cyanopterus,SA,APODIFORMES,Trochilidae,mėlynsparnis kolibris
909,Boissonneaua flavescens,SA,APODIFORMES,Trochilidae,geltonuodegis vainikuotasis kolibris
910,Boissonneaua matthewsii,SA,APODIFORMES,Trochilidae,rudakrūtis vainikuotasis kolibris
911,Boissonneaua jardini,SA,APODIFORMES,Trochilidae,purpurinis vainikuotasis kolibris
912,Ocreatus underwoodii,SA,APODIFORMES,Trochilidae,kolibris vėliavnešys
913,Ocreatus peruanus,SA,APODIFORMES,Trochilidae,Peruvian Racket-tail
914,Ocreatus addae,SA,APODIFORMES,Trochilidae,Rufous-booted Racket-tail
915,Urochroa bougueri,SA,APODIFORMES,Trochilidae,baltauodegė kalnų žvaigždė
916,Urochroa leucura,SA,APODIFORMES,Trochilidae,Green-backed Hillstar
917,Urosticte benjamini,SA,APODIFORMES,Trochilidae,Bendžamino baltadėmis kolibris
918,Urosticte ruficrissa,SA,APODIFORMES,Trochilidae,rusvapilvis baltadėmis kolibris
919,Heliodoxa xanthogonys,SA,APODIFORMES,Trochilidae,žaliavainikis žvilgusis kolibris
920,Heliodoxa gularis,SA,APODIFORMES,Trochilidae,raudongurklis žvilgusis kolibris
921,Heliodoxa branickii,SA,APODIFORMES,Trochilidae,rusvasparnis žvilgusis kolibris
922,Heliodoxa schreibersii,SA,APODIFORMES,Trochilidae,juodagurklis žvilgusis kolibris
923,Heliodoxa aurescens,SA,APODIFORMES,Trochilidae,Guldo žvilgusis kolibris
924,Heliodoxa rubinoides,SA,APODIFORMES,Trochilidae,rudakrūtis žvilgusis kolibris
925,Heliodoxa jacula,"MA, SA",APODIFORMES,Trochilidae,žaliakaktis žvilgusis kolibris
926,Heliodoxa imperatrix,SA,APODIFORMES,Trochilidae,imperatoriškasis žvilgusis kolibris
927,Heliodoxa leadbeateri,SA,APODIFORMES,Trochilidae,violetakaktis žvilgusis kolibris
928,Heliodoxa rubricauda,SA,APODIFORMES,Trochilidae,klitolema
929,Patagona gigas,SA,APODIFORMES,Trochilidae,patagona
930,Sternoclyta cyanopectus,SA,APODIFORMES,Trochilidae,violetakrūtis kolibris
931,Hylonympha macrocerca,SA,APODIFORMES,Trochilidae,venesuelinė miškinė nimfa
932,Eugenes fulgens,"NA, MA",APODIFORMES,Trochilidae,didingasis kolibris
933,Eugenes spectabilis,MA,APODIFORMES,Trochilidae,Talamanca Hummingbird
934,Panterpe insignis,MA,APODIFORMES,Trochilidae,liepsnagurklis kolibris
935,Heliomaster longirostris,"MA, SA",APODIFORMES,Trochilidae,ilgasnapis angelas
936,Heliomaster constantii,MA,APODIFORMES,Trochilidae,paprastasis angelas
937,Heliomaster squamosus,SA,APODIFORMES,Trochilidae,dryžakrūtis angelas
938,Heliomaster furcifer,SA,APODIFORMES,Trochilidae,mėlynasis angelas
939,Lampornis hemileucus,MA,APODIFORMES,Trochilidae,baltapilvis lampornis
940,Lampornis clemenciae,"NA, MA",APODIFORMES,Trochilidae,mėlyngurklis lampornis
941,Lampornis amethystinus,MA,APODIFORMES,Trochilidae,ametistinis lampornis
942,Lampornis viridipallens,MA,APODIFORMES,Trochilidae,žaliagurklis lampornis
943,Lampornis sybillae,MA,APODIFORMES,Trochilidae,žaliakrūtis lampornis
944,Lampornis calolaemus,MA,APODIFORMES,Trochilidae,Purple-throated Mountaingem
945,Lampornis cinereicauda,MA,APODIFORMES,Trochilidae,Grey-tailed Mountaingem
946,Lampornis castaneoventris,MA,APODIFORMES,Trochilidae,rudapilvis lampornis
947,Lamprolaima rhami,MA,APODIFORMES,Trochilidae,raudongurklis kolibris
948,Calliphlox amethystina,SA,APODIFORMES,Trochilidae,paprastasis kalifloksas
949,Myrtis fanny,SA,APODIFORMES,Trochilidae,purpurinis mirtis
950,Rhodopis vesper,SA,APODIFORMES,Trochilidae,oazinis kolibris
951,Myrmia micrura,SA,APODIFORMES,Trochilidae,trumpauodegis kolibris
952,Thaumastura cora,SA,APODIFORMES,Trochilidae,peruvinis kolibris
953,Philodice bryantae,MA,APODIFORMES,Trochilidae,violetagurklis kalifloksas
954,Philodice mitchellii,"MA, SA",APODIFORMES,Trochilidae,Mičelo kalifloksas
955,Eulidia yarrellii,SA,APODIFORMES,Trochilidae,čilinis mirtis
956,Microstilbon burmeisteri,SA,APODIFORMES,Trochilidae,liaunauodegis kolibris
957,Chaetocercus mulsant,SA,APODIFORMES,Trochilidae,baltapilvė miško žvaigždė
958,Chaetocercus bombus,SA,APODIFORMES,Trochilidae,mažoji miško žvaigždė
959,Chaetocercus heliodor,SA,APODIFORMES,Trochilidae,apykaklėtoji miško žvaigždė
960,Chaetocercus astreans,SA,APODIFORMES,Trochilidae,santamartinė miško žvaigždė
961,Chaetocercus berlepschi,SA,APODIFORMES,Trochilidae,žalioji miško žvaigždė
962,Chaetocercus jourdanii,SA,APODIFORMES,Trochilidae,rožinė miško žvaigždė
963,Tilmatura dupontii,MA,APODIFORMES,Trochilidae,žėrintysis kolibris
964,Doricha enicura,MA,APODIFORMES,Trochilidae,lieknoji doricha
965,Doricha eliza,MA,APODIFORMES,Trochilidae,meksikinė doricha
966,Calothorax pulcher,MA,APODIFORMES,Trochilidae,paprastasis puošnusis kolibris
967,Calypte costae,"NA, MA",APODIFORMES,Trochilidae,Kosto kalipta
968,Selasphorus heloisa,MA,APODIFORMES,Trochilidae,paprastasis elfinis kolibris
969,Selasphorus ellioti,MA,APODIFORMES,Trochilidae,raudongurklis elfinis kolibris
970,Selasphorus flammula,MA,APODIFORMES,Trochilidae,vulkaninis selasforas
971,Selasphorus scintilla,MA,APODIFORMES,Trochilidae,žvilgusis selasforas
