,IOC,Breeding Range,Order,Family,Lithuanian
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,vištinė žąsis
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,paprastoji berniklė
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,rudakaklė berniklė
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,havajinė berniklė
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,baltaskruostė berniklė
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,kalninė žąsis
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,imperatoriškoji žąsis
78,Anser anser,PAL,ANSERIFORMES,Anatidae,pilkoji žąsis
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,gulbinė žąsis
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,želmeninė žąsis
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,trumpasnapė žąsis
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,tundrinė želmeninė žąsis
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,baltakaktė žąsis
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,mažoji žąsis
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,koskoroba
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,juodoji gulbė
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,juodakaklė gulbė
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,gulbė nebylė
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,mažoji gulbė
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,gulbė giesmininkė
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,šlakuotoji antis
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,melsvoji antis
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,patagoninė žvynuotoji antis
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,magelaninė žvynuotoji antis
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,folklandinė žvynuotoji antis
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,baltagalvė žvynuotoji antis
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,andinė antis
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,pentinuotoji žąsis
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Comb Duck
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,gumbasnapė antis
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,melsvasparnė žąsis
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,egiptinė žąsis
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,orinokinė žąsis
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,andinė žąsis
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,magelaninė žąsis
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,patagoninė žąsis
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,pilkagalvė žąsis
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,rusvagalvė žąsis
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,baltakaklė urvinė antis
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,paprastoji urvinė antis
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,rudoji urvinė antis
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,pilkagalvė urvinė antis
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,australinė urvinė antis
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Naujosios Zelandijos urvinė antis
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,raudonausė antis
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Salvadorio antis
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,paprastoji muskusinė antis
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,baltasparnė muskusinė antis
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Hartlaubo žąsis
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandarininė antis
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,dryžakrūtė antis
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,afrikinė žąselė
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,baltaskruostė žąselė
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,australinė žąselė
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,brazilinė antis
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,žieduotoji antis
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,kuoduotoji Pietų Amerikos antis
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,akiniuotoji antis
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,baikalinė kryklė
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,dryžagalvė kryklė
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,dėmėtoji kryklė
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Punos kryklė
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,sidabrinė antis
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Pietų Amerikos šaukštasnapė antis
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,cinamoninė kryklė
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,afrikinė šaukštasnapė antis
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,australinė šaukštasnapė antis
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,šaukštasnapė antis
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,pilkoji antis
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,sibirinė kryklė
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,eurazinė cyplė
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,puikioji cyplė
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,afrikinė juodoji antis
144,Anas undulata,AF,ANSERIFORMES,Anatidae,geltonsnapė antis
145,Anas melleri,AF,ANSERIFORMES,Anatidae,madagaskarinė antis
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,australinė pilkoji antis
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,laisaninė antis
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,havajinė antis
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,filipininė antis
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,dėmėtasnapė antis
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Eastern Spot-billed Duck
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,didžioji antis
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,meksikinė antis
154,Anas capensis,AF,ANSERIFORMES,Anatidae,afrikinė kryklė
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,bahaminė antis
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,raudonsnapė kryklė
157,Anas georgica,SA,ANSERIFORMES,Anatidae,geltonsnapė smailiauodegė antis
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Etono antis
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,smailiauodegė antis
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,rudagalvė kryklė
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,geltonsnapė kryklė
162,Anas andium,SA,ANSERIFORMES,Anatidae,andinė kryklė
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,pilkoji smailiauodegė antis
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Andaman Teal
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,pilkažalsvė kryklė
166,Anas castanea,AU,ANSERIFORMES,Anatidae,kaštoninė kryklė
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,madagaskarinė kryklė
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,rudoji kryklė
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Oklendo kryklė
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Kembelo antis
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,marmurinė kryklė
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,šalminė antis
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,rausvasnapė antis
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,pietinė antis
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,rudagalvė antis
176,Aythya australis,AU,ANSERIFORMES,Anatidae,australinė šalminė antis
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,madagaskarinė šalminė antis
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Bero šalminė antis
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,paprastoji rudė
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Naujosios Zelandijos žiloji antis
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,kuoduotoji antis
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,žiloji antis
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,sibirinė gaga
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,akiniuotoji gaga
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,skiauterėtoji gaga
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,paprastoji gaga
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,islandinė antis
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,paprastoji nuodėgulė
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,sibirinė nuodėgulė
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,juodoji antis
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,amerikinė juodoji antis
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,ledinė antis
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,paprastoji klykuolė
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,islandinė klykuolė
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,mažasis dančiasnapis
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,brazilinis dančiasnapis
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,didysis dančiasnapis
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,vidutinis dančiasnapis
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,kininis dančiasnapis
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,juodagalvė antis
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,kaukėtoji stačiauodegė
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,baltaskruostė stačiauodegė
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,amerikinė stačiauodegė
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,argentininė stačiauodegė
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,australinė stačiauodegė
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,afrikinė stačiauodegė
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,baltagalvė stačiauodegė
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,tasmaninė antis
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,krūmyninė višta
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,raudonskiauterė didžiakojė višta
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,auskaruotoji didžiakojė višta
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,raudonsnapė šiukšliavištė
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,juodasnapė šiukšliavištė
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,rudoji šiukšliavištė
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,akiuotoji višta
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,didžiagalvė višta
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,molukinė višta
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,polinezinė didžiakojė višta
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,mikronezinė didžiakojė višta
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,nikobarinė didžiakojė višta
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,filipininė didžiakojė višta
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Bernšteino didžiakojė višta
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Tanimbar Megapode
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,džiunglinė didžiakojė višta
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Biak Scrubfowl
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,melanezinė didžiakojė višta
