,IOC,Breeding Range,Order,Family,Danish
1033,Eupetomena cirrochloris,SA,APODIFORMES,Trochilidae,Sørgekolibri
1034,Talaphorus chlorocercus,SA,APODIFORMES,Trochilidae,Olivenplettet Kolibri
1035,Ramosomyia violiceps,"NA, MA",APODIFORMES,Trochilidae,Violetkronet Snebryst
1036,Ramosomyia viridifrons,MA,APODIFORMES,Trochilidae,Grønisset Snebryst
1037,Ramosomyia wagneri,MA,APODIFORMES,Trochilidae,Brunsidet Snebryst
1038,Saucerottia cyanocephala,MA,APODIFORMES,Trochilidae,Azurkronet Snebryst
1039,Saucerottia hoffmanni,MA,APODIFORMES,Trochilidae,Blåbuget Amazilie
1040,Saucerottia beryllina,MA,APODIFORMES,Trochilidae,Berylamazilie
1041,Saucerottia cyanura,MA,APODIFORMES,Trochilidae,Blåhalet Amazilie
1042,Saucerottia edward,MA,APODIFORMES,Trochilidae,Bronzehalet Snebryst
1043,Saucerottia saucerottei,SA,APODIFORMES,Trochilidae,Stålgrøn Amazilie
1044,Saucerottia cyanifrons,SA,APODIFORMES,Trochilidae,Indigokronet Amazilie
1045,Saucerottia castaneiventris,SA,APODIFORMES,Trochilidae,Kastanjebuget Amazilie
1046,Saucerottia viridigaster,SA,APODIFORMES,Trochilidae,Grønbuget Amazilie
1047,Saucerottia cupreicauda,SA,APODIFORMES,Trochilidae,Kobberhalet Amazilie
1048,Saucerottia tobaci,SA,APODIFORMES,Trochilidae,Kobbergumpet Amazilie
1049,Amazilia rutila,MA,APODIFORMES,Trochilidae,Kanelfarvet Amazilie
1050,Amazilia yucatanensis,MA,APODIFORMES,Trochilidae,Brunbuget Amazilie
1051,Amazilia tzacatl,"MA, SA",APODIFORMES,Trochilidae,Brunhalet Amazilie
1052,Amazilia luciae,MA,APODIFORMES,Trochilidae,Hondurasamazilie
1053,Amazilia boucardi,MA,APODIFORMES,Trochilidae,Mangroveamazilie
1054,Amazilis amazilia,SA,APODIFORMES,Trochilidae,Amaziliekolibri
1055,Uranomitra franciae,SA,APODIFORMES,Trochilidae,Andessnebryst
1056,Chrysuronia goudoti,SA,APODIFORMES,Trochilidae,Glansgrøn Kolibri
1057,Chrysuronia oenone,SA,APODIFORMES,Trochilidae,Bronzehalet Safir
1058,Chrysuronia versicolor,SA,APODIFORMES,Trochilidae,Broget Amazilie
1059,Chrysuronia coeruleogularis,"MA, SA",APODIFORMES,Trochilidae,Safirstrubet Kolibri
1060,Chrysuronia lilliae,SA,APODIFORMES,Trochilidae,Safirbuget Kolibri
1061,Chrysuronia humboldtii,"MA, SA",APODIFORMES,Trochilidae,Nordlig Blåhovedet Safir
1062,Chrysuronia grayi,SA,APODIFORMES,Trochilidae,Blåhovedet Safir
1063,Chrysuronia brevirostris,SA,APODIFORMES,Trochilidae,Kortnæbbet Amazilie
1064,Chrysuronia leucogaster,SA,APODIFORMES,Trochilidae,Østlig Snebryst
1065,Leucochloris albicollis,SA,APODIFORMES,Trochilidae,Hvidstrubet Kolibri
1066,Chionomesa fimbriata,SA,APODIFORMES,Trochilidae,Glansstrubet Amazilie
1067,Chionomesa lactea,SA,APODIFORMES,Trochilidae,Safiramazilie
1068,Hylocharis sapphirina,SA,APODIFORMES,Trochilidae,Okkerstrubet Safir
1069,Hylocharis chrysura,SA,APODIFORMES,Trochilidae,Gylden Safir
1070,Elliotomyia chionogaster,SA,APODIFORMES,Trochilidae,Hvidbuget Amazile
1071,Elliotomyia viridicauda,SA,APODIFORMES,Trochilidae,Cuzcoamazilie
1072,Polyerata amabilis,"MA, SA",APODIFORMES,Trochilidae,Blåbrystet Amazilie
1073,Polyerata decora,MA,APODIFORMES,Trochilidae,Costa Rica-amazilie
1074,Polyerata rosenbergi,SA,APODIFORMES,Trochilidae,Purpurbrystet Amazilie
1075,Chlorestes candida,MA,APODIFORMES,Trochilidae,Grøn Snebryst
1076,Chlorestes eliciae,"MA, SA",APODIFORMES,Trochilidae,Gyldenhalet Safir
1077,Chlorestes cyanus,SA,APODIFORMES,Trochilidae,Blåbrystet Safir
1078,Chlorestes julie,"MA, SA",APODIFORMES,Trochilidae,Violetbuget Kolibri
1079,Chlorestes notata,SA,APODIFORMES,Trochilidae,Safirkolibri
1080,Corythaeola cristata,AF,MUSOPHAGIFORMES,Musophagidae,Kæmpeturako
1081,Crinifer personatus,AF,MUSOPHAGIFORMES,Musophagidae,Maskelarmfugl
1082,Crinifer concolor,AF,MUSOPHAGIFORMES,Musophagidae,Grå Larmfugl
1083,Crinifer leucogaster,AF,MUSOPHAGIFORMES,Musophagidae,Hvidbuget Larmfugl
1084,Crinifer piscator,AF,MUSOPHAGIFORMES,Musophagidae,Vestlig Larmfugl
1085,Crinifer zonurus,AF,MUSOPHAGIFORMES,Musophagidae,Østlig Larmfugl
1086,Gallirex porphyreolophus,AF,MUSOPHAGIFORMES,Musophagidae,Violettoppet Turako
1087,Gallirex johnstoni,AF,MUSOPHAGIFORMES,Musophagidae,Ruwenzoriturako
1088,Menelikornis ruspolii,AF,MUSOPHAGIFORMES,Musophagidae,Etiopisk Turako
1089,Menelikornis leucotis,AF,MUSOPHAGIFORMES,Musophagidae,Hvidkindet Turako
1090,Tauraco violaceus,AF,MUSOPHAGIFORMES,Musophagidae,Violturako
1091,Tauraco rossae,AF,MUSOPHAGIFORMES,Musophagidae,Gulmasket Turako
1092,Tauraco macrorhynchus,AF,MUSOPHAGIFORMES,Musophagidae,Gulnæbbet Turako
1093,Tauraco bannermani,AF,MUSOPHAGIFORMES,Musophagidae,Camerounturako
1094,Tauraco leucolophus,AF,MUSOPHAGIFORMES,Musophagidae,Hvidtoppet Turako
1095,Tauraco erythrolophus,AF,MUSOPHAGIFORMES,Musophagidae,Angolaturako
1096,Tauraco persa,AF,MUSOPHAGIFORMES,Musophagidae,Grøntoppet Turako
1097,Tauraco livingstonii,AF,MUSOPHAGIFORMES,Musophagidae,Livingstones Turako
1098,Tauraco schalowi,AF,MUSOPHAGIFORMES,Musophagidae,Spidstoppet Turako
1099,Tauraco corythaix,AF,MUSOPHAGIFORMES,Musophagidae,Kapturako
1100,Tauraco schuettii,AF,MUSOPHAGIFORMES,Musophagidae,Sortnæbbet Turako
1101,Tauraco fischeri,AF,MUSOPHAGIFORMES,Musophagidae,Fischers Turako
1102,Tauraco hartlaubi,AF,MUSOPHAGIFORMES,Musophagidae,Hartlaubs Turako
1103,Otis tarda,PAL,OTIDIFORMES,Otididae,Stortrappe
1104,Ardeotis arabs,AF,OTIDIFORMES,Otididae,Arabisk Trappe
1105,Ardeotis kori,AF,OTIDIFORMES,Otididae,Koritrappe
1106,Ardeotis nigriceps,OR,OTIDIFORMES,Otididae,Indisk Trappe
1107,Ardeotis australis,AU,OTIDIFORMES,Otididae,Australsk Trappe
1108,Chlamydotis undulata,AF,OTIDIFORMES,Otididae,Kravetrappe
1109,Chlamydotis macqueenii,PAL,OTIDIFORMES,Otididae,Østlig Kravetrappe
1110,Neotis ludwigii,AF,OTIDIFORMES,Otididae,Sorthalset Trappe
1111,Neotis denhami,AF,OTIDIFORMES,Otididae,Brunhalset Trappe
1112,Neotis heuglinii,AF,OTIDIFORMES,Otididae,Sortmasket Trappe
1113,Neotis nuba,AF,OTIDIFORMES,Otididae,Nubisk Trappe
1114,Eupodotis senegalensis,AF,OTIDIFORMES,Otididae,Rusttoppet Trappe
1115,Eupodotis caerulescens,AF,OTIDIFORMES,Otididae,Blåtrappe
1116,Heterotetrax vigorsii,AF,OTIDIFORMES,Otididae,Brungrå Trappe
1117,Heterotetrax rueppelii,AF,OTIDIFORMES,Otididae,Namibtrappe
1118,Heterotetrax humilis,AF,OTIDIFORMES,Otididae,Bruntrappe
1119,Lophotis savilei,AF,OTIDIFORMES,Otididae,Pygmætrappe
1120,Lophotis gindiana,AF,OTIDIFORMES,Otididae,Okkertoppet Trappe
1121,Lophotis ruficrista,AF,OTIDIFORMES,Otididae,Rødtoppet Trappe
1122,Afrotis afra,AF,OTIDIFORMES,Otididae,Sorttrappe
1123,Afrotis afraoides,AF,OTIDIFORMES,Otididae,Hvidvinget Sorttrappe
1124,Lissotis melanogaster,AF,OTIDIFORMES,Otididae,Sortbuget Trappe
1125,Lissotis hartlaubii,AF,OTIDIFORMES,Otididae,Sølvtrappe
1126,Houbaropsis bengalensis,OR,OTIDIFORMES,Otididae,Stor Florikan
1127,Sypheotides indicus,OR,OTIDIFORMES,Otididae,Florikan
1128,Tetrax tetrax,PAL,OTIDIFORMES,Otididae,Dværgtrappe
1129,Guira guira,SA,CUCULIFORMES,Cuculidae,Guira
1130,Crotophaga major,"MA, SA",CUCULIFORMES,Cuculidae,Stor Ani
1131,Crotophaga ani,"NA, MA, SA",CUCULIFORMES,Cuculidae,Ani
1132,Crotophaga sulcirostris,"MA, SA",CUCULIFORMES,Cuculidae,Furenæbbet Ani
1133,Tapera naevia,"MA, SA",CUCULIFORMES,Cuculidae,Stribet Gøg
1134,Dromococcyx phasianellus,"MA, SA",CUCULIFORMES,Cuculidae,Fasangøg
1135,Dromococcyx pavoninus,SA,CUCULIFORMES,Cuculidae,Påfuglegøg
1136,Morococcyx erythropygus,MA,CUCULIFORMES,Cuculidae,Lille Jordgøg
1137,Geococcyx californianus,"NA, MA",CUCULIFORMES,Cuculidae,Stor Jordgøg
1138,Geococcyx velox,MA,CUCULIFORMES,Cuculidae,Jordgøg
1139,Neomorphus geoffroyi,"MA, SA",CUCULIFORMES,Cuculidae,Rødbuget Jordgøg
1140,Neomorphus squamiger,SA,CUCULIFORMES,Cuculidae,Skællet Jordgøg
1141,Neomorphus radiolosus,SA,CUCULIFORMES,Cuculidae,Båndet Jordgøg
1142,Neomorphus rufipennis,SA,CUCULIFORMES,Cuculidae,Rødvinget Jordgøg
1143,Neomorphus pucheranii,SA,CUCULIFORMES,Cuculidae,Rødnæbbet Jordgøg
1144,Centropus milo,AU,CUCULIFORMES,Cuculidae,Lyshovedet Sporegøg
1145,Centropus ateralbus,AU,CUCULIFORMES,Cuculidae,Broget Sporegøg
1146,Centropus menbeki,AU,CUCULIFORMES,Cuculidae,Lysnæbbet Sporegøg
1147,Centropus chalybeus,AU,CUCULIFORMES,Cuculidae,Biaksporegøg
1148,Centropus unirufus,OR,CUCULIFORMES,Cuculidae,Rødbrun Sporegøg
1149,Centropus chlororhynchos,OR,CUCULIFORMES,Cuculidae,Sri Lanka-sporegøg
1150,Centropus melanops,OR,CUCULIFORMES,Cuculidae,Sortmasket Sporegøg
1151,Centropus steerii,OR,CUCULIFORMES,Cuculidae,Mindorosporegøg
1152,Centropus rectunguis,OR,CUCULIFORMES,Cuculidae,Korttået Sporegøg
1153,Centropus celebensis,AU,CUCULIFORMES,Cuculidae,Sulawesisporegøg
1154,Centropus anselli,AF,CUCULIFORMES,Cuculidae,Okkerbrystet Sporegøg
1155,Centropus leucogaster,AF,CUCULIFORMES,Cuculidae,Hvidbuget Sporegøg
1156,Centropus senegalensis,AF,CUCULIFORMES,Cuculidae,Sporegøg
1157,Centropus monachus,AF,CUCULIFORMES,Cuculidae,Blånakket Sporegøg
1158,Centropus cupreicaudus,AF,CUCULIFORMES,Cuculidae,Sumpsporegøg
1159,Centropus superciliosus,AF,CUCULIFORMES,Cuculidae,Hvidbrynet Sporegøg
1160,Centropus burchellii,AF,CUCULIFORMES,Cuculidae,Kapsporegøg
1161,Centropus nigrorufus,OR,CUCULIFORMES,Cuculidae,Sundasporegøg
1162,Centropus sinensis,OR,CUCULIFORMES,Cuculidae,Brunrygget Sporegøg
1163,Centropus toulou,AF,CUCULIFORMES,Cuculidae,Madagaskarsporegøg
1164,Centropus goliath,AU,CUCULIFORMES,Cuculidae,Kæmpesporegøg
1165,Centropus grillii,AF,CUCULIFORMES,Cuculidae,Korthalet Sporegøg
1166,Centropus viridis,OR,CUCULIFORMES,Cuculidae,Filippinsk Sporegøg
1167,Centropus bengalensis,"OR, AU",CUCULIFORMES,Cuculidae,Bengalsporegøg
1168,Centropus violaceus,AU,CUCULIFORMES,Cuculidae,Violet Sporegøg
1169,Centropus bernsteini,AU,CUCULIFORMES,Cuculidae,Busksporegøg
1170,Centropus spilopterus,AU,CUCULIFORMES,Cuculidae,Kaisporegøg
1171,Centropus phasianinus,AU,CUCULIFORMES,Cuculidae,Fasansporegøg
1172,Centropus andamanensis,OR,CUCULIFORMES,Cuculidae,Andamansporegøg
1173,Carpococcyx radiceus,OR,CUCULIFORMES,Cuculidae,Borneoløbegøg
1174,Carpococcyx viridis,OR,CUCULIFORMES,Cuculidae,Sumatraløbegøg
1175,Carpococcyx renauldi,OR,CUCULIFORMES,Cuculidae,Koralnæbbet Løbegøg
1176,Coua cristata,AF,CUCULIFORMES,Cuculidae,Toppet Silkegøg
1177,Coua verreauxi,AF,CUCULIFORMES,Cuculidae,Lille Silkegøg
1178,Coua caerulea,AF,CUCULIFORMES,Cuculidae,Blå Silkegøg
1179,Coua ruficeps,AF,CUCULIFORMES,Cuculidae,Brunkronet Silkegøg
1180,Coua reynaudii,AF,CUCULIFORMES,Cuculidae,Mørkbrystet Silkegøg
1181,Coua coquereli,AF,CUCULIFORMES,Cuculidae,Olivensilkegøg
1182,Coua cursor,AF,CUCULIFORMES,Cuculidae,Løbesilkegøg
1183,Coua gigas,AF,CUCULIFORMES,Cuculidae,Stor Silkegøg
1184,Coua serriana,AF,CUCULIFORMES,Cuculidae,Rødbrystet Silkegøg
1185,Rhinortha chlorophaea,OR,CUCULIFORMES,Cuculidae,Lille Malkoha
1186,Ceuthmochares aereus,AF,CUCULIFORMES,Cuculidae,Gulnæbbet Malkoha
1187,Ceuthmochares australis,AF,CUCULIFORMES,Cuculidae,Sydlig Gulnæbbet Malkoha
1188,Taccocua leschenaultii,OR,CUCULIFORMES,Cuculidae,Sirkirmalkoha
1189,Zanclostomus javanicus,OR,CUCULIFORMES,Cuculidae,Rødnæbbet Malkoha
1190,Rhamphococcyx calyorhynchus,AU,CUCULIFORMES,Cuculidae,Sulawesimalkoha
1191,Phaenicophaeus curvirostris,OR,CUCULIFORMES,Cuculidae,Brunbrystet Malkoha
1192,Phaenicophaeus pyrrhocephalus,OR,CUCULIFORMES,Cuculidae,Rødmasket Malkoha
1193,Phaenicophaeus sumatranus,OR,CUCULIFORMES,Cuculidae,Malajmalkoha
1194,Phaenicophaeus viridirostris,OR,CUCULIFORMES,Cuculidae,Brillemalkoha
1195,Phaenicophaeus diardi,OR,CUCULIFORMES,Cuculidae,Sortbuget Malkoha
1196,Phaenicophaeus tristis,OR,CUCULIFORMES,Cuculidae,Grønnæbbet Malkoha
1197,Dasylophus superciliosus,OR,CUCULIFORMES,Cuculidae,Rødkronet Malkoha
1198,Dasylophus cumingi,OR,CUCULIFORMES,Cuculidae,Hvidkindet Malkoha
1199,Clamator coromandus,OR,CUCULIFORMES,Cuculidae,Rødvinget Skadegøg
1200,Clamator glandarius,"AF, PAL",CUCULIFORMES,Cuculidae,Skadegøg
1201,Clamator levaillantii,AF,CUCULIFORMES,Cuculidae,Akacieskadegøg
1202,Clamator jacobinus,"AF, OR",CUCULIFORMES,Cuculidae,Jacobinergøg
1203,Coccycua minuta,"MA, SA",CUCULIFORMES,Cuculidae,Dværgegerngøg
1204,Coccycua pumila,SA,CUCULIFORMES,Cuculidae,Dværggøg
1205,Coccycua cinerea,SA,CUCULIFORMES,Cuculidae,Askegøg
1206,Piaya cayana,"MA, SA",CUCULIFORMES,Cuculidae,Egerngøg
1207,Piaya melanogaster,SA,CUCULIFORMES,Cuculidae,Sortbuget Egerngøg
1208,Coccyzus melacoryphus,SA,CUCULIFORMES,Cuculidae,Mørknæbbet Gøg
1209,Coccyzus americanus,"NA, MA",CUCULIFORMES,Cuculidae,Gulnæbbet Gøg
1210,Coccyzus euleri,SA,CUCULIFORMES,Cuculidae,Gråhalset Gøg
1211,Coccyzus minor,"NA, MA, SA",CUCULIFORMES,Cuculidae,Mangrovegøg
1212,Coccyzus ferrugineus,MA,CUCULIFORMES,Cuculidae,Cocogøg
1213,Coccyzus lansbergi,SA,CUCULIFORMES,Cuculidae,Gråhættet Gøg
1214,Pachycoccyx audeberti,AF,CUCULIFORMES,Cuculidae,Tyknæbbet Gøg
1215,Microdynamis parva,AU,CUCULIFORMES,Cuculidae,Dværgkoel
1216,Eudynamys scolopaceus,OR,CUCULIFORMES,Cuculidae,Koel
1217,Eudynamys melanorhynchus,AU,CUCULIFORMES,Cuculidae,Sortnæbbet Koel
1218,Eudynamys orientalis,AU,CUCULIFORMES,Cuculidae,Molukkoel
1219,Urodynamis taitensis,AU,CUCULIFORMES,Cuculidae,Langhalet Koel
1220,Scythrops novaehollandiae,AU,CUCULIFORMES,Cuculidae,Kæmpegøg
1221,Chrysococcyx maculatus,OR,CUCULIFORMES,Cuculidae,Grøn Bronzegøg
1222,Chrysococcyx xanthorhynchus,OR,CUCULIFORMES,Cuculidae,Violet Bronzegøg
1223,Chrysococcyx caprius,AF,CUCULIFORMES,Cuculidae,Guldgøg
1224,Chrysococcyx klaas,"AF, PAL",CUCULIFORMES,Cuculidae,Hvidbuget Smaragdgøg
1225,Chrysococcyx flavigularis,AF,CUCULIFORMES,Cuculidae,Gulstrubet Bronzegøg
1226,Chrysococcyx cupreus,AF,CUCULIFORMES,Cuculidae,Gulbuget Gøg
1227,Chrysococcyx megarhynchus,AU,CUCULIFORMES,Cuculidae,Langnæbbet Gøg
1228,Chrysococcyx basalis,AU,CUCULIFORMES,Cuculidae,Rødgumpet Bronzegøg
1229,Chrysococcyx osculans,AU,CUCULIFORMES,Cuculidae,Hvidbrynet Bronzegøg
1230,Chrysococcyx ruficollis,AU,CUCULIFORMES,Cuculidae,Rødstrubet Bronzegøg
1231,Chrysococcyx lucidus,AU,CUCULIFORMES,Cuculidae,Bronzegøg
1232,Chrysococcyx meyerii,AU,CUCULIFORMES,Cuculidae,Rødvinget Bronzegøg
1233,Chrysococcyx minutillus,"OR, AU",CUCULIFORMES,Cuculidae,Lille Bronzegøg
1234,Cacomantis pallidus,AU,CUCULIFORMES,Cuculidae,Australsk Gøg
1235,Cacomantis leucolophus,AU,CUCULIFORMES,Cuculidae,Hvidkronet Koel
1236,Cacomantis castaneiventris,AU,CUCULIFORMES,Cuculidae,Kastanjegøg
1237,Cacomantis flabelliformis,"AU, PO",CUCULIFORMES,Cuculidae,Viftehalegøg
1238,Cacomantis sonneratii,OR,CUCULIFORMES,Cuculidae,Maskegøg
1239,Cacomantis merulinus,"OR, AU",CUCULIFORMES,Cuculidae,Rødbuget Gøg
1240,Cacomantis passerinus,OR,CUCULIFORMES,Cuculidae,Drosselgøg
1241,Cacomantis variolosus,AU,CUCULIFORMES,Cuculidae,Kratgøg
1242,Cacomantis sepulcralis,"OR, AU",CUCULIFORMES,Cuculidae,Rødbrystet Gøg
1243,Cacomantis aeruginosus,AU,CUCULIFORMES,Cuculidae,Molukgøg
1244,Cercococcyx mechowi,AF,CUCULIFORMES,Cuculidae,Langhalet Gøg
1245,Cercococcyx olivinus,AF,CUCULIFORMES,Cuculidae,Olivengøg
1246,Cercococcyx montanus,AF,CUCULIFORMES,Cuculidae,Bjerggøg
1247,Surniculus velutinus,OR,CUCULIFORMES,Cuculidae,Filippinsk Drongogøg
1248,Surniculus lugubris,OR,CUCULIFORMES,Cuculidae,Drongogøg
1249,Surniculus dicruroides,OR,CUCULIFORMES,Cuculidae,Splithalet Drongogøg
1250,Surniculus musschenbroeki,AU,CUCULIFORMES,Cuculidae,Moluk-drongogøg
1251,Hierococcyx vagans,OR,CUCULIFORMES,Cuculidae,Lille Høgegøg
1252,Hierococcyx sparverioides,OR,CUCULIFORMES,Cuculidae,Stor Høgegøg
1253,Hierococcyx bocki,OR,CUCULIFORMES,Cuculidae,Mørk Høgegøg
1254,Hierococcyx varius,OR,CUCULIFORMES,Cuculidae,Høgegøg
1255,Hierococcyx hyperythrus,PAL,CUCULIFORMES,Cuculidae,Hvidnakket Høgegøg
1256,Hierococcyx pectoralis,OR,CUCULIFORMES,Cuculidae,Filippinsk Høgegøg
1257,Hierococcyx fugax,OR,CUCULIFORMES,Cuculidae,Orienthøgegøg
1258,Hierococcyx nisicolor,OR,CUCULIFORMES,Cuculidae,Himalayahøgegøg
1259,Cuculus clamosus,AF,CUCULIFORMES,Cuculidae,Sortgøg
1260,Cuculus solitarius,AF,CUCULIFORMES,Cuculidae,Eremitgøg
1261,Cuculus poliocephalus,"PAL, OR",CUCULIFORMES,Cuculidae,Lille Gøg
1262,Cuculus crassirostris,AU,CUCULIFORMES,Cuculidae,Grovnæbsgøg
1263,Cuculus micropterus,"OR, PAL",CUCULIFORMES,Cuculidae,Kortvinget Gøg
1264,Cuculus rochii,AF,CUCULIFORMES,Cuculidae,Madagaskargøg
1265,Cuculus gularis,AF,CUCULIFORMES,Cuculidae,Afrikansk Gøg
1266,Cuculus saturatus,OR,CUCULIFORMES,Cuculidae,Skovgøg
1267,Cuculus optatus,PAL,CUCULIFORMES,Cuculidae,Orient-gøg
1268,Cuculus lepidus,OR,CUCULIFORMES,Cuculidae,Lille Skovgøg
1269,Cuculus canorus,PAL,CUCULIFORMES,Cuculidae,Gøg
1270,Mesitornis variegatus,AF,MESITORNITHIFORMES,Mesitornithidae,Hvidbrystet Drosselrikse
1271,Mesitornis unicolor,AF,MESITORNITHIFORMES,Mesitornithidae,Brun Drosselrikse
1272,Monias benschi,AF,MESITORNITHIFORMES,Mesitornithidae,Langnæbbet Drosselrikse
1273,Syrrhaptes tibetanus,PAL,PTEROCLIFORMES,Pteroclidae,Tibetansk Steppehøne
1274,Syrrhaptes paradoxus,PAL,PTEROCLIFORMES,Pteroclidae,Steppehøne
1275,Pterocles alchata,"PAL, AF",PTEROCLIFORMES,Pteroclidae,Spidshalet Sandhøne
1276,Pterocles namaqua,AF,PTEROCLIFORMES,Pteroclidae,Kapsandhøne
1277,Pterocles exustus,"AF, PAL, OR",PTEROCLIFORMES,Pteroclidae,Brunbuget Sandhøne
1278,Pterocles senegallus,"AF, PAL",PTEROCLIFORMES,Pteroclidae,Plettet Sandhøne
1279,Pterocles orientalis,PAL,PTEROCLIFORMES,Pteroclidae,Sortbuget Sandhøne
1280,Pterocles gutturalis,AF,PTEROCLIFORMES,Pteroclidae,Gulstrubet Sandhøne
1281,Pterocles coronatus,"AF, PAL",PTEROCLIFORMES,Pteroclidae,Kronet Sandhøne
1282,Pterocles decoratus,AF,PTEROCLIFORMES,Pteroclidae,Hvidbrystet Sandhøne
1283,Pterocles personatus,AF,PTEROCLIFORMES,Pteroclidae,Madagaskarsandhøne
1284,Pterocles lichtensteinii,"AF, PAL",PTEROCLIFORMES,Pteroclidae,Lichtensteins Sandhøne
1285,Pterocles indicus,OR,PTEROCLIFORMES,Pteroclidae,Indisk Sandhøne
1286,Pterocles quadricinctus,AF,PTEROCLIFORMES,Pteroclidae,Firebåndet Sandhøne
1287,Pterocles bicinctus,AF,PTEROCLIFORMES,Pteroclidae,Tobåndet Sandhøne
1288,Pterocles burchelli,AF,PTEROCLIFORMES,Pteroclidae,Gråstrubet Sandhøne
1289,Columba livia,Worldwide,COLUMBIFORMES,Columbidae,Klippedue
1290,Columba rupestris,PAL,COLUMBIFORMES,Columbidae,Bjergdue
1291,Columba leuconota,PAL,COLUMBIFORMES,Columbidae,Snedue
1292,Columba guinea,AF,COLUMBIFORMES,Columbidae,Guineadue
1293,Columba albitorques,AF,COLUMBIFORMES,Columbidae,Etiopisk Due
1294,Columba oenas,PAL,COLUMBIFORMES,Columbidae,Huldue
1295,Columba eversmanni,PAL,COLUMBIFORMES,Columbidae,Turkestan-due
1296,Columba oliviae,AF,COLUMBIFORMES,Columbidae,Somalidue
1297,Columba palumbus,PAL,COLUMBIFORMES,Columbidae,Ringdue
1298,Columba trocaz,AF,COLUMBIFORMES,Columbidae,Madeira-due
1299,Columba bollii,AF,COLUMBIFORMES,Columbidae,Laurbærdue
1300,Columba junoniae,AF,COLUMBIFORMES,Columbidae,Hvidhalet Laurbærdue
1301,Columba unicincta,AF,COLUMBIFORMES,Columbidae,Hvidbuget Due
1302,Columba arquatrix,AF,COLUMBIFORMES,Columbidae,Olivendue
1303,Columba sjostedti,AF,COLUMBIFORMES,Columbidae,Cameroundue
1304,Columba thomensis,AF,COLUMBIFORMES,Columbidae,São Tomé-due
1305,Columba pollenii,AF,COLUMBIFORMES,Columbidae,Comorerolivendue
1306,Columba hodgsonii,OR,COLUMBIFORMES,Columbidae,Skællet Skovdue
1307,Columba albinucha,AF,COLUMBIFORMES,Columbidae,Hvidnakket Due
1308,Columba pulchricollis,OR,COLUMBIFORMES,Columbidae,Nepaldue
1309,Columba elphinstonii,OR,COLUMBIFORMES,Columbidae,Nilgiridue
1310,Columba torringtoniae,OR,COLUMBIFORMES,Columbidae,Sri Lanka-due
1311,Columba punicea,OR,COLUMBIFORMES,Columbidae,Bronzedue
1312,Columba argentina,OR,COLUMBIFORMES,Columbidae,Sølvdue
1313,Columba palumboides,OR,COLUMBIFORMES,Columbidae,Andamanskovdue
1314,Columba janthina,PAL,COLUMBIFORMES,Columbidae,Japandue
1315,Columba vitiensis,"OR, AU, PO",COLUMBIFORMES,Columbidae,Hvidstrubet Due
1316,Columba leucomela,AU,COLUMBIFORMES,Columbidae,Australsk Skovdue
1317,Columba pallidiceps,AU,COLUMBIFORMES,Columbidae,Gulbenet Skovdue
1318,Columba delegorguei,AF,COLUMBIFORMES,Columbidae,Nataldue
1319,Columba iriditorques,AF,COLUMBIFORMES,Columbidae,Bronzebåndet Due
1320,Columba malherbii,AF,COLUMBIFORMES,Columbidae,São Tomé-bronzedue
1321,Columba larvata,AF,COLUMBIFORMES,Columbidae,Orangedue
1322,Patagioenas leucocephala,"NA, MA",COLUMBIFORMES,Columbidae,Hvidkronet Due
1323,Patagioenas speciosa,"MA, SA",COLUMBIFORMES,Columbidae,Skældue
1324,Patagioenas picazuro,SA,COLUMBIFORMES,Columbidae,Picazurodue
1325,Patagioenas corensis,SA,COLUMBIFORMES,Columbidae,Nøgenøjet Due
1326,Patagioenas maculosa,SA,COLUMBIFORMES,Columbidae,Pletvinget Due
1327,Patagioenas fasciata,"NA, MA, SA",COLUMBIFORMES,Columbidae,Bånddue
1328,Patagioenas araucana,SA,COLUMBIFORMES,Columbidae,Araucanadue
1329,Patagioenas cayennensis,"MA, SA",COLUMBIFORMES,Columbidae,Rosadue
1330,Patagioenas flavirostris,MA,COLUMBIFORMES,Columbidae,Rødnæbbet Due
1331,Patagioenas oenops,SA,COLUMBIFORMES,Columbidae,Perudue
1332,Patagioenas plumbea,SA,COLUMBIFORMES,Columbidae,Blygrå Due
1333,Patagioenas subvinacea,"MA, SA",COLUMBIFORMES,Columbidae,Rød Skovdue
1334,Patagioenas nigrirostris,"MA, SA",COLUMBIFORMES,Columbidae,Kortnæbbet Due
1335,Patagioenas goodsoni,SA,COLUMBIFORMES,Columbidae,Colombiadue
1336,Nesoenas picturatus,AF,COLUMBIFORMES,Columbidae,Madagaskardue
1337,Nesoenas mayeri,IO,COLUMBIFORMES,Columbidae,Rosendue
1338,Streptopelia turtur,PAL,COLUMBIFORMES,Columbidae,Turteldue
1339,Streptopelia lugens,"AF, PAL",COLUMBIFORMES,Columbidae,Mørk Turteldue
1340,Streptopelia hypopyrrha,AF,COLUMBIFORMES,Columbidae,Adamawa-turteldue
1341,Streptopelia orientalis,"PAL, OR",COLUMBIFORMES,Columbidae,Østlig Turteldue
1342,Streptopelia bitorquata,"OR, AU",COLUMBIFORMES,Columbidae,Sundaturteldue
1343,Streptopelia dusumieri,OR,COLUMBIFORMES,Columbidae,Filippinsk Turteldue
1344,Streptopelia decaocto,"PAL, OR",COLUMBIFORMES,Columbidae,Tyrkerdue
