,IOC,Breeding Range,Order,Family,Portuguese
2493,Syrigma sibilatrix,SA,PELECANIFORMES,Ardeidae,maria-faceira
2494,Egretta picata,AU,PELECANIFORMES,Ardeidae,garça-alvinegra
2495,Egretta novaehollandiae,AU,PELECANIFORMES,Ardeidae,garça-de-faces-brancas
2496,Egretta rufescens,"NA, MA",PELECANIFORMES,Ardeidae,garça-avermelhada
2497,Egretta ardesiaca,AF,PELECANIFORMES,Ardeidae,garça-preta
2498,Egretta vinaceigula,AF,PELECANIFORMES,Ardeidae,garça-de-garganta-vermelha
2499,Egretta tricolor,"NA, MA, SA",PELECANIFORMES,Ardeidae,garça-tricolor
2500,Egretta caerulea,"NA, MA, SA",PELECANIFORMES,Ardeidae,garça-morena
2501,Egretta thula,"NA, MA, SA",PELECANIFORMES,Ardeidae,garça-branca-americana
2502,Egretta garzetta,"PAL, AF, OR, AU",PELECANIFORMES,Ardeidae,garça-branca-pequena
2503,Egretta gularis,"AF, PAL, OR",PELECANIFORMES,Ardeidae,garça-dos-recifes-ocidental
2504,Egretta dimorpha,AF,PELECANIFORMES,Ardeidae,garça-dimorfa
2505,Egretta sacra,"OR, AU",PELECANIFORMES,Ardeidae,garça-dos-recifes-oriental
2506,Egretta eulophotes,PAL,PELECANIFORMES,Ardeidae,garça-chinesa
2507,Scopus umbretta,AF,PELECANIFORMES,Scopidae,pássaro-martelo
2508,Balaeniceps rex,AF,PELECANIFORMES,Balaenicipitidae,bico-de-sapato
2509,Pelecanus onocrotalus,"PAL, AF",PELECANIFORMES,Pelecanidae,pelicano-branco-grande
2510,Pelecanus rufescens,AF,PELECANIFORMES,Pelecanidae,pelicano-cinzento
2511,Pelecanus philippensis,OR,PELECANIFORMES,Pelecanidae,pelicano-de-bico-pintado
2512,Pelecanus crispus,PAL,PELECANIFORMES,Pelecanidae,pelicano-crespo
2513,Pelecanus conspicillatus,AU,PELECANIFORMES,Pelecanidae,pelicano-australiano
2514,Pelecanus occidentalis,"NA, MA, SA",PELECANIFORMES,Pelecanidae,pelicano-pardo
2515,Pelecanus thagus,SA,PELECANIFORMES,Pelecanidae,pelicano-peruano
2516,Opisthocomus hoazin,SA,OPISTHOCOMIFORMES,Opisthocomidae,cigana
2517,Sarcoramphus papa,"MA, SA",ACCIPITRIFORMES,Cathartidae,urubu-rei
2518,Vultur gryphus,SA,ACCIPITRIFORMES,Cathartidae,condor-dos-andes
2519,Coragyps atratus,"NA, MA, SA",ACCIPITRIFORMES,Cathartidae,urubu-preto
2520,Cathartes aura,"NA, MA, SA",ACCIPITRIFORMES,Cathartidae,urubu-de-cabeça-vermelha
2521,Cathartes burrovianus,"MA, SA",ACCIPITRIFORMES,Cathartidae,urubu-de-cabeça-amarela
2522,Cathartes melambrotus,SA,ACCIPITRIFORMES,Cathartidae,urubu-da-mata
2523,Sagittarius serpentarius,AF,ACCIPITRIFORMES,Sagittariidae,secretário
2524,Pandion haliaetus,Worldwide,ACCIPITRIFORMES,Pandionidae,guincho
2525,Elanus caeruleus,"AF, OR, AU",ACCIPITRIFORMES,Accipitridae,peneireiro-cinzento
2526,Elanus axillaris,AU,ACCIPITRIFORMES,Accipitridae,peneireiro-de-ombros-pretos
2527,Elanus leucurus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-peneira
2528,Elanus scriptus,AU,ACCIPITRIFORMES,Accipitridae,peneireiro-escrito
2529,Gampsonyx swainsonii,SA,ACCIPITRIFORMES,Accipitridae,gaviãozinho
2530,Chelictinia riocourii,AF,ACCIPITRIFORMES,Accipitridae,peneireiro-rabo-de-andorinha
2531,Polyboroides typus,AF,ACCIPITRIFORMES,Accipitridae,gavião-secretário-africano
2532,Polyboroides radiatus,AF,ACCIPITRIFORMES,Accipitridae,gavião-secretário-de-madagáscar
2533,Gypohierax angolensis,AF,ACCIPITRIFORMES,Accipitridae,abutre-das-palmeiras
2534,Gypaetus barbatus,"AF, PAL",ACCIPITRIFORMES,Accipitridae,brita-ossos
2535,Neophron percnopterus,"AF, PAL, OR",ACCIPITRIFORMES,Accipitridae,britango
2536,Eutriorchis astur,AF,ACCIPITRIFORMES,Accipitridae,águia-serpentária-de-madagáscar
2537,Leptodon cayanensis,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-gato-comum
2538,Leptodon forbesi,SA,ACCIPITRIFORMES,Accipitridae,gavião-gato-do-nordeste
2539,Chondrohierax uncinatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-caracoleiro
2540,Pernis apivorus,PAL,ACCIPITRIFORMES,Accipitridae,bútio-vespeiro-ocidental
2541,Pernis ptilorhynchus,"PAL, OR",ACCIPITRIFORMES,Accipitridae,bútio-vespeiro-oriental
2542,Pernis celebensis,AU,ACCIPITRIFORMES,Accipitridae,bútio-vespeiro-listrado
2543,Pernis steerei,OR,ACCIPITRIFORMES,Accipitridae,bútio-vespeiro-filipino
2544,Elanoides forficatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-tesoura
2545,Lophoictinia isura,AU,ACCIPITRIFORMES,Accipitridae,milhafre-de-rabo-quadrado
2546,Hamirostra melanosternon,AU,ACCIPITRIFORMES,Accipitridae,bútio-de-peito-preto
2547,Aviceda cuculoides,AF,ACCIPITRIFORMES,Accipitridae,gavião-cuco-africano
2548,Aviceda madagascariensis,AF,ACCIPITRIFORMES,Accipitridae,gavião-cuco-de-peito-pintado
2549,Aviceda jerdoni,"OR, AU",ACCIPITRIFORMES,Accipitridae,baza-pardo
2550,Aviceda subcristata,AU,ACCIPITRIFORMES,Accipitridae,baza-australiano
2551,Aviceda leuphotes,OR,ACCIPITRIFORMES,Accipitridae,baza-preto
2552,Henicopernis longicauda,AU,ACCIPITRIFORMES,Accipitridae,milhafre-de-cauda-comprida
2553,Henicopernis infuscatus,AU,ACCIPITRIFORMES,Accipitridae,milhafre-escuro
2554,Necrosyrtes monachus,AF,ACCIPITRIFORMES,Accipitridae,jagudi
2555,Gyps africanus,AF,ACCIPITRIFORMES,Accipitridae,grifo-de-dorso-branco
2556,Gyps bengalensis,OR,ACCIPITRIFORMES,Accipitridae,grifo-de-bengala
2557,Gyps indicus,OR,ACCIPITRIFORMES,Accipitridae,grifo-indiano
2558,Gyps tenuirostris,OR,ACCIPITRIFORMES,Accipitridae,grifo-de-bico-estreito
2559,Gyps rueppelli,AF,ACCIPITRIFORMES,Accipitridae,grifo-pedrês
2560,Gyps himalayensis,OR,ACCIPITRIFORMES,Accipitridae,grifo-do-himalaia
2561,Gyps fulvus,"AF, PAL",ACCIPITRIFORMES,Accipitridae,grifo-eurasiático
2562,Gyps coprotheres,AF,ACCIPITRIFORMES,Accipitridae,grifo-do-cabo
2563,Sarcogyps calvus,OR,ACCIPITRIFORMES,Accipitridae,abutre-de-cabeça-vermelha
2564,Trigonoceps occipitalis,AF,ACCIPITRIFORMES,Accipitridae,abutre-de-cabeça-branca
2565,Aegypius monachus,PAL,ACCIPITRIFORMES,Accipitridae,abutre-preto
2566,Torgos tracheliotos,AF,ACCIPITRIFORMES,Accipitridae,abutre-real
2567,Spilornis cheela,OR,ACCIPITRIFORMES,Accipitridae,águia-cobreira-de-penacho
2568,Spilornis klossi,OR,ACCIPITRIFORMES,Accipitridae,águia-cobreira-pequena
2569,Spilornis kinabaluensis,OR,ACCIPITRIFORMES,Accipitridae,águia-cobreira-montesa
2570,Spilornis rufipectus,AU,ACCIPITRIFORMES,Accipitridae,águia-cobreira-de-peito-ruivo
2571,Spilornis holospilus,OR,ACCIPITRIFORMES,Accipitridae,águia-cobreira-de-nuca-escamosa
2572,Spilornis elgini,OR,ACCIPITRIFORMES,Accipitridae,águia-cobreira-escura
2573,Pithecophaga jefferyi,OR,ACCIPITRIFORMES,Accipitridae,águia-filipina
2574,Circaetus gallicus,"PAL, OR",ACCIPITRIFORMES,Accipitridae,águia-cobreira-eurasiática
2575,Circaetus beaudouini,AF,ACCIPITRIFORMES,Accipitridae,águia-cobreira-da-guiné
2576,Circaetus pectoralis,AF,ACCIPITRIFORMES,Accipitridae,águia-cobreira-de-peito-preto
2577,Circaetus cinereus,AF,ACCIPITRIFORMES,Accipitridae,águia-cobreira-castanha
2578,Circaetus fasciolatus,AF,ACCIPITRIFORMES,Accipitridae,águia-cobreira-barrada
2579,Circaetus cinerascens,AF,ACCIPITRIFORMES,Accipitridae,águia-cobreira-de-cauda-branca
2580,Dryotriorchis spectabilis,AF,ACCIPITRIFORMES,Accipitridae,águia-cobreira-do-congo
2581,Terathopius ecaudatus,AF,ACCIPITRIFORMES,Accipitridae,águia-pintada
2582,Macheiramphus alcinus,"AF, OR, AU",ACCIPITRIFORMES,Accipitridae,gavião-morcegueiro
2583,Harpyopsis novaeguineae,AU,ACCIPITRIFORMES,Accipitridae,águia-papua
2584,Morphnus guianensis,"MA, SA",ACCIPITRIFORMES,Accipitridae,uiraçu
2585,Harpia harpyja,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-real
2586,Stephanoaetus coronatus,AF,ACCIPITRIFORMES,Accipitridae,águia-coroada
2587,Nisaetus kelaarti,OR,ACCIPITRIFORMES,Accipitridae,águia-cingalesa
2588,Nisaetus nanus,OR,ACCIPITRIFORMES,Accipitridae,águia-malaia
2589,Nisaetus nipalensis,OR,ACCIPITRIFORMES,Accipitridae,águia-montês
2590,Nisaetus alboniger,OR,ACCIPITRIFORMES,Accipitridae,águia-alvinegra
2591,Nisaetus bartelsi,OR,ACCIPITRIFORMES,Accipitridae,águia-de-java
2592,Nisaetus lanceolatus,AU,ACCIPITRIFORMES,Accipitridae,águia-da-celebes
2593,Nisaetus pinskeri,OR,ACCIPITRIFORMES,Accipitridae,águia-filipina-meridional
2594,Nisaetus philippensis,OR,ACCIPITRIFORMES,Accipitridae,águia-filipina-setentrional
2595,Nisaetus cirrhatus,OR,ACCIPITRIFORMES,Accipitridae,águia-variável
2596,Nisaetus floris,AU,ACCIPITRIFORMES,Accipitridae,águia-de-flores
2597,Spizaetus tyrannus,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-pega-macaco
2598,Spizaetus melanoleucus,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-pato
2599,Spizaetus ornatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-de-penacho
2600,Spizaetus isidori,SA,ACCIPITRIFORMES,Accipitridae,gavião-bicolor
2601,Lophotriorchis kienerii,"OR, AU",ACCIPITRIFORMES,Accipitridae,águia-de-barriga-ruiva
2602,Polemaetus bellicosus,AF,ACCIPITRIFORMES,Accipitridae,águia-marcial
2603,Lophaetus occipitalis,AF,ACCIPITRIFORMES,Accipitridae,águia-de-penacho
2604,Ictinaetus malaiensis,OR,ACCIPITRIFORMES,Accipitridae,águia-negra
2605,Clanga hastata,OR,ACCIPITRIFORMES,Accipitridae,águia-indiana
2606,Clanga pomarina,PAL,ACCIPITRIFORMES,Accipitridae,águia-da-pomerânia
2607,Clanga clanga,PAL,ACCIPITRIFORMES,Accipitridae,águia-malhada
2608,Hieraaetus wahlbergi,AF,ACCIPITRIFORMES,Accipitridae,águia-da-savana
2609,Hieraaetus ayresii,AF,ACCIPITRIFORMES,Accipitridae,águia-manchada
2610,Hieraaetus pennatus,PAL,ACCIPITRIFORMES,Accipitridae,águia-calçada
2611,Hieraaetus weiskei,AU,ACCIPITRIFORMES,Accipitridae,águia-anã
2612,Hieraaetus morphnoides,AU,ACCIPITRIFORMES,Accipitridae,águia-pequena
2613,Aquila nipalensis,PAL,ACCIPITRIFORMES,Accipitridae,águia-das-estepes
2614,Aquila rapax,AF,ACCIPITRIFORMES,Accipitridae,águia-fulva
2615,Aquila adalberti,PAL,ACCIPITRIFORMES,Accipitridae,águia-imperial-ibérica
2616,Aquila heliaca,PAL,ACCIPITRIFORMES,Accipitridae,águia-imperial-oriental
2617,Aquila chrysaetos,"NA, MA, PAL",ACCIPITRIFORMES,Accipitridae,águia-real
2618,Aquila africana,AF,ACCIPITRIFORMES,Accipitridae,águia-africana
2619,Aquila audax,AU,ACCIPITRIFORMES,Accipitridae,águia-audaz
2620,Aquila gurneyi,AU,ACCIPITRIFORMES,Accipitridae,águia-das-molucas
2621,Aquila verreauxii,AF,ACCIPITRIFORMES,Accipitridae,águia-preta
2622,Aquila fasciata,"PAL, OR",ACCIPITRIFORMES,Accipitridae,águia-perdigueira
2623,Aquila spilogaster,AF,ACCIPITRIFORMES,Accipitridae,águia-dominó
2624,Harpagus bidentatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-ripina
2625,Harpagus diodon,SA,ACCIPITRIFORMES,Accipitridae,gavião-bombachinha-cinza
2626,Kaupifalco monogrammicus,AF,ACCIPITRIFORMES,Accipitridae,gavião-papa-lagartos
2627,Micronisus gabar,AF,ACCIPITRIFORMES,Accipitridae,gavião-palrador
2628,Melierax metabates,AF,ACCIPITRIFORMES,Accipitridae,açor-cantor-escuro
2629,Melierax poliopterus,AF,ACCIPITRIFORMES,Accipitridae,açor-cantor-oriental
2630,Melierax canorus,AF,ACCIPITRIFORMES,Accipitridae,açor-cantor-pálido
2631,Urotriorchis macrourus,AF,ACCIPITRIFORMES,Accipitridae,açor-rabilongo
2632,Erythrotriorchis buergersi,AU,ACCIPITRIFORMES,Accipitridae,açor-de-ombros-castanhos
2633,Erythrotriorchis radiatus,AU,ACCIPITRIFORMES,Accipitridae,açor-vermelho
2634,Megatriorchis doriae,AU,ACCIPITRIFORMES,Accipitridae,açor-tigre
2635,Microspizias superciliosus,"MA, SA",ACCIPITRIFORMES,Accipitridae,tauató-passarinho
2636,Microspizias collaris,SA,ACCIPITRIFORMES,Accipitridae,gaviãozinho-de-colar-partido
2637,Accipiter trivirgatus,OR,ACCIPITRIFORMES,Accipitridae,açor-de-poupa
2638,Accipiter griseiceps,AU,ACCIPITRIFORMES,Accipitridae,açor-de-peito-raiado
2639,Accipiter poliogaster,SA,ACCIPITRIFORMES,Accipitridae,tauató-pintado
2640,Accipiter toussenelii,AF,ACCIPITRIFORMES,Accipitridae,gavião-de-peito-ruivo
2641,Accipiter tachiro,AF,ACCIPITRIFORMES,Accipitridae,açor-africano
2642,Accipiter castanilius,AF,ACCIPITRIFORMES,Accipitridae,gavião-de-flancos-ruivos
2643,Accipiter badius,"AF, OR",ACCIPITRIFORMES,Accipitridae,gavião-chicra
2644,Accipiter butleri,OR,ACCIPITRIFORMES,Accipitridae,gavião-das-nicobar
2645,Accipiter brevipes,PAL,ACCIPITRIFORMES,Accipitridae,gavião-do-levante
2646,Accipiter soloensis,PAL,ACCIPITRIFORMES,Accipitridae,gavião-chinês
2647,Accipiter francesiae,AF,ACCIPITRIFORMES,Accipitridae,gavião-lagarto
2648,Accipiter trinotatus,AU,ACCIPITRIFORMES,Accipitridae,açor-de-rabo-pintado
2649,Accipiter novaehollandiae,AU,ACCIPITRIFORMES,Accipitridae,açor-cinzento
2650,Accipiter hiogaster,AU,ACCIPITRIFORMES,Accipitridae,açor-variável
2651,Accipiter fasciatus,AU,ACCIPITRIFORMES,Accipitridae,açor-australiano
2652,Accipiter melanochlamys,AU,ACCIPITRIFORMES,Accipitridae,açor-de-dorso-preto
2653,Accipiter albogularis,AU,ACCIPITRIFORMES,Accipitridae,açor-alvinegro
2654,Accipiter haplochrous,AU,ACCIPITRIFORMES,Accipitridae,gavião-de-barriga-branca
2655,Accipiter rufitorques,PO,ACCIPITRIFORMES,Accipitridae,açor-de-colar-ruivo
2656,Accipiter henicogrammus,AU,ACCIPITRIFORMES,Accipitridae,açor-das-molucas-setentrionais
2657,Accipiter luteoschistaceus,AU,ACCIPITRIFORMES,Accipitridae,açor-de-dorso-ardósia
2658,Accipiter imitator,AU,ACCIPITRIFORMES,Accipitridae,açor-imitador
2659,Accipiter poliocephalus,AU,ACCIPITRIFORMES,Accipitridae,açor-de-cabeça-cinzenta
2660,Accipiter princeps,AU,ACCIPITRIFORMES,Accipitridae,açor-da-nova-bretanha
2661,Accipiter erythropus,AF,ACCIPITRIFORMES,Accipitridae,gavião-de-calças-ruivas
2662,Accipiter minullus,AF,ACCIPITRIFORMES,Accipitridae,gavião-pequeno
2663,Accipiter gularis,PAL,ACCIPITRIFORMES,Accipitridae,gavião-japonês
2664,Accipiter virgatus,OR,ACCIPITRIFORMES,Accipitridae,gavião-besra
2665,Accipiter nanus,AU,ACCIPITRIFORMES,Accipitridae,gavião-anão
2666,Accipiter erythrauchen,AU,ACCIPITRIFORMES,Accipitridae,gavião-de-pescoço-ruivo
2667,Accipiter cirrocephalus,AU,ACCIPITRIFORMES,Accipitridae,gavião-de-colar
2668,Accipiter brachyurus,AU,ACCIPITRIFORMES,Accipitridae,gavião-da-nova-bretanha
2669,Accipiter rhodogaster,AU,ACCIPITRIFORMES,Accipitridae,gavião-de-peito-avinhado
2670,Accipiter madagascariensis,AF,ACCIPITRIFORMES,Accipitridae,gavião-de-madagáscar
2671,Accipiter ovampensis,AF,ACCIPITRIFORMES,Accipitridae,gavião-da-savana
2672,Accipiter nisus,PAL,ACCIPITRIFORMES,Accipitridae,gavião-eurasiático
2673,Accipiter rufiventris,AF,ACCIPITRIFORMES,Accipitridae,gavião-ruivo
2674,Accipiter striatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,gavião-miúdo
2675,Accipiter chionogaster,MA,ACCIPITRIFORMES,Accipitridae,gavião-de-peito-branco
2676,Accipiter ventralis,SA,ACCIPITRIFORMES,Accipitridae,gavião-andino
2677,Accipiter erythronemius,SA,ACCIPITRIFORMES,Accipitridae,tauató-miúdo
2678,Accipiter cooperii,"NA, MA",ACCIPITRIFORMES,Accipitridae,gavião-galinha
2679,Accipiter bicolor,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-bombachinha-grande
2680,Accipiter chilensis,SA,ACCIPITRIFORMES,Accipitridae,gavião-chileno
2681,Accipiter melanoleucus,AF,ACCIPITRIFORMES,Accipitridae,açor-preto
2682,Accipiter henstii,AF,ACCIPITRIFORMES,Accipitridae,açor-de-madagáscar
2683,Accipiter gentilis,PAL,ACCIPITRIFORMES,Accipitridae,açor-nortenho
2684,Accipiter atricapillus,"NA, MA",ACCIPITRIFORMES,Accipitridae,American Goshawk
2685,Accipiter meyerianus,AU,ACCIPITRIFORMES,Accipitridae,açor-papua
2686,Circus aeruginosus,"PAL, AF",ACCIPITRIFORMES,Accipitridae,águia-sapeira-ocidental
2687,Circus spilonotus,PAL,ACCIPITRIFORMES,Accipitridae,águia-sapeira-oriental
2688,Circus spilothorax,AU,ACCIPITRIFORMES,Accipitridae,tartaranhão-papua
2689,Circus approximans,AU,ACCIPITRIFORMES,Accipitridae,tartaranhão-do-pacífico
2690,Circus ranivorus,AF,ACCIPITRIFORMES,Accipitridae,tartaranhão-dos-pântanos
2691,Circus maillardi,AF,ACCIPITRIFORMES,Accipitridae,tartaranhão-da-reunião
2692,Circus macrosceles,AF,ACCIPITRIFORMES,Accipitridae,tartaranhão-malgaxe
2693,Circus buffoni,SA,ACCIPITRIFORMES,Accipitridae,gavião-do-banhado
2694,Circus assimilis,AU,ACCIPITRIFORMES,Accipitridae,tartaranhão-malhado
2695,Circus maurus,AF,ACCIPITRIFORMES,Accipitridae,tartaranhão-preto
2696,Circus cyaneus,PAL,ACCIPITRIFORMES,Accipitridae,tartaranhão-cinzento-eurasiático
2697,Circus hudsonius,"NA, MA",ACCIPITRIFORMES,Accipitridae,tartaranhão-cinzento-americano
2698,Circus cinereus,SA,ACCIPITRIFORMES,Accipitridae,gavião-cinza
2699,Circus macrourus,PAL,ACCIPITRIFORMES,Accipitridae,tartaranhão-pálido
2700,Circus melanoleucos,PAL,ACCIPITRIFORMES,Accipitridae,tartaranhão-alvinegro
2701,Circus pygargus,PAL,ACCIPITRIFORMES,Accipitridae,águia-caçadeira
2702,Milvus milvus,PAL,ACCIPITRIFORMES,Accipitridae,milhafre-real
2703,Milvus migrans,"PAL, AF, OR, AU",ACCIPITRIFORMES,Accipitridae,milhafre-preto
2704,Milvus aegyptius,AF,ACCIPITRIFORMES,Accipitridae,milhafre-de-bico-amarelo
2705,Haliastur sphenurus,AU,ACCIPITRIFORMES,Accipitridae,milhafre-assobiador
2706,Haliastur indus,"OR, AU",ACCIPITRIFORMES,Accipitridae,milhafre-de-dorso-ruivo
2707,Haliaeetus pelagicus,PAL,ACCIPITRIFORMES,Accipitridae,pigargo-gigante
2708,Haliaeetus leucoryphus,PAL,ACCIPITRIFORMES,Accipitridae,pigargo-de-cauda-barrada
2709,Haliaeetus albicilla,PAL,ACCIPITRIFORMES,Accipitridae,pigargo-eurasiático
2710,Icthyophaga leucogaster,"OR, AU",ACCIPITRIFORMES,Accipitridae,pigargo-oriental
2711,Icthyophaga sanfordi,AU,ACCIPITRIFORMES,Accipitridae,pigargo-das-salomão
2712,Icthyophaga vocifer,AF,ACCIPITRIFORMES,Accipitridae,pigargo-africano
2713,Icthyophaga vociferoides,AF,ACCIPITRIFORMES,Accipitridae,pigargo-de-madagáscar
2714,Icthyophaga humilis,"OR, AU",ACCIPITRIFORMES,Accipitridae,pigargo-pequeno
2715,Icthyophaga ichthyaetus,OR,ACCIPITRIFORMES,Accipitridae,pigargo-de-cabeça-cinzenta
2716,Butastur rufipennis,AF,ACCIPITRIFORMES,Accipitridae,bútio-dos-gafanhotos
2717,Butastur teesa,OR,ACCIPITRIFORMES,Accipitridae,bútio-de-olho-branco
2718,Butastur liventer,"OR, AU",ACCIPITRIFORMES,Accipitridae,bútio-de-asa-ruiva
2719,Butastur indicus,PAL,ACCIPITRIFORMES,Accipitridae,bútio-de-faces-cinzentas
2720,Ictinia plumbea,"MA, SA",ACCIPITRIFORMES,Accipitridae,sovi-neotropical
2721,Busarellus nigricollis,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-belo
2722,Rostrhamus sociabilis,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-caramujeiro
2723,Helicolestes hamatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-do-igapó
2724,Geranospiza caerulescens,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-pernilongo
2725,Cryptoleucopteryx plumbea,SA,ACCIPITRIFORMES,Accipitridae,gavião-plúmbeo
2726,Buteogallus schistaceus,SA,ACCIPITRIFORMES,Accipitridae,gavião-azul
2727,Buteogallus anthracinus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-caranguejeiro-negro
2728,Buteogallus aequinoctialis,SA,ACCIPITRIFORMES,Accipitridae,gavião-caranguejeiro-ruivo
2729,Buteogallus meridionalis,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-caboclo
2730,Buteogallus lacernulatus,SA,ACCIPITRIFORMES,Accipitridae,gavião-pombo-pequeno
2731,Buteogallus urubitinga,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-preto
2732,Buteogallus solitarius,"MA, SA",ACCIPITRIFORMES,Accipitridae,águia-solitária
2733,Buteogallus coronatus,SA,ACCIPITRIFORMES,Accipitridae,águia-cinzenta
2734,Morphnarchus princeps,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-barrado
2735,Rupornis magnirostris,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-carijó
2736,Parabuteo unicinctus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-asa-de-telha
2737,Parabuteo leucorrhous,SA,ACCIPITRIFORMES,Accipitridae,gavião-de-sobre-branco
2738,Geranoaetus albicaudatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-de-rabo-branco
2739,Geranoaetus polyosoma,SA,ACCIPITRIFORMES,Accipitridae,gavião-de-costas-vermelhas
2740,Geranoaetus melanoleucus,SA,ACCIPITRIFORMES,Accipitridae,águia-serrana
2741,Pseudastur polionotus,SA,ACCIPITRIFORMES,Accipitridae,gavião-pombo-grande
2742,Pseudastur albicollis,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-branco
2743,Pseudastur occidentalis,SA,ACCIPITRIFORMES,Accipitridae,gavião-de-dorso-cinzento
2744,Leucopternis semiplumbeus,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-semiplúmbeo
2745,Leucopternis melanops,SA,ACCIPITRIFORMES,Accipitridae,gavião-de-cara-preta
2746,Leucopternis kuhli,SA,ACCIPITRIFORMES,Accipitridae,gavião-vaqueiro
2747,Buteo plagiatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,bútio-cinzento
2748,Buteo nitidus,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-pedrês
2749,Buteo lineatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,bútio-ruivo
2750,Buteo albigula,SA,ACCIPITRIFORMES,Accipitridae,gavião-de-papo-branco
2751,Buteo brachyurus,"MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-de-cauda-curta
2752,Buteo solitarius,PO,ACCIPITRIFORMES,Accipitridae,bútio-havaiano
2753,Buteo swainsoni,"NA, MA",ACCIPITRIFORMES,Accipitridae,bútio-das-pradarias
2754,Buteo galapagoensis,SA,ACCIPITRIFORMES,Accipitridae,bútio-das-galápagos
2755,Buteo albonotatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,gavião-urubu
2756,Buteo jamaicensis,"NA, MA",ACCIPITRIFORMES,Accipitridae,bútio-de-rabo-vermelho
2757,Buteo ventralis,SA,ACCIPITRIFORMES,Accipitridae,bútio-de-rabo-ruivo
2758,Buteo lagopus,"NA, PAL",ACCIPITRIFORMES,Accipitridae,bútio-calçado
2759,Buteo hemilasius,PAL,ACCIPITRIFORMES,Accipitridae,bútio-do-planalto
2760,Buteo japonicus,OR,ACCIPITRIFORMES,Accipitridae,bútio-japonês
2761,Buteo refectus,OR,ACCIPITRIFORMES,Accipitridae,bútio-do-himalaia
2762,Buteo rufinus,"PAL, AF",ACCIPITRIFORMES,Accipitridae,bútio-mourisco
2763,Buteo bannermani,AF,ACCIPITRIFORMES,Accipitridae,bútio-de-cabo-verde
2764,Buteo socotraensis,AF,ACCIPITRIFORMES,Accipitridae,bútio-de-socotorá
2765,Buteo buteo,PAL,ACCIPITRIFORMES,Accipitridae,águia-de-asa-redonda
2766,Buteo trizonatus,AF,ACCIPITRIFORMES,Accipitridae,bútio-da-floresta
2767,Buteo oreophilus,AF,ACCIPITRIFORMES,Accipitridae,bútio-da-montanha
2768,Buteo auguralis,AF,ACCIPITRIFORMES,Accipitridae,bútio-de-capuz-vermelho
2769,Buteo brachypterus,AF,ACCIPITRIFORMES,Accipitridae,bútio-de-madagáscar
2770,Buteo augur,AF,ACCIPITRIFORMES,Accipitridae,bútio-áugure
2771,Buteo rufofuscus,AF,ACCIPITRIFORMES,Accipitridae,bútio-chacal
2772,Tyto tenebricosa,AU,STRIGIFORMES,Tytonidae,coruja-sombria
2773,Tyto multipunctata,AU,STRIGIFORMES,Tytonidae,coruja-mosqueada
2774,Tyto inexspectata,AU,STRIGIFORMES,Tytonidae,coruja-mascarada-de-minahassa
2775,Tyto nigrobrunnea,AU,STRIGIFORMES,Tytonidae,coruja-mascarada-de-taliabu
2776,Tyto sororcula,AU,STRIGIFORMES,Tytonidae,coruja-mascarada-das-molucas
2777,Tyto manusi,AU,STRIGIFORMES,Tytonidae,coruja-mascarada-da-manus
2778,Tyto aurantia,AU,STRIGIFORMES,Tytonidae,coruja-mascarada-dourada
2779,Tyto novaehollandiae,AU,STRIGIFORMES,Tytonidae,coruja-mascarada-australiana
2780,Tyto rosenbergii,AU,STRIGIFORMES,Tytonidae,coruja-mascarada-da-celebes
2781,Tyto soumagnei,AF,STRIGIFORMES,Tytonidae,coruja-vermelha-de-madagáscar
2782,Tyto alba,"AF, PAL",STRIGIFORMES,Tytonidae,coruja-das-torres-ocidental
