,IOC,Breeding Range,Order,Family,Portuguese
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,ganso-de-peito-ruivo
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,ganso-havaiano
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,ganso-marisco
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,ganso-de-cabeça-listada
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,ganso-imperador
78,Anser anser,PAL,ANSERIFORMES,Anatidae,ganso-bravo
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,ganso-chinês
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,ganso-campestre-da-taiga
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,ganso-de-bico-curto
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,ganso-campestre-da-tundra
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,ganso-de-testa-branca
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,ganso-pequeno
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,capororoca
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,cisne-preto
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,cisne-de-pescoço-preto
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,cisne-mudo
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,cisne-pequeno
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,cisne-bravo
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,pato-sardento
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,pato-azul
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,pato-vapor-patagónico
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,pato-vapor-magalhânico
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,pato-vapor-das-malvinas
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,pato-vapor-de-cabeça-branca
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,pato-das-torrentes
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,pato-ferrão
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,pato-de-crista
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,pato-de-carúncula
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,ganso-de-asa-azul
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,ganso-do-egito
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,pato-corredor
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,ganso-andino
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,ganso-magalhânico
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,ganso-papa-algas
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,ganso-de-cabeça-cinzenta
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,ganso-de-cabeça-ruiva
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,pato-rajá
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,tadorna-comum
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,pato-casarca
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,tadorna-africana
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,pato-australiano
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,pato-do-paraíso
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,pato-de-orelha-rosada
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,marrequinha-papua
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,pato-do-mato
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,pato-de-asa-branca
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,pato-das-florestas-africano
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,pato-mandarim
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,pato-de-crina
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,pato-orelhudo
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,gansinho-oriental
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,gansinho-australiano
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,marreca-ananaí
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,marreca-de-coleira
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,pato-de-penacho
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,pato-de-óculos
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,marrequinha-formosa
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,marreco-comum
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,marreco-de-bico-azul
132,Spatula puna,SA,ANSERIFORMES,Anatidae,marreca-da-puna
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,marreca-cricri
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,marreca-colhereira
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,marreca-colorada
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,pato-colhereiro-do-cabo
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,pato-colhereiro-australasiático
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,pato-colhereiro-comum
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,frisada
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,pato-falcado
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,piadeira-comum
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,marreca-oveira
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,pato-preto-africano
144,Anas undulata,AF,ANSERIFORMES,Anatidae,pato-de-bico-amarelo
145,Anas melleri,AF,ANSERIFORMES,Anatidae,pato-de-madagáscar
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,pato-preto-australiano
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,pato-de-laysan
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,pato-havaiano
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,pato-filipino
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,pato-de-bico-pintado-indiano
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,pato-de-bico-pintado-oriental
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,pato-real
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,pato-mexicano
154,Anas capensis,AF,ANSERIFORMES,Anatidae,marrequinha-de-bico-vermelho
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,marreca-toicinho
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,arrábio-de-bico-vermelho
157,Anas georgica,SA,ANSERIFORMES,Anatidae,marreca-parda
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,arrábio-meridional
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,arrábio-comum
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,marrequinha-comum
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,marreca-pardinha
162,Anas andium,SA,ANSERIFORMES,Anatidae,marreca-andina
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,marrequinha-da-sunda
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,marrequinha-das-andamão
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,marrequinha-cinzenta
166,Anas castanea,AU,ANSERIFORMES,Anatidae,marrequinha-castanha
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,marrequinha-de-madagáscar
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,marrequinha-maori
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,marrequinha-das-auckland
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,marrequinha-das-campbell
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,pardilheira
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,pato-de-bico-vermelho
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,marrecão
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,paturi-preta
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,zarro-comum
176,Aythya australis,AU,ANSERIFORMES,Anatidae,zarro-australiano
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,zarro-de-madagáscar
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,zarro-oriental
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,perra
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,zarro-maori
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,negrinha
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,negrelho-comum
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,êider-pequeno
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,êider-de-lunetas
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,êider-real
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,êider-grande
