,IOC,Breeding Range,Order,Family,Ukrainian
532,Eleothreptus anomalus,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга-короткохвіст
533,Eleothreptus candicans,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга білокрилий
534,Systellura longirostris,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга довгодзьобий
535,Systellura decussata,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга перуанський
536,Uropsalis segmentata,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга-лірохвіст колумбійський
537,Uropsalis lyra,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга-лірохвіст рудошиїй
538,Hydropsalis cayennensis,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,дрімлюга білохвостий
539,Hydropsalis maculicaudus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,дрімлюга світлобровий
540,Hydropsalis climacocerca,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга-вилохвіст колумбійський
541,Hydropsalis torquata,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга-вилохвіст бразильський
542,Macropsalis forcipata,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга-лірохвіст бразильський
543,Nyctiphrynus rosenbergi,SA,CAPRIMULGIFORMES,Caprimulgidae,леляк колумбійський
544,Nyctiphrynus mcleodii,MA,CAPRIMULGIFORMES,Caprimulgidae,леляк мексиканський
545,Nyctiphrynus yucatanicus,MA,CAPRIMULGIFORMES,Caprimulgidae,леляк юкатанський
546,Nyctiphrynus ocellatus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,леляк бразильський
547,Phalaenoptilus nuttallii,"NA, MA",CAPRIMULGIFORMES,Caprimulgidae,пораке чорнощокий
548,Antrostomus rufus,"MA, SA",CAPRIMULGIFORMES,Caprimulgidae,дрімлюга рудий
549,Antrostomus salvini,MA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга східний
550,Antrostomus badius,MA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга юкатанський
551,Antrostomus sericocaudatus,SA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга парагвайський
552,Antrostomus ridgwayi,MA,CAPRIMULGIFORMES,Caprimulgidae,тукухіло
553,Antrostomus saturatus,MA,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга коста-риканський
554,Veles binotatus,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга бурий
555,Caprimulgus ruficollis,"PAL, AF",CAPRIMULGIFORMES,Caprimulgidae,дрімлюга іспанський
556,Caprimulgus indicus,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга великий
557,Caprimulgus jotaka,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга маньчжурський
558,Caprimulgus phalaena,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга палауський
559,Caprimulgus europaeus,PAL,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга звичайний
560,Caprimulgus fraenatus,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга танзанійський
561,Caprimulgus rufigena,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга акацієвий
562,Caprimulgus aegyptius,"PAL, AF",CAPRIMULGIFORMES,Caprimulgidae,дрімлюга буланий
563,Caprimulgus mahrattensis,PAL,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга пакистанський
564,Caprimulgus nubicus,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга нубійський
565,Caprimulgus eximius,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга золотистий
566,Caprimulgus atripennis,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга бенгальський
567,Caprimulgus macrurus,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,дрімлюга великохвостий
568,Caprimulgus meesi,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга сундайський
569,Caprimulgus andamanicus,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга андаманський
570,Caprimulgus manillensis,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга філіпінський
571,Caprimulgus celebensis,AU,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга сулавеський
572,Caprimulgus donaldsoni,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга сомалійський
573,Caprimulgus pectoralis,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга міомбовий
574,Caprimulgus poliocephalus,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга гірський
575,Caprimulgus asiaticus,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга індійський
576,Caprimulgus madagascariensis,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга мадагаскарський
577,Caprimulgus natalensis,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга болотяний
578,Caprimulgus solala,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга субтропічний
579,Caprimulgus inornatus,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга блідий
580,Caprimulgus stellatus,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга джибутійський
581,Caprimulgus affinis,"OR, AU",CAPRIMULGIFORMES,Caprimulgidae,дрімлюга савановий
582,Caprimulgus griseatus,OR,CAPRIMULGIFORMES,Caprimulgidae,Chirruping Nightjar
583,Caprimulgus tristigma,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга плямистий
584,Caprimulgus concretus,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга суматранський
585,Caprimulgus pulchellus,OR,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга скельний
586,Caprimulgus prigoginei,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга заїрський
587,Caprimulgus batesi,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга джунглевий
588,Caprimulgus climacurus,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга польовий
589,Caprimulgus clarus,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга ефіопський
590,Caprimulgus fossii,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга габонський
591,Caprimulgus longipennis,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга-прапорокрил камерунський
592,Caprimulgus vexillarius,AF,CAPRIMULGIFORMES,Caprimulgidae,дрімлюга-прапорокрил ангольський
593,Steatornis caripensis,SA,STEATORNITHIFORMES,Steatornithidae,гуахаро
594,Phyllaemulor bracteatus,SA,NYCTIBIIFORMES,Nyctibiidae,поту рудий
595,Nyctibius grandis,"MA, SA",NYCTIBIIFORMES,Nyctibiidae,поту великий
596,Nyctibius aethereus,SA,NYCTIBIIFORMES,Nyctibiidae,поту довгохвостий
597,Nyctibius jamaicensis,"MA, NA",NYCTIBIIFORMES,Nyctibiidae,поту ямайський
598,Nyctibius griseus,"MA, SA",NYCTIBIIFORMES,Nyctibiidae,поту малий
599,Nyctibius maculosus,SA,NYCTIBIIFORMES,Nyctibiidae,поту гірський
600,Nyctibius leucopterus,SA,NYCTIBIIFORMES,Nyctibiidae,поту білокрилий
601,Podargus ocellatus,AU,PODARGIFORMES,Podargidae,білоніг новогвінейський
602,Podargus papuensis,AU,PODARGIFORMES,Podargidae,білоніг гігантський
603,Podargus strigoides,AU,PODARGIFORMES,Podargidae,білоніг австралійський
604,Rigidipenna inexpectata,AU,PODARGIFORMES,Podargidae,білоніг соломонський
605,Batrachostomus auritus,OR,PODARGIFORMES,Podargidae,корнудо вухатий
606,Batrachostomus harterti,OR,PODARGIFORMES,Podargidae,корнудо дулітський
607,Batrachostomus septimus,OR,PODARGIFORMES,Podargidae,корнудо філіпінський
608,Batrachostomus stellatus,OR,PODARGIFORMES,Podargidae,корнудо малазійський
609,Batrachostomus moniliger,OR,PODARGIFORMES,Podargidae,корнудо цейлонський
610,Batrachostomus hodgsoni,OR,PODARGIFORMES,Podargidae,корнудо довгохвостий
611,Batrachostomus poliolophus,OR,PODARGIFORMES,Podargidae,корнудо суматранський
612,Batrachostomus mixtus,OR,PODARGIFORMES,Podargidae,корнудо борнейський
613,Batrachostomus javensis,OR,PODARGIFORMES,Podargidae,корнудо яванський
614,Batrachostomus affinis,OR,PODARGIFORMES,Podargidae,корнудо індокитайський
615,Batrachostomus chaseni,OR,PODARGIFORMES,Podargidae,корнудо палаванський
616,Batrachostomus cornutus,OR,PODARGIFORMES,Podargidae,корнудо сундайський
617,Aegotheles insignis,AU,AEGOTHELIFORMES,Aegothelidae,еготело великий
618,Aegotheles tatei,AU,AEGOTHELIFORMES,Aegothelidae,татеї
619,Aegotheles crinifrons,AU,AEGOTHELIFORMES,Aegothelidae,еготело молуцький
620,Aegotheles wallacii,AU,AEGOTHELIFORMES,Aegothelidae,еготело темнокрилий
621,Aegotheles albertisi,AU,AEGOTHELIFORMES,Aegothelidae,еготело гірський
622,Aegotheles savesi,AU,AEGOTHELIFORMES,Aegothelidae,еготело новокаледонський
623,Aegotheles bennettii,AU,AEGOTHELIFORMES,Aegothelidae,еготело смугастоголовий
624,Aegotheles affinis,AU,AEGOTHELIFORMES,Aegothelidae,еготело новогвінейський
625,Aegotheles cristatus,AU,AEGOTHELIFORMES,Aegothelidae,еготело австралійський
626,Hemiprocne coronata,OR,APODIFORMES,Hemiprocnidae,клехо індійський
627,Hemiprocne longipennis,"OR, AU",APODIFORMES,Hemiprocnidae,клехо зеленокрилий
628,Hemiprocne comata,OR,APODIFORMES,Hemiprocnidae,клехо малий
629,Hemiprocne mystacea,AU,APODIFORMES,Hemiprocnidae,клехо великий
630,Cypseloides cherriei,"MA, SA",APODIFORMES,Apodidae,свіфт плямистолобий
631,Cypseloides cryptus,"MA, SA",APODIFORMES,Apodidae,свіфт нікарагуанський
632,Cypseloides storeri,MA,APODIFORMES,Apodidae,свіфт гуєрерський
633,Cypseloides fumigatus,SA,APODIFORMES,Apodidae,свіфт парагвайський
634,Cypseloides rothschildi,SA,APODIFORMES,Apodidae,свіфт аргентинський
635,Cypseloides niger,"NA, MA",APODIFORMES,Apodidae,свіфт західний
636,Cypseloides lemosi,SA,APODIFORMES,Apodidae,свіфт білогрудий
637,Cypseloides senex,SA,APODIFORMES,Apodidae,свіфт світлоголовий
638,Streptoprocne phelpsi,SA,APODIFORMES,Apodidae,свіфт венесуельський
639,Streptoprocne rutila,"MA, SA",APODIFORMES,Apodidae,свіфт рудошиїй
640,Streptoprocne zonaris,"MA, SA, NA",APODIFORMES,Apodidae,свіфт болівійський
641,Streptoprocne biscutata,SA,APODIFORMES,Apodidae,свіфт бразильський
642,Streptoprocne semicollaris,MA,APODIFORMES,Apodidae,свіфт мексиканський
643,Hydrochous gigas,OR,APODIFORMES,Apodidae,салангана велика
644,Collocalia affinis,OR,APODIFORMES,Apodidae,салангана оперенопала
645,Collocalia marginata,OR,APODIFORMES,Apodidae,салангана сірогуза
646,Collocalia isonota,OR,APODIFORMES,Apodidae,салангана філіпінська
647,Collocalia sumbawae,OR,APODIFORMES,Apodidae,салангана сумбайська
648,Collocalia neglecta,OR,APODIFORMES,Apodidae,салангана малосундайська
649,Collocalia esculenta,"OR, AU",APODIFORMES,Apodidae,салангана білочерева
650,Collocalia uropygialis,AU,APODIFORMES,Apodidae,салангана новокаледонська
651,Collocalia dodgei,OR,APODIFORMES,Apodidae,салангана борнейська
652,Collocalia linchi,OR,APODIFORMES,Apodidae,салангана зеленкувата
653,Collocalia natalis,IO,APODIFORMES,Apodidae,салангана різдвянська
654,Collocalia troglodytes,OR,APODIFORMES,Apodidae,салангана мала
655,Aerodramus elaphrus,IO,APODIFORMES,Apodidae,салангана сейшельська
656,Aerodramus francicus,IO,APODIFORMES,Apodidae,салангана маврикійська
657,Aerodramus unicolor,OR,APODIFORMES,Apodidae,салангана індійська
658,Aerodramus mearnsi,OR,APODIFORMES,Apodidae,салангана мінданайська
659,Aerodramus infuscatus,AU,APODIFORMES,Apodidae,салангана молуцька
660,Aerodramus sororum,AU,APODIFORMES,Apodidae,салангана сулавеська
661,Aerodramus ceramensis,AU,APODIFORMES,Apodidae,салангана серамська
662,Aerodramus hirundinaceus,AU,APODIFORMES,Apodidae,салангана гірська
663,Aerodramus spodiopygius,"AU, PO",APODIFORMES,Apodidae,салангана світлогуза
664,Aerodramus terraereginae,AU,APODIFORMES,Apodidae,салангана австралійська
665,Aerodramus brevirostris,OR,APODIFORMES,Apodidae,салангана гімалайська
666,Aerodramus vulcanorum,OR,APODIFORMES,Apodidae,салангана вулканійська
667,Aerodramus whiteheadi,OR,APODIFORMES,Apodidae,салангана датайська
668,Aerodramus nuditarsus,AU,APODIFORMES,Apodidae,салангана голонога
669,Aerodramus orientalis,AU,APODIFORMES,Apodidae,салангана меланезійська
670,Aerodramus salangana,OR,APODIFORMES,Apodidae,салангана яванська
671,Aerodramus vanikorensis,AU,APODIFORMES,Apodidae,салангана бура
672,Aerodramus amelis,OR,APODIFORMES,Apodidae,салангана сіра
673,Aerodramus pelewensis,PO,APODIFORMES,Apodidae,салангана атолова
674,Aerodramus bartschi,PO,APODIFORMES,Apodidae,салангана маріанська
675,Aerodramus inquietus,PO,APODIFORMES,Apodidae,салангана каролінська
676,Aerodramus leucophaeus,PO,APODIFORMES,Apodidae,салангана таїтійська
677,Aerodramus sawtelli,PO,APODIFORMES,Apodidae,салангана атіуйська
678,Aerodramus ocistus,PO,APODIFORMES,Apodidae,салангана маркізька
679,Aerodramus maximus,OR,APODIFORMES,Apodidae,салангана малазійська
680,Aerodramus fuciphagus,"OR, AU",APODIFORMES,Apodidae,салангана сундайська
681,Aerodramus germani,OR,APODIFORMES,Apodidae,салангана калімантанська
682,Aerodramus papuensis,AU,APODIFORMES,Apodidae,салангана папуанська
683,Schoutedenapus myoptilus,AF,APODIFORMES,Apodidae,серпокрилець зімбабвійський
684,Mearnsia picina,OR,APODIFORMES,Apodidae,голкохвіст філіпінський
685,Mearnsia novaeguineae,AU,APODIFORMES,Apodidae,голкохвіст новогвінейський
686,Zoonavena grandidieri,AF,APODIFORMES,Apodidae,голкохвіст мадагаскарський
687,Zoonavena thomensis,AF,APODIFORMES,Apodidae,голкохвіст сан-томейський
688,Zoonavena sylvatica,OR,APODIFORMES,Apodidae,голкохвіст індійський
689,Telacanthura ussheri,AF,APODIFORMES,Apodidae,голкохвіст плямистоволий
690,Telacanthura melanopygia,AF,APODIFORMES,Apodidae,голкохвіст ітурійський
691,Rhaphidura leucopygialis,OR,APODIFORMES,Apodidae,голкохвіст сивогузий
692,Rhaphidura sabini,AF,APODIFORMES,Apodidae,голкохвіст білочеревий
693,Neafrapus cassini,AF,APODIFORMES,Apodidae,голкохвіст нігерійський
694,Neafrapus boehmi,AF,APODIFORMES,Apodidae,голкохвіст ангольський
695,Hirundapus caudacutus,PAL,APODIFORMES,Apodidae,колючохвіст білогорлий
696,Hirundapus cochinchinensis,OR,APODIFORMES,Apodidae,колючохвіст бурогорлий
697,Hirundapus giganteus,OR,APODIFORMES,Apodidae,колючохвіст великий
698,Hirundapus celebensis,"OR, AU",APODIFORMES,Apodidae,колючохвіст пурпуровий
699,Chaetura cinereiventris,"MA, SA",APODIFORMES,Apodidae,голкохвіст сірогузий
700,Chaetura spinicaudus,"MA, SA",APODIFORMES,Apodidae,голкохвіст анапайський
701,Chaetura fumosa,"MA, SA",APODIFORMES,Apodidae,голкохвіст коста-риканський
702,Chaetura egregia,SA,APODIFORMES,Apodidae,голкохвіст еквадорський
703,Chaetura vauxi,"NA, MA, SA",APODIFORMES,Apodidae,голкохвіст сірочеревий
704,Chaetura chapmani,"MA, SA",APODIFORMES,Apodidae,голкохвіст колумбійський
705,Chaetura andrei,SA,APODIFORMES,Apodidae,голкохвіст темночеревий
706,Chaetura meridionalis,SA,APODIFORMES,Apodidae,голкохвіст південний
707,Chaetura brachyura,"MA, SA",APODIFORMES,Apodidae,голкохвіст вохристогузий
708,Aeronautes saxatalis,"NA, MA",APODIFORMES,Apodidae,серпокрилець білогорлий
709,Aeronautes montivagus,SA,APODIFORMES,Apodidae,серпокрилець гірський
710,Aeronautes andecolus,SA,APODIFORMES,Apodidae,серпокрилець андійський
711,Tachornis furcata,SA,APODIFORMES,Apodidae,серпокрилець-крихітка колумбійський
712,Tachornis squamata,SA,APODIFORMES,Apodidae,серпокрилець-крихітка неотропічний
713,Panyptila sanctihieronymi,MA,APODIFORMES,Apodidae,серпокрилець-вилохвіст великий
714,Panyptila cayennensis,"MA, SA",APODIFORMES,Apodidae,серпокрилець-вилохвіст малий
715,Cypsiurus parvus,AF,APODIFORMES,Apodidae,серпокрилець пальмовий
716,Cypsiurus gracilis,AF,APODIFORMES,Apodidae,серпокрилець мадагаскарський
717,Cypsiurus balasiensis,OR,APODIFORMES,Apodidae,серпокрилець південноазійський
718,Tachymarptis melba,"PAL, AF, OR",APODIFORMES,Apodidae,серпокрилець білочеревий
719,Tachymarptis aequatorialis,AF,APODIFORMES,Apodidae,серпокрилець еритрейський
720,Apus alexandri,AF,APODIFORMES,Apodidae,серпокрилець острівний
721,Apus apus,PAL,APODIFORMES,Apodidae,серпокрилець чорний
722,Apus unicolor,AF,APODIFORMES,Apodidae,серпокрилець канарський
723,Apus niansae,AF,APODIFORMES,Apodidae,серпокрилець бурий
724,Apus pallidus,"PAL, AF",APODIFORMES,Apodidae,серпокрилець блідий
725,Apus barbatus,AF,APODIFORMES,Apodidae,серпокрилець капський
726,Apus balstoni,AF,APODIFORMES,Apodidae,серпокрилець коморський
727,Apus sladeniae,AF,APODIFORMES,Apodidae,серпокрилець ангольський
728,Apus berliozi,AF,APODIFORMES,Apodidae,серпокрилець сокотрійський
729,Apus bradfieldi,AF,APODIFORMES,Apodidae,серпокрилець намібійський
730,Apus pacificus,PAL,APODIFORMES,Apodidae,серпокрилець сибірський
731,Apus salimalii,PAL,APODIFORMES,Apodidae,серпокрилець тибетський
732,Apus leuconyx,"PAL, OR",APODIFORMES,Apodidae,серпокрилець асамський
733,Apus cooki,OR,APODIFORMES,Apodidae,серпокрилець таїландський
734,Apus acuticauda,OR,APODIFORMES,Apodidae,серпокрилець гімалайський
735,Apus affinis,"AF, OR",APODIFORMES,Apodidae,серпокрилець малий
736,Apus nipalensis,OR,APODIFORMES,Apodidae,серпокрилець непальський
737,Apus horus,AF,APODIFORMES,Apodidae,серпокрилець ефіопський
738,Apus caffer,AF,APODIFORMES,Apodidae,серпокрилець білогузий
739,Apus batesi,AF,APODIFORMES,Apodidae,серпокрилець ліберійський
740,Topaza pella,SA,APODIFORMES,Trochilidae,колібрі-топаз малиновий
741,Topaza pyra,SA,APODIFORMES,Trochilidae,колібрі-топаз вогнистий
742,Florisuga mellivora,"MA, SA",APODIFORMES,Trochilidae,колібрі-якобін синьоголовий
743,Florisuga fusca,SA,APODIFORMES,Trochilidae,колібрі-якобін чорний
744,Eutoxeres aquila,"MA, SA",APODIFORMES,Trochilidae,ерміт-серподзьоб темнохвостий
745,Eutoxeres condamini,SA,APODIFORMES,Trochilidae,ерміт-серподзьоб рудохвостий
746,Ramphodon naevius,SA,APODIFORMES,Trochilidae,ерміт прибережний
747,Glaucis dohrnii,SA,APODIFORMES,Trochilidae,ерміт-самітник багійський
748,Glaucis aeneus,"MA, SA",APODIFORMES,Trochilidae,ерміт-самітник бронзовий
749,Glaucis hirsutus,"MA, SA",APODIFORMES,Trochilidae,ерміт-самітник бразильський
750,Threnetes ruckeri,"MA, SA",APODIFORMES,Trochilidae,ерміт смугастохвостий
751,Threnetes leucurus,SA,APODIFORMES,Trochilidae,ерміт світлохвостий
752,Threnetes niger,SA,APODIFORMES,Trochilidae,ерміт чорногорлий
753,Anopetia gounellei,SA,APODIFORMES,Trochilidae,ерміт бразильський
754,Phaethornis squalidus,SA,APODIFORMES,Trochilidae,ерміт санта-катаринський
755,Phaethornis rupurumii,SA,APODIFORMES,Trochilidae,ерміт гаянський
756,Phaethornis longuemareus,SA,APODIFORMES,Trochilidae,ерміт тринідадський
757,Phaethornis aethopygus,SA,APODIFORMES,Trochilidae,ерміт амазонійський
758,Phaethornis idaliae,SA,APODIFORMES,Trochilidae,ерміт малий
759,Phaethornis nattereri,SA,APODIFORMES,Trochilidae,ерміт болівійський
760,Phaethornis atrimentalis,SA,APODIFORMES,Trochilidae,ерміт еквадорський
761,Phaethornis striigularis,"MA, SA",APODIFORMES,Trochilidae,ерміт чагарниковий
762,Phaethornis griseogularis,SA,APODIFORMES,Trochilidae,ерміт сірогорлий
763,Phaethornis ruber,SA,APODIFORMES,Trochilidae,ерміт рудий
764,Phaethornis stuarti,SA,APODIFORMES,Trochilidae,ерміт перуанський
765,Phaethornis subochraceus,SA,APODIFORMES,Trochilidae,ерміт вохристий
766,Phaethornis augusti,SA,APODIFORMES,Trochilidae,ерміт сіроволий
767,Phaethornis pretrei,SA,APODIFORMES,Trochilidae,ерміт парагвайський
768,Phaethornis eurynome,SA,APODIFORMES,Trochilidae,ерміт багійський
769,Phaethornis anthophilus,"MA, SA",APODIFORMES,Trochilidae,ерміт світлочеревий
770,Phaethornis hispidus,SA,APODIFORMES,Trochilidae,ерміт сірогузий
771,Phaethornis yaruqui,SA,APODIFORMES,Trochilidae,ерміт колумбійський
772,Phaethornis guy,"MA, SA",APODIFORMES,Trochilidae,ерміт зелений
773,Phaethornis syrmatophorus,SA,APODIFORMES,Trochilidae,ерміт рудогрудий
774,Phaethornis koepckeae,SA,APODIFORMES,Trochilidae,ерміт білогорлий
775,Phaethornis philippii,SA,APODIFORMES,Trochilidae,ерміт тонкодзьобий
776,Phaethornis bourcieri,SA,APODIFORMES,Trochilidae,ерміт прямодзьобий
777,Phaethornis mexicanus,MA,APODIFORMES,Trochilidae,ерміт південний
778,Phaethornis longirostris,"MA, SA",APODIFORMES,Trochilidae,ерміт мексиканський
779,Phaethornis superciliosus,SA,APODIFORMES,Trochilidae,ерміт венесуельський
780,Phaethornis malaris,SA,APODIFORMES,Trochilidae,ерміт довгодзьобий
781,Doryfera ludovicae,"MA, SA",APODIFORMES,Trochilidae,колібрі-довгодзьоб зеленолобий
782,Doryfera johannae,SA,APODIFORMES,Trochilidae,колібрі-довгодзьоб синьолобий
783,Schistes albogularis,SA,APODIFORMES,Trochilidae,колібрі-капуцин білогорлий
784,Schistes geoffroyi,SA,APODIFORMES,Trochilidae,колібрі-капуцин клинодзьобий
785,Augastes scutatus,SA,APODIFORMES,Trochilidae,колібрі-капуцин гіацинтовий
786,Augastes lumachella,SA,APODIFORMES,Trochilidae,колібрі-капуцин рудохвостий
787,Colibri delphinae,"MA, SA",APODIFORMES,Trochilidae,колібрі бурий
788,Colibri thalassinus,MA,APODIFORMES,Trochilidae,колібрі зелений
789,Colibri cyanotus,"MA, SA",APODIFORMES,Trochilidae,колібрі іскристий
790,Colibri coruscans,SA,APODIFORMES,Trochilidae,колібрі синьочеревий
791,Colibri serrirostris,SA,APODIFORMES,Trochilidae,колібрі зеленочеревий
792,Androdon aequatorialis,"MA, SA",APODIFORMES,Trochilidae,колібрі гачкодзьобий
793,Heliactin bilophus,SA,APODIFORMES,Trochilidae,колібрі рогатий
794,Heliothryx barroti,"MA, SA",APODIFORMES,Trochilidae,колібрі-фея фіолетоволобий
795,Heliothryx auritus,SA,APODIFORMES,Trochilidae,колібрі-фея зеленолобий
796,Polytmus guainumbi,SA,APODIFORMES,Trochilidae,колібрі-зеленохвіст золотистий
797,Polytmus milleri,SA,APODIFORMES,Trochilidae,колібрі-зеленохвіст тепуйський
798,Polytmus theresiae,SA,APODIFORMES,Trochilidae,колібрі-зеленохвіст гвіанський
799,Avocettula recurvirostris,SA,APODIFORMES,Trochilidae,колібрі-манго шилодзьобий
800,Chrysolampis mosquitus,"MA, SA",APODIFORMES,Trochilidae,колібрі-рубін
801,Anthracothorax viridigula,SA,APODIFORMES,Trochilidae,колібрі-манго зеленогорлий
802,Anthracothorax prevostii,"MA, SA",APODIFORMES,Trochilidae,колібрі-манго зеленогрудий
803,Anthracothorax veraguensis,MA,APODIFORMES,Trochilidae,колібрі-манго панамський
804,Anthracothorax nigricollis,"MA, SA",APODIFORMES,Trochilidae,колібрі-манго чорногорлий
805,Heliangelus mavors,SA,APODIFORMES,Trochilidae,колібрі-німфа золотогорлий
806,Heliangelus amethysticollis,SA,APODIFORMES,Trochilidae,колібрі-німфа аметистовий
807,Heliangelus clarisse,SA,APODIFORMES,Trochilidae,колібрі-німфа колумбійський
808,Heliangelus spencei,SA,APODIFORMES,Trochilidae,колібрі-німфа меридський
809,Heliangelus strophianus,SA,APODIFORMES,Trochilidae,колібрі-німфа еквадорський
810,Heliangelus exortis,SA,APODIFORMES,Trochilidae,колібрі-німфа турмаліновий
811,Heliangelus micraster,SA,APODIFORMES,Trochilidae,колібрі-німфа малий
812,Heliangelus viola,SA,APODIFORMES,Trochilidae,колібрі-німфа пурпуровогорлий
813,Heliangelus regalis,SA,APODIFORMES,Trochilidae,колібрі-німфа перуанський
814,Sephanoides sephaniodes,SA,APODIFORMES,Trochilidae,колібрі вогнеголовий
815,Sephanoides fernandensis,SA,APODIFORMES,Trochilidae,колібрі фернандеський
816,Discosura conversii,"MA, SA",APODIFORMES,Trochilidae,колібрі-голкохвіст зелений
817,Discosura popelairii,SA,APODIFORMES,Trochilidae,колібрі-голкохвіст чубатий
818,Discosura langsdorffi,SA,APODIFORMES,Trochilidae,колібрі-голкохвіст чорногрудий
819,Discosura letitiae,SA,APODIFORMES,Trochilidae,колібрі-голкохвіст бурштиновий
820,Discosura longicaudus,SA,APODIFORMES,Trochilidae,рабудито
821,Lophornis ornatus,SA,APODIFORMES,Trochilidae,колібрі-кокетка золотовусий
822,Lophornis gouldii,SA,APODIFORMES,Trochilidae,колібрі-кокетка плямистовусий
823,Lophornis magnificus,SA,APODIFORMES,Trochilidae,колібрі-кокетка смугастовусий
824,Lophornis brachylophus,MA,APODIFORMES,Trochilidae,колібрі-кокетка короткочубий
825,Lophornis delattrei,"MA, SA",APODIFORMES,Trochilidae,колібрі-кокетка довгочубий
826,Lophornis stictolophus,SA,APODIFORMES,Trochilidae,колібрі-кокетка плямисточубий
827,Lophornis chalybeus,SA,APODIFORMES,Trochilidae,колібрі-кокетка рудохвостий
828,Lophornis verreauxii,SA,APODIFORMES,Trochilidae,колібрі-кокетка метеликовий
829,Lophornis pavoninus,SA,APODIFORMES,Trochilidae,колібрі-кокетка зеленовусий
830,Lophornis helenae,MA,APODIFORMES,Trochilidae,колібрі-вусань чорночубий
831,Lophornis adorabilis,MA,APODIFORMES,Trochilidae,колібрі-вусань білочубий
832,Phlogophilus hemileucurus,SA,APODIFORMES,Trochilidae,коліпінто еквадорський
833,Phlogophilus harterti,SA,APODIFORMES,Trochilidae,коліпінто перуанський
834,Adelomyia melanogenys,SA,APODIFORMES,Trochilidae,колібрі плямистоволий
835,Aglaiocercus kingii,SA,APODIFORMES,Trochilidae,колібрі-сильф королівський
836,Aglaiocercus coelestis,SA,APODIFORMES,Trochilidae,колібрі-сильф довгохвостий
837,Aglaiocercus berlepschi,SA,APODIFORMES,Trochilidae,колібрі-сильф венесуельський
838,Sappho sparganurus,SA,APODIFORMES,Trochilidae,сафо
839,Polyonymus caroli,SA,APODIFORMES,Trochilidae,колібрі-комета
840,Taphrolesbia griseiventris,SA,APODIFORMES,Trochilidae,колібрі-тонкодзьоб вилохвостий
841,Oreotrochilus estella,SA,APODIFORMES,Trochilidae,колібрі-плямохвіст андійський
842,Oreotrochilus leucopleurus,SA,APODIFORMES,Trochilidae,колібрі-плямохвіст білобокий
843,Oreotrochilus chimborazo,SA,APODIFORMES,Trochilidae,колібрі-плямохвіст фіолетовоголовий
