,IOC,Breeding Range,Order,Family,Slovak
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,bernikla bielolíca
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,hus vrchovská
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,hus bielohlavá
78,Anser anser,PAL,ANSERIFORMES,Anatidae,hus divá
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,hus labutia
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,hus siatinná
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,hus krátkozobá
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,hus tundrová
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,hus bieločelá
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,hus malá
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,koskoroba biela
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,labuť čierna
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,labuť čiernokrká
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,labuť veľká
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,labuť malá
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,labuť spevavá
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,vlnkavka zobatá
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,vahia modrá
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,parníkovka malá
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,parníkovka veľká
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,parníkovka prostredná
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,parníkovka bielohlavá
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,potápačka riavová
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,ostrožiarka lesklá
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,hrebenatka hrbozobá
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,hrebenatka škvrnitá
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,sivka modrokrídla
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,húska štíhla
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,bernaška hrivnatá
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,bernaška čiernokrídla
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,bernaška pásikavá
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,bernaška žltonohá
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,bernaška sivohlavá
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,bernaška červenohlavá
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,kazarka radža
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,kazarka pestrá
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,kazarka hrdzavá
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,kazarka sivohlavá
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,kazarka čiernohlavá
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,kazarka rajská
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,lopatárka zobatá
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,kačuľa pásikavá
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,pižmovka lesklá
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,pižmovka pralesná
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,guinejka hnedá
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,kačička mandarínska
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,hnedohlávka hrivnatá
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,kačôčka čiapočkatá
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,kačôčka bielohlavá
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,kačôčka lesklá
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,kačica amazoňanka
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,rybnikárka obojková
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,kačica vrkočatá
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,kačica bronzovokrídla
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,kačica pestrá
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,kačica chrapačka
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,kačica bodkovaná
132,Spatula puna,SA,ANSERIFORMES,Anatidae,kačica modrozobá
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,kačica striebristá
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,kačica širokozobá
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,kačica škoricová
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,kačica ploskozobka
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,kačica veľkozobá
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,kačica lyžičiarka
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,kačica chripľavka
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,kačica kosierkavá
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,kačica hvizdárka
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,kačica vlnkovaná
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,kačica tmavá
144,Anas undulata,AF,ANSERIFORMES,Anatidae,kačica šupinatá
145,Anas melleri,AF,ANSERIFORMES,Anatidae,kačica madagaskarská
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,kačica pruhohlavá
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,kačica laysanská
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,kačica havajská
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,kačica plavá
