,IOC,Breeding Range,Order,Family,Slovak
1314,Columba janthina,PAL,COLUMBIFORMES,Columbidae,holub tmavokrídly
1315,Columba vitiensis,"OR, AU, PO",COLUMBIFORMES,Columbidae,holub bledohrdlý
1316,Columba leucomela,AU,COLUMBIFORMES,Columbidae,holub bielohlavý
1317,Columba pallidiceps,AU,COLUMBIFORMES,Columbidae,holub svetlohlavý
1318,Columba delegorguei,AF,COLUMBIFORMES,Columbidae,holub goliernik
1319,Columba iriditorques,AF,COLUMBIFORMES,Columbidae,holub stromový
1320,Columba malherbii,AF,COLUMBIFORMES,Columbidae,holub guinejský
1321,Columba larvata,AF,COLUMBIFORMES,Columbidae,holub maľovaný
1322,Patagioenas leucocephala,"NA, MA",COLUMBIFORMES,Columbidae,holub korunkatý
1323,Patagioenas speciosa,"MA, SA",COLUMBIFORMES,Columbidae,holub šupinkavý
1324,Patagioenas picazuro,SA,COLUMBIFORMES,Columbidae,holub pikazuro
1325,Patagioenas corensis,SA,COLUMBIFORMES,Columbidae,holub holooký
1326,Patagioenas maculosa,SA,COLUMBIFORMES,Columbidae,holub škvrnitokrídly
1327,Patagioenas fasciata,"NA, MA, SA",COLUMBIFORMES,Columbidae,holub bledochvostý
1328,Patagioenas araucana,SA,COLUMBIFORMES,Columbidae,holub čilský
1329,Patagioenas cayennensis,"MA, SA",COLUMBIFORMES,Columbidae,holub vínovoprsý
1330,Patagioenas flavirostris,MA,COLUMBIFORMES,Columbidae,holub červenozobý
1331,Patagioenas oenops,SA,COLUMBIFORMES,Columbidae,holub sivokrídly
1332,Patagioenas plumbea,SA,COLUMBIFORMES,Columbidae,holub hnedastý
1333,Patagioenas subvinacea,"MA, SA",COLUMBIFORMES,Columbidae,holub červenkastý
1334,Patagioenas nigrirostris,"MA, SA",COLUMBIFORMES,Columbidae,holub čiernozobý
1335,Patagioenas goodsoni,SA,COLUMBIFORMES,Columbidae,holub malý
1336,Nesoenas picturatus,AF,COLUMBIFORMES,Columbidae,hrdlička maľovaná
1337,Nesoenas mayeri,IO,COLUMBIFORMES,Columbidae,hrdlička ružová
1338,Streptopelia turtur,PAL,COLUMBIFORMES,Columbidae,hrdlička poľná
1339,Streptopelia lugens,"AF, PAL",COLUMBIFORMES,Columbidae,hrdlička tmavá
1340,Streptopelia hypopyrrha,AF,COLUMBIFORMES,Columbidae,hrdlička hrdzavobruchá
1341,Streptopelia orientalis,"PAL, OR",COLUMBIFORMES,Columbidae,hrdlička stepná
1342,Streptopelia bitorquata,"OR, AU",COLUMBIFORMES,Columbidae,hrdlička golierikatá
1343,Streptopelia dusumieri,OR,COLUMBIFORMES,Columbidae,hrdlička filipínska
1344,Streptopelia decaocto,"PAL, OR",COLUMBIFORMES,Columbidae,hrdlička záhradná
1345,Streptopelia xanthocycla,OR,COLUMBIFORMES,Columbidae,hrdlička žltooká
1346,Streptopelia roseogrisea,AF,COLUMBIFORMES,Columbidae,hrdlička chichotavá
1347,Streptopelia reichenowi,AF,COLUMBIFORMES,Columbidae,hrdlička bielokrídla
1348,Streptopelia decipiens,AF,COLUMBIFORMES,Columbidae,hrdlička okuliarnatá
1349,Streptopelia semitorquata,"AF, PAL",COLUMBIFORMES,Columbidae,hrdlička červenooká
1350,Streptopelia capicola,AF,COLUMBIFORMES,Columbidae,hrdlička hrkútavá
1351,Streptopelia vinacea,AF,COLUMBIFORMES,Columbidae,hrdlička vínová
1352,Streptopelia tranquebarica,OR,COLUMBIFORMES,Columbidae,hrdlička krátkochvostá
1353,Spilopelia chinensis,OR,COLUMBIFORMES,Columbidae,hrdlička perlokrká
1354,Spilopelia senegalensis,"AF, PAL, OR",COLUMBIFORMES,Columbidae,hrdlička malá
1355,Macropygia unchall,OR,COLUMBIFORMES,Columbidae,hrdlica pásikavá
1356,Macropygia amboinensis,AU,COLUMBIFORMES,Columbidae,hrdlica hnedá
1357,Macropygia doreya,AU,COLUMBIFORMES,Columbidae,hrdlica sultánska
1358,Macropygia emiliana,OR,COLUMBIFORMES,Columbidae,hrdlica hrdzavá
1359,Macropygia cinnamomea,OR,COLUMBIFORMES,Columbidae,hrdlica škoricová
1360,Macropygia modiglianii,OR,COLUMBIFORMES,Columbidae,hrdlica tmavohrdlá
1361,Macropygia magna,AU,COLUMBIFORMES,Columbidae,hrdlica jarabá
1362,Macropygia timorlaoensis,AU,COLUMBIFORMES,Columbidae,hrdlica tanimbarská
1363,Macropygia macassariensis,AU,COLUMBIFORMES,Columbidae,hrdlica vlnkovaná
1364,Macropygia tenuirostris,OR,COLUMBIFORMES,Columbidae,hrdlica filipínska
1365,Macropygia phasianella,AU,COLUMBIFORMES,Columbidae,hrdlica bažantia
1366,Macropygia rufipennis,OR,COLUMBIFORMES,Columbidae,hrdlica hrdzavohlavá
1367,Macropygia nigrirostris,AU,COLUMBIFORMES,Columbidae,hrdlica gaštanová
1368,Macropygia mackinlayi,AU,COLUMBIFORMES,Columbidae,hrdlica škvrnitoprsá
1369,Macropygia ruficeps,OR,COLUMBIFORMES,Columbidae,hrdlica klinochvostá
1370,Reinwardtoena reinwardti,AU,COLUMBIFORMES,Columbidae,hrdlica veľká
1371,Reinwardtoena browni,AU,COLUMBIFORMES,Columbidae,hrdlica čierno-biela
1372,Reinwardtoena crassirostris,AU,COLUMBIFORMES,Columbidae,hrdlica chochlatá
1373,Turacoena manadensis,AU,COLUMBIFORMES,Columbidae,hrdlica bielolíca
1374,Turacoena sulaensis,AU,COLUMBIFORMES,Columbidae,hrdlica sulská
1375,Turacoena modesta,AU,COLUMBIFORMES,Columbidae,hrdlica čierna
1376,Turtur chalcospilos,AF,COLUMBIFORMES,Columbidae,bronzovka lesná
1377,Turtur abyssinicus,AF,COLUMBIFORMES,Columbidae,bronzovka čiernozobá
1378,Turtur afer,AF,COLUMBIFORMES,Columbidae,bronzovka malá
1379,Turtur tympanistria,AF,COLUMBIFORMES,Columbidae,bronzovka bubeník
1380,Turtur brehmeri,AF,COLUMBIFORMES,Columbidae,bronzovka modrohlavá
1381,Oena capensis,"AF, PAL",COLUMBIFORMES,Columbidae,namakva dlhochvostá
1382,Chalcophaps indica,"OR, AU",COLUMBIFORMES,Columbidae,lesklica zelenokrídla
1383,Chalcophaps longirostris,AU,COLUMBIFORMES,Columbidae,lesklica tichomorská
1384,Chalcophaps stephani,AU,COLUMBIFORMES,Columbidae,lesklica bledočelá
1385,Henicophaps albifrons,AU,COLUMBIFORMES,Columbidae,blyskavec bielohlavý
1386,Henicophaps foersteri,AU,COLUMBIFORMES,Columbidae,blyskavec bielobruchý
1387,Phaps chalcoptera,AU,COLUMBIFORMES,Columbidae,blyskavec bronzovokrídly
1388,Phaps elegans,AU,COLUMBIFORMES,Columbidae,blyskavec ozdobný
1389,Phaps histrionica,AU,COLUMBIFORMES,Columbidae,blyskavec kŕdľový
1390,Ocyphaps lophotes,AU,COLUMBIFORMES,Columbidae,blyskavec chochlatý
1391,Geophaps plumifera,AU,COLUMBIFORMES,Columbidae,blyskavec prepeličí
1392,Geophaps scripta,AU,COLUMBIFORMES,Columbidae,blyskavec farmársky
1393,Geophaps smithii,AU,COLUMBIFORMES,Columbidae,blyskavec škraboškový
1394,Trugon terrestris,AU,COLUMBIFORMES,Columbidae,trugón zemný
1395,Leucosarcia melanoleuca,AU,COLUMBIFORMES,Columbidae,vonga hermelínová
1396,Petrophassa rufipennis,AU,COLUMBIFORMES,Columbidae,blyskavec hnedokrídly
1397,Petrophassa albipennis,AU,COLUMBIFORMES,Columbidae,blyskavec bielokrídly
1398,Geopelia cuneata,AU,COLUMBIFORMES,Columbidae,holúbok diamantový
1399,Geopelia striata,OR,COLUMBIFORMES,Columbidae,holúbok pásikavý
1400,Geopelia placida,AU,COLUMBIFORMES,Columbidae,holúbok pokojný
1401,Geopelia maugeus,AU,COLUMBIFORMES,Columbidae,holúbok vlnkovaný
1402,Geopelia humeralis,AU,COLUMBIFORMES,Columbidae,holúbok medenokrký
1403,Columbina inca,"NA, MA",COLUMBIFORMES,Columbidae,dudlavec škvrnitý
1404,Columbina squammata,SA,COLUMBIFORMES,Columbidae,dudlavec šupinatý
1405,Columbina passerina,"NA, MA, SA",COLUMBIFORMES,Columbidae,dudlavec vrabčí
1406,Columbina minuta,"MA, SA",COLUMBIFORMES,Columbidae,dudlavec trpasličí
1407,Columbina buckleyi,SA,COLUMBIFORMES,Columbidae,dudlavec plavý
1408,Columbina talpacoti,"MA, SA",COLUMBIFORMES,Columbidae,dudlavec škoricový
1409,Columbina picui,SA,COLUMBIFORMES,Columbidae,dudlavec pikui
1410,Columbina cruziana,SA,COLUMBIFORMES,Columbidae,dudlavec sivohlavý
1411,Columbina cyanopis,SA,COLUMBIFORMES,Columbidae,dudlavec zemný
1412,Claravis pretiosa,"MA, SA",COLUMBIFORMES,Columbidae,dudlavec belasý
1413,Paraclaravis geoffroyi,SA,COLUMBIFORMES,Columbidae,dudlavec pásavokrídly
1414,Paraclaravis mondetoura,"MA, SA",COLUMBIFORMES,Columbidae,dudlavec hôrny
1415,Metriopelia ceciliae,SA,COLUMBIFORMES,Columbidae,dudlavec skalný
1416,Metriopelia morenoi,SA,COLUMBIFORMES,Columbidae,dudlavec okuliarnatý
1417,Metriopelia melanoptera,SA,COLUMBIFORMES,Columbidae,dudlavec čiernokrídly
1418,Metriopelia aymara,SA,COLUMBIFORMES,Columbidae,dudlavec pastvinový
1419,Uropelia campestris,SA,COLUMBIFORMES,Columbidae,dudlavec savanový
1420,Geotrygon purpurata,SA,COLUMBIFORMES,Columbidae,holubec čepcový
1421,Geotrygon saphirina,SA,COLUMBIFORMES,Columbidae,holubec zafírový
1422,Geotrygon montana,"MA, SA",COLUMBIFORMES,Columbidae,holubec behavý
1423,Geotrygon violacea,"MA, SA",COLUMBIFORMES,Columbidae,holubec fialový
1424,Leptotrygon veraguensis,"MA, SA",COLUMBIFORMES,Columbidae,holubec tmavý
1425,Leptotila verreauxi,"MA, SA",COLUMBIFORMES,Columbidae,holubec kráčavý
1426,Leptotila megalura,SA,COLUMBIFORMES,Columbidae,holubec vínovobruchý
1427,Leptotila rufaxilla,SA,COLUMBIFORMES,Columbidae,holubec sivočelý
1428,Leptotila plumbeiceps,"MA, SA",COLUMBIFORMES,Columbidae,holubec sivohlavý
1429,Leptotila pallida,SA,COLUMBIFORMES,Columbidae,holubec bledý
1430,Leptotila battyi,MA,COLUMBIFORMES,Columbidae,holubec močiarny
1431,Leptotila jamaicensis,"NA, MA",COLUMBIFORMES,Columbidae,holubec karibský
1432,Leptotila cassinii,"MA, SA",COLUMBIFORMES,Columbidae,holubec sivoprsý
1433,Leptotila ochraceiventris,SA,COLUMBIFORMES,Columbidae,holubec okrovobruchý
1434,Leptotila conoveri,SA,COLUMBIFORMES,Columbidae,holubec tolimský
1435,Zentrygon carrikeri,MA,COLUMBIFORMES,Columbidae,holubec vulkánový
1436,Zentrygon costaricensis,MA,COLUMBIFORMES,Columbidae,holubec kostarický
1437,Zentrygon lawrencii,MA,COLUMBIFORMES,Columbidae,holubec purpurový
1438,Zentrygon albifacies,MA,COLUMBIFORMES,Columbidae,holubec plantážový
1439,Zentrygon frenata,SA,COLUMBIFORMES,Columbidae,holubec bielohrdlý
1440,Zentrygon linearis,SA,COLUMBIFORMES,Columbidae,holubec pruholíci
1441,Zentrygon chiriquensis,MA,COLUMBIFORMES,Columbidae,holubec hôrny
1442,Zentrygon goldmani,"MA, SA",COLUMBIFORMES,Columbidae,holubec Goldmanov
1443,Zenaida macroura,"NA, MA",COLUMBIFORMES,Columbidae,nachovka smútočná
1444,Zenaida graysoni,MA,COLUMBIFORMES,Columbidae,nachovka samotárska
1445,Zenaida auriculata,SA,COLUMBIFORMES,Columbidae,nachovka čiernosluchá
1446,Zenaida galapagoensis,SA,COLUMBIFORMES,Columbidae,nachovka dlhozobá
1447,Zenaida asiatica,"NA, MA",COLUMBIFORMES,Columbidae,nachovka bielokrídla
1448,Zenaida meloda,SA,COLUMBIFORMES,Columbidae,nachovka modrooká
1449,Caloenas nicobarica,"OR, AU",COLUMBIFORMES,Columbidae,veľkohrivec bradavičnatý
1450,Gallicolumba tristigmata,AU,COLUMBIFORMES,Columbidae,holubček zlatočelý
1451,Gallicolumba rufigula,AU,COLUMBIFORMES,Columbidae,holubček škoricový
1452,Gallicolumba luzonica,OR,COLUMBIFORMES,Columbidae,holubček červenoprsý
1453,Gallicolumba crinigera,OR,COLUMBIFORMES,Columbidae,holubček krvavý
1454,Gallicolumba platenae,OR,COLUMBIFORMES,Columbidae,holubček punalada
1455,Gallicolumba keayi,OR,COLUMBIFORMES,Columbidae,holubček bielopruhý
1456,Gallicolumba menagei,OR,COLUMBIFORMES,Columbidae,holubček zelenošijí
1457,Pampusana hoedtii,AU,COLUMBIFORMES,Columbidae,holubček svetlohlavý
1458,Pampusana jobiensis,AU,COLUMBIFORMES,Columbidae,holubček bradatý
1459,Pampusana kubaryi,PO,COLUMBIFORMES,Columbidae,holubček samotársky
1460,Pampusana erythroptera,PO,COLUMBIFORMES,Columbidae,holubček bieloprsý
1461,Pampusana xanthonura,PO,COLUMBIFORMES,Columbidae,holubček bielohrdlý
1462,Pampusana stairi,PO,COLUMBIFORMES,Columbidae,holubček hnedoprsý
1463,Pampusana sanctaecrucis,AU,COLUMBIFORMES,Columbidae,holubček sivohlavý
1464,Pampusana rubescens,PO,COLUMBIFORMES,Columbidae,holubček tmavý
1465,Pampusana beccarii,AU,COLUMBIFORMES,Columbidae,holubček sivoprsý
1466,Pampusana canifrons,PO,COLUMBIFORMES,Columbidae,holubček hrdzavotylový
1467,Otidiphaps nobilis,AU,COLUMBIFORMES,Columbidae,bažantiak lesný
1468,Goura cristata,AU,COLUMBIFORMES,Columbidae,korunáč modrý
1469,Goura scheepmakeri,AU,COLUMBIFORMES,Columbidae,korunáč veľký
1470,Goura sclaterii,AU,COLUMBIFORMES,Columbidae,korunáč hnedoplecí
1471,Goura victoria,AU,COLUMBIFORMES,Columbidae,korunáč vejárový
1472,Didunculus strigirostris,PO,COLUMBIFORMES,Columbidae,drontík zúbkatý
1473,Phapitreron leucotis,OR,COLUMBIFORMES,Columbidae,limukon malý
1474,Phapitreron amethystinus,OR,COLUMBIFORMES,Columbidae,limukon ametystový
1475,Phapitreron cinereiceps,OR,COLUMBIFORMES,Columbidae,limukon hnedý
1476,Phapitreron brunneiceps,OR,COLUMBIFORMES,Columbidae,limukon mindanajský
1477,Treron fulvicollis,OR,COLUMBIFORMES,Columbidae,trerón škoricový
1478,Treron olax,OR,COLUMBIFORMES,Columbidae,trerón malý
1479,Treron vernans,"OR, AU",COLUMBIFORMES,Columbidae,trerón ružovokrký
1480,Treron bicinctus,OR,COLUMBIFORMES,Columbidae,trerón pestroprsý
1481,Treron pompadora,OR,COLUMBIFORMES,Columbidae,trerón hnedokrídly
1482,Treron affinis,OR,COLUMBIFORMES,Columbidae,trerón sivočelý
1483,Treron phayrei,OR,COLUMBIFORMES,Columbidae,trerón šedivý
1484,Treron chloropterus,OR,COLUMBIFORMES,Columbidae,trerón andamanský
1485,Treron axillaris,OR,COLUMBIFORMES,Columbidae,trerón filipínsky
1486,Treron aromaticus,OR,COLUMBIFORMES,Columbidae,trerón buruský
1487,Treron curvirostra,OR,COLUMBIFORMES,Columbidae,trerón hrubozobý
1488,Treron griseicauda,"OR, AU",COLUMBIFORMES,Columbidae,trerón sivolíci
1489,Treron teysmannii,AU,COLUMBIFORMES,Columbidae,trerón sumbský
1490,Treron floris,AU,COLUMBIFORMES,Columbidae,trerón floreský
1491,Treron psittaceus,AU,COLUMBIFORMES,Columbidae,trerón jednofarebný
1492,Treron capellei,OR,COLUMBIFORMES,Columbidae,trerón veľký
1493,Treron phoenicopterus,OR,COLUMBIFORMES,Columbidae,trerón žltonohý
1494,Treron waalia,"AF, PAL",COLUMBIFORMES,Columbidae,trerón žltobruchý
1495,Treron australis,AF,COLUMBIFORMES,Columbidae,trerón zelený
1496,Treron griveaudi,AF,COLUMBIFORMES,Columbidae,trerón komorský
1497,Treron calvus,AF,COLUMBIFORMES,Columbidae,trerón figovníkový
1498,Treron pembaensis,AF,COLUMBIFORMES,Columbidae,trerón sivohlavý
1499,Treron sanctithomae,AF,COLUMBIFORMES,Columbidae,trerón sivý
1500,Treron apicauda,OR,COLUMBIFORMES,Columbidae,trerón ostrochvostý
1501,Treron oxyurus,OR,COLUMBIFORMES,Columbidae,trerón sumatranský
1502,Treron seimundi,OR,COLUMBIFORMES,Columbidae,trerón bielobruchý
1503,Treron sphenurus,OR,COLUMBIFORMES,Columbidae,trerón klinochvostý
1504,Treron sieboldii,"PAL, OR",COLUMBIFORMES,Columbidae,trerón zlatolíci
1505,Treron permagnus,PAL,COLUMBIFORMES,Columbidae,trerón okinavský
1506,Treron formosae,OR,COLUMBIFORMES,Columbidae,trerón ohnivohlavý
1507,Ptilinopus cinctus,AU,COLUMBIFORMES,Columbidae,pestroš trojfarebný
1508,Ptilinopus alligator,AU,COLUMBIFORMES,Columbidae,pestroš eukalyptový
1509,Ptilinopus dohertyi,AU,COLUMBIFORMES,Columbidae,pestroš červenotylový
1510,Ptilinopus porphyreus,OR,COLUMBIFORMES,Columbidae,pestroš ružovohlavý
1511,Ptilinopus marchei,OR,COLUMBIFORMES,Columbidae,pestroš ohnivoprsý
1512,Ptilinopus merrilli,OR,COLUMBIFORMES,Columbidae,pestroš svetlobruchý
1513,Ptilinopus occipitalis,OR,COLUMBIFORMES,Columbidae,pestroš punaj
1514,Ptilinopus fischeri,AU,COLUMBIFORMES,Columbidae,pestroš červenosluchý
1515,Ptilinopus jambu,OR,COLUMBIFORMES,Columbidae,pestroš jambu
1516,Ptilinopus subgularis,AU,COLUMBIFORMES,Columbidae,pestroš tmavobradý
1517,Ptilinopus gularis,AU,COLUMBIFORMES,Columbidae,pestroš celebeský
1518,Ptilinopus mangoliensis,AU,COLUMBIFORMES,Columbidae,pestroš sulský
1519,Ptilinopus leclancheri,OR,COLUMBIFORMES,Columbidae,pestroš čiernobradý
1520,Ptilinopus bernsteinii,AU,COLUMBIFORMES,Columbidae,pestroš bambusový
1521,Ptilinopus magnificus,AU,COLUMBIFORMES,Columbidae,pestroš vznešený
1522,Ptilinopus perlatus,AU,COLUMBIFORMES,Columbidae,pestroš perličkový
1523,Ptilinopus ornatus,AU,COLUMBIFORMES,Columbidae,pestroš ozdobný
1524,Ptilinopus tannensis,AU,COLUMBIFORMES,Columbidae,pestroš škvrnitoplecí
1525,Ptilinopus aurantiifrons,AU,COLUMBIFORMES,Columbidae,pestroš zlatočelý
1526,Ptilinopus wallacii,AU,COLUMBIFORMES,Columbidae,pestroš zlatobruchý
1527,Ptilinopus superbus,AU,COLUMBIFORMES,Columbidae,pestroš hnedokrký
1528,Ptilinopus perousii,PO,COLUMBIFORMES,Columbidae,pestroš maľovaný
1529,Ptilinopus porphyraceus,PO,COLUMBIFORMES,Columbidae,pestroš čiapočkatý
1530,Ptilinopus ponapensis,PO,COLUMBIFORMES,Columbidae,pestroš mikronézsky
1531,Ptilinopus hernsheimi,PO,COLUMBIFORMES,Columbidae,pestroš karolínsky
1532,Ptilinopus pelewensis,PO,COLUMBIFORMES,Columbidae,pestroš sivokrký
1533,Ptilinopus rarotongensis,PO,COLUMBIFORMES,Columbidae,pestroš ružovočelý
1534,Ptilinopus roseicapilla,PO,COLUMBIFORMES,Columbidae,pestroš mariánsky
1535,Ptilinopus regina,AU,COLUMBIFORMES,Columbidae,pestroš korunkatý
1536,Ptilinopus richardsii,AU,COLUMBIFORMES,Columbidae,pestroš striebrohlavý
1537,Ptilinopus chrysogaster,PO,COLUMBIFORMES,Columbidae,pestroš pustovnícky
1538,Ptilinopus purpuratus,PO,COLUMBIFORMES,Columbidae,pestroš svetlohlavý
1539,Ptilinopus chalcurus,PO,COLUMBIFORMES,Columbidae,pestroš makatejský
1540,Ptilinopus coralensis,PO,COLUMBIFORMES,Columbidae,pestroš atolový
1541,Ptilinopus greyi,AU,COLUMBIFORMES,Columbidae,pestroš červenobruchý
1542,Ptilinopus huttoni,PO,COLUMBIFORMES,Columbidae,pestroš dlhozobý
1543,Ptilinopus dupetithouarsii,PO,COLUMBIFORMES,Columbidae,pestroš markézsky
1544,Ptilinopus insularis,PO,COLUMBIFORMES,Columbidae,pestroš hendersonský
1545,Ptilinopus coronulatus,AU,COLUMBIFORMES,Columbidae,pestroš diadémový
1546,Ptilinopus pulchellus,AU,COLUMBIFORMES,Columbidae,pestroš sivoprsý
1547,Ptilinopus monacha,AU,COLUMBIFORMES,Columbidae,pestroš modročelý
1548,Ptilinopus rivoli,AU,COLUMBIFORMES,Columbidae,pestroš bieloprsý
1549,Ptilinopus speciosus,AU,COLUMBIFORMES,Columbidae,pestroš pôvabný
1550,Ptilinopus solomonensis,AU,COLUMBIFORMES,Columbidae,pestroš žltoprsý
1551,Ptilinopus viridis,AU,COLUMBIFORMES,Columbidae,pestroš červenoprsý
1552,Ptilinopus eugeniae,AU,COLUMBIFORMES,Columbidae,pestroš bielohlavý
1553,Ptilinopus iozonus,AU,COLUMBIFORMES,Columbidae,pestroš zelený
1554,Ptilinopus insolitus,AU,COLUMBIFORMES,Columbidae,pestroš hrčozobý
1555,Ptilinopus hyogastrus,AU,COLUMBIFORMES,Columbidae,pestroš sivohlavý
1556,Ptilinopus granulifrons,AU,COLUMBIFORMES,Columbidae,pestroš hrčkatý
1557,Ptilinopus melanospilus,"OR, AU",COLUMBIFORMES,Columbidae,pestroš čiernotylový
1558,Ptilinopus nainus,AU,COLUMBIFORMES,Columbidae,pestroš trpasličí
1559,Ptilinopus arcanus,OR,COLUMBIFORMES,Columbidae,pestroš žltooký
1560,Ptilinopus victor,PO,COLUMBIFORMES,Columbidae,pestroš pomarančový
1561,Ptilinopus luteovirens,PO,COLUMBIFORMES,Columbidae,pestroš zlatý
1562,Ptilinopus layardi,PO,COLUMBIFORMES,Columbidae,pestroš hvízdavý
1563,Drepanoptila holosericea,AU,COLUMBIFORMES,Columbidae,pestroš krátkochvostý
1564,Alectroenas madagascariensis,AF,COLUMBIFORMES,Columbidae,pestroš modrý
1565,Alectroenas sganzini,AF,COLUMBIFORMES,Columbidae,pestroš kapucňový
1566,Alectroenas pulcherrimus,AF,COLUMBIFORMES,Columbidae,pestroš bradavičiar
1567,Ducula poliocephala,OR,COLUMBIFORMES,Columbidae,plodožer ružovobruchý
1568,Ducula forsteni,AU,COLUMBIFORMES,Columbidae,plodožer bielobruchý
1569,Ducula mindorensis,OR,COLUMBIFORMES,Columbidae,plodožer okuliarnatý
1570,Ducula radiata,AU,COLUMBIFORMES,Columbidae,plodožer pruhochvostý
1571,Ducula carola,OR,COLUMBIFORMES,Columbidae,plodožer bielohrdlý
1572,Ducula aenea,OR,COLUMBIFORMES,Columbidae,plodožer bronzový
1573,Ducula oenothorax,OR,COLUMBIFORMES,Columbidae,plodožer engganský
1574,Ducula nicobarica,OR,COLUMBIFORMES,Columbidae,plodožer nikobarský
1575,Ducula perspicillata,AU,COLUMBIFORMES,Columbidae,plodožer bielooký
1576,Ducula neglecta,AU,COLUMBIFORMES,Columbidae,plodožer seramský
1577,Ducula concinna,AU,COLUMBIFORMES,Columbidae,plodožer kráľovský
1578,Ducula pacifica,PO,COLUMBIFORMES,Columbidae,plodožer tichomorský
1579,Ducula oceanica,PO,COLUMBIFORMES,Columbidae,plodožer mikronézsky
1580,Ducula aurorae,PO,COLUMBIFORMES,Columbidae,plodožer guavový
1581,Ducula galeata,PO,COLUMBIFORMES,Columbidae,plodožer štítozobý
1582,Ducula rubricera,AU,COLUMBIFORMES,Columbidae,plodožer bradavičnatý
1583,Ducula myristicivora,AU,COLUMBIFORMES,Columbidae,plodožer smaragdový
1584,Ducula geelvinkiana,AU,COLUMBIFORMES,Columbidae,plodožer zálivový
1585,Ducula rufigaster,AU,COLUMBIFORMES,Columbidae,plodožer hrdzavobruchý
1586,Ducula basilica,AU,COLUMBIFORMES,Columbidae,plodožer škoricový
1587,Ducula finschii,AU,COLUMBIFORMES,Columbidae,plodožer muškátový
1588,Ducula chalconota,AU,COLUMBIFORMES,Columbidae,plodožer lesklý
1589,Ducula pistrinaria,AU,COLUMBIFORMES,Columbidae,plodožer mlynársky
1590,Ducula rosacea,AU,COLUMBIFORMES,Columbidae,plodožer ružovkastý
1591,Ducula whartoni,OR,COLUMBIFORMES,Columbidae,plodožer tmavý
1592,Ducula pickeringii,OR,COLUMBIFORMES,Columbidae,plodožer ostrovný
1593,Ducula latrans,PO,COLUMBIFORMES,Columbidae,plodožer hnedochvostý
1594,Ducula brenchleyi,AU,COLUMBIFORMES,Columbidae,plodožer hnedobruchý
1595,Ducula bakeri,AU,COLUMBIFORMES,Columbidae,plodožer žltooký
1596,Ducula goliath,AU,COLUMBIFORMES,Columbidae,plodožer veľký
1597,Ducula pinon,AU,COLUMBIFORMES,Columbidae,plodožer červenooký
1598,Ducula melanochroa,AU,COLUMBIFORMES,Columbidae,plodožer čierny
1599,Ducula mullerii,AU,COLUMBIFORMES,Columbidae,plodožer čiernokrký
1600,Ducula zoeae,AU,COLUMBIFORMES,Columbidae,plodožer ružovokrký
1601,Ducula cuprea,OR,COLUMBIFORMES,Columbidae,plodožer pásochvostý
1602,Ducula badia,OR,COLUMBIFORMES,Columbidae,plodožer pláštikový
1603,Ducula lacernulata,"OR, AU",COLUMBIFORMES,Columbidae,plodožer tmavochrbtý
1604,Ducula cineracea,AU,COLUMBIFORMES,Columbidae,plodožer timorský
1605,Ducula bicolor,OR,COLUMBIFORMES,Columbidae,plodožer dvojfarebný
1606,Ducula luctuosa,AU,COLUMBIFORMES,Columbidae,plodožer biely
1607,Ducula spilorrhoa,AU,COLUMBIFORMES,Columbidae,plodožer cisársky
1608,Ducula subflavescens,AU,COLUMBIFORMES,Columbidae,plodožer pobrežný
1609,Lopholaimus antarcticus,AU,COLUMBIFORMES,Columbidae,plodožer parochňový
1610,Hemiphaga novaeseelandiae,AU,COLUMBIFORMES,Columbidae,plodožer maorský
1611,Hemiphaga chathamensis,AU,COLUMBIFORMES,Columbidae,plodožer chathamský
1612,Cryptophaps poecilorrhoa,AU,COLUMBIFORMES,Columbidae,plodožer škvrnitý
1613,Gymnophaps albertisii,AU,COLUMBIFORMES,Columbidae,plodožer horský
1614,Gymnophaps mada,AU,COLUMBIFORMES,Columbidae,plodožer dlhochvostý
1615,Gymnophaps stalkeri,AU,COLUMBIFORMES,Columbidae,plodožer Stalkerov
1616,Gymnophaps solomonensis,AU,COLUMBIFORMES,Columbidae,plodožer sivý
1617,Podica senegalensis,AF,GRUIFORMES,Heliornithidae,chriašteľovec pásavý
1618,Heliopais personatus,OR,GRUIFORMES,Heliornithidae,chriašteľovec žltozobý
1619,Heliornis fulica,"MA, SA",GRUIFORMES,Heliornithidae,chriašteľovec pestronohý
1620,Mentocrex kioloides,AF,GRUIFORMES,Sarothruridae,pastúšok škraboškový
1621,Mentocrex beankaensis,AF,GRUIFORMES,Sarothruridae,pastúšok krasový
1622,Sarothrura pulchra,AF,GRUIFORMES,Sarothruridae,páperochvost perlavý
1623,Sarothrura elegans,AF,GRUIFORMES,Sarothruridae,páperochvost bodkovaný
1624,Sarothrura rufa,AF,GRUIFORMES,Sarothruridae,páperochvost červenoprsý
1625,Sarothrura lugens,AF,GRUIFORMES,Sarothruridae,páperochvost hrdzavohlavý
1626,Sarothrura boehmi,AF,GRUIFORMES,Sarothruridae,páperochvost čiarkový
1627,Sarothrura ayresi,AF,GRUIFORMES,Sarothruridae,páperochvost zrkadlokrídly
1628,Sarothrura affinis,AF,GRUIFORMES,Sarothruridae,páperochvost červenochvostý
1629,Sarothrura insularis,AF,GRUIFORMES,Sarothruridae,páperochvost madagaskarský
