,IOC,Breeding Range,Order,Family,Polish
2471,Butorides striata,"SA, PAL, AF, AU",PELECANIFORMES,Ardeidae,czapla zielonawa
2472,Ardeola ralloides,"PAL, AF",PELECANIFORMES,Ardeidae,czapla modronosa
2473,Ardeola grayii,"PAL, OR",PELECANIFORMES,Ardeidae,czapla siodłata
2474,Ardeola bacchus,OR,PELECANIFORMES,Ardeidae,czapla białoskrzydła
2475,Ardeola speciosa,OR,PELECANIFORMES,Ardeidae,czapla okazała
2476,Ardeola idae,AF,PELECANIFORMES,Ardeidae,czapla malgaska
2477,Ardeola rufiventris,AF,PELECANIFORMES,Ardeidae,czapla rudobrzucha
2478,Bubulcus ibis,"PAL, AF, NA, MA, SA",PELECANIFORMES,Ardeidae,czapla złotawa
2479,Bubulcus coromandus,OR,PELECANIFORMES,Ardeidae,czapla złotoszyja
2480,Ardea cinerea,"PAL, AF, OR",PELECANIFORMES,Ardeidae,czapla siwa
2481,Ardea herodias,"NA, MA",PELECANIFORMES,Ardeidae,czapla modra
2482,Ardea cocoi,SA,PELECANIFORMES,Ardeidae,czapla czarnobrzucha
2483,Ardea pacifica,AU,PELECANIFORMES,Ardeidae,czapla białoszyja
2484,Ardea melanocephala,AF,PELECANIFORMES,Ardeidae,czapla czarnogłowa
2485,Ardea humbloti,AF,PELECANIFORMES,Ardeidae,czapla maskowa
2486,Ardea insignis,OR,PELECANIFORMES,Ardeidae,czapla białobrzucha
2487,Ardea sumatrana,"OR, AU",PELECANIFORMES,Ardeidae,czapla szarobrzucha
2488,Ardea goliath,"AF, PAL",PELECANIFORMES,Ardeidae,czapla olbrzymia
2489,Ardea purpurea,"PAL, OR, AF",PELECANIFORMES,Ardeidae,czapla purpurowa
2490,Ardea alba,"NA, SA, AF, PAL, OR, AU",PELECANIFORMES,Ardeidae,czapla biała
2491,Ardea intermedia,"OR, AF, AU",PELECANIFORMES,Ardeidae,czapla czarnonoga
2492,Pilherodius pileatus,"MA, SA",PELECANIFORMES,Ardeidae,czapla modrolica
2493,Syrigma sibilatrix,SA,PELECANIFORMES,Ardeidae,czapla gwiżdżąca
2494,Egretta picata,AU,PELECANIFORMES,Ardeidae,czapla srokata
2495,Egretta novaehollandiae,AU,PELECANIFORMES,Ardeidae,czapla białolica
2496,Egretta rufescens,"NA, MA",PELECANIFORMES,Ardeidae,czapla rdzawoszyja
2497,Egretta ardesiaca,AF,PELECANIFORMES,Ardeidae,czapla czarna
2498,Egretta vinaceigula,AF,PELECANIFORMES,Ardeidae,czapla łupkowata
2499,Egretta tricolor,"NA, MA, SA",PELECANIFORMES,Ardeidae,czapla trójbarwna
2500,Egretta caerulea,"NA, MA, SA",PELECANIFORMES,Ardeidae,czapla śniada
2501,Egretta thula,"NA, MA, SA",PELECANIFORMES,Ardeidae,czapla śnieżna
2502,Egretta garzetta,"PAL, AF, OR, AU",PELECANIFORMES,Ardeidae,czapla nadobna
2503,Egretta gularis,"AF, PAL, OR",PELECANIFORMES,Ardeidae,czapla rafowa
2504,Egretta dimorpha,AF,PELECANIFORMES,Ardeidae,czapla zmienna
2505,Egretta sacra,"OR, AU",PELECANIFORMES,Ardeidae,czapla czczona
2506,Egretta eulophotes,PAL,PELECANIFORMES,Ardeidae,czapla żółtodzioba
2507,Scopus umbretta,AF,PELECANIFORMES,Scopidae,waruga
2508,Balaeniceps rex,AF,PELECANIFORMES,Balaenicipitidae,trzewikodziób
2509,Pelecanus onocrotalus,"PAL, AF",PELECANIFORMES,Pelecanidae,pelikan różowy
2510,Pelecanus rufescens,AF,PELECANIFORMES,Pelecanidae,pelikan mały
2511,Pelecanus philippensis,OR,PELECANIFORMES,Pelecanidae,pelikan indyjski
2512,Pelecanus crispus,PAL,PELECANIFORMES,Pelecanidae,pelikan kędzierzawy
2513,Pelecanus conspicillatus,AU,PELECANIFORMES,Pelecanidae,pelikan australijski
2514,Pelecanus occidentalis,"NA, MA, SA",PELECANIFORMES,Pelecanidae,pelikan brunatny
2515,Pelecanus thagus,SA,PELECANIFORMES,Pelecanidae,pelikan chilijski
2516,Opisthocomus hoazin,SA,OPISTHOCOMIFORMES,Opisthocomidae,hoacyn
2517,Sarcoramphus papa,"MA, SA",ACCIPITRIFORMES,Cathartidae,kondor królewski
2518,Vultur gryphus,SA,ACCIPITRIFORMES,Cathartidae,kondor wielki
2519,Coragyps atratus,"NA, MA, SA",ACCIPITRIFORMES,Cathartidae,sępnik czarny
2520,Cathartes aura,"NA, MA, SA",ACCIPITRIFORMES,Cathartidae,sępnik różowogłowy
2521,Cathartes burrovianus,"MA, SA",ACCIPITRIFORMES,Cathartidae,sępnik pstrogłowy
2522,Cathartes melambrotus,SA,ACCIPITRIFORMES,Cathartidae,sępnik żółtogłowy
2523,Sagittarius serpentarius,AF,ACCIPITRIFORMES,Sagittariidae,sekretarz
2524,Pandion haliaetus,Worldwide,ACCIPITRIFORMES,Pandionidae,rybołów
2525,Elanus caeruleus,"AF, OR, AU",ACCIPITRIFORMES,Accipitridae,kaniuk (zwyczajny)
2526,Elanus axillaris,AU,ACCIPITRIFORMES,Accipitridae,kaniuk australijski
2527,Elanus leucurus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,kaniuk amerykański
2528,Elanus scriptus,AU,ACCIPITRIFORMES,Accipitridae,kaniuk stepowy
2529,Gampsonyx swainsonii,SA,ACCIPITRIFORMES,Accipitridae,jaszczurnik
2530,Chelictinia riocourii,AF,ACCIPITRIFORMES,Accipitridae,kaniuk długosterny
2531,Polyboroides typus,AF,ACCIPITRIFORMES,Accipitridae,owadożer palmowy
2532,Polyboroides radiatus,AF,ACCIPITRIFORMES,Accipitridae,owadożer madagaskarski
2533,Gypohierax angolensis,AF,ACCIPITRIFORMES,Accipitridae,palmojad
2534,Gypaetus barbatus,"AF, PAL",ACCIPITRIFORMES,Accipitridae,orłosęp
2535,Neophron percnopterus,"AF, PAL, OR",ACCIPITRIFORMES,Accipitridae,ścierwnik
2536,Eutriorchis astur,AF,ACCIPITRIFORMES,Accipitridae,pręgoczub
2537,Leptodon cayanensis,"MA, SA",ACCIPITRIFORMES,Accipitridae,leptodon szarogłowy
2538,Leptodon forbesi,SA,ACCIPITRIFORMES,Accipitridae,leptodon białogłowy
2539,Chondrohierax uncinatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,hakodziób
2540,Pernis apivorus,PAL,ACCIPITRIFORMES,Accipitridae,trzmielojad (zwyczajny)
2541,Pernis ptilorhynchus,"PAL, OR",ACCIPITRIFORMES,Accipitridae,trzmielojad czubaty
2542,Pernis celebensis,AU,ACCIPITRIFORMES,Accipitridae,trzmielojad prążkowany
2543,Pernis steerei,OR,ACCIPITRIFORMES,Accipitridae,trzmielojad krótkoczuby
2544,Elanoides forficatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,jaskólak
2545,Lophoictinia isura,AU,ACCIPITRIFORMES,Accipitridae,kanialec czubaty
2546,Hamirostra melanosternon,AU,ACCIPITRIFORMES,Accipitridae,kanialec ogorzały
2547,Aviceda cuculoides,AF,ACCIPITRIFORMES,Accipitridae,czubak afrykański
2548,Aviceda madagascariensis,AF,ACCIPITRIFORMES,Accipitridae,czubak madagaskarski
2549,Aviceda jerdoni,"OR, AU",ACCIPITRIFORMES,Accipitridae,czubak brunatny
2550,Aviceda subcristata,AU,ACCIPITRIFORMES,Accipitridae,czubak australijski
2551,Aviceda leuphotes,OR,ACCIPITRIFORMES,Accipitridae,czubak czarny
2552,Henicopernis longicauda,AU,ACCIPITRIFORMES,Accipitridae,pszczołojad długosterny
2553,Henicopernis infuscatus,AU,ACCIPITRIFORMES,Accipitridae,pszczołojad ciemny
2554,Necrosyrtes monachus,AF,ACCIPITRIFORMES,Accipitridae,sęp brunatny
2555,Gyps africanus,AF,ACCIPITRIFORMES,Accipitridae,sęp afrykański
2556,Gyps bengalensis,OR,ACCIPITRIFORMES,Accipitridae,sęp bengalski
2557,Gyps indicus,OR,ACCIPITRIFORMES,Accipitridae,sęp indyjski
2558,Gyps tenuirostris,OR,ACCIPITRIFORMES,Accipitridae,sęp długodzioby
2559,Gyps rueppelli,AF,ACCIPITRIFORMES,Accipitridae,sęp plamisty
2560,Gyps himalayensis,OR,ACCIPITRIFORMES,Accipitridae,sęp himalajski
2561,Gyps fulvus,"AF, PAL",ACCIPITRIFORMES,Accipitridae,sęp płowy
2562,Gyps coprotheres,AF,ACCIPITRIFORMES,Accipitridae,sęp przylądkowy
2563,Sarcogyps calvus,OR,ACCIPITRIFORMES,Accipitridae,sęp łysy
2564,Trigonoceps occipitalis,AF,ACCIPITRIFORMES,Accipitridae,sęp białogłowy
2565,Aegypius monachus,PAL,ACCIPITRIFORMES,Accipitridae,sęp kasztanowaty
2566,Torgos tracheliotos,AF,ACCIPITRIFORMES,Accipitridae,sęp uszaty
2567,Spilornis cheela,OR,ACCIPITRIFORMES,Accipitridae,wężojad czubaty
2568,Spilornis klossi,OR,ACCIPITRIFORMES,Accipitridae,wężojad nikobarski
2569,Spilornis kinabaluensis,OR,ACCIPITRIFORMES,Accipitridae,wężojad górski
2570,Spilornis rufipectus,AU,ACCIPITRIFORMES,Accipitridae,wężojad celebeski
2571,Spilornis holospilus,OR,ACCIPITRIFORMES,Accipitridae,wężojad filipiński
2572,Spilornis elgini,OR,ACCIPITRIFORMES,Accipitridae,wężojad andamański
2573,Pithecophaga jefferyi,OR,ACCIPITRIFORMES,Accipitridae,małpożer
2574,Circaetus gallicus,"PAL, OR",ACCIPITRIFORMES,Accipitridae,gadożer (zwyczajny)
2575,Circaetus beaudouini,AF,ACCIPITRIFORMES,Accipitridae,gadożer prążkowany
2576,Circaetus pectoralis,AF,ACCIPITRIFORMES,Accipitridae,gadożer białobrzuchy
2577,Circaetus cinereus,AF,ACCIPITRIFORMES,Accipitridae,gadożer brunatny
2578,Circaetus fasciolatus,AF,ACCIPITRIFORMES,Accipitridae,gadożer krótkoskrzydły
2579,Circaetus cinerascens,AF,ACCIPITRIFORMES,Accipitridae,gadożer białopręgi
2580,Dryotriorchis spectabilis,AF,ACCIPITRIFORMES,Accipitridae,gadożer kongijski
2581,Terathopius ecaudatus,AF,ACCIPITRIFORMES,Accipitridae,kuglarz
2582,Macheiramphus alcinus,"AF, OR, AU",ACCIPITRIFORMES,Accipitridae,gackożer
2583,Harpyopsis novaeguineae,AU,ACCIPITRIFORMES,Accipitridae,harpia papuaska
2584,Morphnus guianensis,"MA, SA",ACCIPITRIFORMES,Accipitridae,harpia gujańska
2585,Harpia harpyja,"MA, SA",ACCIPITRIFORMES,Accipitridae,harpia wielka
2586,Stephanoaetus coronatus,AF,ACCIPITRIFORMES,Accipitridae,wojownik wspaniały
2587,Nisaetus kelaarti,OR,ACCIPITRIFORMES,Accipitridae,wojownik jarzębaty
2588,Nisaetus nanus,OR,ACCIPITRIFORMES,Accipitridae,wojownik mały
2589,Nisaetus nipalensis,OR,ACCIPITRIFORMES,Accipitridae,wojownik górski
2590,Nisaetus alboniger,OR,ACCIPITRIFORMES,Accipitridae,wojownik żałobny
2591,Nisaetus bartelsi,OR,ACCIPITRIFORMES,Accipitridae,wojownik jawajski
2592,Nisaetus lanceolatus,AU,ACCIPITRIFORMES,Accipitridae,wojownik krótkoczuby
2593,Nisaetus pinskeri,OR,ACCIPITRIFORMES,Accipitridae,wojownik leśny
2594,Nisaetus philippensis,OR,ACCIPITRIFORMES,Accipitridae,wojownik filipiński
2595,Nisaetus cirrhatus,OR,ACCIPITRIFORMES,Accipitridae,wojownik indyjski
2596,Nisaetus floris,AU,ACCIPITRIFORMES,Accipitridae,wojownik sundajski
2597,Spizaetus tyrannus,"MA, SA",ACCIPITRIFORMES,Accipitridae,wojownik czarny
2598,Spizaetus melanoleucus,"MA, SA",ACCIPITRIFORMES,Accipitridae,wojownik białogłowy
2599,Spizaetus ornatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,wojownik ozdobny
2600,Spizaetus isidori,SA,ACCIPITRIFORMES,Accipitridae,andowik
2601,Lophotriorchis kienerii,"OR, AU",ACCIPITRIFORMES,Accipitridae,rdzawobrzuch
2602,Polemaetus bellicosus,AF,ACCIPITRIFORMES,Accipitridae,wojownik zbrojny
2603,Lophaetus occipitalis,AF,ACCIPITRIFORMES,Accipitridae,orlik długoczuby
2604,Ictinaetus malaiensis,OR,ACCIPITRIFORMES,Accipitridae,orlik malajski
2605,Clanga hastata,OR,ACCIPITRIFORMES,Accipitridae,orlik hinduski
2606,Clanga pomarina,PAL,ACCIPITRIFORMES,Accipitridae,orlik krzykliwy
2607,Clanga clanga,PAL,ACCIPITRIFORMES,Accipitridae,orlik grubodzioby
2608,Hieraaetus wahlbergi,AF,ACCIPITRIFORMES,Accipitridae,orzełek afrykański
2609,Hieraaetus ayresii,AF,ACCIPITRIFORMES,Accipitridae,orzełek plamisty
2610,Hieraaetus pennatus,PAL,ACCIPITRIFORMES,Accipitridae,orzełek (włochaty)
2611,Hieraaetus weiskei,AU,ACCIPITRIFORMES,Accipitridae,orzełek nowogwinejski
2612,Hieraaetus morphnoides,AU,ACCIPITRIFORMES,Accipitridae,orzełek australijski
2613,Aquila nipalensis,PAL,ACCIPITRIFORMES,Accipitridae,orzeł stepowy
2614,Aquila rapax,AF,ACCIPITRIFORMES,Accipitridae,orzeł sawannowy
2615,Aquila adalberti,PAL,ACCIPITRIFORMES,Accipitridae,orzeł iberyjski
2616,Aquila heliaca,PAL,ACCIPITRIFORMES,Accipitridae,orzeł cesarski
2617,Aquila chrysaetos,"NA, MA, PAL",ACCIPITRIFORMES,Accipitridae,orzeł przedni
2618,Aquila africana,AF,ACCIPITRIFORMES,Accipitridae,orzeł białobrzuchy
2619,Aquila audax,AU,ACCIPITRIFORMES,Accipitridae,orzeł australijski
2620,Aquila gurneyi,AU,ACCIPITRIFORMES,Accipitridae,orzeł molucki
2621,Aquila verreauxii,AF,ACCIPITRIFORMES,Accipitridae,orzeł czarny
2622,Aquila fasciata,"PAL, OR",ACCIPITRIFORMES,Accipitridae,orzeł południowy
2623,Aquila spilogaster,AF,ACCIPITRIFORMES,Accipitridae,orzeł plamisty
2624,Harpagus bidentatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,cykadojad rdzawopierśny
2625,Harpagus diodon,SA,ACCIPITRIFORMES,Accipitridae,cykadojad białopierśny
2626,Kaupifalco monogrammicus,AF,ACCIPITRIFORMES,Accipitridae,jaszczurkołap
2627,Micronisus gabar,AF,ACCIPITRIFORMES,Accipitridae,jastrzębiak mały
2628,Melierax metabates,AF,ACCIPITRIFORMES,Accipitridae,jastrzębiak ciemny
2629,Melierax poliopterus,AF,ACCIPITRIFORMES,Accipitridae,jastrzębiak popielaty
2630,Melierax canorus,AF,ACCIPITRIFORMES,Accipitridae,jastrzębiak jasny
2631,Urotriorchis macrourus,AF,ACCIPITRIFORMES,Accipitridae,długostrząb
2632,Erythrotriorchis buergersi,AU,ACCIPITRIFORMES,Accipitridae,rdzawostrząb ciemnoskrzydły
2633,Erythrotriorchis radiatus,AU,ACCIPITRIFORMES,Accipitridae,rdzawostrząb jasnoskrzydły
2634,Megatriorchis doriae,AU,ACCIPITRIFORMES,Accipitridae,pręgostrząb
2635,Microspizias superciliosus,"MA, SA",ACCIPITRIFORMES,Accipitridae,krogulczyk drobny
2636,Microspizias collaris,SA,ACCIPITRIFORMES,Accipitridae,krogulczyk kryzowany
2637,Accipiter trivirgatus,OR,ACCIPITRIFORMES,Accipitridae,krogulczak czubaty
2638,Accipiter griseiceps,AU,ACCIPITRIFORMES,Accipitridae,krogulczak plamisty
2639,Accipiter poliogaster,SA,ACCIPITRIFORMES,Accipitridae,krogulec siwobrzuchy
2640,Accipiter toussenelii,AF,ACCIPITRIFORMES,Accipitridae,krogulec białobrody
2641,Accipiter tachiro,AF,ACCIPITRIFORMES,Accipitridae,krogulec trzypręgowy
2642,Accipiter castanilius,AF,ACCIPITRIFORMES,Accipitridae,krogulec rdzawoboczny
2643,Accipiter badius,"AF, OR",ACCIPITRIFORMES,Accipitridae,krogulec mały
2644,Accipiter butleri,OR,ACCIPITRIFORMES,Accipitridae,krogulec nikobarski
2645,Accipiter brevipes,PAL,ACCIPITRIFORMES,Accipitridae,krogulec krótkonogi
2646,Accipiter soloensis,PAL,ACCIPITRIFORMES,Accipitridae,krogulec chiński
2647,Accipiter francesiae,AF,ACCIPITRIFORMES,Accipitridae,krogulec malgaski
2648,Accipiter trinotatus,AU,ACCIPITRIFORMES,Accipitridae,krogulec plamosterny
2649,Accipiter novaehollandiae,AU,ACCIPITRIFORMES,Accipitridae,krogulec australijski
2650,Accipiter hiogaster,AU,ACCIPITRIFORMES,Accipitridae,krogulec rdzawobrzuchy
2651,Accipiter fasciatus,AU,ACCIPITRIFORMES,Accipitridae,krogulec brunatny
2652,Accipiter melanochlamys,AU,ACCIPITRIFORMES,Accipitridae,krogulec czarnogrzbiety
2653,Accipiter albogularis,AU,ACCIPITRIFORMES,Accipitridae,krogulec białobrzuchy
2654,Accipiter haplochrous,AU,ACCIPITRIFORMES,Accipitridae,krogulec czarnogardły
2655,Accipiter rufitorques,PO,ACCIPITRIFORMES,Accipitridae,krogulec rdzawoszyi
2656,Accipiter henicogrammus,AU,ACCIPITRIFORMES,Accipitridae,krogulec molucki
2657,Accipiter luteoschistaceus,AU,ACCIPITRIFORMES,Accipitridae,krogulec białogardły
2658,Accipiter imitator,AU,ACCIPITRIFORMES,Accipitridae,krogulec żałobny
2659,Accipiter poliocephalus,AU,ACCIPITRIFORMES,Accipitridae,krogulec nowogwinejski
2660,Accipiter princeps,AU,ACCIPITRIFORMES,Accipitridae,krogulec szarobiały
2661,Accipiter erythropus,AF,ACCIPITRIFORMES,Accipitridae,krogulec tropikalny
2662,Accipiter minullus,AF,ACCIPITRIFORMES,Accipitridae,krogulec skromny
2663,Accipiter gularis,PAL,ACCIPITRIFORMES,Accipitridae,krogulec japoński
2664,Accipiter virgatus,OR,ACCIPITRIFORMES,Accipitridae,krogulec orientalny
2665,Accipiter nanus,AU,ACCIPITRIFORMES,Accipitridae,krogulec rdzawopierśny
2666,Accipiter erythrauchen,AU,ACCIPITRIFORMES,Accipitridae,krogulec rdzawy
2667,Accipiter cirrocephalus,AU,ACCIPITRIFORMES,Accipitridae,krogulec obrożny
2668,Accipiter brachyurus,AU,ACCIPITRIFORMES,Accipitridae,krogulec trójbarwny
2669,Accipiter rhodogaster,AU,ACCIPITRIFORMES,Accipitridae,krogulec różany
2670,Accipiter madagascariensis,AF,ACCIPITRIFORMES,Accipitridae,krogulec prążkowany
2671,Accipiter ovampensis,AF,ACCIPITRIFORMES,Accipitridae,krogulec szary
2672,Accipiter nisus,PAL,ACCIPITRIFORMES,Accipitridae,krogulec (zwyczajny)
2673,Accipiter rufiventris,AF,ACCIPITRIFORMES,Accipitridae,krogulec rudobrzuchy
2674,Accipiter striatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,krogulec zmienny
2675,Accipiter chionogaster,MA,ACCIPITRIFORMES,Accipitridae,krogulec gwatemalski
2676,Accipiter ventralis,SA,ACCIPITRIFORMES,Accipitridae,krogulec andyjski
2677,Accipiter erythronemius,SA,ACCIPITRIFORMES,Accipitridae,krogulec brazylijski
2678,Accipiter cooperii,"NA, MA",ACCIPITRIFORMES,Accipitridae,krogulec czarnołbisty
2679,Accipiter bicolor,"MA, SA",ACCIPITRIFORMES,Accipitridae,krogulec dwubarwny
2680,Accipiter chilensis,SA,ACCIPITRIFORMES,Accipitridae,krogulec chilijski
2681,Accipiter melanoleucus,AF,ACCIPITRIFORMES,Accipitridae,jastrząb czarno-biały
2682,Accipiter henstii,AF,ACCIPITRIFORMES,Accipitridae,jastrząb brunatny
2683,Accipiter gentilis,PAL,ACCIPITRIFORMES,Accipitridae,jastrząb (zwyczajny)
2684,Accipiter atricapillus,"NA, MA",ACCIPITRIFORMES,Accipitridae,jastrząb czerwonooki
2685,Accipiter meyerianus,AU,ACCIPITRIFORMES,Accipitridae,jastrząb papuaski
2686,Circus aeruginosus,"PAL, AF",ACCIPITRIFORMES,Accipitridae,błotniak stawowy
2687,Circus spilonotus,PAL,ACCIPITRIFORMES,Accipitridae,błotniak wschodni
2688,Circus spilothorax,AU,ACCIPITRIFORMES,Accipitridae,błotniak nowogwinejski
2689,Circus approximans,AU,ACCIPITRIFORMES,Accipitridae,błotniak moczarowy
2690,Circus ranivorus,AF,ACCIPITRIFORMES,Accipitridae,błotniak afrykański
2691,Circus maillardi,AF,ACCIPITRIFORMES,Accipitridae,błotniak malgaski
2692,Circus macrosceles,AF,ACCIPITRIFORMES,Accipitridae,błotniak maskareński
2693,Circus buffoni,SA,ACCIPITRIFORMES,Accipitridae,błotniak długoskrzydły
2694,Circus assimilis,AU,ACCIPITRIFORMES,Accipitridae,błotniak plamisty
2695,Circus maurus,AF,ACCIPITRIFORMES,Accipitridae,błotniak czarny
2696,Circus cyaneus,PAL,ACCIPITRIFORMES,Accipitridae,błotniak zbożowy
2697,Circus hudsonius,"NA, MA",ACCIPITRIFORMES,Accipitridae,błotniak amerykański
2698,Circus cinereus,SA,ACCIPITRIFORMES,Accipitridae,błotniak prążkowany
2699,Circus macrourus,PAL,ACCIPITRIFORMES,Accipitridae,błotniak stepowy
2700,Circus melanoleucos,PAL,ACCIPITRIFORMES,Accipitridae,błotniak czarnogłowy
2701,Circus pygargus,PAL,ACCIPITRIFORMES,Accipitridae,błotniak łąkowy
2702,Milvus milvus,PAL,ACCIPITRIFORMES,Accipitridae,kania ruda
2703,Milvus migrans,"PAL, AF, OR, AU",ACCIPITRIFORMES,Accipitridae,kania czarna
2704,Milvus aegyptius,AF,ACCIPITRIFORMES,Accipitridae,kania egipska
2705,Haliastur sphenurus,AU,ACCIPITRIFORMES,Accipitridae,kania złotawa
2706,Haliastur indus,"OR, AU",ACCIPITRIFORMES,Accipitridae,kania bramińska
2707,Haliaeetus pelagicus,PAL,ACCIPITRIFORMES,Accipitridae,bielik olbrzymi
2708,Haliaeetus leucoryphus,PAL,ACCIPITRIFORMES,Accipitridae,bielik wschodni
2709,Haliaeetus albicilla,PAL,ACCIPITRIFORMES,Accipitridae,bielik (zwyczajny)
2710,Icthyophaga leucogaster,"OR, AU",ACCIPITRIFORMES,Accipitridae,bielik białobrzuchy
2711,Icthyophaga sanfordi,AU,ACCIPITRIFORMES,Accipitridae,bielik melanezyjski
2712,Icthyophaga vocifer,AF,ACCIPITRIFORMES,Accipitridae,bielik afrykański
2713,Icthyophaga vociferoides,AF,ACCIPITRIFORMES,Accipitridae,bielik madagaskarski
2714,Icthyophaga humilis,"OR, AU",ACCIPITRIFORMES,Accipitridae,rybożer brunatny
2715,Icthyophaga ichthyaetus,OR,ACCIPITRIFORMES,Accipitridae,rybożer białosterny
2716,Butastur rufipennis,AF,ACCIPITRIFORMES,Accipitridae,myszołap rdzawoskrzydły
2717,Butastur teesa,OR,ACCIPITRIFORMES,Accipitridae,myszołap białooki
2718,Butastur liventer,"OR, AU",ACCIPITRIFORMES,Accipitridae,myszołap białobrzuchy
2719,Butastur indicus,PAL,ACCIPITRIFORMES,Accipitridae,myszołap białobrewy
2720,Ictinia plumbea,"MA, SA",ACCIPITRIFORMES,Accipitridae,kanialuk szary
2721,Busarellus nigricollis,"MA, SA",ACCIPITRIFORMES,Accipitridae,tarczownik
2722,Rostrhamus sociabilis,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,ślimakojad czerwonooki
2723,Helicolestes hamatus,"MA, SA",ACCIPITRIFORMES,Accipitridae,ślimakojad żółtooki
2724,Geranospiza caerulescens,"MA, SA",ACCIPITRIFORMES,Accipitridae,jastrzębiec
2725,Cryptoleucopteryx plumbea,SA,ACCIPITRIFORMES,Accipitridae,szarostrząb
2726,Buteogallus schistaceus,SA,ACCIPITRIFORMES,Accipitridae,czarnostrząb śniady
2727,Buteogallus anthracinus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,czarnostrząb leśny
2728,Buteogallus aequinoctialis,SA,ACCIPITRIFORMES,Accipitridae,czarnostrząb rdzawoskrzydły
2729,Buteogallus meridionalis,"MA, SA",ACCIPITRIFORMES,Accipitridae,czarnostrząb rdzawy
2730,Buteogallus lacernulatus,SA,ACCIPITRIFORMES,Accipitridae,białogłowiec
2731,Buteogallus urubitinga,"MA, SA",ACCIPITRIFORMES,Accipitridae,urubitinga czarna
2732,Buteogallus solitarius,"MA, SA",ACCIPITRIFORMES,Accipitridae,urubitinga górska
2733,Buteogallus coronatus,SA,ACCIPITRIFORMES,Accipitridae,urubitinga czubata
2734,Morphnarchus princeps,"MA, SA",ACCIPITRIFORMES,Accipitridae,paskowiec
2735,Rupornis magnirostris,"MA, SA",ACCIPITRIFORMES,Accipitridae,myszołowczyk
2736,Parabuteo unicinctus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,myszołowiec towarzyski
2737,Parabuteo leucorrhous,SA,ACCIPITRIFORMES,Accipitridae,myszołowiec czarnoskrzydły
2738,Geranoaetus albicaudatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,aguja białosterna
2739,Geranoaetus polyosoma,SA,ACCIPITRIFORMES,Accipitridae,aguja rdzawogrzbieta
2740,Geranoaetus melanoleucus,SA,ACCIPITRIFORMES,Accipitridae,aguja wielka
2741,Pseudastur polionotus,SA,ACCIPITRIFORMES,Accipitridae,białostrząb płaszczowy
2742,Pseudastur albicollis,"MA, SA",ACCIPITRIFORMES,Accipitridae,białostrząb duży
2743,Pseudastur occidentalis,SA,ACCIPITRIFORMES,Accipitridae,białostrząb szarogłowy
2744,Leucopternis semiplumbeus,"MA, SA",ACCIPITRIFORMES,Accipitridae,białostrząb panamski
2745,Leucopternis melanops,SA,ACCIPITRIFORMES,Accipitridae,białostrząb okularowy
2746,Leucopternis kuhli,SA,ACCIPITRIFORMES,Accipitridae,białostrząb białobrewy
2747,Buteo plagiatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,myszołowik popielaty
2748,Buteo nitidus,"MA, SA",ACCIPITRIFORMES,Accipitridae,myszołowik prążkowany
2749,Buteo lineatus,"NA, MA",ACCIPITRIFORMES,Accipitridae,myszołów rdzawoskrzydły
2750,Buteo albigula,SA,ACCIPITRIFORMES,Accipitridae,myszołów białogardły
2751,Buteo brachyurus,"MA, SA",ACCIPITRIFORMES,Accipitridae,myszołów krótkoogonowy
2752,Buteo solitarius,PO,ACCIPITRIFORMES,Accipitridae,myszołów hawajski
2753,Buteo swainsoni,"NA, MA",ACCIPITRIFORMES,Accipitridae,myszołów preriowy
2754,Buteo galapagoensis,SA,ACCIPITRIFORMES,Accipitridae,myszołów galapagoski
2755,Buteo albonotatus,"NA, MA, SA",ACCIPITRIFORMES,Accipitridae,myszołów czarny
2756,Buteo jamaicensis,"NA, MA",ACCIPITRIFORMES,Accipitridae,myszołów rdzawosterny
2757,Buteo ventralis,SA,ACCIPITRIFORMES,Accipitridae,myszołów patagoński
2758,Buteo lagopus,"NA, PAL",ACCIPITRIFORMES,Accipitridae,myszołów włochaty
2759,Buteo hemilasius,PAL,ACCIPITRIFORMES,Accipitridae,myszołów mongolski
2760,Buteo japonicus,OR,ACCIPITRIFORMES,Accipitridae,myszołów amurski
2761,Buteo refectus,OR,ACCIPITRIFORMES,Accipitridae,myszołów himalajski
2762,Buteo rufinus,"PAL, AF",ACCIPITRIFORMES,Accipitridae,kurhannik
2763,Buteo bannermani,AF,ACCIPITRIFORMES,Accipitridae,myszołów zielonoprzylądkowy
2764,Buteo socotraensis,AF,ACCIPITRIFORMES,Accipitridae,kurhannik sokotrzański
2765,Buteo buteo,PAL,ACCIPITRIFORMES,Accipitridae,myszołów (zwyczajny)
2766,Buteo trizonatus,AF,ACCIPITRIFORMES,Accipitridae,myszołów leśny
