,IOC,Breeding Range,Order,Family,French
3215,Todiramphus sanctus,"OR, AU",CORACIIFORMES,Alcedinidae,Martin-chasseur sacré
3216,Todiramphus recurvirostris,PO,CORACIIFORMES,Alcedinidae,Martin-chasseur des Samoa
3217,Todiramphus australasia,AU,CORACIIFORMES,Alcedinidae,Martin-chasseur couronné
3218,Todiramphus tutus,PO,CORACIIFORMES,Alcedinidae,Martin-chasseur respecté
3219,Todiramphus ruficollaris,PO,CORACIIFORMES,Alcedinidae,Martin-chasseur de Mangaia
3220,Todiramphus veneratus,PO,CORACIIFORMES,Alcedinidae,Martin-chasseur vénéré
3221,Todiramphus gertrudae,PO,CORACIIFORMES,Alcedinidae,Martin-chasseur de Niau
3222,Todiramphus godeffroyi,PO,CORACIIFORMES,Alcedinidae,Martin-chasseur des Marquises
3223,Todiramphus pyrrhopygius,AU,CORACIIFORMES,Alcedinidae,Martin-chasseur à dos de feu
3224,Syma torotoro,AU,CORACIIFORMES,Alcedinidae,Martin-chasseur torotoro
3225,Syma megarhyncha,AU,CORACIIFORMES,Alcedinidae,Martin-chasseur montagnard
3226,Ispidina lecontei,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur à tête rousse
3227,Ispidina picta,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur pygmée
3228,Corythornis madagascariensis,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur malgache
3229,Corythornis leucogaster,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur à ventre blanc
3230,Corythornis cristatus,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur huppé
3231,Corythornis vintsioides,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur vintsi
3232,Alcedo coerulescens,"OR, AU",CORACIIFORMES,Alcedinidae,Martin-pêcheur aigue-marine
3233,Alcedo peninsulae,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur péninsulaire
3234,Alcedo euryzona,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur à large bande
3235,Alcedo quadribrachys,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur azuré
3236,Alcedo meninting,"OR, AU",CORACIIFORMES,Alcedinidae,Martin-pêcheur méninting
3237,Alcedo atthis,"PAL, OR, AU",CORACIIFORMES,Alcedinidae,Martin-pêcheur d’Europe
3238,Alcedo semitorquata,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur à demi-collier
3239,Alcedo hercules,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Blyth
3240,Ceyx erithaca,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur pourpré
3241,Ceyx melanurus,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur flamboyant
3242,Ceyx sangirensis,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur des Sangihe
3243,Ceyx fallax,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur multicolore
3244,Ceyx lepidus,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur gracieux
3245,Ceyx margarethae,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Margarete
3246,Ceyx wallacii,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur des Sula
3247,Ceyx cajeli,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Buru
3248,Ceyx solitarius,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Nouvelle-Guinée
3249,Ceyx dispar,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Manus
3250,Ceyx mulcatus,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Nouvelle-Irlande
3251,Ceyx sacerdotis,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Nouvelle-Bretagne
3252,Ceyx meeki,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur d’Isabel
3253,Ceyx collectoris,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Nouvelle-Géorgie
3254,Ceyx nigromaxilla,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Guadalcanal
3255,Ceyx gentianus,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur de San Cristobal
3256,Ceyx cyanopectus,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur à poitrine bleue
3257,Ceyx argentatus,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur argenté
3258,Ceyx flumenicola,OR,CORACIIFORMES,Alcedinidae,Martin-pêcheur de Steere
3259,Ceyx azureus,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur à dos bleu
3260,Ceyx websteri,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur des Bismarck
3261,Ceyx pusillus,AU,CORACIIFORMES,Alcedinidae,Martin-pêcheur poucet
3262,Chloroceryle amazona,"MA, SA",CORACIIFORMES,Alcedinidae,Martin-pêcheur d’Amazonie
3263,Chloroceryle aenea,"MA, SA",CORACIIFORMES,Alcedinidae,Martin-pêcheur nain
3264,Chloroceryle americana,"NA, MA, SA",CORACIIFORMES,Alcedinidae,Martin-pêcheur vert
3265,Chloroceryle inda,"MA, SA",CORACIIFORMES,Alcedinidae,Martin-pêcheur bicolore
3266,Megaceryle lugubris,"OR, PAL",CORACIIFORMES,Alcedinidae,Martin-pêcheur tacheté
3267,Megaceryle maxima,AF,CORACIIFORMES,Alcedinidae,Martin-pêcheur géant
3268,Megaceryle torquata,"NA, MA, SA",CORACIIFORMES,Alcedinidae,Martin-pêcheur à ventre roux
3269,Ceryle rudis,"AF, OR",CORACIIFORMES,Alcedinidae,Martin-pêcheur pie
3270,Hylomanes momotula,"MA, SA",CORACIIFORMES,Momotidae,Motmot nain
3271,Aspatha gularis,MA,CORACIIFORMES,Momotidae,Motmot à gorge bleue
3272,Momotus mexicanus,MA,CORACIIFORMES,Momotidae,Motmot à tête rousse
3273,Momotus coeruliceps,MA,CORACIIFORMES,Momotidae,Motmot à tête bleue
3274,Momotus lessonii,MA,CORACIIFORMES,Momotidae,Motmot de Lesson
3275,Momotus subrufescens,"MA, SA",CORACIIFORMES,Momotidae,Motmot caraïbe
3276,Momotus bahamensis,SA,CORACIIFORMES,Momotidae,Motmot de Trinidad
3277,Momotus momota,SA,CORACIIFORMES,Momotidae,Motmot houtouc
3278,Momotus aequatorialis,SA,CORACIIFORMES,Momotidae,Motmot d’Équateur
3279,Baryphthengus martii,"MA, SA",CORACIIFORMES,Momotidae,Motmot roux
3280,Baryphthengus ruficapillus,SA,CORACIIFORMES,Momotidae,Motmot oranroux
3281,Electron carinatum,MA,CORACIIFORMES,Momotidae,Motmot à bec caréné
3282,Electron platyrhynchum,"MA, SA",CORACIIFORMES,Momotidae,Motmot à bec large
3283,Eumomota superciliosa,MA,CORACIIFORMES,Momotidae,Motmot à sourcils bleus
3284,Nyctyornis amictus,OR,CORACIIFORMES,Meropidae,Guêpier à fraise
3285,Nyctyornis athertoni,OR,CORACIIFORMES,Meropidae,Guêpier à barbe bleue
3286,Meropogon forsteni,AU,CORACIIFORMES,Meropidae,Guêpier des Célèbes
3287,Merops breweri,AF,CORACIIFORMES,Meropidae,Guêpier à tête noire
3288,Merops muelleri,AF,CORACIIFORMES,Meropidae,Guêpier à tête bleue
3289,Merops mentalis,AF,CORACIIFORMES,Meropidae,Guêpier à moustaches
3290,Merops gularis,AF,CORACIIFORMES,Meropidae,Guêpier noir
3291,Merops hirundineus,AF,CORACIIFORMES,Meropidae,Guêpier à queue d’aronde
3292,Merops pusillus,AF,CORACIIFORMES,Meropidae,Guêpier nain
3293,Merops variegatus,AF,CORACIIFORMES,Meropidae,Guêpier à collier bleu
3294,Merops lafresnayii,AF,CORACIIFORMES,Meropidae,Guêpier de Lafresnaye
3295,Merops oreobates,AF,CORACIIFORMES,Meropidae,Guêpier montagnard
3296,Merops bulocki,AF,CORACIIFORMES,Meropidae,Guêpier à gorge rouge
3297,Merops bullockoides,AF,CORACIIFORMES,Meropidae,Guêpier à front blanc
3298,Merops revoilii,AF,CORACIIFORMES,Meropidae,Guêpier de Révoil
3299,Merops albicollis,AF,CORACIIFORMES,Meropidae,Guêpier à gorge blanche
3300,Merops boehmi,AF,CORACIIFORMES,Meropidae,Guêpier de Böhm
3301,Merops viridissimus,AF,CORACIIFORMES,Meropidae,Guêpier vert
3302,Merops cyanophrys,PAL,CORACIIFORMES,Meropidae,Guêpier à sourcils bleus
3303,Merops orientalis,"PAL, OR",CORACIIFORMES,Meropidae,Guêpier d’Orient
3304,Merops persicus,PAL,CORACIIFORMES,Meropidae,Guêpier de Perse
3305,Merops superciliosus,AF,CORACIIFORMES,Meropidae,Guêpier de Madagascar
3306,Merops philippinus,"OR, AU",CORACIIFORMES,Meropidae,Guêpier à queue d’azur
3307,Merops ornatus,AU,CORACIIFORMES,Meropidae,Guêpier arc-en-ciel
3308,Merops viridis,OR,CORACIIFORMES,Meropidae,Guêpier à gorge bleue
3309,Merops americanus,OR,CORACIIFORMES,Meropidae,Guêpier à gorge verte
3310,Merops leschenaulti,OR,CORACIIFORMES,Meropidae,Guêpier de Leschenault
3311,Merops apiaster,"PAL, AF",CORACIIFORMES,Meropidae,Guêpier d’Europe
3312,Merops malimbicus,AF,CORACIIFORMES,Meropidae,Guêpier gris-rose
3313,Merops nubicus,AF,CORACIIFORMES,Meropidae,Guêpier écarlate
3314,Merops nubicoides,AF,CORACIIFORMES,Meropidae,Guêpier carmin
3315,Galbalcyrhynchus leucotis,SA,PICIFORMES,Galbulidae,Jacamar oreillard
3316,Galbalcyrhynchus purusianus,SA,PICIFORMES,Galbulidae,Jacamar roux
3317,Brachygalba salmoni,"MA, SA",PICIFORMES,Galbulidae,Jacamar sombre
3318,Brachygalba goeringi,SA,PICIFORMES,Galbulidae,Jacamar à tête pâle
3319,Brachygalba lugubris,SA,PICIFORMES,Galbulidae,Jacamar brun
3320,Brachygalba albogularis,SA,PICIFORMES,Galbulidae,Jacamar à gorge blanche
3321,Jacamaralcyon tridactyla,SA,PICIFORMES,Galbulidae,Jacamar tridactyle
3322,Galbula albirostris,SA,PICIFORMES,Galbulidae,Jacamar à bec jaune
3323,Galbula cyanicollis,SA,PICIFORMES,Galbulidae,Jacamar à joues bleues
3324,Galbula ruficauda,"MA, SA",PICIFORMES,Galbulidae,Jacamar à queue rousse
3325,Galbula galbula,SA,PICIFORMES,Galbulidae,Jacamar vert
3326,Galbula pastazae,SA,PICIFORMES,Galbulidae,Jacamar des Andes
3327,Galbula tombacea,SA,PICIFORMES,Galbulidae,Jacamar à menton blanc
3328,Galbula cyanescens,SA,PICIFORMES,Galbulidae,Jacamar à couronne bleue
3329,Galbula chalcothorax,SA,PICIFORMES,Galbulidae,Jacamar violacé
3330,Galbula leucogastra,SA,PICIFORMES,Galbulidae,Jacamar à ventre blanc
3331,Galbula dea,SA,PICIFORMES,Galbulidae,Jacamar à longue queue
3332,Jacamerops aureus,"MA, SA",PICIFORMES,Galbulidae,Grand Jacamar
3333,Notharchus hyperrhynchus,"MA, SA",PICIFORMES,Bucconidae,Tamatia à front blanc
3334,Notharchus macrorhynchos,SA,PICIFORMES,Bucconidae,Tamatia à gros bec
3335,Notharchus swainsoni,SA,PICIFORMES,Bucconidae,Tamatia de Swainson
3336,Notharchus pectoralis,"MA, SA",PICIFORMES,Bucconidae,Tamatia à plastron
3337,Notharchus ordii,SA,PICIFORMES,Bucconidae,Tamatia de Cassin
3338,Notharchus tectus,"MA, SA",PICIFORMES,Bucconidae,Tamatia pie
3339,Bucco macrodactylus,SA,PICIFORMES,Bucconidae,Tamatia macrodactyle
3340,Bucco tamatia,SA,PICIFORMES,Bucconidae,Tamatia tacheté
3341,Bucco noanamae,SA,PICIFORMES,Bucconidae,Tamatia de Colombie
3342,Bucco capensis,SA,PICIFORMES,Bucconidae,Tamatia à collier
3343,Nystalus radiatus,"MA, SA",PICIFORMES,Bucconidae,Tamatia barré
3344,Nystalus chacuru,SA,PICIFORMES,Bucconidae,Tamatia chacuru
3345,Nystalus striolatus,SA,PICIFORMES,Bucconidae,Tamatia striolé
3346,Nystalus obamai,SA,PICIFORMES,Bucconidae,Tamatia d’Obama
3347,Nystalus maculatus,SA,PICIFORMES,Bucconidae,Tamatia tamajac
3348,Nystalus striatipectus,SA,PICIFORMES,Bucconidae,Tamatia à ventre rayé
3349,Hypnelus ruficollis,SA,PICIFORMES,Bucconidae,Tamatia à gorge rousse
3350,Hypnelus bicinctus,SA,PICIFORMES,Bucconidae,Tamatia bifascié
3351,Malacoptila striata,SA,PICIFORMES,Bucconidae,Tamatia rayé
3352,Malacoptila fusca,SA,PICIFORMES,Bucconidae,Tamatia brun
3353,Malacoptila semicincta,SA,PICIFORMES,Bucconidae,Tamatia à semi-collier
3354,Malacoptila fulvogularis,SA,PICIFORMES,Bucconidae,Tamatia à gorge fauve
3355,Malacoptila rufa,SA,PICIFORMES,Bucconidae,Tamatia à col roux
3356,Malacoptila panamensis,"MA, SA",PICIFORMES,Bucconidae,Tamatia de Lafresnaye
3357,Malacoptila mystacalis,SA,PICIFORMES,Bucconidae,Tamatia à moustaches
3358,Micromonacha lanceolata,"MA, SA",PICIFORMES,Bucconidae,Barbacou lancéolé
3359,Nonnula rubecula,SA,PICIFORMES,Bucconidae,Barbacou rufalbin
3360,Nonnula sclateri,SA,PICIFORMES,Bucconidae,Barbacou de Sclater
3361,Nonnula brunnea,SA,PICIFORMES,Bucconidae,Barbacou brun
3362,Nonnula frontalis,"MA, SA",PICIFORMES,Bucconidae,Barbacou à joues grises
3363,Nonnula ruficapilla,SA,PICIFORMES,Bucconidae,Barbacou à couronne rousse
3364,Nonnula amaurocephala,SA,PICIFORMES,Bucconidae,Barbacou à face rousse
3365,Hapaloptila castanea,SA,PICIFORMES,Bucconidae,Barbacou à face blanche
3366,Monasa atra,SA,PICIFORMES,Bucconidae,Barbacou noir
3367,Monasa nigrifrons,SA,PICIFORMES,Bucconidae,Barbacou unicolore
3368,Monasa morphoeus,"MA, SA",PICIFORMES,Bucconidae,Barbacou à front blanc
3369,Monasa flavirostris,SA,PICIFORMES,Bucconidae,Barbacou à bec jaune
3370,Chelidoptera tenebrosa,SA,PICIFORMES,Bucconidae,Barbacou à croupion blanc
3371,Capito aurovirens,SA,PICIFORMES,Capitonidae,Cabézon oranvert
3372,Capito wallacei,SA,PICIFORMES,Capitonidae,Cabézon du Loreto
3373,Capito fitzpatricki,SA,PICIFORMES,Capitonidae,Cabézon du Sira
3374,Capito maculicoronatus,"MA, SA",PICIFORMES,Capitonidae,Cabézon à calotte tachetée
3375,Capito squamatus,SA,PICIFORMES,Capitonidae,Cabézon à nuque blanche
3376,Capito hypoleucus,SA,PICIFORMES,Capitonidae,Cabézon à manteau blanc
3377,Capito dayi,SA,PICIFORMES,Capitonidae,Cabézon du Brésil
3378,Capito brunneipectus,SA,PICIFORMES,Capitonidae,Cabézon à poitrine brune
3379,Capito niger,SA,PICIFORMES,Capitonidae,Cabézon tacheté
3380,Capito auratus,SA,PICIFORMES,Capitonidae,Cabézon doré
3381,Capito quinticolor,SA,PICIFORMES,Capitonidae,Cabézon à cinq couleurs
3382,Eubucco richardsoni,SA,PICIFORMES,Capitonidae,Cabézon à poitrine d’or
3383,Eubucco bourcierii,"MA, SA",PICIFORMES,Capitonidae,Cabézon à tête rouge
3384,Eubucco tucinkae,SA,PICIFORMES,Capitonidae,Cabézon de Carabaya
3385,Eubucco versicolor,SA,PICIFORMES,Capitonidae,Cabézon élégant
3386,Semnornis frantzii,MA,PICIFORMES,Semnornithidae,Cabézon de Frantzius
3387,Semnornis ramphastinus,SA,PICIFORMES,Semnornithidae,Cabézon toucan
3388,Aulacorhynchus wagleri,MA,PICIFORMES,Ramphastidae,Toucanet de Wagler
3389,Aulacorhynchus prasinus,MA,PICIFORMES,Ramphastidae,Toucanet émeraude
3390,Aulacorhynchus caeruleogularis,"MA, SA",PICIFORMES,Ramphastidae,Toucanet à gorge bleue
3391,Aulacorhynchus albivitta,SA,PICIFORMES,Ramphastidae,Toucanet à gorge blanche
3392,Aulacorhynchus atrogularis,SA,PICIFORMES,Ramphastidae,Toucanet à gorge noire
3393,Aulacorhynchus sulcatus,SA,PICIFORMES,Ramphastidae,Toucanet à bec sillonné
3394,Aulacorhynchus derbianus,SA,PICIFORMES,Ramphastidae,Toucanet de Derby
3395,Aulacorhynchus whitelianus,SA,PICIFORMES,Ramphastidae,Toucanet de Whitely
3396,Aulacorhynchus haematopygus,SA,PICIFORMES,Ramphastidae,Toucanet à croupion rouge
3397,Aulacorhynchus huallagae,SA,PICIFORMES,Ramphastidae,Toucanet à sourcils jaunes
3398,Aulacorhynchus coeruleicinctis,SA,PICIFORMES,Ramphastidae,Toucanet à ceinture bleue
3399,Pteroglossus viridis,SA,PICIFORMES,Ramphastidae,Araçari vert
3400,Pteroglossus inscriptus,SA,PICIFORMES,Ramphastidae,Araçari marqué
3401,Pteroglossus bitorquatus,SA,PICIFORMES,Ramphastidae,Araçari à double collier
3402,Pteroglossus azara,SA,PICIFORMES,Ramphastidae,Araçari d’Azara
3403,Pteroglossus mariae,SA,PICIFORMES,Ramphastidae,Araçari de Maria
3404,Pteroglossus aracari,SA,PICIFORMES,Ramphastidae,Araçari grigri
3405,Pteroglossus castanotis,SA,PICIFORMES,Ramphastidae,Araçari à oreillons roux
3406,Pteroglossus pluricinctus,SA,PICIFORMES,Ramphastidae,Araçari multibande
3407,Pteroglossus torquatus,"MA, SA",PICIFORMES,Ramphastidae,Araçari à collier
3408,Pteroglossus sanguineus,SA,PICIFORMES,Ramphastidae,Araçari à bec maculé
3409,Pteroglossus erythropygius,SA,PICIFORMES,Ramphastidae,Araçari à bec clair
3410,Pteroglossus frantzii,MA,PICIFORMES,Ramphastidae,Araçari de Frantzius
3411,Pteroglossus beauharnaisii,SA,PICIFORMES,Ramphastidae,Araçari de Beauharnais
3412,Pteroglossus bailloni,SA,PICIFORMES,Ramphastidae,Araçari de Baillon
3413,Selenidera spectabilis,"MA, SA",PICIFORMES,Ramphastidae,Toucanet à oreilles d’or
3414,Selenidera piperivora,SA,PICIFORMES,Ramphastidae,Toucanet koulik
3415,Selenidera reinwardtii,SA,PICIFORMES,Ramphastidae,Toucanet de Reinwardt
3416,Selenidera nattereri,SA,PICIFORMES,Ramphastidae,Toucanet de Natterer
3417,Selenidera gouldii,SA,PICIFORMES,Ramphastidae,Toucanet de Gould
3418,Selenidera maculirostris,SA,PICIFORMES,Ramphastidae,Toucanet à bec tacheté
3419,Andigena hypoglauca,SA,PICIFORMES,Ramphastidae,Toucan bleu
3420,Andigena laminirostris,SA,PICIFORMES,Ramphastidae,Toucan montagnard
3421,Andigena cucullata,SA,PICIFORMES,Ramphastidae,Toucan à capuchon
3422,Andigena nigrirostris,SA,PICIFORMES,Ramphastidae,Toucan à bec noir
3423,Ramphastos dicolorus,SA,PICIFORMES,Ramphastidae,Toucan à ventre rouge
3424,Ramphastos vitellinus,SA,PICIFORMES,Ramphastidae,Toucan vitellin
3425,Ramphastos citreolaemus,SA,PICIFORMES,Ramphastidae,Toucan à gorge citron
3426,Ramphastos brevis,SA,PICIFORMES,Ramphastidae,Toucan du Choco
3427,Ramphastos sulfuratus,"MA, SA",PICIFORMES,Ramphastidae,Toucan à carène
3428,Ramphastos toco,SA,PICIFORMES,Ramphastidae,Toucan toco
3429,Ramphastos tucanus,SA,PICIFORMES,Ramphastidae,Toucan à bec rouge
3430,Ramphastos ambiguus,SA,PICIFORMES,Ramphastidae,Toucan tocard
3431,Psilopogon pyrolophus,OR,PICIFORMES,Megalaimidae,Barbu à collier
3432,Psilopogon virens,OR,PICIFORMES,Megalaimidae,Barbu géant
3433,Psilopogon lagrandieri,OR,PICIFORMES,Megalaimidae,Barbu à ventre rouge
3434,Psilopogon zeylanicus,OR,PICIFORMES,Megalaimidae,Barbu à tête brune
3435,Psilopogon lineatus,OR,PICIFORMES,Megalaimidae,Barbu rayé
3436,Psilopogon viridis,OR,PICIFORMES,Megalaimidae,Barbu vert
3437,Psilopogon faiostrictus,OR,PICIFORMES,Megalaimidae,Barbu grivelé
3438,Psilopogon corvinus,OR,PICIFORMES,Megalaimidae,Barbu corbin
3439,Psilopogon chrysopogon,OR,PICIFORMES,Megalaimidae,Barbu à joues jaunes
3440,Psilopogon rafflesii,OR,PICIFORMES,Megalaimidae,Barbu bigarré
3441,Psilopogon mystacophanos,OR,PICIFORMES,Megalaimidae,Barbu arlequin
3442,Psilopogon javensis,OR,PICIFORMES,Megalaimidae,Barbu de Java
3443,Psilopogon flavifrons,OR,PICIFORMES,Megalaimidae,Barbu à front d’or
3444,Psilopogon franklinii,OR,PICIFORMES,Megalaimidae,Barbu de Franklin
3445,Psilopogon auricularis,OR,PICIFORMES,Megalaimidae,Barbu à gorge d’or
3446,Psilopogon oorti,OR,PICIFORMES,Megalaimidae,Barbu malais
3447,Psilopogon annamensis,OR,PICIFORMES,Megalaimidae,Barbu d’Annam
3448,Psilopogon faber,OR,PICIFORMES,Megalaimidae,Barbu forgeron
3449,Psilopogon nuchalis,OR,PICIFORMES,Megalaimidae,Barbu de Formose
3450,Psilopogon asiaticus,OR,PICIFORMES,Megalaimidae,Barbu à gorge bleue
3451,Psilopogon chersonesus,OR,PICIFORMES,Megalaimidae,Barbu de Kra
3452,Psilopogon monticola,OR,PICIFORMES,Megalaimidae,Barbu montagnard
3453,Psilopogon incognitus,OR,PICIFORMES,Megalaimidae,Barbu de Hume
3454,Psilopogon henricii,OR,PICIFORMES,Megalaimidae,Barbu à sourcils jaunes
3455,Psilopogon armillaris,OR,PICIFORMES,Megalaimidae,Barbu souci-col
3456,Psilopogon pulcherrimus,OR,PICIFORMES,Megalaimidae,Barbu élégant
3457,Psilopogon australis,OR,PICIFORMES,Megalaimidae,Barbu à calotte bleue
3458,Psilopogon duvaucelii,OR,PICIFORMES,Megalaimidae,Barbu à oreillons noirs
3459,Psilopogon eximius,OR,PICIFORMES,Megalaimidae,Barbu à gorge noire
3460,Psilopogon rubricapillus,OR,PICIFORMES,Megalaimidae,Barbu à couronne rouge
3461,Psilopogon malabaricus,OR,PICIFORMES,Megalaimidae,Barbu de Malabar
3462,Psilopogon haemacephalus,OR,PICIFORMES,Megalaimidae,Barbu à plastron rouge
3463,Caloramphus fuliginosus,OR,PICIFORMES,Megalaimidae,Barbu fuligineux
3464,Caloramphus hayii,OR,PICIFORMES,Megalaimidae,Barbu de Hay
3465,Gymnobucco bonapartei,AF,PICIFORMES,Lybiidae,Barbican à gorge grise
3466,Gymnobucco sladeni,AF,PICIFORMES,Lybiidae,Barbican de Sladen
3467,Gymnobucco peli,AF,PICIFORMES,Lybiidae,Barbican à narines emplumées
3468,Gymnobucco calvus,AF,PICIFORMES,Lybiidae,Barbican chauve
3469,Stactolaema leucotis,AF,PICIFORMES,Lybiidae,Barbican oreillard
3470,Stactolaema whytii,AF,PICIFORMES,Lybiidae,Barbican de Whyte
3471,Stactolaema anchietae,AF,PICIFORMES,Lybiidae,Barbican à tête jaune
3472,Stactolaema olivacea,AF,PICIFORMES,Lybiidae,Barbican olivâtre
3473,Pogoniulus scolopaceus,AF,PICIFORMES,Lybiidae,Barbion grivelé
3474,Pogoniulus simplex,AF,PICIFORMES,Lybiidae,Barbion vert
3475,Pogoniulus leucomystax,AF,PICIFORMES,Lybiidae,Barbion à moustaches
3476,Pogoniulus coryphaea,AF,PICIFORMES,Lybiidae,Barbion montagnard
3477,Pogoniulus atroflavus,AF,PICIFORMES,Lybiidae,Barbion à croupion rouge
3478,Pogoniulus subsulphureus,AF,PICIFORMES,Lybiidae,Barbion à gorge jaune
3479,Pogoniulus bilineatus,AF,PICIFORMES,Lybiidae,Barbion à croupion jaune
3480,Pogoniulus pusillus,AF,PICIFORMES,Lybiidae,Barbion à front rouge
3481,Pogoniulus chrysoconus,AF,PICIFORMES,Lybiidae,Barbion à front jaune
3482,Buccanodon duchaillui,AF,PICIFORMES,Lybiidae,Barbican à taches jaunes
3483,Tricholaema hirsuta,AF,PICIFORMES,Lybiidae,Barbican hérissé
3484,Tricholaema diademata,AF,PICIFORMES,Lybiidae,Barbican à diadème
3485,Tricholaema frontata,AF,PICIFORMES,Lybiidae,Barbican du miombo
3486,Tricholaema leucomelas,AF,PICIFORMES,Lybiidae,Barbican pie
3487,Tricholaema lacrymosa,AF,PICIFORMES,Lybiidae,Barbican funèbre
3488,Tricholaema melanocephala,AF,PICIFORMES,Lybiidae,Barbican à tête noire
3489,Lybius undatus,AF,PICIFORMES,Lybiidae,Barbican barré
3490,Lybius vieilloti,AF,PICIFORMES,Lybiidae,Barbican de Vieillot
3491,Lybius leucocephalus,AF,PICIFORMES,Lybiidae,Barbican à tête blanche
3492,Lybius chaplini,AF,PICIFORMES,Lybiidae,Barbican de Chaplin
3493,Lybius rubrifacies,AF,PICIFORMES,Lybiidae,Barbican à face rouge
3494,Lybius guifsobalito,AF,PICIFORMES,Lybiidae,Barbican guifsobalito
3495,Lybius torquatus,AF,PICIFORMES,Lybiidae,Barbican à collier
3496,Lybius melanopterus,AF,PICIFORMES,Lybiidae,Barbican à poitrine brune
3497,Lybius minor,AF,PICIFORMES,Lybiidae,Barbican de Levaillant
3498,Lybius bidentatus,AF,PICIFORMES,Lybiidae,Barbican bidenté
3499,Lybius dubius,AF,PICIFORMES,Lybiidae,Barbican à poitrine rouge
3500,Lybius rolleti,AF,PICIFORMES,Lybiidae,Barbican à poitrine noire
3501,Trachyphonus purpuratus,AF,PICIFORMES,Lybiidae,Barbican pourpré
3502,Trachyphonus vaillantii,AF,PICIFORMES,Lybiidae,Barbican promépic
3503,Trachyphonus erythrocephalus,AF,PICIFORMES,Lybiidae,Barbican à tête rouge
3504,Trachyphonus margaritatus,AF,PICIFORMES,Lybiidae,Barbican perlé
3505,Trachyphonus darnaudii,AF,PICIFORMES,Lybiidae,Barbican d’Arnaud
3506,Trachyphonus usambiro,AF,PICIFORMES,Lybiidae,Barbican masaï
3507,Prodotiscus insignis,AF,PICIFORMES,Indicatoridae,Indicateur pygmée
3508,Prodotiscus zambesiae,AF,PICIFORMES,Indicatoridae,Indicateur gris
3509,Prodotiscus regulus,AF,PICIFORMES,Indicatoridae,Indicateur de Wahlberg
3510,Melignomon zenkeri,AF,PICIFORMES,Indicatoridae,Indicateur de Zenker
3511,Melignomon eisentrauti,AF,PICIFORMES,Indicatoridae,Indicateur d’Eisentraut
3512,Indicator pumilio,AF,PICIFORMES,Indicatoridae,Indicateur nain
3513,Indicator willcocksi,AF,PICIFORMES,Indicatoridae,Indicateur de Willcocks
3514,Indicator meliphilus,AF,PICIFORMES,Indicatoridae,Indicateur pâle
3515,Indicator exilis,AF,PICIFORMES,Indicatoridae,Indicateur menu
3516,Indicator minor,AF,PICIFORMES,Indicatoridae,Petit Indicateur
3517,Indicator maculatus,AF,PICIFORMES,Indicatoridae,Indicateur tacheté
3518,Indicator variegatus,AF,PICIFORMES,Indicatoridae,Indicateur varié
3519,Indicator xanthonotus,OR,PICIFORMES,Indicatoridae,Indicateur à dos jaune
3520,Indicator archipelagicus,OR,PICIFORMES,Indicatoridae,Indicateur archipélagique
3521,Indicator indicator,AF,PICIFORMES,Indicatoridae,Grand Indicateur
3522,Melichneutes robustus,AF,PICIFORMES,Indicatoridae,Indicateur à queue en lyre
3523,Jynx torquilla,PAL,PICIFORMES,Picidae,Torcol fourmilier
3524,Jynx ruficollis,AF,PICIFORMES,Picidae,Torcol à gorge rousse
3525,Picumnus innominatus,OR,PICIFORMES,Picidae,Picumne tacheté
3526,Picumnus aurifrons,SA,PICIFORMES,Picidae,Picumne barré
3527,Picumnus lafresnayi,SA,PICIFORMES,Picidae,Picumne de Lafresnaye
3528,Picumnus pumilus,SA,PICIFORMES,Picidae,Picumne de l’Orénoque
