,IOC,Breeding Range,Order,Family,Serbian
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Tasmanijska guska
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Grivasta guska
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Guska crvenovoljka
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Havajska guska (nene)
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Belolika guska
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Indijska guska
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Carska guska
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Divlja guska
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Labudasta guska
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Guska glogovnjača (šumska)
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Kratkokljuna guska
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Guska glogovnjača (tundranska)
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Lisasta guska
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Mala lisasta guska
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Koskoroba labud
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Crni labud
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Crnovrati labud
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Labud grbac
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Mali labud
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Veliki labud
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Pirgava patka
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Novozelandska patka iz brzaka
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Leteća parobrodska patka
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Neleteća parobrodska patka
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Folklandska parobrodska patka
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Beloglava parobrodska patka
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Američka patka iz brzaka
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Ostrugasta guska
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Američka češljasta patka
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Afrička i azijska češljasta patka
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Plavokrila guska
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Nilska guska
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Orinoko guska
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Andska guska
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Magelanova guska
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Morska guska
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Sivoglava guska
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Crvenoglava guska
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Bela utva
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Šarena utva
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Utva zlatokrila
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,Kapska utva
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Australijska utva
