,IOC,Breeding Range,Order,Family,Estonian
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,punakael-lagle
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,nenelagle
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,valgepõsk-lagle
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,vööthani
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,randhani
78,Anser anser,PAL,ANSERIFORMES,Anatidae,hallhani e. roohani
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,stepihani
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,rabahani
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,lühinokk-hani
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Tundra Bean Goose
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,suur-laukhani
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,väike-laukhani
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,koskoroba (koskorobaluik)
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,mustluik
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,mustkael-luik
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,kühmnokk-luik
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,väikeluik
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,laululuik
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,kiripart
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,maoori kosepart
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,järve-aurikpart
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,suur-aurikpart
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,falklandi aurikpart
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,valgepea-aurikpart
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,andi kosepart
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,toonehani
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Comb Duck
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,kühmnokk-part
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,neegushani
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,vaaraohani
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,selvahani
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,mägi-nösuhani
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,niidu-nösuhani
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,meri-nösuhani
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,mets-nösuhani
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,väike-nösuhani
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,valge-ristpart
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,ristpart
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,tulipart
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,kapi tulipart
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,billabongipart
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,paradiisipart
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,koostnokk-part
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,paapua kosepart
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,muskuspart
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,tontpart
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,kaneelpart
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,mandariinpart
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,rohupart
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,aafrika pisipart
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,kaelus-pisipart
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,viir-pisipart
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,brasiilia part
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,guaranii part
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,lakkpart
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,maniskpart
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,kuupart
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,rägapart
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,väike-üllpart
132,Spatula puna,SA,ANSERIFORMES,Anatidae,mägi-üllpart
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,pampa-üllpart
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,täpik-luitsnokkpart
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,puna-rägapart
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,kapimaa luitsnokk-part
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,austraalia luitsnokk-part
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,luitsnokk-part
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,rääkspart
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,sirppart
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,viupart
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,patagoonia viupart
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,helmespart
144,Anas undulata,AF,ANSERIFORMES,Anatidae,väävelnokk-part
145,Anas melleri,AF,ANSERIFORMES,Anatidae,malagassi part
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,tõmmupart
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,laysani sinikael-part
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,havai sinikael-part
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,filipiini part
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,laiknokk-part
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,hiina laiknokk-part
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,sinikael-part
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,mehhiko sinikael-part
154,Anas capensis,AF,ANSERIFORMES,Anatidae,hõbe-piilpart
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,mangroovipart
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,tulinokk-part
157,Anas georgica,SA,ANSERIFORMES,Anatidae,koldnokk-soopart
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,kergueleni soopart
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,soopart e. pahlsaba-part
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,piilpart
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,koldnokk-piilpart
162,Anas andium,SA,ANSERIFORMES,Anatidae,kolumbia piilpart
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,pruun-piilpart
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Andaman Teal
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,austraalia piilpart
166,Anas castanea,AU,ANSERIFORMES,Anatidae,kastan-piilpart
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,madagaskari piilpart
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,pateke-piilpart
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,öö-piilpart
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,campbelli piilpart
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,marmorpart
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,punanokk-vart
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,pampavart
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,savannivart
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,punapea-vart
176,Aythya australis,AU,ANSERIFORMES,Anatidae,austraalia vart
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,madagaskari vart
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,amuuri vart
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,valgesilm-vart e. ruskevart
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,maoori vart
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,tuttvart
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,merivart
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,kirjuhahk
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,prillhahk
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,kuninghahk
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,hahk
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,kärestikuaul
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,tõmmuvaeras
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,siberi tõmmuvaeras
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,mustvaeras
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,ida-mustvaeras
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,aul
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,sõtkas
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,läänesõtkas
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,väikekoskel e. pudukoskel
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,brasiilia koskel
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,jääkoskel
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,rohukoskel
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,soomuskoskel
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,nugipart
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,väike-händpart
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,valgepõsk-händpart
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,andi händpart
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,argentiina händpart
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,austraalia händpart
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,aafrika händpart
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,stepi-händpart
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,lottpart
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,kalkun-rihukana
