,IOC,Breeding Range,Order,Family,Estonian
815,Sephanoides fernandensis,SA,APODIFORMES,Trochilidae,Juan Fernandez Firecrown
816,Discosura conversii,"MA, SA",APODIFORMES,Trochilidae,Green Thorntail
817,Discosura popelairii,SA,APODIFORMES,Trochilidae,Wire-crested Thorntail
818,Discosura langsdorffi,SA,APODIFORMES,Trochilidae,Black-bellied Thorntail
819,Discosura letitiae,SA,APODIFORMES,Trochilidae,Letitia's Thorntail
820,Discosura longicaudus,SA,APODIFORMES,Trochilidae,Racket-tailed Coquette
821,Lophornis ornatus,SA,APODIFORMES,Trochilidae,Tufted Coquette
822,Lophornis gouldii,SA,APODIFORMES,Trochilidae,Dot-eared Coquette
823,Lophornis magnificus,SA,APODIFORMES,Trochilidae,Frilled Coquette
824,Lophornis brachylophus,MA,APODIFORMES,Trochilidae,Short-crested Coquette
825,Lophornis delattrei,"MA, SA",APODIFORMES,Trochilidae,Rufous-crested Coquette
826,Lophornis stictolophus,SA,APODIFORMES,Trochilidae,Spangled Coquette
827,Lophornis chalybeus,SA,APODIFORMES,Trochilidae,Festive Coquette
828,Lophornis verreauxii,SA,APODIFORMES,Trochilidae,Butterfly Coquette
829,Lophornis pavoninus,SA,APODIFORMES,Trochilidae,Peacock Coquette
830,Lophornis helenae,MA,APODIFORMES,Trochilidae,Black-crested Coquette
831,Lophornis adorabilis,MA,APODIFORMES,Trochilidae,White-crested Coquette
832,Phlogophilus hemileucurus,SA,APODIFORMES,Trochilidae,Ecuadorian Piedtail
833,Phlogophilus harterti,SA,APODIFORMES,Trochilidae,Peruvian Piedtail
834,Adelomyia melanogenys,SA,APODIFORMES,Trochilidae,Speckled Hummingbird
835,Aglaiocercus kingii,SA,APODIFORMES,Trochilidae,Long-tailed Sylph
836,Aglaiocercus coelestis,SA,APODIFORMES,Trochilidae,Violet-tailed Sylph
837,Aglaiocercus berlepschi,SA,APODIFORMES,Trochilidae,Venezuelan Sylph
838,Sappho sparganurus,SA,APODIFORMES,Trochilidae,Red-tailed Comet
839,Polyonymus caroli,SA,APODIFORMES,Trochilidae,Bronze-tailed Comet
840,Taphrolesbia griseiventris,SA,APODIFORMES,Trochilidae,Grey-bellied Comet
841,Oreotrochilus estella,SA,APODIFORMES,Trochilidae,puunakoolibri (harilik puunakoolibri)
842,Oreotrochilus leucopleurus,SA,APODIFORMES,Trochilidae,lõuna-puunakoolibri
843,Oreotrochilus chimborazo,SA,APODIFORMES,Trochilidae,ekuadori puunakoolibri
844,Oreotrochilus cyanolaemus,SA,APODIFORMES,Trochilidae,Blue-throated Hillstar
845,Oreotrochilus stolzmanni,SA,APODIFORMES,Trochilidae,rohe-puunakoolibri
846,Oreotrochilus melanogaster,SA,APODIFORMES,Trochilidae,tõmmu-puunakoolibri
847,Oreotrochilus adela,SA,APODIFORMES,Trochilidae,ruske-puunakoolibri
848,Opisthoprora euryptera,SA,APODIFORMES,Trochilidae,Mountain Avocetbill
849,Lesbia victoriae,SA,APODIFORMES,Trochilidae,Black-tailed Trainbearer
850,Lesbia nuna,SA,APODIFORMES,Trochilidae,Green-tailed Trainbearer
851,Ramphomicron dorsale,SA,APODIFORMES,Trochilidae,Black-backed Thornbill
852,Ramphomicron microrhynchum,SA,APODIFORMES,Trochilidae,Purple-backed Thornbill
853,Oreonympha nobilis,SA,APODIFORMES,Trochilidae,Bearded Mountaineer
854,Oxypogon stuebelii,SA,APODIFORMES,Trochilidae,Buffy Helmetcrest
855,Oxypogon cyanolaemus,SA,APODIFORMES,Trochilidae,Blue-bearded Helmetcrest
856,Oxypogon lindenii,SA,APODIFORMES,Trochilidae,White-bearded Helmetcrest
857,Oxypogon guerinii,SA,APODIFORMES,Trochilidae,Green-bearded Helmetcrest
858,Chalcostigma heteropogon,SA,APODIFORMES,Trochilidae,Bronze-tailed Thornbill
859,Chalcostigma herrani,SA,APODIFORMES,Trochilidae,Rainbow-bearded Thornbill
860,Chalcostigma ruficeps,SA,APODIFORMES,Trochilidae,Rufous-capped Thornbill
861,Chalcostigma olivaceum,SA,APODIFORMES,Trochilidae,Olivaceous Thornbill
862,Chalcostigma stanleyi,SA,APODIFORMES,Trochilidae,Blue-mantled Thornbill
863,Metallura tyrianthina,SA,APODIFORMES,Trochilidae,Tyrian Metaltail
864,Metallura iracunda,SA,APODIFORMES,Trochilidae,Perija Metaltail
865,Metallura williami,SA,APODIFORMES,Trochilidae,Viridian Metaltail
866,Metallura baroni,SA,APODIFORMES,Trochilidae,Violet-throated Metaltail
867,Metallura odomae,SA,APODIFORMES,Trochilidae,Neblina Metaltail
868,Metallura theresiae,SA,APODIFORMES,Trochilidae,Coppery Metaltail
869,Metallura eupogon,SA,APODIFORMES,Trochilidae,Fiery-throated Metaltail
870,Metallura aeneocauda,SA,APODIFORMES,Trochilidae,Scaled Metaltail
871,Metallura phoebe,SA,APODIFORMES,Trochilidae,Black Metaltail
872,Haplophaedia aureliae,"MA, SA",APODIFORMES,Trochilidae,Greenish Puffleg
873,Haplophaedia assimilis,SA,APODIFORMES,Trochilidae,Buff-thighed Puffleg
874,Haplophaedia lugens,SA,APODIFORMES,Trochilidae,Hoary Puffleg
875,Eriocnemis nigrivestis,SA,APODIFORMES,Trochilidae,Black-breasted Puffleg
876,Eriocnemis isabellae,SA,APODIFORMES,Trochilidae,Gorgeted Puffleg
877,Eriocnemis vestita,SA,APODIFORMES,Trochilidae,Glowing Puffleg
878,Eriocnemis derbyi,SA,APODIFORMES,Trochilidae,Black-thighed Puffleg
879,Eriocnemis godini,SA,APODIFORMES,Trochilidae,Turquoise-throated Puffleg
880,Eriocnemis cupreoventris,SA,APODIFORMES,Trochilidae,Coppery-bellied Puffleg
881,Eriocnemis luciani,SA,APODIFORMES,Trochilidae,Sapphire-vented Puffleg
882,Eriocnemis mosquera,SA,APODIFORMES,Trochilidae,Golden-breasted Puffleg
883,Eriocnemis glaucopoides,SA,APODIFORMES,Trochilidae,Blue-capped Puffleg
884,Eriocnemis mirabilis,SA,APODIFORMES,Trochilidae,Colorful Puffleg
885,Eriocnemis aline,SA,APODIFORMES,Trochilidae,Emerald-bellied Puffleg
886,Loddigesia mirabilis,SA,APODIFORMES,Trochilidae,imekoolibri
887,Aglaeactis cupripennis,SA,APODIFORMES,Trochilidae,Shining Sunbeam
888,Aglaeactis castelnaudii,SA,APODIFORMES,Trochilidae,White-tufted Sunbeam
889,Aglaeactis aliciae,SA,APODIFORMES,Trochilidae,Purple-backed Sunbeam
890,Aglaeactis pamela,SA,APODIFORMES,Trochilidae,Black-hooded Sunbeam
891,Coeligena coeligena,SA,APODIFORMES,Trochilidae,Bronzy Inca
892,Coeligena wilsoni,SA,APODIFORMES,Trochilidae,Brown Inca
893,Coeligena prunellei,SA,APODIFORMES,Trochilidae,Black Inca
894,Coeligena conradii,SA,APODIFORMES,Trochilidae,Green Inca
895,Coeligena torquata,SA,APODIFORMES,Trochilidae,Collared Inca
896,Coeligena inca,SA,APODIFORMES,Trochilidae,Gould's Inca
897,Coeligena violifer,SA,APODIFORMES,Trochilidae,Violet-throated Starfrontlet
898,Coeligena iris,SA,APODIFORMES,Trochilidae,Rainbow Starfrontlet
899,Coeligena phalerata,SA,APODIFORMES,Trochilidae,White-tailed Starfrontlet
900,Coeligena orina,SA,APODIFORMES,Trochilidae,Dusky Starfrontlet
901,Coeligena lutetiae,SA,APODIFORMES,Trochilidae,Buff-winged Starfrontlet
902,Coeligena consita,SA,APODIFORMES,Trochilidae,Perija Starfrontlet
903,Coeligena bonapartei,SA,APODIFORMES,Trochilidae,Golden-bellied Starfrontlet
904,Coeligena eos,SA,APODIFORMES,Trochilidae,Golden-tailed Starfrontlet
905,Coeligena helianthea,SA,APODIFORMES,Trochilidae,Blue-throated Starfrontlet
906,Lafresnaya lafresnayi,SA,APODIFORMES,Trochilidae,Mountain Velvetbreast
907,Ensifera ensifera,SA,APODIFORMES,Trochilidae,mõõknokk-koolibri
908,Pterophanes cyanopterus,SA,APODIFORMES,Trochilidae,Great Sapphirewing
909,Boissonneaua flavescens,SA,APODIFORMES,Trochilidae,Buff-tailed Coronet
910,Boissonneaua matthewsii,SA,APODIFORMES,Trochilidae,Chestnut-breasted Coronet
911,Boissonneaua jardini,SA,APODIFORMES,Trochilidae,Velvet-purple Coronet
912,Ocreatus underwoodii,SA,APODIFORMES,Trochilidae,White-booted Racket-tail
913,Ocreatus peruanus,SA,APODIFORMES,Trochilidae,Peruvian Racket-tail
914,Ocreatus addae,SA,APODIFORMES,Trochilidae,Rufous-booted Racket-tail
915,Urochroa bougueri,SA,APODIFORMES,Trochilidae,Rufous-gaped Hillstar
916,Urochroa leucura,SA,APODIFORMES,Trochilidae,Green-backed Hillstar
917,Urosticte benjamini,SA,APODIFORMES,Trochilidae,Purple-bibbed Whitetip
918,Urosticte ruficrissa,SA,APODIFORMES,Trochilidae,Rufous-vented Whitetip
919,Heliodoxa xanthogonys,SA,APODIFORMES,Trochilidae,Velvet-browed Brilliant
920,Heliodoxa gularis,SA,APODIFORMES,Trochilidae,Pink-throated Brilliant
921,Heliodoxa branickii,SA,APODIFORMES,Trochilidae,Rufous-webbed Brilliant
922,Heliodoxa schreibersii,SA,APODIFORMES,Trochilidae,Black-throated Brilliant
923,Heliodoxa aurescens,SA,APODIFORMES,Trochilidae,Gould's Jewelfront
924,Heliodoxa rubinoides,SA,APODIFORMES,Trochilidae,Fawn-breasted Brilliant
925,Heliodoxa jacula,"MA, SA",APODIFORMES,Trochilidae,Green-crowned Brilliant
926,Heliodoxa imperatrix,SA,APODIFORMES,Trochilidae,Empress Brilliant
927,Heliodoxa leadbeateri,SA,APODIFORMES,Trochilidae,Violet-fronted Brilliant
928,Heliodoxa rubricauda,SA,APODIFORMES,Trochilidae,Brazilian Ruby
929,Patagona gigas,SA,APODIFORMES,Trochilidae,suurkoolibri
930,Sternoclyta cyanopectus,SA,APODIFORMES,Trochilidae,Violet-chested Hummingbird
931,Hylonympha macrocerca,SA,APODIFORMES,Trochilidae,käärsaba-koolibri
932,Eugenes fulgens,"NA, MA",APODIFORMES,Trochilidae,Rivoli's Hummingbird
933,Eugenes spectabilis,MA,APODIFORMES,Trochilidae,Talamanca Hummingbird
934,Panterpe insignis,MA,APODIFORMES,Trochilidae,Fiery-throated Hummingbird
935,Heliomaster longirostris,"MA, SA",APODIFORMES,Trochilidae,Long-billed Starthroat
936,Heliomaster constantii,MA,APODIFORMES,Trochilidae,Plain-capped Starthroat
937,Heliomaster squamosus,SA,APODIFORMES,Trochilidae,Stripe-breasted Starthroat
938,Heliomaster furcifer,SA,APODIFORMES,Trochilidae,Blue-tufted Starthroat
939,Lampornis hemileucus,MA,APODIFORMES,Trochilidae,White-bellied Mountaingem
940,Lampornis clemenciae,"NA, MA",APODIFORMES,Trochilidae,Blue-throated Mountaingem
941,Lampornis amethystinus,MA,APODIFORMES,Trochilidae,Amethyst-throated Mountaingem
942,Lampornis viridipallens,MA,APODIFORMES,Trochilidae,Green-throated Mountaingem
943,Lampornis sybillae,MA,APODIFORMES,Trochilidae,Green-breasted Mountaingem
944,Lampornis calolaemus,MA,APODIFORMES,Trochilidae,Purple-throated Mountaingem
945,Lampornis cinereicauda,MA,APODIFORMES,Trochilidae,Grey-tailed Mountaingem
946,Lampornis castaneoventris,MA,APODIFORMES,Trochilidae,White-throated Mountaingem
947,Lamprolaima rhami,MA,APODIFORMES,Trochilidae,Garnet-throated Hummingbird
948,Calliphlox amethystina,SA,APODIFORMES,Trochilidae,Amethyst Woodstar
949,Myrtis fanny,SA,APODIFORMES,Trochilidae,Purple-collared Woodstar
950,Rhodopis vesper,SA,APODIFORMES,Trochilidae,Oasis Hummingbird
951,Myrmia micrura,SA,APODIFORMES,Trochilidae,Short-tailed Woodstar
952,Thaumastura cora,SA,APODIFORMES,Trochilidae,Peruvian Sheartail
953,Philodice bryantae,MA,APODIFORMES,Trochilidae,Magenta-throated Woodstar
954,Philodice mitchellii,"MA, SA",APODIFORMES,Trochilidae,Purple-throated Woodstar
955,Eulidia yarrellii,SA,APODIFORMES,Trochilidae,Chilean Woodstar
956,Microstilbon burmeisteri,SA,APODIFORMES,Trochilidae,Slender-tailed Woodstar
957,Chaetocercus mulsant,SA,APODIFORMES,Trochilidae,White-bellied Woodstar
958,Chaetocercus bombus,SA,APODIFORMES,Trochilidae,Little Woodstar
959,Chaetocercus heliodor,SA,APODIFORMES,Trochilidae,Gorgeted Woodstar
960,Chaetocercus astreans,SA,APODIFORMES,Trochilidae,Santa Marta Woodstar
961,Chaetocercus berlepschi,SA,APODIFORMES,Trochilidae,Esmeraldas Woodstar
962,Chaetocercus jourdanii,SA,APODIFORMES,Trochilidae,Rufous-shafted Woodstar
963,Tilmatura dupontii,MA,APODIFORMES,Trochilidae,Sparkling-tailed Woodstar
964,Doricha enicura,MA,APODIFORMES,Trochilidae,Slender Sheartail
965,Doricha eliza,MA,APODIFORMES,Trochilidae,Mexican Sheartail
966,Calothorax pulcher,MA,APODIFORMES,Trochilidae,Beautiful Sheartail
967,Calypte costae,"NA, MA",APODIFORMES,Trochilidae,Costa's Hummingbird
968,Selasphorus heloisa,MA,APODIFORMES,Trochilidae,Bumblebee Hummingbird
969,Selasphorus ellioti,MA,APODIFORMES,Trochilidae,Wine-throated Hummingbird
970,Selasphorus flammula,MA,APODIFORMES,Trochilidae,Volcano Hummingbird
971,Selasphorus scintilla,MA,APODIFORMES,Trochilidae,Scintillant Hummingbird
972,Selasphorus ardens,MA,APODIFORMES,Trochilidae,Glow-throated Hummingbird
973,Phaeoptila sordida,MA,APODIFORMES,Trochilidae,Dusky Hummingbird
974,Cynanthus latirostris,"NA, MA",APODIFORMES,Trochilidae,Broad-billed Hummingbird
975,Cynanthus lawrencei,MA,APODIFORMES,Trochilidae,Tres Marias Hummingbird
976,Cynanthus doubledayi,MA,APODIFORMES,Trochilidae,Turquoise-crowned Hummingbird
977,Cynanthus auriceps,MA,APODIFORMES,Trochilidae,Golden-crowned Emerald
978,Cynanthus forficatus,MA,APODIFORMES,Trochilidae,Cozumel Emerald
979,Cynanthus canivetii,MA,APODIFORMES,Trochilidae,Canivet's Emerald
980,Chlorostilbon assimilis,MA,APODIFORMES,Trochilidae,Garden Emerald
981,Chlorostilbon melanorhynchus,SA,APODIFORMES,Trochilidae,Western Emerald
982,Chlorostilbon gibsoni,SA,APODIFORMES,Trochilidae,Red-billed Emerald
983,Chlorostilbon mellisugus,SA,APODIFORMES,Trochilidae,Blue-tailed Emerald
984,Chlorostilbon olivaresi,SA,APODIFORMES,Trochilidae,Chiribiquete Emerald
985,Chlorostilbon lucidus,SA,APODIFORMES,Trochilidae,Glittering-bellied Emerald
986,Chlorostilbon russatus,SA,APODIFORMES,Trochilidae,Coppery Emerald
987,Chlorostilbon stenurus,SA,APODIFORMES,Trochilidae,Narrow-tailed Emerald
988,Chlorostilbon alice,SA,APODIFORMES,Trochilidae,Green-tailed Emerald
989,Chlorostilbon poortmani,SA,APODIFORMES,Trochilidae,Short-tailed Emerald
990,Basilinna leucotis,MA,APODIFORMES,Trochilidae,White-eared Hummingbird
991,Basilinna xantusii,MA,APODIFORMES,Trochilidae,Xantus's Hummingbird
992,Pampa curvipennis,MA,APODIFORMES,Trochilidae,Curve-winged Sabrewing
993,Pampa pampa,MA,APODIFORMES,Trochilidae,Wedge-tailed Sabrewing
994,Pampa rufa,MA,APODIFORMES,Trochilidae,Rufous Sabrewing
995,Abeillia abeillei,MA,APODIFORMES,Trochilidae,Emerald-chinned Hummingbird
996,Klais guimeti,"MA, SA",APODIFORMES,Trochilidae,Violet-headed Hummingbird
997,Anthocephala floriceps,SA,APODIFORMES,Trochilidae,Santa Marta Blossomcrown
998,Anthocephala berlepschi,SA,APODIFORMES,Trochilidae,Tolima Blossomcrown
999,Stephanoxis lalandi,SA,APODIFORMES,Trochilidae,Green-crowned Plovercrest
1000,Stephanoxis loddigesii,SA,APODIFORMES,Trochilidae,Purple-crowned Plovercrest
1001,Campylopterus largipennis,SA,APODIFORMES,Trochilidae,Grey-breasted Sabrewing
1002,Campylopterus calcirupicola,SA,APODIFORMES,Trochilidae,Outcrop Sabrewing
1003,Campylopterus diamantinensis,SA,APODIFORMES,Trochilidae,Diamantina Sabrewing
1004,Campylopterus hyperythrus,SA,APODIFORMES,Trochilidae,Rufous-breasted Sabrewing
1005,Campylopterus ensipennis,SA,APODIFORMES,Trochilidae,White-tailed Sabrewing
1006,Campylopterus falcatus,SA,APODIFORMES,Trochilidae,Lazuline Sabrewing
1007,Campylopterus phainopeplus,SA,APODIFORMES,Trochilidae,Santa Marta Sabrewing
1008,Campylopterus hemileucurus,MA,APODIFORMES,Trochilidae,sini-saabelkoolibri
1009,Campylopterus duidae,SA,APODIFORMES,Trochilidae,Buff-breasted Sabrewing
1010,Campylopterus villaviscensio,SA,APODIFORMES,Trochilidae,Napo Sabrewing
1011,Chalybura urochrysia,"MA, SA",APODIFORMES,Trochilidae,Bronze-tailed Plumeleteer
1012,Chalybura buffonii,"MA, SA",APODIFORMES,Trochilidae,White-vented Plumeleteer
1013,Thalurania colombica,"MA, SA",APODIFORMES,Trochilidae,Crowned Woodnymph
1014,Thalurania furcata,SA,APODIFORMES,Trochilidae,Fork-tailed Woodnymph
1015,Thalurania watertonii,SA,APODIFORMES,Trochilidae,Long-tailed Woodnymph
1016,Thalurania glaucopis,SA,APODIFORMES,Trochilidae,Violet-capped Woodnymph
1017,Microchera albocoronata,MA,APODIFORMES,Trochilidae,Snowcap
1018,Microchera cupreiceps,MA,APODIFORMES,Trochilidae,Coppery-headed Emerald
1019,Microchera chionura,MA,APODIFORMES,Trochilidae,White-tailed Emerald
1020,Goldmania violiceps,"MA, SA",APODIFORMES,Trochilidae,Violet-capped Hummingbird
1021,Goldmania bella,"MA, SA",APODIFORMES,Trochilidae,Pirre Hummingbird
1022,Eupherusa ridgwayi,MA,APODIFORMES,Trochilidae,Mexican Woodnymph
1023,Eupherusa poliocerca,MA,APODIFORMES,Trochilidae,White-tailed Hummingbird
1024,Eupherusa cyanophrys,MA,APODIFORMES,Trochilidae,Oaxaca Hummingbird
1025,Eupherusa eximia,MA,APODIFORMES,Trochilidae,Stripe-tailed Hummingbird
1026,Eupherusa nigriventris,MA,APODIFORMES,Trochilidae,Black-bellied Hummingbird
1027,Phaeochroa cuvierii,"MA, SA",APODIFORMES,Trochilidae,Scaly-breasted Hummingbird
1028,Leucippus fallax,SA,APODIFORMES,Trochilidae,Buffy Hummingbird
1029,Thaumasius baeri,SA,APODIFORMES,Trochilidae,Tumbes Hummingbird
1030,Thaumasius taczanowskii,SA,APODIFORMES,Trochilidae,Spot-throated Hummingbird
1031,Taphrospilus hypostictus,SA,APODIFORMES,Trochilidae,Many-spotted Hummingbird
1032,Eupetomena macroura,SA,APODIFORMES,Trochilidae,pääsukoolibri
1033,Eupetomena cirrochloris,SA,APODIFORMES,Trochilidae,Sombre Hummingbird
1034,Talaphorus chlorocercus,SA,APODIFORMES,Trochilidae,Olive-spotted Hummingbird
1035,Ramosomyia violiceps,"NA, MA",APODIFORMES,Trochilidae,Violet-crowned Hummingbird
1036,Ramosomyia viridifrons,MA,APODIFORMES,Trochilidae,Green-fronted Hummingbird
1037,Ramosomyia wagneri,MA,APODIFORMES,Trochilidae,Cinnamon-sided Hummingbird
1038,Saucerottia cyanocephala,MA,APODIFORMES,Trochilidae,Azure-crowned Hummingbird
1039,Saucerottia hoffmanni,MA,APODIFORMES,Trochilidae,Blue-vented Hummingbird
1040,Saucerottia beryllina,MA,APODIFORMES,Trochilidae,Berylline Hummingbird
1041,Saucerottia cyanura,MA,APODIFORMES,Trochilidae,Blue-tailed Hummingbird
1042,Saucerottia edward,MA,APODIFORMES,Trochilidae,Snowy-bellied Hummingbird
1043,Saucerottia saucerottei,SA,APODIFORMES,Trochilidae,Steely-vented Hummingbird
1044,Saucerottia cyanifrons,SA,APODIFORMES,Trochilidae,Indigo-capped Hummingbird
1045,Saucerottia castaneiventris,SA,APODIFORMES,Trochilidae,Chestnut-bellied Hummingbird
1046,Saucerottia viridigaster,SA,APODIFORMES,Trochilidae,Green-bellied Hummingbird
1047,Saucerottia cupreicauda,SA,APODIFORMES,Trochilidae,Copper-tailed Hummingbird
1048,Saucerottia tobaci,SA,APODIFORMES,Trochilidae,Copper-rumped Hummingbird
1049,Amazilia rutila,MA,APODIFORMES,Trochilidae,Cinnamon Hummingbird
1050,Amazilia yucatanensis,MA,APODIFORMES,Trochilidae,Buff-bellied Hummingbird
1051,Amazilia tzacatl,"MA, SA",APODIFORMES,Trochilidae,Rufous-tailed Hummingbird
1052,Amazilia luciae,MA,APODIFORMES,Trochilidae,Honduran Emerald
1053,Amazilia boucardi,MA,APODIFORMES,Trochilidae,Mangrove Hummingbird
1054,Amazilis amazilia,SA,APODIFORMES,Trochilidae,Amazilia Hummingbird
1055,Uranomitra franciae,SA,APODIFORMES,Trochilidae,Andean Emerald
1056,Chrysuronia goudoti,SA,APODIFORMES,Trochilidae,Shining-green Hummingbird
1057,Chrysuronia oenone,SA,APODIFORMES,Trochilidae,Golden-tailed Sapphire
1058,Chrysuronia versicolor,SA,APODIFORMES,Trochilidae,Versicolored Emerald
1059,Chrysuronia coeruleogularis,"MA, SA",APODIFORMES,Trochilidae,Sapphire-throated Hummingbird
1060,Chrysuronia lilliae,SA,APODIFORMES,Trochilidae,Sapphire-bellied Hummingbird
1061,Chrysuronia humboldtii,"MA, SA",APODIFORMES,Trochilidae,Humboldt's Sapphire
1062,Chrysuronia grayi,SA,APODIFORMES,Trochilidae,Blue-headed Sapphire
1063,Chrysuronia brevirostris,SA,APODIFORMES,Trochilidae,White-chested Emerald
1064,Chrysuronia leucogaster,SA,APODIFORMES,Trochilidae,Plain-bellied Emerald
1065,Leucochloris albicollis,SA,APODIFORMES,Trochilidae,White-throated Hummingbird
1066,Chionomesa fimbriata,SA,APODIFORMES,Trochilidae,Glittering-throated Emerald
1067,Chionomesa lactea,SA,APODIFORMES,Trochilidae,Sapphire-spangled Emerald
1068,Hylocharis sapphirina,SA,APODIFORMES,Trochilidae,Rufous-throated Sapphire
1069,Hylocharis chrysura,SA,APODIFORMES,Trochilidae,Gilded Sapphire
1070,Elliotomyia chionogaster,SA,APODIFORMES,Trochilidae,White-bellied Hummingbird
1071,Elliotomyia viridicauda,SA,APODIFORMES,Trochilidae,Green-and-white Hummingbird
1072,Polyerata amabilis,"MA, SA",APODIFORMES,Trochilidae,Blue-chested Hummingbird
1073,Polyerata decora,MA,APODIFORMES,Trochilidae,Charming Hummingbird
1074,Polyerata rosenbergi,SA,APODIFORMES,Trochilidae,Purple-chested Hummingbird
1075,Chlorestes candida,MA,APODIFORMES,Trochilidae,White-bellied Emerald
1076,Chlorestes eliciae,"MA, SA",APODIFORMES,Trochilidae,Blue-throated Sapphire
1077,Chlorestes cyanus,SA,APODIFORMES,Trochilidae,White-chinned Sapphire
1078,Chlorestes julie,"MA, SA",APODIFORMES,Trochilidae,Violet-bellied Hummingbird
1079,Chlorestes notata,SA,APODIFORMES,Trochilidae,Blue-chinned Sapphire
1080,Corythaeola cristata,AF,MUSOPHAGIFORMES,Musophagidae,hiidturako
1081,Crinifer personatus,AF,MUSOPHAGIFORMES,Musophagidae,maskturako
1082,Crinifer concolor,AF,MUSOPHAGIFORMES,Musophagidae,hallturako
1083,Crinifer leucogaster,AF,MUSOPHAGIFORMES,Musophagidae,akaatsiaturako
1084,Crinifer piscator,AF,MUSOPHAGIFORMES,Musophagidae,rohtlaturako
1085,Crinifer zonurus,AF,MUSOPHAGIFORMES,Musophagidae,ida-rohtlaturako
1086,Gallirex porphyreolophus,AF,MUSOPHAGIFORMES,Musophagidae,aedturako
1087,Gallirex johnstoni,AF,MUSOPHAGIFORMES,Musophagidae,mägiturako
1088,Menelikornis ruspolii,AF,MUSOPHAGIFORMES,Musophagidae,kadakaturako
1089,Menelikornis leucotis,AF,MUSOPHAGIFORMES,Musophagidae,etioopia turako
1090,Tauraco violaceus,AF,MUSOPHAGIFORMES,Musophagidae,violett-turako
1091,Tauraco rossae,AF,MUSOPHAGIFORMES,Musophagidae,prillturako
1092,Tauraco macrorhynchus,AF,MUSOPHAGIFORMES,Musophagidae,paguturako
1093,Tauraco bannermani,AF,MUSOPHAGIFORMES,Musophagidae,kameruni turako
1094,Tauraco leucolophus,AF,MUSOPHAGIFORMES,Musophagidae,valgetutt-turako
1095,Tauraco erythrolophus,AF,MUSOPHAGIFORMES,Musophagidae,vikerturako
1096,Tauraco persa,AF,MUSOPHAGIFORMES,Musophagidae,metsturako
1097,Tauraco livingstonii,AF,MUSOPHAGIFORMES,Musophagidae,roheturako
1098,Tauraco schalowi,AF,MUSOPHAGIFORMES,Musophagidae,smaragdturako
1099,Tauraco corythaix,AF,MUSOPHAGIFORMES,Musophagidae,lõunaturako
1100,Tauraco schuettii,AF,MUSOPHAGIFORMES,Musophagidae,mustnokk-turako
1101,Tauraco fischeri,AF,MUSOPHAGIFORMES,Musophagidae,rannikuturako
1102,Tauraco hartlaubi,AF,MUSOPHAGIFORMES,Musophagidae,keenia turako
1103,Otis tarda,PAL,OTIDIFORMES,Otididae,suurtrapp
1104,Ardeotis arabs,AF,OTIDIFORMES,Otididae,saheli trapp
1105,Ardeotis kori,AF,OTIDIFORMES,Otididae,hiidtrapp
1106,Ardeotis nigriceps,OR,OTIDIFORMES,Otididae,india trapp
1107,Ardeotis australis,AU,OTIDIFORMES,Otididae,austraalia trapp
1108,Chlamydotis undulata,AF,OTIDIFORMES,Otididae,kraetrapp
1109,Chlamydotis macqueenii,PAL,OTIDIFORMES,Otididae,aasia kraetrapp
1110,Neotis ludwigii,AF,OTIDIFORMES,Otididae,mustpea-trapp
1111,Neotis denhami,AF,OTIDIFORMES,Otididae,pugaltiib-trapp
1112,Neotis heuglinii,AF,OTIDIFORMES,Otididae,masktrapp
1113,Neotis nuba,AF,OTIDIFORMES,Otididae,kõrbetrapp
1114,Eupodotis senegalensis,AF,OTIDIFORMES,Otididae,ruugetrapp
1115,Eupodotis caerulescens,AF,OTIDIFORMES,Otididae,sinitrapp
1116,Heterotetrax vigorsii,AF,OTIDIFORMES,Otididae,karoo trapp
1117,Heterotetrax rueppelii,AF,OTIDIFORMES,Otididae,namiibia trapp
1118,Heterotetrax humilis,AF,OTIDIFORMES,Otididae,somaali trapp
1119,Lophotis savilei,AF,OTIDIFORMES,Otididae,sudaani viletrapp
1120,Lophotis gindiana,AF,OTIDIFORMES,Otididae,ida-viletrapp
1121,Lophotis ruficrista,AF,OTIDIFORMES,Otididae,viletrapp
1122,Afrotis afra,AF,OTIDIFORMES,Otididae,musttrapp
1123,Afrotis afraoides,AF,OTIDIFORMES,Otididae,peegeltrapp
1124,Lissotis melanogaster,AF,OTIDIFORMES,Otididae,savannitrapp
1125,Lissotis hartlaubii,AF,OTIDIFORMES,Otididae,kiltmaa-trapp
1126,Houbaropsis bengalensis,OR,OTIDIFORMES,Otididae,bengali trapp
1127,Sypheotides indicus,OR,OTIDIFORMES,Otididae,tutt-trapp
1128,Tetrax tetrax,PAL,OTIDIFORMES,Otididae,väiketrapp
1129,Guira guira,SA,CUCULIFORMES,Cuculidae,guirakägu
1130,Crotophaga major,"MA, SA",CUCULIFORMES,Cuculidae,suur-ühiskägu
1131,Crotophaga ani,"NA, MA, SA",CUCULIFORMES,Cuculidae,kiilnokk-ühiskägu
1132,Crotophaga sulcirostris,"MA, SA",CUCULIFORMES,Cuculidae,vagunokk-ühiskägu
1133,Tapera naevia,"MA, SA",CUCULIFORMES,Cuculidae,triipkägu
1134,Dromococcyx phasianellus,"MA, SA",CUCULIFORMES,Cuculidae,suur-selvakägu
