,IOC,Breeding Range,Order,Family,Scientific
71,Cereopsis novaehollandiae,AU,ANSERIFORMES,Anatidae,Cereopsis novaehollandiae
72,Branta bernicla,"NA, PAL",ANSERIFORMES,Anatidae,Branta bernicla
73,Branta ruficollis,PAL,ANSERIFORMES,Anatidae,Branta ruficollis
74,Branta sandvicensis,PO,ANSERIFORMES,Anatidae,Branta sandvicensis
75,Branta leucopsis,PAL,ANSERIFORMES,Anatidae,Branta leucopsis
76,Anser indicus,PAL,ANSERIFORMES,Anatidae,Anser indicus
77,Anser canagicus,"NA, PAL",ANSERIFORMES,Anatidae,Anser canagicus
78,Anser anser,PAL,ANSERIFORMES,Anatidae,Anser anser
79,Anser cygnoides,PAL,ANSERIFORMES,Anatidae,Anser cygnoides
80,Anser fabalis,PAL,ANSERIFORMES,Anatidae,Anser fabalis
81,Anser brachyrhynchus,PAL,ANSERIFORMES,Anatidae,Anser brachyrhynchus
82,Anser serrirostris,PAL,ANSERIFORMES,Anatidae,Anser serrirostris
83,Anser albifrons,"NA, MA, PAL",ANSERIFORMES,Anatidae,Anser albifrons
84,Anser erythropus,PAL,ANSERIFORMES,Anatidae,Anser erythropus
85,Coscoroba coscoroba,SA,ANSERIFORMES,Anatidae,Coscoroba coscoroba
86,Cygnus atratus,AU,ANSERIFORMES,Anatidae,Cygnus atratus
87,Cygnus melancoryphus,SA,ANSERIFORMES,Anatidae,Cygnus melancoryphus
88,Cygnus olor,PAL,ANSERIFORMES,Anatidae,Cygnus olor
89,Cygnus columbianus,"PAL, NA",ANSERIFORMES,Anatidae,Cygnus columbianus
90,Cygnus cygnus,PAL,ANSERIFORMES,Anatidae,Cygnus cygnus
91,Stictonetta naevosa,AU,ANSERIFORMES,Anatidae,Stictonetta naevosa
92,Hymenolaimus malacorhynchos,AU,ANSERIFORMES,Anatidae,Hymenolaimus malacorhynchos
93,Tachyeres patachonicus,SA,ANSERIFORMES,Anatidae,Tachyeres patachonicus
94,Tachyeres pteneres,SA,ANSERIFORMES,Anatidae,Tachyeres pteneres
95,Tachyeres brachypterus,SA,ANSERIFORMES,Anatidae,Tachyeres brachypterus
96,Tachyeres leucocephalus,SA,ANSERIFORMES,Anatidae,Tachyeres leucocephalus
97,Merganetta armata,SA,ANSERIFORMES,Anatidae,Merganetta armata
98,Plectropterus gambensis,AF,ANSERIFORMES,Anatidae,Plectropterus gambensis
99,Sarkidiornis sylvicola,SA,ANSERIFORMES,Anatidae,Sarkidiornis sylvicola
100,Sarkidiornis melanotos,"AF, OR",ANSERIFORMES,Anatidae,Sarkidiornis melanotos
101,Cyanochen cyanoptera,AF,ANSERIFORMES,Anatidae,Cyanochen cyanoptera
102,Alopochen aegyptiaca,AF,ANSERIFORMES,Anatidae,Alopochen aegyptiaca
103,Neochen jubata,SA,ANSERIFORMES,Anatidae,Neochen jubata
104,Chloephaga melanoptera,SA,ANSERIFORMES,Anatidae,Chloephaga melanoptera
105,Chloephaga picta,SA,ANSERIFORMES,Anatidae,Chloephaga picta
106,Chloephaga hybrida,SA,ANSERIFORMES,Anatidae,Chloephaga hybrida
107,Chloephaga poliocephala,SA,ANSERIFORMES,Anatidae,Chloephaga poliocephala
108,Chloephaga rubidiceps,SA,ANSERIFORMES,Anatidae,Chloephaga rubidiceps
109,Radjah radjah,AU,ANSERIFORMES,Anatidae,Radjah radjah
110,Tadorna tadorna,"PAL, AF",ANSERIFORMES,Anatidae,Tadorna tadorna
111,Tadorna ferruginea,PAL,ANSERIFORMES,Anatidae,Tadorna ferruginea
112,Tadorna cana,AF,ANSERIFORMES,Anatidae,Tadorna cana
113,Tadorna tadornoides,AU,ANSERIFORMES,Anatidae,Tadorna tadornoides
114,Tadorna variegata,AU,ANSERIFORMES,Anatidae,Tadorna variegata
115,Malacorhynchus membranaceus,AU,ANSERIFORMES,Anatidae,Malacorhynchus membranaceus
116,Salvadorina waigiuensis,AU,ANSERIFORMES,Anatidae,Salvadorina waigiuensis
117,Cairina moschata,"NA, MA, SA",ANSERIFORMES,Anatidae,Cairina moschata
118,Asarcornis scutulata,OR,ANSERIFORMES,Anatidae,Asarcornis scutulata
119,Pteronetta hartlaubii,AF,ANSERIFORMES,Anatidae,Pteronetta hartlaubii
120,Aix galericulata,PAL,ANSERIFORMES,Anatidae,Aix galericulata
121,Chenonetta jubata,AU,ANSERIFORMES,Anatidae,Chenonetta jubata
122,Nettapus auritus,AF,ANSERIFORMES,Anatidae,Nettapus auritus
123,Nettapus coromandelianus,OR,ANSERIFORMES,Anatidae,Nettapus coromandelianus
124,Nettapus pulchellus,AU,ANSERIFORMES,Anatidae,Nettapus pulchellus
125,Amazonetta brasiliensis,SA,ANSERIFORMES,Anatidae,Amazonetta brasiliensis
126,Callonetta leucophrys,SA,ANSERIFORMES,Anatidae,Callonetta leucophrys
127,Lophonetta specularioides,SA,ANSERIFORMES,Anatidae,Lophonetta specularioides
128,Speculanas specularis,SA,ANSERIFORMES,Anatidae,Speculanas specularis
129,Sibirionetta formosa,PAL,ANSERIFORMES,Anatidae,Sibirionetta formosa
130,Spatula querquedula,PAL,ANSERIFORMES,Anatidae,Spatula querquedula
131,Spatula hottentota,AF,ANSERIFORMES,Anatidae,Spatula hottentota
132,Spatula puna,SA,ANSERIFORMES,Anatidae,Spatula puna
133,Spatula versicolor,SA,ANSERIFORMES,Anatidae,Spatula versicolor
134,Spatula platalea,SA,ANSERIFORMES,Anatidae,Spatula platalea
135,Spatula cyanoptera,"NA, MA, SA",ANSERIFORMES,Anatidae,Spatula cyanoptera
136,Spatula smithii,AF,ANSERIFORMES,Anatidae,Spatula smithii
137,Spatula rhynchotis,AU,ANSERIFORMES,Anatidae,Spatula rhynchotis
138,Spatula clypeata,"NA, PAL",ANSERIFORMES,Anatidae,Spatula clypeata
139,Mareca strepera,"NA, PAL",ANSERIFORMES,Anatidae,Mareca strepera
140,Mareca falcata,PAL,ANSERIFORMES,Anatidae,Mareca falcata
141,Mareca penelope,PAL,ANSERIFORMES,Anatidae,Mareca penelope
142,Mareca sibilatrix,SA,ANSERIFORMES,Anatidae,Mareca sibilatrix
143,Anas sparsa,AF,ANSERIFORMES,Anatidae,Anas sparsa
144,Anas undulata,AF,ANSERIFORMES,Anatidae,Anas undulata
145,Anas melleri,AF,ANSERIFORMES,Anatidae,Anas melleri
146,Anas superciliosa,AU,ANSERIFORMES,Anatidae,Anas superciliosa
147,Anas laysanensis,PO,ANSERIFORMES,Anatidae,Anas laysanensis
148,Anas wyvilliana,PO,ANSERIFORMES,Anatidae,Anas wyvilliana
149,Anas luzonica,OR,ANSERIFORMES,Anatidae,Anas luzonica
150,Anas poecilorhyncha,OR,ANSERIFORMES,Anatidae,Anas poecilorhyncha
151,Anas zonorhyncha,OR,ANSERIFORMES,Anatidae,Anas zonorhyncha
152,Anas platyrhynchos,"NA, PAL",ANSERIFORMES,Anatidae,Anas platyrhynchos
153,Anas diazi,"NA, MA",ANSERIFORMES,Anatidae,Anas diazi
154,Anas capensis,AF,ANSERIFORMES,Anatidae,Anas capensis
155,Anas bahamensis,"SA, NA",ANSERIFORMES,Anatidae,Anas bahamensis
156,Anas erythrorhyncha,AF,ANSERIFORMES,Anatidae,Anas erythrorhyncha
157,Anas georgica,SA,ANSERIFORMES,Anatidae,Anas georgica
158,Anas eatoni,IO,ANSERIFORMES,Anatidae,Anas eatoni
159,Anas acuta,"NA, PAL",ANSERIFORMES,Anatidae,Anas acuta
160,Anas crecca,"PAL, NA",ANSERIFORMES,Anatidae,Anas crecca
161,Anas flavirostris,SA,ANSERIFORMES,Anatidae,Anas flavirostris
162,Anas andium,SA,ANSERIFORMES,Anatidae,Anas andium
163,Anas gibberifrons,OR,ANSERIFORMES,Anatidae,Anas gibberifrons
164,Anas albogularis,OR,ANSERIFORMES,Anatidae,Anas albogularis
165,Anas gracilis,AU,ANSERIFORMES,Anatidae,Anas gracilis
166,Anas castanea,AU,ANSERIFORMES,Anatidae,Anas castanea
167,Anas bernieri,AF,ANSERIFORMES,Anatidae,Anas bernieri
168,Anas chlorotis,AU,ANSERIFORMES,Anatidae,Anas chlorotis
169,Anas aucklandica,AU,ANSERIFORMES,Anatidae,Anas aucklandica
170,Anas nesiotis,AU,ANSERIFORMES,Anatidae,Anas nesiotis
171,Marmaronetta angustirostris,PAL,ANSERIFORMES,Anatidae,Marmaronetta angustirostris
172,Netta rufina,PAL,ANSERIFORMES,Anatidae,Netta rufina
173,Netta peposaca,SA,ANSERIFORMES,Anatidae,Netta peposaca
174,Netta erythrophthalma,"AF, SA",ANSERIFORMES,Anatidae,Netta erythrophthalma
175,Aythya ferina,PAL,ANSERIFORMES,Anatidae,Aythya ferina
176,Aythya australis,AU,ANSERIFORMES,Anatidae,Aythya australis
177,Aythya innotata,AF,ANSERIFORMES,Anatidae,Aythya innotata
178,Aythya baeri,PAL,ANSERIFORMES,Anatidae,Aythya baeri
179,Aythya nyroca,PAL,ANSERIFORMES,Anatidae,Aythya nyroca
180,Aythya novaeseelandiae,AU,ANSERIFORMES,Anatidae,Aythya novaeseelandiae
181,Aythya fuligula,PAL,ANSERIFORMES,Anatidae,Aythya fuligula
182,Aythya marila,"NA, PAL",ANSERIFORMES,Anatidae,Aythya marila
183,Polysticta stelleri,"NA, PAL",ANSERIFORMES,Anatidae,Polysticta stelleri
184,Somateria fischeri,"NA, PAL",ANSERIFORMES,Anatidae,Somateria fischeri
185,Somateria spectabilis,"NA, PAL",ANSERIFORMES,Anatidae,Somateria spectabilis
186,Somateria mollissima,"NA, PAL",ANSERIFORMES,Anatidae,Somateria mollissima
187,Histrionicus histrionicus,"NA, PAL",ANSERIFORMES,Anatidae,Histrionicus histrionicus
188,Melanitta fusca,PAL,ANSERIFORMES,Anatidae,Melanitta fusca
189,Melanitta stejnegeri,PAL,ANSERIFORMES,Anatidae,Melanitta stejnegeri
190,Melanitta nigra,PAL,ANSERIFORMES,Anatidae,Melanitta nigra
191,Melanitta americana,"PAL, NA",ANSERIFORMES,Anatidae,Melanitta americana
192,Clangula hyemalis,"NA, PAL",ANSERIFORMES,Anatidae,Clangula hyemalis
193,Bucephala clangula,"NA, PAL",ANSERIFORMES,Anatidae,Bucephala clangula
194,Bucephala islandica,"NA, PAL",ANSERIFORMES,Anatidae,Bucephala islandica
195,Mergellus albellus,PAL,ANSERIFORMES,Anatidae,Mergellus albellus
196,Mergus octosetaceus,SA,ANSERIFORMES,Anatidae,Mergus octosetaceus
197,Mergus merganser,"NA, PAL",ANSERIFORMES,Anatidae,Mergus merganser
198,Mergus serrator,"NA, PAL",ANSERIFORMES,Anatidae,Mergus serrator
199,Mergus squamatus,PAL,ANSERIFORMES,Anatidae,Mergus squamatus
200,Heteronetta atricapilla,SA,ANSERIFORMES,Anatidae,Heteronetta atricapilla
201,Nomonyx dominicus,"MA, SA",ANSERIFORMES,Anatidae,Nomonyx dominicus
202,Oxyura jamaicensis,"NA, MA",ANSERIFORMES,Anatidae,Oxyura jamaicensis
203,Oxyura ferruginea,SA,ANSERIFORMES,Anatidae,Oxyura ferruginea
204,Oxyura vittata,SA,ANSERIFORMES,Anatidae,Oxyura vittata
205,Oxyura australis,AU,ANSERIFORMES,Anatidae,Oxyura australis
206,Oxyura maccoa,AF,ANSERIFORMES,Anatidae,Oxyura maccoa
207,Oxyura leucocephala,PAL,ANSERIFORMES,Anatidae,Oxyura leucocephala
208,Biziura lobata,AU,ANSERIFORMES,Anatidae,Biziura lobata
209,Alectura lathami,AU,GALLIFORMES,Megapodiidae,Alectura lathami
210,Aepypodius arfakianus,AU,GALLIFORMES,Megapodiidae,Aepypodius arfakianus
211,Aepypodius bruijnii,AU,GALLIFORMES,Megapodiidae,Aepypodius bruijnii
212,Talegalla cuvieri,AU,GALLIFORMES,Megapodiidae,Talegalla cuvieri
213,Talegalla fuscirostris,AU,GALLIFORMES,Megapodiidae,Talegalla fuscirostris
214,Talegalla jobiensis,AU,GALLIFORMES,Megapodiidae,Talegalla jobiensis
215,Leipoa ocellata,AU,GALLIFORMES,Megapodiidae,Leipoa ocellata
216,Macrocephalon maleo,AU,GALLIFORMES,Megapodiidae,Macrocephalon maleo
217,Eulipoa wallacei,AU,GALLIFORMES,Megapodiidae,Eulipoa wallacei
218,Megapodius pritchardii,PO,GALLIFORMES,Megapodiidae,Megapodius pritchardii
219,Megapodius laperouse,PO,GALLIFORMES,Megapodiidae,Megapodius laperouse
220,Megapodius nicobariensis,OR,GALLIFORMES,Megapodiidae,Megapodius nicobariensis
221,Megapodius cumingii,"OR, AU",GALLIFORMES,Megapodiidae,Megapodius cumingii
222,Megapodius bernsteinii,AU,GALLIFORMES,Megapodiidae,Megapodius bernsteinii
223,Megapodius tenimberensis,AU,GALLIFORMES,Megapodiidae,Megapodius tenimberensis
224,Megapodius freycinet,AU,GALLIFORMES,Megapodiidae,Megapodius freycinet
225,Megapodius geelvinkianus,AU,GALLIFORMES,Megapodiidae,Megapodius geelvinkianus
226,Megapodius eremita,AU,GALLIFORMES,Megapodiidae,Megapodius eremita
227,Megapodius layardi,AU,GALLIFORMES,Megapodiidae,Megapodius layardi
228,Megapodius decollatus,AU,GALLIFORMES,Megapodiidae,Megapodius decollatus
229,Megapodius reinwardt,AU,GALLIFORMES,Megapodiidae,Megapodius reinwardt
230,Ortalis vetula,"NA, MA",GALLIFORMES,Cracidae,Ortalis vetula
231,Ortalis cinereiceps,"MA, SA",GALLIFORMES,Cracidae,Ortalis cinereiceps
232,Ortalis garrula,SA,GALLIFORMES,Cracidae,Ortalis garrula
233,Ortalis ruficauda,SA,GALLIFORMES,Cracidae,Ortalis ruficauda
234,Ortalis erythroptera,SA,GALLIFORMES,Cracidae,Ortalis erythroptera
235,Ortalis wagleri,MA,GALLIFORMES,Cracidae,Ortalis wagleri
236,Ortalis poliocephala,MA,GALLIFORMES,Cracidae,Ortalis poliocephala
237,Ortalis canicollis,SA,GALLIFORMES,Cracidae,Ortalis canicollis
238,Ortalis leucogastra,MA,GALLIFORMES,Cracidae,Ortalis leucogastra
239,Ortalis guttata,SA,GALLIFORMES,Cracidae,Ortalis guttata
240,Ortalis araucuan,SA,GALLIFORMES,Cracidae,Ortalis araucuan
241,Ortalis squamata,SA,GALLIFORMES,Cracidae,Ortalis squamata
242,Ortalis columbiana,SA,GALLIFORMES,Cracidae,Ortalis columbiana
243,Ortalis motmot,SA,GALLIFORMES,Cracidae,Ortalis motmot
244,Ortalis ruficeps,SA,GALLIFORMES,Cracidae,Ortalis ruficeps
245,Ortalis superciliaris,SA,GALLIFORMES,Cracidae,Ortalis superciliaris
246,Penelope argyrotis,SA,GALLIFORMES,Cracidae,Penelope argyrotis
247,Penelope barbata,SA,GALLIFORMES,Cracidae,Penelope barbata
248,Penelope ortoni,SA,GALLIFORMES,Cracidae,Penelope ortoni
249,Penelope montagnii,SA,GALLIFORMES,Cracidae,Penelope montagnii
250,Penelope marail,SA,GALLIFORMES,Cracidae,Penelope marail
251,Penelope superciliaris,SA,GALLIFORMES,Cracidae,Penelope superciliaris
252,Penelope dabbenei,SA,GALLIFORMES,Cracidae,Penelope dabbenei
253,Penelope purpurascens,"MA, SA",GALLIFORMES,Cracidae,Penelope purpurascens
254,Penelope perspicax,SA,GALLIFORMES,Cracidae,Penelope perspicax
255,Penelope albipennis,SA,GALLIFORMES,Cracidae,Penelope albipennis
256,Penelope jacquacu,SA,GALLIFORMES,Cracidae,Penelope jacquacu
257,Penelope obscura,SA,GALLIFORMES,Cracidae,Penelope obscura
258,Penelope bridgesi,SA,GALLIFORMES,Cracidae,Penelope bridgesi
259,Penelope pileata,SA,GALLIFORMES,Cracidae,Penelope pileata
260,Penelope ochrogaster,SA,GALLIFORMES,Cracidae,Penelope ochrogaster
261,Penelope jacucaca,SA,GALLIFORMES,Cracidae,Penelope jacucaca
262,Pipile pipile,SA,GALLIFORMES,Cracidae,Pipile pipile
263,Pipile cumanensis,SA,GALLIFORMES,Cracidae,Pipile cumanensis
264,Pipile grayi,SA,GALLIFORMES,Cracidae,Pipile grayi
265,Pipile cujubi,SA,GALLIFORMES,Cracidae,Pipile cujubi
266,Pipile jacutinga,SA,GALLIFORMES,Cracidae,Pipile jacutinga
267,Aburria aburri,SA,GALLIFORMES,Cracidae,Aburria aburri
268,Chamaepetes unicolor,MA,GALLIFORMES,Cracidae,Chamaepetes unicolor
269,Chamaepetes goudotii,SA,GALLIFORMES,Cracidae,Chamaepetes goudotii
270,Penelopina nigra,MA,GALLIFORMES,Cracidae,Penelopina nigra
271,Oreophasis derbianus,MA,GALLIFORMES,Cracidae,Oreophasis derbianus
272,Nothocrax urumutum,SA,GALLIFORMES,Cracidae,Nothocrax urumutum
273,Mitu tomentosum,SA,GALLIFORMES,Cracidae,Mitu tomentosum
