,IOC,Breeding Range,Order,Family,Scientific
2936,Asio madagascariensis,AF,STRIGIFORMES,Strigidae,Asio madagascariensis
2937,Asio stygius,"MA, SA",STRIGIFORMES,Strigidae,Asio stygius
2938,Asio flammeus,Worldwide,STRIGIFORMES,Strigidae,Asio flammeus
2939,Asio capensis,AF,STRIGIFORMES,Strigidae,Asio capensis
2940,Asio solomonensis,AU,STRIGIFORMES,Strigidae,Asio solomonensis
2941,Jubula lettii,AF,STRIGIFORMES,Strigidae,Jubula lettii
2942,Bubo scandiacus,"NA, PAL",STRIGIFORMES,Strigidae,Bubo scandiacus
2943,Bubo virginianus,"NA, MA, SA",STRIGIFORMES,Strigidae,Bubo virginianus
2944,Bubo magellanicus,SA,STRIGIFORMES,Strigidae,Bubo magellanicus
2945,Bubo bubo,PAL,STRIGIFORMES,Strigidae,Bubo bubo
2946,Bubo bengalensis,OR,STRIGIFORMES,Strigidae,Bubo bengalensis
2947,Bubo ascalaphus,AF,STRIGIFORMES,Strigidae,Bubo ascalaphus
2948,Bubo capensis,AF,STRIGIFORMES,Strigidae,Bubo capensis
2949,Bubo milesi,PAL,STRIGIFORMES,Strigidae,Bubo milesi
2950,Bubo cinerascens,AF,STRIGIFORMES,Strigidae,Bubo cinerascens
2951,Bubo africanus,AF,STRIGIFORMES,Strigidae,Bubo africanus
2952,Ketupa poensis,AF,STRIGIFORMES,Strigidae,Ketupa poensis
2953,Ketupa leucosticta,AF,STRIGIFORMES,Strigidae,Ketupa leucosticta
2954,Ketupa lactea,AF,STRIGIFORMES,Strigidae,Ketupa lactea
2955,Ketupa shelleyi,AF,STRIGIFORMES,Strigidae,Ketupa shelleyi
2956,Ketupa blakistoni,PAL,STRIGIFORMES,Strigidae,Ketupa blakistoni
2957,Ketupa zeylonensis,"OR, PAL",STRIGIFORMES,Strigidae,Ketupa zeylonensis
2958,Ketupa flavipes,OR,STRIGIFORMES,Strigidae,Ketupa flavipes
2959,Ketupa ketupu,OR,STRIGIFORMES,Strigidae,Ketupa ketupu
2960,Ketupa sumatrana,OR,STRIGIFORMES,Strigidae,Ketupa sumatrana
2961,Ketupa nipalensis,OR,STRIGIFORMES,Strigidae,Ketupa nipalensis
2962,Ketupa coromanda,OR,STRIGIFORMES,Strigidae,Ketupa coromanda
2963,Ketupa philippensis,OR,STRIGIFORMES,Strigidae,Ketupa philippensis
2964,Scotopelia peli,AF,STRIGIFORMES,Strigidae,Scotopelia peli
2965,Scotopelia ussheri,AF,STRIGIFORMES,Strigidae,Scotopelia ussheri
2966,Scotopelia bouvieri,AF,STRIGIFORMES,Strigidae,Scotopelia bouvieri
2967,Psiloscops flammeolus,"NA, MA",STRIGIFORMES,Strigidae,Psiloscops flammeolus
2968,Megascops trichopsis,"NA, MA",STRIGIFORMES,Strigidae,Megascops trichopsis
2969,Megascops clarkii,"MA, SA",STRIGIFORMES,Strigidae,Megascops clarkii
2970,Megascops albogularis,SA,STRIGIFORMES,Strigidae,Megascops albogularis
2971,Megascops choliba,"MA, SA",STRIGIFORMES,Strigidae,Megascops choliba
2972,Megascops barbarus,MA,STRIGIFORMES,Strigidae,Megascops barbarus
2973,Megascops cooperi,MA,STRIGIFORMES,Strigidae,Megascops cooperi
2974,Megascops kennicottii,"NA, MA",STRIGIFORMES,Strigidae,Megascops kennicottii
2975,Megascops asio,"NA, MA",STRIGIFORMES,Strigidae,Megascops asio
2976,Megascops seductus,MA,STRIGIFORMES,Strigidae,Megascops seductus
2977,Megascops guatemalae,MA,STRIGIFORMES,Strigidae,Megascops guatemalae
2978,Megascops koepckeae,SA,STRIGIFORMES,Strigidae,Megascops koepckeae
2979,Megascops ingens,SA,STRIGIFORMES,Strigidae,Megascops ingens
2980,Megascops petersoni,SA,STRIGIFORMES,Strigidae,Megascops petersoni
2981,Megascops marshalli,SA,STRIGIFORMES,Strigidae,Megascops marshalli
2982,Megascops hoyi,SA,STRIGIFORMES,Strigidae,Megascops hoyi
2983,Megascops centralis,SA,STRIGIFORMES,Strigidae,Megascops centralis
2984,Megascops roraimae,SA,STRIGIFORMES,Strigidae,Megascops roraimae
2985,Megascops sanctaecatarinae,SA,STRIGIFORMES,Strigidae,Megascops sanctaecatarinae
2986,Megascops gilesi,SA,STRIGIFORMES,Strigidae,Megascops gilesi
2987,Megascops roboratus,SA,STRIGIFORMES,Strigidae,Megascops roboratus
2988,Megascops watsonii,SA,STRIGIFORMES,Strigidae,Megascops watsonii
2989,Megascops atricapilla,SA,STRIGIFORMES,Strigidae,Megascops atricapilla
2990,Pulsatrix perspicillata,"MA, SA",STRIGIFORMES,Strigidae,Pulsatrix perspicillata
2991,Pulsatrix koeniswaldiana,SA,STRIGIFORMES,Strigidae,Pulsatrix koeniswaldiana
2992,Pulsatrix melanota,SA,STRIGIFORMES,Strigidae,Pulsatrix melanota
2993,Lophostrix cristata,"MA, SA",STRIGIFORMES,Strigidae,Lophostrix cristata
2994,Strix seloputo,OR,STRIGIFORMES,Strigidae,Strix seloputo
2995,Strix ocellata,OR,STRIGIFORMES,Strigidae,Strix ocellata
2996,Strix leptogrammica,OR,STRIGIFORMES,Strigidae,Strix leptogrammica
2997,Strix aluco,PAL,STRIGIFORMES,Strigidae,Strix aluco
2998,Strix mauritanica,AF,STRIGIFORMES,Strigidae,Strix mauritanica
2999,Strix nivicolum,PAL,STRIGIFORMES,Strigidae,Strix nivicolum
3000,Strix hadorami,"PAL, AF",STRIGIFORMES,Strigidae,Strix hadorami
3001,Strix butleri,PAL,STRIGIFORMES,Strigidae,Strix butleri
3002,Strix occidentalis,"NA, MA",STRIGIFORMES,Strigidae,Strix occidentalis
3003,Strix sartorii,MA,STRIGIFORMES,Strigidae,Strix sartorii
3004,Strix fulvescens,MA,STRIGIFORMES,Strigidae,Strix fulvescens
3005,Strix hylophila,SA,STRIGIFORMES,Strigidae,Strix hylophila
3006,Strix chacoensis,SA,STRIGIFORMES,Strigidae,Strix chacoensis
3007,Strix rufipes,SA,STRIGIFORMES,Strigidae,Strix rufipes
3008,Strix uralensis,PAL,STRIGIFORMES,Strigidae,Strix uralensis
3009,Strix nebulosa,"NA, PAL",STRIGIFORMES,Strigidae,Strix nebulosa
3010,Strix woodfordii,AF,STRIGIFORMES,Strigidae,Strix woodfordii
3011,Strix virgata,"MA, SA",STRIGIFORMES,Strigidae,Strix virgata
3012,Strix nigrolineata,"MA, SA",STRIGIFORMES,Strigidae,Strix nigrolineata
3013,Strix huhula,SA,STRIGIFORMES,Strigidae,Strix huhula
3014,Strix albitarsis,SA,STRIGIFORMES,Strigidae,Strix albitarsis
3015,Colius striatus,AF,COLIIFORMES,Coliidae,Colius striatus
3016,Colius leucocephalus,AF,COLIIFORMES,Coliidae,Colius leucocephalus
3017,Colius castanotus,AF,COLIIFORMES,Coliidae,Colius castanotus
3018,Colius colius,AF,COLIIFORMES,Coliidae,Colius colius
3019,Urocolius macrourus,AF,COLIIFORMES,Coliidae,Urocolius macrourus
3020,Urocolius indicus,AF,COLIIFORMES,Coliidae,Urocolius indicus
3021,Leptosomus discolor,AF,LEPTOSOMIFORMES,Leptosomidae,Leptosomus discolor
3022,Euptilotis neoxenus,MA,TROGONIFORMES,Trogonidae,Euptilotis neoxenus
3023,Pharomachrus pavoninus,SA,TROGONIFORMES,Trogonidae,Pharomachrus pavoninus
3024,Pharomachrus auriceps,"MA, SA",TROGONIFORMES,Trogonidae,Pharomachrus auriceps
3025,Pharomachrus fulgidus,SA,TROGONIFORMES,Trogonidae,Pharomachrus fulgidus
3026,Pharomachrus mocinno,MA,TROGONIFORMES,Trogonidae,Pharomachrus mocinno
3027,Pharomachrus antisianus,SA,TROGONIFORMES,Trogonidae,Pharomachrus antisianus
3028,Trogon clathratus,MA,TROGONIFORMES,Trogonidae,Trogon clathratus
3029,Trogon massena,"MA, SA",TROGONIFORMES,Trogonidae,Trogon massena
3030,Trogon comptus,SA,TROGONIFORMES,Trogonidae,Trogon comptus
3031,Trogon mesurus,SA,TROGONIFORMES,Trogonidae,Trogon mesurus
3032,Trogon melanurus,"MA, SA",TROGONIFORMES,Trogonidae,Trogon melanurus
3033,Trogon melanocephalus,MA,TROGONIFORMES,Trogonidae,Trogon melanocephalus
3034,Trogon citreolus,MA,TROGONIFORMES,Trogonidae,Trogon citreolus
3035,Trogon chionurus,"MA, SA",TROGONIFORMES,Trogonidae,Trogon chionurus
3036,Trogon bairdii,MA,TROGONIFORMES,Trogonidae,Trogon bairdii
3037,Trogon viridis,SA,TROGONIFORMES,Trogonidae,Trogon viridis
3038,Trogon caligatus,"MA, SA",TROGONIFORMES,Trogonidae,Trogon caligatus
3039,Trogon ramonianus,SA,TROGONIFORMES,Trogonidae,Trogon ramonianus
3040,Trogon violaceus,SA,TROGONIFORMES,Trogonidae,Trogon violaceus
3041,Trogon curucui,SA,TROGONIFORMES,Trogonidae,Trogon curucui
3042,Trogon surrucura,SA,TROGONIFORMES,Trogonidae,Trogon surrucura
3043,Trogon rufus,"MA, SA",TROGONIFORMES,Trogonidae,Trogon rufus
3044,Trogon elegans,"NA, MA",TROGONIFORMES,Trogonidae,Trogon elegans
3045,Trogon mexicanus,MA,TROGONIFORMES,Trogonidae,Trogon mexicanus
3046,Trogon collaris,"MA, SA",TROGONIFORMES,Trogonidae,Trogon collaris
3047,Trogon personatus,SA,TROGONIFORMES,Trogonidae,Trogon personatus
3048,Apaloderma narina,AF,TROGONIFORMES,Trogonidae,Apaloderma narina
3049,Apaloderma aequatoriale,AF,TROGONIFORMES,Trogonidae,Apaloderma aequatoriale
3050,Apaloderma vittatum,AF,TROGONIFORMES,Trogonidae,Apaloderma vittatum
3051,Apalharpactes reinwardtii,OR,TROGONIFORMES,Trogonidae,Apalharpactes reinwardtii
3052,Apalharpactes mackloti,OR,TROGONIFORMES,Trogonidae,Apalharpactes mackloti
3053,Harpactes fasciatus,OR,TROGONIFORMES,Trogonidae,Harpactes fasciatus
3054,Harpactes kasumba,OR,TROGONIFORMES,Trogonidae,Harpactes kasumba
3055,Harpactes diardii,OR,TROGONIFORMES,Trogonidae,Harpactes diardii
3056,Harpactes ardens,OR,TROGONIFORMES,Trogonidae,Harpactes ardens
3057,Harpactes whiteheadi,OR,TROGONIFORMES,Trogonidae,Harpactes whiteheadi
3058,Harpactes orrhophaeus,OR,TROGONIFORMES,Trogonidae,Harpactes orrhophaeus
3059,Harpactes duvaucelii,OR,TROGONIFORMES,Trogonidae,Harpactes duvaucelii
3060,Harpactes oreskios,OR,TROGONIFORMES,Trogonidae,Harpactes oreskios
3061,Harpactes erythrocephalus,OR,TROGONIFORMES,Trogonidae,Harpactes erythrocephalus
3062,Harpactes wardi,OR,TROGONIFORMES,Trogonidae,Harpactes wardi
3063,Upupa epops,"PAL, OR",BUCEROTIFORMES,Upupidae,Upupa epops
3064,Upupa africana,AF,BUCEROTIFORMES,Upupidae,Upupa africana
3065,Upupa marginata,AF,BUCEROTIFORMES,Upupidae,Upupa marginata
3066,Phoeniculus castaneiceps,AF,BUCEROTIFORMES,Phoeniculidae,Phoeniculus castaneiceps
3067,Phoeniculus bollei,AF,BUCEROTIFORMES,Phoeniculidae,Phoeniculus bollei
3068,Phoeniculus purpureus,AF,BUCEROTIFORMES,Phoeniculidae,Phoeniculus purpureus
3069,Phoeniculus somaliensis,AF,BUCEROTIFORMES,Phoeniculidae,Phoeniculus somaliensis
3070,Phoeniculus damarensis,AF,BUCEROTIFORMES,Phoeniculidae,Phoeniculus damarensis
3071,Phoeniculus granti,AF,BUCEROTIFORMES,Phoeniculidae,Phoeniculus granti
3072,Rhinopomastus aterrimus,AF,BUCEROTIFORMES,Phoeniculidae,Rhinopomastus aterrimus
3073,Rhinopomastus cyanomelas,AF,BUCEROTIFORMES,Phoeniculidae,Rhinopomastus cyanomelas
3074,Rhinopomastus minor,AF,BUCEROTIFORMES,Phoeniculidae,Rhinopomastus minor
3075,Bucorvus abyssinicus,AF,BUCEROTIFORMES,Bucorvidae,Bucorvus abyssinicus
3076,Bucorvus leadbeateri,AF,BUCEROTIFORMES,Bucorvidae,Bucorvus leadbeateri
3077,Tockus ruahae,AF,BUCEROTIFORMES,Bucerotidae,Tockus ruahae
3078,Tockus kempi,AF,BUCEROTIFORMES,Bucerotidae,Tockus kempi
3079,Tockus damarensis,AF,BUCEROTIFORMES,Bucerotidae,Tockus damarensis
3080,Tockus rufirostris,AF,BUCEROTIFORMES,Bucerotidae,Tockus rufirostris
3081,Tockus erythrorhynchus,AF,BUCEROTIFORMES,Bucerotidae,Tockus erythrorhynchus
3082,Tockus monteiri,AF,BUCEROTIFORMES,Bucerotidae,Tockus monteiri
3083,Tockus deckeni,AF,BUCEROTIFORMES,Bucerotidae,Tockus deckeni
3084,Tockus jacksoni,AF,BUCEROTIFORMES,Bucerotidae,Tockus jacksoni
3085,Tockus leucomelas,AF,BUCEROTIFORMES,Bucerotidae,Tockus leucomelas
3086,Tockus flavirostris,AF,BUCEROTIFORMES,Bucerotidae,Tockus flavirostris
3087,Lophoceros bradfieldi,AF,BUCEROTIFORMES,Bucerotidae,Lophoceros bradfieldi
3088,Lophoceros alboterminatus,AF,BUCEROTIFORMES,Bucerotidae,Lophoceros alboterminatus
3089,Lophoceros semifasciatus,AF,BUCEROTIFORMES,Bucerotidae,Lophoceros semifasciatus
3090,Lophoceros fasciatus,AF,BUCEROTIFORMES,Bucerotidae,Lophoceros fasciatus
3091,Lophoceros hemprichii,AF,BUCEROTIFORMES,Bucerotidae,Lophoceros hemprichii
3092,Lophoceros nasutus,AF,BUCEROTIFORMES,Bucerotidae,Lophoceros nasutus
3093,Lophoceros camurus,AF,BUCEROTIFORMES,Bucerotidae,Lophoceros camurus
3094,Lophoceros pallidirostris,AF,BUCEROTIFORMES,Bucerotidae,Lophoceros pallidirostris
3095,Bycanistes fistulator,AF,BUCEROTIFORMES,Bucerotidae,Bycanistes fistulator
3096,Bycanistes bucinator,AF,BUCEROTIFORMES,Bucerotidae,Bycanistes bucinator
3097,Bycanistes cylindricus,AF,BUCEROTIFORMES,Bucerotidae,Bycanistes cylindricus
3098,Bycanistes albotibialis,AF,BUCEROTIFORMES,Bucerotidae,Bycanistes albotibialis
3099,Bycanistes subcylindricus,AF,BUCEROTIFORMES,Bucerotidae,Bycanistes subcylindricus
3100,Bycanistes brevis,AF,BUCEROTIFORMES,Bucerotidae,Bycanistes brevis
3101,Ceratogymna atrata,AF,BUCEROTIFORMES,Bucerotidae,Ceratogymna atrata
3102,Ceratogymna elata,AF,BUCEROTIFORMES,Bucerotidae,Ceratogymna elata
3103,Horizocerus hartlaubi,AF,BUCEROTIFORMES,Bucerotidae,Horizocerus hartlaubi
3104,Horizocerus albocristatus,AF,BUCEROTIFORMES,Bucerotidae,Horizocerus albocristatus
3105,Berenicornis comatus,OR,BUCEROTIFORMES,Bucerotidae,Berenicornis comatus
3106,Buceros rhinoceros,OR,BUCEROTIFORMES,Bucerotidae,Buceros rhinoceros
3107,Buceros bicornis,OR,BUCEROTIFORMES,Bucerotidae,Buceros bicornis
3108,Buceros hydrocorax,OR,BUCEROTIFORMES,Bucerotidae,Buceros hydrocorax
3109,Rhinoplax vigil,OR,BUCEROTIFORMES,Bucerotidae,Rhinoplax vigil
3110,Anthracoceros marchei,OR,BUCEROTIFORMES,Bucerotidae,Anthracoceros marchei
3111,Anthracoceros albirostris,OR,BUCEROTIFORMES,Bucerotidae,Anthracoceros albirostris
3112,Anthracoceros coronatus,OR,BUCEROTIFORMES,Bucerotidae,Anthracoceros coronatus
3113,Anthracoceros montani,OR,BUCEROTIFORMES,Bucerotidae,Anthracoceros montani
3114,Anthracoceros malayanus,OR,BUCEROTIFORMES,Bucerotidae,Anthracoceros malayanus
3115,Ocyceros griseus,OR,BUCEROTIFORMES,Bucerotidae,Ocyceros griseus
3116,Ocyceros gingalensis,OR,BUCEROTIFORMES,Bucerotidae,Ocyceros gingalensis
3117,Ocyceros birostris,OR,BUCEROTIFORMES,Bucerotidae,Ocyceros birostris
3118,Anorrhinus tickelli,OR,BUCEROTIFORMES,Bucerotidae,Anorrhinus tickelli
3119,Anorrhinus austeni,OR,BUCEROTIFORMES,Bucerotidae,Anorrhinus austeni
3120,Anorrhinus galeritus,OR,BUCEROTIFORMES,Bucerotidae,Anorrhinus galeritus
3121,Aceros nipalensis,OR,BUCEROTIFORMES,Bucerotidae,Aceros nipalensis
3122,Rhyticeros plicatus,AU,BUCEROTIFORMES,Bucerotidae,Rhyticeros plicatus
3123,Rhyticeros narcondami,OR,BUCEROTIFORMES,Bucerotidae,Rhyticeros narcondami
3124,Rhyticeros undulatus,OR,BUCEROTIFORMES,Bucerotidae,Rhyticeros undulatus
3125,Rhyticeros everetti,AU,BUCEROTIFORMES,Bucerotidae,Rhyticeros everetti
3126,Rhyticeros subruficollis,OR,BUCEROTIFORMES,Bucerotidae,Rhyticeros subruficollis
3127,Rhyticeros cassidix,AU,BUCEROTIFORMES,Bucerotidae,Rhyticeros cassidix
3128,Rhabdotorrhinus waldeni,OR,BUCEROTIFORMES,Bucerotidae,Rhabdotorrhinus waldeni
3129,Rhabdotorrhinus leucocephalus,OR,BUCEROTIFORMES,Bucerotidae,Rhabdotorrhinus leucocephalus
3130,Rhabdotorrhinus exarhatus,AU,BUCEROTIFORMES,Bucerotidae,Rhabdotorrhinus exarhatus
3131,Rhabdotorrhinus corrugatus,OR,BUCEROTIFORMES,Bucerotidae,Rhabdotorrhinus corrugatus
3132,Penelopides manillae,OR,BUCEROTIFORMES,Bucerotidae,Penelopides manillae
3133,Penelopides mindorensis,OR,BUCEROTIFORMES,Bucerotidae,Penelopides mindorensis
3134,Penelopides affinis,OR,BUCEROTIFORMES,Bucerotidae,Penelopides affinis
3135,Penelopides samarensis,OR,BUCEROTIFORMES,Bucerotidae,Penelopides samarensis
3136,Penelopides panini,OR,BUCEROTIFORMES,Bucerotidae,Penelopides panini
3137,Coracias naevius,AF,CORACIIFORMES,Coraciidae,Coracias naevius
3138,Coracias benghalensis,PAL,CORACIIFORMES,Coraciidae,Coracias benghalensis
3139,Coracias affinis,OR,CORACIIFORMES,Coraciidae,Coracias affinis
3140,Coracias temminckii,AU,CORACIIFORMES,Coraciidae,Coracias temminckii
3141,Coracias spatulatus,AF,CORACIIFORMES,Coraciidae,Coracias spatulatus
3142,Coracias caudatus,AF,CORACIIFORMES,Coraciidae,Coracias caudatus
3143,Coracias abyssinicus,AF,CORACIIFORMES,Coraciidae,Coracias abyssinicus
3144,Coracias garrulus,PAL,CORACIIFORMES,Coraciidae,Coracias garrulus
3145,Coracias cyanogaster,AF,CORACIIFORMES,Coraciidae,Coracias cyanogaster
3146,Eurystomus gularis,AF,CORACIIFORMES,Coraciidae,Eurystomus gularis
3147,Eurystomus glaucurus,AF,CORACIIFORMES,Coraciidae,Eurystomus glaucurus
3148,Eurystomus orientalis,"PAL, OR, AU",CORACIIFORMES,Coraciidae,Eurystomus orientalis
3149,Eurystomus azureus,AU,CORACIIFORMES,Coraciidae,Eurystomus azureus
3150,Brachypteracias leptosomus,AF,CORACIIFORMES,Brachypteraciidae,Brachypteracias leptosomus
3151,Geobiastes squamiger,AF,CORACIIFORMES,Brachypteraciidae,Geobiastes squamiger
3152,Atelornis pittoides,AF,CORACIIFORMES,Brachypteraciidae,Atelornis pittoides
3153,Atelornis crossleyi,AF,CORACIIFORMES,Brachypteraciidae,Atelornis crossleyi
3154,Uratelornis chimaera,AF,CORACIIFORMES,Brachypteraciidae,Uratelornis chimaera
3155,Actenoides monachus,AU,CORACIIFORMES,Alcedinidae,Actenoides monachus
3156,Actenoides princeps,AU,CORACIIFORMES,Alcedinidae,Actenoides princeps
3157,Actenoides bougainvillei,AU,CORACIIFORMES,Alcedinidae,Actenoides bougainvillei
3158,Actenoides lindsayi,OR,CORACIIFORMES,Alcedinidae,Actenoides lindsayi
3159,Actenoides hombroni,OR,CORACIIFORMES,Alcedinidae,Actenoides hombroni
3160,Actenoides concretus,OR,CORACIIFORMES,Alcedinidae,Actenoides concretus
3161,Melidora macrorrhina,AU,CORACIIFORMES,Alcedinidae,Melidora macrorrhina
3162,Lacedo pulchella,OR,CORACIIFORMES,Alcedinidae,Lacedo pulchella
3163,Tanysiptera galatea,AU,CORACIIFORMES,Alcedinidae,Tanysiptera galatea
3164,Tanysiptera ellioti,AU,CORACIIFORMES,Alcedinidae,Tanysiptera ellioti
3165,Tanysiptera riedelii,AU,CORACIIFORMES,Alcedinidae,Tanysiptera riedelii
3166,Tanysiptera carolinae,AU,CORACIIFORMES,Alcedinidae,Tanysiptera carolinae
3167,Tanysiptera hydrocharis,AU,CORACIIFORMES,Alcedinidae,Tanysiptera hydrocharis
3168,Tanysiptera sylvia,AU,CORACIIFORMES,Alcedinidae,Tanysiptera sylvia
3169,Tanysiptera nigriceps,AU,CORACIIFORMES,Alcedinidae,Tanysiptera nigriceps
3170,Tanysiptera nympha,AU,CORACIIFORMES,Alcedinidae,Tanysiptera nympha
3171,Tanysiptera danae,AU,CORACIIFORMES,Alcedinidae,Tanysiptera danae
3172,Cittura cyanotis,AU,CORACIIFORMES,Alcedinidae,Cittura cyanotis
3173,Cittura sanghirensis,AU,CORACIIFORMES,Alcedinidae,Cittura sanghirensis
3174,Dacelo rex,AU,CORACIIFORMES,Alcedinidae,Dacelo rex
3175,Dacelo tyro,AU,CORACIIFORMES,Alcedinidae,Dacelo tyro
3176,Dacelo gaudichaud,AU,CORACIIFORMES,Alcedinidae,Dacelo gaudichaud
3177,Dacelo novaeguineae,AU,CORACIIFORMES,Alcedinidae,Dacelo novaeguineae
3178,Dacelo leachii,AU,CORACIIFORMES,Alcedinidae,Dacelo leachii
3179,Caridonax fulgidus,AU,CORACIIFORMES,Alcedinidae,Caridonax fulgidus
3180,Pelargopsis capensis,OR,CORACIIFORMES,Alcedinidae,Pelargopsis capensis
3181,Pelargopsis melanorhyncha,AU,CORACIIFORMES,Alcedinidae,Pelargopsis melanorhyncha
3182,Pelargopsis amauroptera,OR,CORACIIFORMES,Alcedinidae,Pelargopsis amauroptera
3183,Halcyon coromanda,"OR, AU",CORACIIFORMES,Alcedinidae,Halcyon coromanda
3184,Halcyon smyrnensis,OR,CORACIIFORMES,Alcedinidae,Halcyon smyrnensis
3185,Halcyon gularis,OR,CORACIIFORMES,Alcedinidae,Halcyon gularis
3186,Halcyon cyanoventris,OR,CORACIIFORMES,Alcedinidae,Halcyon cyanoventris
3187,Halcyon badia,AF,CORACIIFORMES,Alcedinidae,Halcyon badia
3188,Halcyon pileata,OR,CORACIIFORMES,Alcedinidae,Halcyon pileata
3189,Halcyon leucocephala,AF,CORACIIFORMES,Alcedinidae,Halcyon leucocephala
3190,Halcyon albiventris,AF,CORACIIFORMES,Alcedinidae,Halcyon albiventris
3191,Halcyon chelicuti,AF,CORACIIFORMES,Alcedinidae,Halcyon chelicuti
3192,Halcyon malimbica,AF,CORACIIFORMES,Alcedinidae,Halcyon malimbica
3193,Halcyon senegalensis,AF,CORACIIFORMES,Alcedinidae,Halcyon senegalensis
3194,Halcyon senegaloides,AF,CORACIIFORMES,Alcedinidae,Halcyon senegaloides
3195,Todiramphus nigrocyaneus,AU,CORACIIFORMES,Alcedinidae,Todiramphus nigrocyaneus
3196,Todiramphus winchelli,OR,CORACIIFORMES,Alcedinidae,Todiramphus winchelli
3197,Todiramphus diops,AU,CORACIIFORMES,Alcedinidae,Todiramphus diops
3198,Todiramphus lazuli,AU,CORACIIFORMES,Alcedinidae,Todiramphus lazuli
3199,Todiramphus macleayii,AU,CORACIIFORMES,Alcedinidae,Todiramphus macleayii
3200,Todiramphus albonotatus,AU,CORACIIFORMES,Alcedinidae,Todiramphus albonotatus
3201,Todiramphus leucopygius,AU,CORACIIFORMES,Alcedinidae,Todiramphus leucopygius
3202,Todiramphus farquhari,AU,CORACIIFORMES,Alcedinidae,Todiramphus farquhari
3203,Todiramphus funebris,AU,CORACIIFORMES,Alcedinidae,Todiramphus funebris
3204,Todiramphus chloris,"OR, AU",CORACIIFORMES,Alcedinidae,Todiramphus chloris
3205,Todiramphus sordidus,AU,CORACIIFORMES,Alcedinidae,Todiramphus sordidus
3206,Todiramphus colonus,AU,CORACIIFORMES,Alcedinidae,Todiramphus colonus
3207,Todiramphus albicilla,PO,CORACIIFORMES,Alcedinidae,Todiramphus albicilla
3208,Todiramphus tristrami,AU,CORACIIFORMES,Alcedinidae,Todiramphus tristrami
3209,Todiramphus sacer,"AU, PO",CORACIIFORMES,Alcedinidae,Todiramphus sacer
3210,Todiramphus enigma,AU,CORACIIFORMES,Alcedinidae,Todiramphus enigma
3211,Todiramphus cinnamominus,PO,CORACIIFORMES,Alcedinidae,Todiramphus cinnamominus
3212,Todiramphus pelewensis,PO,CORACIIFORMES,Alcedinidae,Todiramphus pelewensis
3213,Todiramphus reichenbachii,PO,CORACIIFORMES,Alcedinidae,Todiramphus reichenbachii
3214,Todiramphus saurophagus,AU,CORACIIFORMES,Alcedinidae,Todiramphus saurophagus
3215,Todiramphus sanctus,"OR, AU",CORACIIFORMES,Alcedinidae,Todiramphus sanctus
3216,Todiramphus recurvirostris,PO,CORACIIFORMES,Alcedinidae,Todiramphus recurvirostris
3217,Todiramphus australasia,AU,CORACIIFORMES,Alcedinidae,Todiramphus australasia
3218,Todiramphus tutus,PO,CORACIIFORMES,Alcedinidae,Todiramphus tutus
3219,Todiramphus ruficollaris,PO,CORACIIFORMES,Alcedinidae,Todiramphus ruficollaris
3220,Todiramphus veneratus,PO,CORACIIFORMES,Alcedinidae,Todiramphus veneratus
3221,Todiramphus gertrudae,PO,CORACIIFORMES,Alcedinidae,Todiramphus gertrudae
3222,Todiramphus godeffroyi,PO,CORACIIFORMES,Alcedinidae,Todiramphus godeffroyi
3223,Todiramphus pyrrhopygius,AU,CORACIIFORMES,Alcedinidae,Todiramphus pyrrhopygius
3224,Syma torotoro,AU,CORACIIFORMES,Alcedinidae,Syma torotoro
3225,Syma megarhyncha,AU,CORACIIFORMES,Alcedinidae,Syma megarhyncha
3226,Ispidina lecontei,AF,CORACIIFORMES,Alcedinidae,Ispidina lecontei
3227,Ispidina picta,AF,CORACIIFORMES,Alcedinidae,Ispidina picta
3228,Corythornis madagascariensis,AF,CORACIIFORMES,Alcedinidae,Corythornis madagascariensis
3229,Corythornis leucogaster,AF,CORACIIFORMES,Alcedinidae,Corythornis leucogaster
3230,Corythornis cristatus,AF,CORACIIFORMES,Alcedinidae,Corythornis cristatus
3231,Corythornis vintsioides,AF,CORACIIFORMES,Alcedinidae,Corythornis vintsioides
3232,Alcedo coerulescens,"OR, AU",CORACIIFORMES,Alcedinidae,Alcedo coerulescens
3233,Alcedo peninsulae,OR,CORACIIFORMES,Alcedinidae,Alcedo peninsulae
3234,Alcedo euryzona,OR,CORACIIFORMES,Alcedinidae,Alcedo euryzona
3235,Alcedo quadribrachys,AF,CORACIIFORMES,Alcedinidae,Alcedo quadribrachys
3236,Alcedo meninting,"OR, AU",CORACIIFORMES,Alcedinidae,Alcedo meninting
3237,Alcedo atthis,"PAL, OR, AU",CORACIIFORMES,Alcedinidae,Alcedo atthis
3238,Alcedo semitorquata,AF,CORACIIFORMES,Alcedinidae,Alcedo semitorquata
3239,Alcedo hercules,OR,CORACIIFORMES,Alcedinidae,Alcedo hercules
3240,Ceyx erithaca,OR,CORACIIFORMES,Alcedinidae,Ceyx erithaca
3241,Ceyx melanurus,OR,CORACIIFORMES,Alcedinidae,Ceyx melanurus
3242,Ceyx sangirensis,AU,CORACIIFORMES,Alcedinidae,Ceyx sangirensis
3243,Ceyx fallax,AU,CORACIIFORMES,Alcedinidae,Ceyx fallax
3244,Ceyx lepidus,AU,CORACIIFORMES,Alcedinidae,Ceyx lepidus
